מילה	פירוש היום	מה השופט העיוור כתב	מובן חסר	מסלול מכני	ידוע מראש
while	בזמן ש-, בעוד ש-; ואילו, אף על פי ש-; כל עוד	בזמן ש | בעוד ש	1:בזמן ש | 2:בעוד ש	תיאור·4 מילים במובן אחד	
wood	עץ	עץ | יער	2:יער	פירוש-כפול·עץ (2 מילים)	
border	גבול	גבול | לגבול	2:לגבול	פירוש-כפול·גבול (2 מילים)	
brave	אמיץ	אמיץ | להתמודד	2:להתמודד	פירוש-כפול·אמיץ (2 מילים)	
built	בנה, נבנה (עבר/בינוני פעול של build); בנוי, בנוי היטב	לבנות | חטוב	1:לבנות | 2:חטוב	תיאור·5 מילים במובן אחד	
cheer	לעודד	לעודד | קריאת עידוד	2:קריאת עידוד	פירוש-כפול·לעודד (2 מילים)	
coin	מטבע	מטבע | לטבוע	2:לטבוע	פירוש-כפול·מטבע (2 מילים)	
delivery	משלוח	משלוח | לידה | מסירה	2:לידה | 3:מסירה	פירוש-כפול·משלוח (2 מילים)	
department	מחלקה	מחלקה | אגף	2:אגף	פירוש-כפול·מחלקה (2 מילים)	
dump	לשפוך	לזרוק | מזבלה	1:לזרוק | 2:מזבלה	פירוש-כפול·לשפוך (2 מילים)	
fool	טיפש, לשטות במישהו	טיפש | לרמות	2:לרמות	תיאור·מכיל "משהו/מישהו"	
for instance	לדוגמה	לדוגמה | למשל	2:למשל	פירוש-כפול·לדוגמה (3 מילים)	
in general	באופן כללי	בדרך כלל	1:בדרך כלל	פירוש-כפול·באופן כללי (2 מילים)	
incredible	מדהים	מדהים | לא ייאמן	2:לא ייאמן	פירוש-כפול·מדהים (2 מילים)	
lawyer	עורך-דין	עורך דין	1:עורך דין	פירוש-כפול·עורך-דין (2 מילים)	
peaceful	שָׁלֵו, שקט	שליו | שקט	1:שליו	ניקוד	
pipe	צינור	צינור | מקטרת	2:מקטרת	פירוש-כפול·צינור (2 מילים)	
precious	יקר	יקר | אהוב	2:אהוב	פירוש-כפול·יקר (3 מילים)	
rage	זעם	זעם | לזעום	2:לזעום	פירוש-כפול·זעם (2 מילים)	
recognize	לזהות	לזהות | להכיר	2:להכיר	פירוש-כפול·לזהות (2 מילים)	
register	להירשם	להירשם | לרשום | מרשם	2:לרשום | 3:מרשם	פירוש-כפול·להירשם (2 מילים)	
remote	מרוחק	מרוחק | שלט	2:שלט	פירוש-כפול·מרוחק (2 מילים)	
repair	לתקן	לתקן | תיקון	2:תיקון	פירוש-כפול·לתקן (2 מילים)	
shy	ביישן	ביישן | להירתע	2:להירתע	פירוש-כפול·ביישן (3 מילים)	
structure	מבנה, לבנות	מבנה | לארגן	2:לארגן	פירוש-כפול·מבנה לבנות (2 מילים)	
surely	ללא ספק	בוודאי	1:בוודאי	פירוש-כפול·ללא ספק (2 מילים)	
target	מטרה	מטרה | למקד	2:למקד	פירוש-כפול·מטרה (2 מילים)	
totally	לחלוטין	לגמרי	1:לגמרי	פירוש-כפול·לחלוטין (3 מילים)	
actually	למעשה	למעשה | בעצם	2:בעצם	פירוש-כפול·למעשה (2 מילים)	
amount	כמות	כמות | להסתכם	2:להסתכם	פירוש-כפול·כמות (2 מילים)	
as many as	רבים כמו (מספר גדול)	עד | לא פחות מ	1:עד | 2:לא פחות מ	תיאור·4 מילים במובן אחד	כן
beyond	מעבר	מעבר ל	1:מעבר ל	פירוש-כפול·מעבר (2 מילים)	
by now	עד עתה	עד עכשיו	1:עד עכשיו	פירוש-כפול·עד עתה (2 מילים)	
deeply	מאוד, במידה רבה	עמוקות | מאוד	1:עמוקות	פירוש-כפול·מאוד במידה רבה (2 מילים)	
even so	אף על פי כן	ובכל זאת	1:ובכל זאת	תיאור·4 מילים במובן אחד	
generally	באופן כללי	בדרך כלל	1:בדרך כלל	פירוש-כפול·באופן כללי (2 מילים)	
handle	להתמודד	לטפל | ידית	1:לטפל | 2:ידית	פירוש-כפול·להתמודד (2 מילים)	
iceberg	קרחון	הר קרח	1:הר קרח	פירוש-כפול·קרחון (2 מילים)	
in particular	במיוחד	בפרט | במיוחד	1:בפרט	פירוש-כפול·במיוחד (2 מילים)	
instantly	מיד	מיד | תכף	2:תכף	פירוש-כפול·מיד (2 מילים)	
ruin	להרוס	להרוס | חורבה	2:חורבה	פירוש-כפול·להרוס (2 מילים)	
select	לבחור	לבחור | נבחר	2:נבחר	פירוש-כפול·לבחור (3 מילים)	
separation	הפרדה	הפרדה | פרידה	2:פרידה	פירוש-כפול·הפרדה (2 מילים)	
so long as	כל עוד	כל עוד | ובלבד ש	2:ובלבד ש	פירוש-כפול·כל עוד (2 מילים)	
unite	לאחד	לאחד | להתאחד	2:להתאחד	פירוש-כפול·לאחד (2 מילים)	
beside	ליד	ליד | לצד	2:לצד	פירוש-כפול·ליד (3 מילים)	
bond	קשר	קשר | אג"ח | להתחבר	2:אג"ח | 3:להתחבר	פירוש-כפול·קשר (2 מילים)	
craft	אומנות, מלאכה; כלי טייס / כלי שייט	מלאכה | אומנות | לעצב	3:לעצב	תיאור·5 מילים במובן אחד	
demand	לדרוש, דרישה	לדרוש | דרישה | ביקוש	3:ביקוש	פירוש-כפול·לדרוש דרישה (2 מילים)	
distant	מרוחק	רחוק | מנוכר	1:רחוק | 2:מנוכר	פירוש-כפול·מרוחק (2 מילים)	
elderly	זקן	קשיש	1:קשיש	פירוש-כפול·זקן (2 מילים)	
essential	חיוני	חיוני | הכרחי	2:הכרחי	פירוש-כפול·חיוני (2 מילים)	
expand	להרחיב	להתרחב | להרחיב	1:להתרחב	פירוש-כפול·להרחיב (4 מילים)	
frequently	לעיתים קרובות	לעתים קרובות	1:לעתים קרובות	פירוש-כפול·לעיתים קרובות (2 מילים)	
heavily	מאוד, במידה רבה	בכבדות | מאוד	1:בכבדות	פירוש-כפול·מאוד במידה רבה (2 מילים)	
identify	לזהות	לזהות | להזדהות	2:להזדהות	פירוש-כפול·לזהות (2 מילים)	
illness	מחלה	מחלה | חולי	2:חולי	פירוש-כפול·מחלה (2 מילים)	
infection	זיהום	זיהום | הדבקה	2:הדבקה	פירוש-כפול·זיהום (2 מילים)	
interrupt	להפריע	להפריע | לקטוע	2:לקטוע	פירוש-כפול·להפריע (2 מילים)	
lack	מחסור	חוסר | לחסר	1:חוסר | 2:לחסר	פירוש-כפול·מחסור (3 מילים)	
orbit	מסלול (סביב גרם שמים); להקיף במסלול, לחוג	מסלול | להקיף	2:להקיף	תיאור·4 מילים במובן אחד	
poisonous	רעיל	רעיל | ארסי	2:ארסי	פירוש-כפול·רעיל (2 מילים)	
require	לדרוש, דרישה	לדרוש | להצריך	2:להצריך	פירוש-כפול·לדרוש דרישה (2 מילים)	
spill	לשפוך	לשפוך | דליפה	2:דליפה	פירוש-כפול·לשפוך (2 מילים)	
strict	נוקשה	קפדני | נוקשה	1:קפדני	פירוש-כפול·נוקשה (2 מילים)	
supportive	תומך	תומך | מעודד	2:מעודד	פירוש-כפול·תומך (2 מילים)	
supreme	עליון	עליון | עילאי	2:עילאי	פירוש-כפול·עליון (2 מילים)	
suspicious	חשוד (משהו)	חשדן | חשוד	1:חשדן	תיאור·מכיל "משהו/מישהו"	
uncertain	לא בטוח	לא בטוח | מסופק	2:מסופק	פירוש-כפול·לא בטוח (2 מילים)	
various	מגוון	מגוון | שונה	2:שונה	פירוש-כפול·מגוון (3 מילים)	
account	חשבון; דיווח, תיאור; account for — להסביר; take into account — להתחשב	חשבון | תיאור | להסביר	3:להסביר	תיאור·5 מילים במובן אחד	
accurate	מדויק	מדויק | נכון	2:נכון	פירוש-כפול·מדויק (3 מילים)	
assume	להניח	להניח | לקחת על עצמו	2:לקחת על עצמו	פירוש-כפול·להניח (2 מילים)	
attorney	עורך-דין	עורך דין	1:עורך דין	פירוש-כפול·עורך-דין (2 מילים)	
broad	נרחב	רחב | כללי	1:רחב | 2:כללי	פירוש-כפול·נרחב (2 מילים)	
broadcast	לשדר	לשדר | שידור	2:שידור	פירוש-כפול·לשדר (2 מילים)	
clash	התנגשות	להתנגש | התנגשות	1:להתנגש	פירוש-כפול·התנגשות (2 מילים)	
convenient	נוח	נוח | מתאים	2:מתאים	פירוש-כפול·נוח (2 מילים)	
critique	ביקורת	ביקורת | לבקר	2:לבקר	פירוש-כפול·ביקורת (2 מילים)	
decorate	לקשט	לקשט | לעטר	2:לעטר	פירוש-כפול·לקשט (2 מילים)	
e.g.	לדוגמה	לדוגמה | למשל	2:למשל	פירוש-כפול·לדוגמה (3 מילים)	
for the most part	בדרך-כלל	בעיקר	1:בעיקר	פירוש-כפול·בדרך-כלל (3 מילים)	
gymnasium	אולם ספורט	אולם התעמלות | חדר כושר	1:אולם התעמלות | 2:חדר כושר	פירוש-כפול·אולם ספורט (2 מילים)	
horrific	אָיוֹם	מזעזע | איום	1:מזעזע	פירוש-כפול·איום (2 מילים) + ניקוד	
inclusive	כולל	מכיל | כוללני	1:מכיל | 2:כוללני	פירוש-כפול·כולל (2 מילים)	
index	מדד; מפתח (רשימת ערכים אלפביתית בסוף ספר)	מדד | אינדקס	2:אינדקס	תיאור·6 מילים במובן אחד	
marine	ימי	ימי | נחת	2:נחת	פירוש-כפול·ימי (3 מילים)	
migrate	להגר	לנדוד | להגר	1:לנדוד	פירוש-כפול·להגר (3 מילים)	
nominated	מועמד	למנות	1:למנות	פירוש-כפול·מועמד (3 מילים)	
once in a while	מידי פעם	מדי פעם | לפעמים	1:מדי פעם | 2:לפעמים	פירוש-כפול·מידי פעם (2 מילים)	
ordinary	רגיל	רגיל | פשוט	2:פשוט	פירוש-כפול·רגיל (2 מילים)	
prior	קודם	קודם | לפני	2:לפני	פירוש-כפול·קודם (3 מילים)	
spectacular	מדהים	מרהיב | מרשים	1:מרהיב | 2:מרשים	פירוש-כפול·מדהים (2 מילים)	
superior	עליון	עדיף | ממונה	1:עדיף | 2:ממונה	פירוש-כפול·עליון (2 מילים)	
tend	נוטה	לנטות | לטפל	1:לנטות | 2:לטפל	פירוש-כפול·נוטה (2 מילים)	
trace	סימן, עִקְבָה; לעקוב, למצוא	שריד | לאתר	1:שריד | 2:לאתר	ניקוד	
visualize	לדמיין	לדמיין | להמחיש	2:להמחיש	פירוש-כפול·לדמיין (2 מילים)	
applicant	מועמד	מועמד | מבקש	2:מבקש	פירוש-כפול·מועמד (3 מילים)	
artifact	חפץ מעשה ידי אדם, מוצג ארכיאולוגי	חפץ | ממצא	1:חפץ | 2:ממצא	תיאור·4 מילים במובן אחד	
conscious	מודע	מודע | בהכרה	2:בהכרה	פירוש-כפול·מודע (2 מילים)	
consequence	תוצאה	תוצאה | השלכה	2:השלכה	פירוש-כפול·תוצאה (3 מילים)	
continuous	מתמשך	רציף	1:רציף	פירוש-כפול·מתמשך (2 מילים)	
distribute	להפיץ	להפיץ | לחלק	2:לחלק	פירוש-כפול·להפיץ (2 מילים)	
estimate	להעריך, לאמוד	להעריך | הערכה	2:הערכה	פירוש-כפול·להעריך לאמוד (3 מילים)	
evaluate	להעריך, לאמוד	להעריך | לשפוט	2:לשפוט	פירוש-כפול·להעריך לאמוד (3 מילים)	
evaluation	הערכה	הערכה | בדיקה	2:בדיקה	פירוש-כפול·הערכה (2 מילים)	
exterior	חיצוני	חיצוני | חזית	2:חזית	פירוש-כפול·חיצוני (3 מילים)	
idolize	להעריץ	להאליל | להעריץ	1:להאליל	פירוש-כפול·להעריץ (2 מילים)	
initiated	יזם, התחיל, אִתְחֵל	ליזום | להתחיל	1:ליזום | 2:להתחיל	ניקוד	
interior	פנימי	פנימי | פנים	2:פנים	פירוש-כפול·פנימי (3 מילים)	
interpretation	פרשנות	פרשנות | פירוש	2:פירוש	פירוש-כפול·פרשנות (2 מילים)	
knot	קשר	קשר | לקשור	2:לקשור	פירוש-כפול·קשר (2 מילים)	
misbehave	להתנהג בצורה לא הולמת	להתנהג רע | להשתובב	1:להתנהג רע | 2:להשתובב	תיאור·4 מילים במובן אחד	
occasionally	מידי פעם	מדי פעם | לעיתים	1:מדי פעם | 2:לעיתים	פירוש-כפול·מידי פעם (2 מילים)	
outlaw	להוציא אל מחוץ לחוק; פורע חוק	לאסור | פורע חוק	1:לאסור	תיאור·4 מילים במובן אחד	
predict	לצפות מראש	לחזות | לנבא	1:לחזות | 2:לנבא	פירוש-כפול·לצפות מראש (2 מילים)	
preserve	לשמר	לשמר | שמורה | ריבה	2:שמורה | 3:ריבה	פירוש-כפול·לשמר (2 מילים)	
proposition	הצעה	הצעה | טענה	2:טענה	פירוש-כפול·הצעה (2 מילים)	
puzzled	מבולבל	מבולבל | תמה	2:תמה	פירוש-כפול·מבולבל (2 מילים)	
refer	מתייחס	להתייחס | להפנות	1:להתייחס | 2:להפנות	פירוש-כפול·מתייחס (2 מילים)	
relating	מתייחס	להתייחס | לספר	1:להתייחס | 2:לספר	פירוש-כפול·מתייחס (2 מילים)	
resume	להמשיך	להמשיך | קורות חיים	2:קורות חיים	פירוש-כפול·להמשיך (2 מילים)	
revision	בדיקה מחדש לצורך שיפור	תיקון | עדכון	1:תיקון | 2:עדכון	תיאור·4 מילים במובן אחד	
revolt	מרד	מרד | למרוד	2:למרוד	פירוש-כפול·מרד (2 מילים)	
rhyme	חרוז	חרוז | לחרוז	2:לחרוז	פירוש-כפול·חרוז (2 מילים)	
slaughter	לטבוח, לשחוט, טֶבַח	טבח | שחיטה | לטבוח	2:שחיטה	ניקוד	
supervise	לפקח	לפקח | להשגיח	2:להשגיח	פירוש-כפול·לפקח (2 מילים)	
transmit	לשדר	לשדר | להעביר	2:להעביר	פירוש-כפול·לשדר (2 מילים)	
triumph	ניצחון	ניצחון | לנצח	2:לנצח	פירוש-כפול·ניצחון (2 מילים)	
vary	משתנה	להשתנות	1:להשתנות	פירוש-כפול·משתנה (2 מילים)	
voyage	מסע	מסע | הפלגה	2:הפלגה	פירוש-כפול·מסע (2 מילים)	
alternate	חלופי; התחלף, עבר מדבר אחד לשני וחזרה	להתחלף | חלופי	1:להתחלף	תיאור·5 מילים במובן אחד	
appreciation	הערכה	הערכה | תודה	2:תודה	פירוש-כפול·הערכה (2 מילים)	
audit	ביקורת	ביקורת | לבקר	2:לבקר	פירוש-כפול·ביקורת (2 מילים)	
colossal	עצום	עצום | ענק	2:ענק	פירוש-כפול·עצום (3 מילים)	
conserve	לשמר	לשמר | לחסוך	2:לחסוך	פירוש-כפול·לשמר (2 מילים)	
despise	לתעב	לבוז | לתעב	1:לבוז	פירוש-כפול·לתעב (2 מילים)	
discourage	לשכנע שלא לעשות משהו	לייאש | להניא	1:לייאש | 2:להניא	תיאור·מכיל "משהו/מישהו"	כן
disregard	להתעלם	להתעלם | זלזול	2:זלזול	פירוש-כפול·להתעלם (2 מילים)	
distinctive	מיוחד	ייחודי	1:ייחודי	פירוש-כפול·מיוחד (2 מילים)	
dread	פחד, לפחד	לחשוש | אימה	1:לחשוש | 2:אימה	פירוש-כפול·פחד לפחד (2 מילים)	
extensive	נרחב	נרחב | מקיף	2:מקיף	פירוש-כפול·נרחב (2 מילים)	
foresee	לצפות מראש	לצפות	1:לצפות	פירוש-כפול·לצפות מראש (2 מילים)	
fraction	שבר	שבר | חלק קטן	2:חלק קטן	פירוש-כפול·שבר (2 מילים)	
fracture	שבר	שבר | לשבור	2:לשבור	פירוש-כפול·שבר (2 מילים)	
furthermore	זאת ועוד	יתר על כן	1:יתר על כן	פירוש-כפול·זאת ועוד (2 מילים)	
irresistible	שלא ניתן לעמוד בפניו	מפתה | כובש	1:מפתה | 2:כובש	תיאור·4 מילים במובן אחד	
massacre	טֶבַח	טבח | לטבוח	2:לטבוח	ניקוד	
merely	רק, לא יותר מ-	רק | בסך הכל	2:בסך הכל	פירוש-כפול·רק לא יותר מ- (2 מילים)	
mock	ללעוג	ללעוג | מדומה	2:מדומה	פירוש-כפול·ללעוג (2 מילים)	
moreover	זאת ועוד	יתרה מזאת | בנוסף	1:יתרה מזאת | 2:בנוסף	פירוש-כפול·זאת ועוד (2 מילים)	
nevertheless	למרות זאת	בכל זאת	1:בכל זאת	פירוש-כפול·למרות זאת (2 מילים)	
oversee	לפקח	לפקח על	1:לפקח על	פירוש-כפול·לפקח (2 מילים)	
province	מחוז, אזור	מחוז | תחום	2:תחום	פירוש-כפול·מחוז אזור (2 מילים)	
resemble	דומה	להידמות ל	1:להידמות ל	פירוש-כפול·דומה (3 מילים)	
restrain	לרסן	לרסן | לעצור	2:לעצור	פירוש-כפול·לרסן (2 מילים)	
rim	שפה	שפה | חישוק	2:חישוק	פירוש-כפול·שפה (3 מילים)	
stiff	נוקשה	נוקשה | קשיח	2:קשיח	פירוש-כפול·נוקשה (2 מילים)	
tolerate	לסבול	לסבול | להשלים עם	2:להשלים עם	פירוש-כפול·לסבול (2 מילים)	
adjacent to	ליד	סמוך ל | גובל ב	1:סמוך ל | 2:גובל ב	פירוש-כפול·ליד (3 מילים)	
amid	בקרב, בין	בתוך | באמצע	1:בתוך | 2:באמצע	פירוש-כפול·בקרב בין (2 מילים)	
augment	להרחיב	להגדיל | לחזק	1:להגדיל | 2:לחזק	פירוש-כפול·להרחיב (4 מילים)	
coexist	להתקיים זה בצד זה, לחיות יחד בשלום	להתקיים יחד | לדור בכפיפה אחת	1:להתקיים יחד | 2:לדור בכפיפה אחת	תיאור·4 מילים במובן אחד	
composed	רגוע, שלֵו, שולט בעצמו; הלחין, חיבר	רגוע | מורכב	2:מורכב	ניקוד	
correspondingly	בהתאמה	בהתאם	1:בהתאם	פירוש-כפול·בהתאמה (2 מילים)	
coupled with	יחד עם	יחד עם | בשילוב עם	2:בשילוב עם	פירוש-כפול·יחד עם (3 מילים)	
deficiency	מחסור	מחסור | ליקוי	2:ליקוי	פירוש-כפול·מחסור (3 מילים)	
haul	לגרור	לגרור | שלל	2:שלל	פירוש-כפול·לגרור (2 מילים)	
ingest	להכניס משהו לגוף דרך הפה	לבלוע | לצרוך	1:לבלוע | 2:לצרוך	תיאור·מכיל "משהו/מישהו"	
inhibit	לרסן	לעכב | למנוע	1:לעכב | 2:למנוע	פירוש-כפול·לרסן (2 מילים)	
insulate	לבודד	לבודד | להגן	2:להגן	פירוש-כפול·לבודד (2 מילים)	
mere	רק, לא יותר מ-	גרידא | בלבד	1:גרידא | 2:בלבד	פירוש-כפול·רק לא יותר מ- (2 מילים)	
nonetheless	למרות זאת	עם זאת | בכל זאת	1:עם זאת | 2:בכל זאת	פירוש-כפול·למרות זאת (2 מילים)	
ordinarily	בדרך-כלל	בדרך כלל	1:בדרך כלל	פירוש-כפול·בדרך-כלל (3 מילים)	
overdue	שעבר זמן ההגשה שלו	באיחור	1:באיחור	תיאור·4 מילים במובן אחד	
overlooked	לא הבחין, פספס, החמיץ; התעלם; (גם: צפה על מגבוה)	להתעלם | להשקיף	1:להתעלם | 2:להשקיף	תיאור·4 מילים במובן אחד	
ridicule	ללעוג	ללעוג | לעג	2:לעג	פירוש-כפול·ללעוג (2 מילים)	
segregation	הפרדה	הפרדה | בידול	2:בידול	פירוש-כפול·הפרדה (2 מילים)	
seismic	ססמי (קשור לרעידות אדמה)	סייסמי	1:סייסמי	תיאור·4 מילים במובן אחד	
successor	יורש	יורש | מחליף	2:מחליף	פירוש-כפול·יורש (2 מילים)	
timber	עץ	עץ | קורה	2:קורה	פירוש-כפול·עץ (2 מילים)	
timid	ביישן	ביישן | פחדן	2:פחדן	פירוש-כפול·ביישן (3 מילים)	
tremendous	עצום	עצום | אדיר	2:אדיר	פירוש-כפול·עצום (3 מילים)	
ward	מחלקה	מחלקה | אגף	2:אגף	פירוש-כפול·מחלקה (2 מילים)	
abide	לציית	לציית | לסבול	2:לסבול	פירוש-כפול·לציית (2 מילים)	
abstain	להתנזר, להימנע ממשהו	להימנע	1:להימנע	תיאור·מכיל "משהו/מישהו"	
adverse	שלילי	שלילי | מזיק	2:מזיק	פירוש-כפול·שלילי (2 מילים)	
affluence	שפע	עושר | שפע	1:עושר	פירוש-כפול·שפע (2 מילים)	
albeit	אף על פי ש, אם כי	אף על פי | למרות ש	1:אף על פי | 2:למרות ש	תיאור·4 מילים במובן אחד	
antler	קרן מסועפת של אייל/צבי	קרן	1:קרן	תיאור·4 מילים במובן אחד	
astound	להדהים	להדהים | לתדהם	2:לתדהם	פירוש-כפול·להדהים (2 מילים)	
baffled	מבולבל	מבולבל | נבוך	2:נבוך	פירוש-כפול·מבולבל (2 מילים)	
comprise	לכלול	לכלול | להיות מורכב	2:להיות מורכב	פירוש-כפול·לכלול (2 מילים)	
detrimental	מזיק	מזיק | פוגעני	2:פוגעני	פירוש-כפול·מזיק (2 מילים)	
embark	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס	להפליג | להתחיל	1:להפליג | 2:להתחיל	תיאור·5 מילים במובן אחד	
expatriate	גולה, מי שחי מחוץ למולדתו; לגרש/להגלות מהמולדת	גולה | מהגר	2:מהגר	תיאור·4 מילים במובן אחד	
extrapolate	לאמוד על סמך מידע קיים	להסיק	1:להסיק	תיאור·5 מילים במובן אחד	
genial	ידידותי	ידידותי | לבבי	2:לבבי	פירוש-כפול·ידידותי (2 מילים)	
hearsay	שמועה	שמועה | עדות שמיעה	2:עדות שמיעה	פירוש-כפול·שמועה (2 מילים)	
incidence	כמות, הִקָּרוּת (משהו שקורה)	שכיחות	1:שכיחות	תיאור·מכיל "משהו/מישהו" + ניקוד	כן
invariably	תמיד, בכל פעם, ללא יוצא מן הכלל	תמיד | באופן קבוע	2:באופן קבוע	תיאור·4 מילים במובן אחד	
loathe	לתעב	לתעב | לשנוא	2:לשנוא	פירוש-כפול·לתעב (2 מילים)	
penned	כָּתַב	לכתוב | לכלוא	1:לכתוב | 2:לכלוא	ניקוד	
plausible	סביר, מתקבל על הדעת	סביר | אמין	2:אמין	פירוש-כפול·סביר מתקבל על הדעת (2 מילים)	
rotary	נע על ציר סיבובי	סיבובי | כיכר תנועה	1:סיבובי | 2:כיכר תנועה	תיאור·4 מילים במובן אחד	
slate	להכניס מישהו לרשימה; רעף, לוח	צפחה | לוח	1:צפחה	תיאור·מכיל "משהו/מישהו"	כן
solitude	בדידות	בדידות | התבודדות	2:התבודדות	פירוש-כפול·בדידות (2 מילים)	
sprang	קפץ, זינק; נבע, צמח (עבר של spring)	לקפוץ | לנבוע	1:לקפוץ | 2:לנבוע	תיאור·4 מילים במובן אחד	
sprawling	משתרע על שטח נרחב; מתפשט ללא סדר	משתרע	1:משתרע	תיאור·4 מילים במובן אחד	
tinker	להתעסק, לחטט, לנסות לשפר בשינויים קטנים	להתעסק | לתקן	2:לתקן	תיאור·4 מילים במובן אחד	
veracity	אמיתוּת, דבקות באמת; דיוק, התאמה לעובדות	אמיתות | אמינות	2:אמינות	ניקוד	
vocation	מקצוע	ייעוד | מקצוע	1:ייעוד	פירוש-כפול·מקצוע (2 מילים)	
