k	term	gloss	blind	missing
w0280	right	ימינה; זכות	נכון | זכות | ימין	1:נכון | 3:ימין
w0282	road	דרך	כביש | דרך	1:כביש
w0289	school	בית-ספר	בית ספר | להקה	1:בית ספר | 2:להקה
w0305	sir	אדון, תואר אצולה אנגלי	אדוני	1:אדוני
w0313	so that	כך ש-	כדי ש	1:כדי ש
w0316	soon	בהקדם, מוקדם	בקרוב	1:בקרוב
w0319	spend	לבזבז, לפזר; לבלות, להעביר	להוציא | לבלות	1:להוציא
w0330	stupid	טיפש	טיפשי | מטומטם	1:טיפשי | 2:מטומטם
w0331	suddenly	לפתע	פתאום	1:פתאום
w0339	team	צוות	קבוצה	1:קבוצה
w0341	than	מ-	מאשר	1:מאשר
w0343	thanks to	תודות ל-	הודות ל	1:הודות ל
w0344	that	ש-	ש | ההוא	1:ש | 2:ההוא
w0361	until	עד ש-	עד	1:עד
w0362	until now	עד עתה	עד עכשיו | עד כה	1:עד עכשיו | 2:עד כה
w0364	usually	בדרך-כלל	בדרך כלל | לרוב	1:בדרך כלל | 2:לרוב
w0368	wait	להמתין, המתנה	לחכות | המתנה	1:לחכות
w0372	watch	להסתכל, להשגיח; שעון	לצפות | שעון | להשגיח	1:לצפות
w0377	when	כאשר, כש-	מתי | כאשר	1:מתי
w0381	why	מדוע	למה | מדוע	1:למה
w0389	without	מבלי, ללא	בלי	1:בלי
w0392	worse	גרוע יותר	רע | גרוע	1:רע | 2:גרוע
w0407	afraid	מפחד	מפוחד | חושש	1:מפוחד | 2:חושש
w0418	although	למרות ש-	למרות ש	1:למרות ש
w0419	architect	ארכיטקט	אדריכל	1:אדריכל
w0423	as soon as	כאשר, ברגע ש-	ברגע ש	1:ברגע ש
w0425	asked for	ביקש	לבקש	1:לבקש
w0434	beach	חוף ים	חוף	1:חוף
w0439	begin/an/un	להתחיל / התחיל / התחיל	להתחיל	1:להתחיל
w0454	cause	מטרה; גורם, סיבה	לגרום | סיבה	1:לגרום
w0468	container	מיכל, קונטיינר	מכל | קונטיינר	1:מכל
w0470	copy	להעתיק	עותק | להעתיק	1:עותק
w0472	country	ארץ; כפר, אזור	מדינה | ארץ	1:מדינה
w0475	cousin	בן-דוד	בן דוד	1:בן דוד
w0477	crash	להתנגש, התנגשות	להתרסק | תאונה	1:להתרסק | 2:תאונה
w0479	criteria	אמות מידה, קריטריונים	קריטריון | אמת מידה	1:קריטריון | 2:אמת מידה
w0484	darkness	חשיכה	חושך	1:חושך
w0489	design	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב | לעצב	1:עיצוב
w0494	dictator	עריץ, דיקטטור	רודן	1:רודן
w0504	earlier	קודם לכן	מוקדם	1:מוקדם
w0515	enter	נכנס	להיכנס	1:להיכנס
w0520	even though	למרות ש-	למרות ש	1:למרות ש
w0538	flow	זרם	לזרום | זרימה	1:לזרום | 2:זרימה
w0541	for	מפני ש-; עבור	בשביל | עבור | כי	1:בשביל | 3:כי
w0545	found	מצא, גילה; לייסד	למצוא | לייסד	1:למצוא
w0546	freeze, froze	להקפיא, הקפיא	לקפוא | להקפיא	1:לקפוא
w0550	garden	גן	גינה	1:גינה
w0552	genes	גנים	גן	1:גן
w0559	golden	מוזהב	זהוב	1:זהוב
w0564	gym	אולם ספורט	חדר כושר	1:חדר כושר
w0567	hid from	התחבא מ-	להסתתר מ	1:להסתתר מ
w0572	in case	למקרה ש-, שמא; אם במקרה	למקרה ש	1:למקרה ש
w0574	in that case	במקרה הזה	אם כך	1:אם כך
w0592	largest	הגדול ביותר	גדול	1:גדול
w0598	library	ספריה	ספרייה	1:ספרייה
w0602	losing	מפסיד	לאבד | להפסיד	1:לאבד | 2:להפסיד
w0615	mentor	מדריך רוחני	חונך	1:חונך
w0617	miss	להתגעגע; לפספס	להחמיץ | להתגעגע | לפספס	1:להחמיץ
w0636	of course... but...	כמובן... אך...	כמובן... אבל...	1:כמובן... אבל...
w0643	order	סדר; פקודה, לצוות; להזמין; מסדר (דתי)	הזמנה | סדר | פקודה	1:הזמנה
w0652	path	דרך, נתיב	שביל | נתיב	1:שביל
w0660	photograph	צילום, לצלם	תצלום | לצלם	1:תצלום
w0664	potential	אפשרי, פוטנציאלי	פוטנציאל | פוטנציאלי	1:פוטנציאל
w0665	powerful	רב כוח	חזק | רב עוצמה | משפיע	1:חזק | 2:רב עוצמה | 3:משפיע
w0666	prehistoric	קדמון, פרה-היסטורי	פרהיסטורי | קדום	1:פרהיסטורי | 2:קדום
w0667	prepare	התכונן	להכין | להתכונן	1:להכין | 2:להתכונן
w0671	program	תכנית; תכניה; לתכנת	תוכנית | לתכנת	1:תוכנית
w0683	repeat	לחזור; שידור/מאורע חוזר	לחזור על | חזרה	1:לחזור על | 2:חזרה
w0689	ring, rang	לצלצל, צלצל	טבעת | לצלצל	1:טבעת
w0692	rocket	טיל	רקטה | טיל	1:רקטה
w0702	seem	נראה כ-, דומה ל-	להיראות	1:להיראות
w0706	set up	להרכיב, לארגן, לסדר	להקים | לארגן	1:להקים
w0720	sold	מכר	למכור	1:למכור
w0723	sort	למיין	סוג | למיין	1:סוג
w0727	spicy	פיקנטי	חריף	1:חריף
w0731	spray	לרסס, לפזר	תרסיס | לרסס	1:תרסיס
w0741	such as	כמו למשל	כגון	1:כגון
w0749	talent	כשרון	כישרון	1:כישרון
w0753	tiny	קטנטן	זעיר | קטנטן	1:זעיר
w0762	triple	פי 3	משולש | לשלש	1:משולש | 2:לשלש
w0763	twins	תאומים	תאום	1:תאום
w0772	upgrade	לשדרג	שדרוג | לשדרג	1:שדרוג
w0776	versions	גרסאות	גרסה	1:גרסה
w0784	while	בזמן ש-, בעוד ש-; ואילו, אף על פי ש-; כל עוד	בזמן ש | בעוד ש	1:בזמן ש | 2:בעוד ש
w0788	worldwide	כלל עולמי, בכל העולם	עולמי	1:עולמי
w0792	above all	מעל לכל	מעל הכול	1:מעל הכול
w0793	absurd	מגוחך, לא סביר	אבסורדי | מגוחך	1:אבסורדי
w0797	across	בצד השני, לרוחב	מעבר ל	1:מעבר ל
w0808	as a result	כתוצאה	כתוצאה מכך	1:כתוצאה מכך
w0819	beat	מקצב; מכה, להכות	לנצח | להכות | קצב	1:לנצח | 3:קצב
w0826	block	חסימה; לבנה, גוש, חלק	לחסום | גוש	1:לחסום
w0831	built	בנה, נבנה (עבר/בינוני פעול של build); בנוי, בנוי היטב	לבנות | חטוב	1:לבנות | 2:חטוב
w0835	carry	לסחוב	לשאת | לסחוב	1:לשאת
w0859	complex	מסובך	מורכב | מתחם | קומפלקס	1:מורכב | 2:מתחם | 3:קומפלקס
w0876	daily	יומיומי	יומי | מדי יום	1:יומי | 2:מדי יום
w0882	described	מתואר	לתאר	1:לתאר
w0884	deserve	מגיע (לו)	להיות ראוי	1:להיות ראוי
w0891	disappear	להעלם	להיעלם	1:להיעלם
w0898	dump	לשפוך	לזרוק | מזבלה	1:לזרוק | 2:מזבלה
w0899	during	תוך כדי, במשך	במהלך | תוך כדי	1:במהלך
w0903	education	השכלה	חינוך | השכלה	1:חינוך
w0916	except	מלבד, חוץ מ-	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
w0917	except for	למעט	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
w0920	exercise	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית | להתאמן | תרגיל	1:פעילות גופנית
w0921	exist	קיים	להתקיים	1:להתקיים
w0924	extraordinary	בלתי רגיל	יוצא דופן	1:יוצא דופן
w0925	failure	כשלון	כישלון | תקלה	1:כישלון | 2:תקלה
w0927	farmer	חוואי	חקלאי | איכר	1:חקלאי | 2:איכר
w0935	flew	עף	לטוס | לעוף	1:לטוס | 2:לעוף
w0936	flip	לזרוק, להעיף; סלטה; להפוך צד	להפוך	1:להפוך
w0944	function	תפקוד, לתפקד	תפקיד | לתפקד | פונקציה	1:תפקיד | 3:פונקציה
w0952	guide	להדריך	מדריך | להדריך	1:מדריך
w0954	hall	מסדרון; היכל	אולם | מסדרון	1:אולם
w0958	highway	כביש ראשי	כביש מהיר	1:כביש מהיר
w0960	honest	הגון	כן | ישר	1:כן | 2:ישר
w0963	however	למרות זאת; בכל דרך	אבל | אולם | עם זאת	1:אבל | 2:אולם | 3:עם זאת
w0975	in general	באופן כללי	בדרך כלל	1:בדרך כלל
w0994	knees	ברכיים	ברך	1:ברך
w0998	lawyer	עורך-דין	עורך דין	1:עורך דין
w1000	led to	הוביל ל-	להוביל ל | לגרום ל	1:להוביל ל | 2:לגרום ל
w1004	lower	להנמיך	להוריד | נמוך	1:להוריד | 2:נמוך
w1008	marriage	נישואין	נישואים	1:נישואים
w1015	monitor	להשגיח, מוניטור	מסך | לנטר	1:מסך | 2:לנטר
w1016	mostly	לרוב	בעיקר	1:בעיקר
w1020	nearby	ליד, קרוב	בקרבת מקום | סמוך	1:בקרבת מקום | 2:סמוך
w1024	no longer	לא עוד	כבר לא	1:כבר לא
w1029	obviously	ברור	כמובן	1:כמובן
w1031	opposite	מנוגד, ממול	הפוך | נגדי	1:הפוך | 2:נגדי
w1037	patients	מטופלים	מטופל | חולה	1:מטופל | 2:חולה
w1038	peaceful	שָׁלֵו, שקט	שליו | שקט	1:שליו
w1039	per	לכל	לפי | לכל	1:לפי
w1049	pleasure	תענוג, לענג	הנאה | עונג | תענוג	1:הנאה | 2:עונג
w1051	position	מיקום, למקם; תנוחה; תפקיד, משרה	עמדה | תפקיד | למקם	1:עמדה
w1055	pregnant	הרה (בהריון)	בהריון | הרה	1:בהריון
w1066	project	לתכנן; פרוייקט, מיזם; להשליך, להקרין	פרויקט | לחזות	1:פרויקט | 2:לחזות
w1068	protest	למחות, הפגנה	מחאה | למחות	1:מחאה
w1076	raise	להעלות	להרים | לגדל | העלאה	1:להרים | 2:לגדל | 3:העלאה
w1079	realize	הבין	להבין | להגשים	1:להבין | 2:להגשים
w1080	recent	שארע לאחרונה	אחרון | טרי	1:אחרון | 2:טרי
w1091	reporter	עיתונאי	כתב | עיתונאי	1:כתב
w1102	salary	שכר	משכורת | שכר	1:משכורת
w1109	section	יחידה, חלק	קטע | סעיף	1:קטע | 2:סעיף
w1114	shave	גילוח, לגלח	להתגלח | לגלח	1:להתגלח
w1115	ship	לשלוח; אוניה	ספינה | לשלוח	1:ספינה
w1120	simply	בפשטות	פשוט | בפשטות	1:פשוט
w1126	space	חלל; רווח	מרחב | חלל	1:מרחב
w1129	spirit	כוונה, רוח הדברים; רוח רפאים, נפש	רוח | אלכוהול | מורל	1:רוח | 2:אלכוהול | 3:מורל
w1135	strength	חוזק	כוח | עוצמה | חוזק	1:כוח | 2:עוצמה
w1139	supply	אספקה	לספק | אספקה | היצע	1:לספק | 3:היצע
w1140	surely	ללא ספק	בוודאי	1:בוודאי
w1156	totally	לחלוטין	לגמרי	1:לגמרי
w1168	unbelievable	לא יאמן	לא ייאמן | מדהים	1:לא ייאמן | 2:מדהים
w1171	unusual	בלתי רגיל, יוצא דופן	לא רגיל | יוצא דופן	1:לא רגיל
w1184	wild	פראי, טבע	פרוע | בר	1:פרוע | 2:בר
w1190	advertisement	מודעה, פרסום	פרסומת | מודעה	1:פרסומת
w1196	amateur	חובבן	חובב	1:חובב
w1209	as many as	רבים כמו (מספר גדול)	עד | לא פחות מ	1:עד | 2:לא פחות מ
w1210	as proof of	כהוכחה ל-	כהוכחה ל	1:כהוכחה ל
w1211	aside from	חוץ מ-	מלבד	1:מלבד
w1217	automobile	כלי רכב, אוטו	מכונית | רכב	1:מכונית | 2:רכב
w1220	backward	לאחור	אחורה | נחשל	1:אחורה | 2:נחשל
w1221	bacteria	חיידקים	חיידק	1:חיידק
w1223	belong	שייך	להשתייך	1:להשתייך
w1226	best-seller	רב-מכר	רב מכר	1:רב מכר
w1227	beyond	מעבר	מעבר ל	1:מעבר ל
w1232	bullet	קליע	כדור | תבליט	1:כדור | 2:תבליט
w1234	by now	עד עתה	עד עכשיו	1:עד עכשיו
w1237	campaign	מערכה, מסע	קמפיין | מסע	1:קמפיין
w1238	cast	להשליך, לגרש; צוות שחקנים	לזרוק | שחקנים | גבס	1:לזרוק | 2:שחקנים | 3:גבס
w1239	casual	אגבי, רגיל, יומיומי	לא רשמי | אגבי | מזדמן	1:לא רשמי | 3:מזדמן
w1242	century	מאה שנים	מאה	1:מאה
w1247	citrus	פרי הדר	הדר	1:הדר
w1248	claim	טענה, טוען; תביעה	לטעון | טענה	1:לטעון
w1250	clever	פיקח	חכם | פיקח	1:חכם
w1256	components	חלקים, מרכיבים	רכיב | מרכיב	1:רכיב | 2:מרכיב
w1257	conference	ועידה	כנס | ועידה	1:כנס
w1267	coordinator	מתאם	רכז	1:רכז
w1268	copies	עותקים	עותק | להעתיק	1:עותק | 2:להעתיק
w1276	customize	להתאים באופן אישי	להתאים אישית	1:להתאים אישית
w1277	dare	להעיז, תעוזה; אתגר	להעז | אתגר	1:להעז
w1279	deeply	מאוד, במידה רבה	עמוקות | מאוד	1:עמוקות
w1280	deer	איל	צבי	1:צבי
w1282	depend on	תלוי ב-	להסתמך על	1:להסתמך על
w1286	dimension	מימד	ממד | היבט	1:ממד | 2:היבט
w1287	disadvantage	חסרון	חיסרון | נחיתות	1:חיסרון | 2:נחיתות
w1288	disagreement	חוסר הסכמה	אי הסכמה | חילוקי דעות	1:אי הסכמה | 2:חילוקי דעות
w1289	discoveries	תגליות	תגלית	1:תגלית
w1307	epidemic	מגיפה, אפידמיה	מגפה	1:מגפה
w1310	even so	אף על פי כן	ובכל זאת	1:ובכל זאת
w1318	expectations	ציפיות	ציפייה	1:ציפייה
w1320	explosive	חומר נפץ	נפיץ | חומר נפץ	1:נפיץ
w1321	export	ייצוא	לייצא | יצוא	1:לייצא | 2:יצוא
w1333	filmmaker	יוצר סרטים	יוצר קולנוע | במאי	1:יוצר קולנוע | 2:במאי
w1340	fortune	מזל; עושר	הון | מזל	1:הון
w1341	from time to time	מפעם לפעם	מדי פעם	1:מדי פעם
w1345	generally	באופן כללי	בדרך כלל	1:בדרך כלל
w1347	generated	יצר	לייצר | ליצור	1:לייצר | 2:ליצור
w1352	grand	גדול, כולל, מרשים	מפואר | נהדר	1:מפואר | 2:נהדר
w1354	handle	להתמודד	לטפל | ידית	1:לטפל | 2:ידית
w1355	heartbeat	דופק, פעימות לב	פעימת לב	1:פעימת לב
w1358	hold back	לעכב, למנוע	להתאפק | לעכב	1:להתאפק
w1362	iceberg	קרחון	הר קרח	1:הר קרח
w1367	in particular	במיוחד	בפרט | במיוחד	1:בפרט
w1369	indeed	בהחלט	אכן	1:אכן
w1379	irregular	לא רגיל	לא סדיר | חריג	1:לא סדיר | 2:חריג
w1381	label	תגית; לתייג	תווית | לתייג	1:תווית
w1390	load	להעמיס	מטען | לטעון	1:מטען | 2:לטעון
w1391	logic	הגיון	היגיון | לוגיקה	1:היגיון | 2:לוגיקה
w1400	mind	לשים לב, לשמור; שכל; אכפת	מוח | להשגיח	1:מוח | 2:להשגיח
w1408	motivate	לדרבן	להניע | לעודד	1:להניע | 2:לעודד
w1409	mountaintop	פסגת הר	פסגה	1:פסגה
w1418	object	פריט, אובייקט; להתנגד	חפץ | להתנגד | מטרה	1:חפץ | 3:מטרה
w1425	overall	כולל, באופן כללי	כללי | בסך הכל	1:כללי | 2:בסך הכל
w1437	preparation for	הכנות לקראת	הכנה	1:הכנה
w1440	previously	הקודם, לפני-כן	בעבר | קודם לכן	1:בעבר | 2:קודם לכן
w1442	prime	ראשוני, עיקרי, מובחר	ראשי | מעולה | שיא	1:ראשי | 2:מעולה | 3:שיא
w1443	primitive	קדום, חסר תרבות	פרימיטיבי | קדמוני	1:פרימיטיבי | 2:קדמוני
w1451	quite	למדי	די | לגמרי	1:די | 2:לגמרי
w1452	quote	ציטוט	לצטט | ציטוט | הצעת מחיר	1:לצטט | 3:הצעת מחיר
w1453	race	מרוץ; גזע	מירוץ | גזע	1:מירוץ
w1455	rainfall	ירידת גשמים	משקעים	1:משקעים
w1456	rainstorm	סערת גשמים	סופת גשמים	1:סופת גשמים
w1457	randomly	באקראיות	באקראי	1:באקראי
w1462	rational	הגיוני, רציונאלי	רציונלי | הגיוני	1:רציונלי
w1467	recordings	הקלטות	הקלטה	1:הקלטה
w1469	recycling	מחזור	מיחזור	1:מיחזור
w1473	regret	להתחרט, חרטה	להצטער | חרטה	1:להצטער
w1474	regularly	באופן קבוע	בקביעות	1:בקביעות
w1477	replacement	מחליף	תחליף | מחליף	1:תחליף
w1478	replica	העתק מדויק	העתק | שכפול | דגם	1:העתק | 2:שכפול | 3:דגם
w1489	seeds	זרעים	זרע	1:זרע
w1493	selective	סלקטיבי	בררני | סלקטיבי	1:בררני
w1494	self-confidence	בטחון-עצמי	ביטחון עצמי	1:ביטחון עצמי
w1498	share	מניה; לחלוק	לשתף | חלק | מניה	1:לשתף | 2:חלק
w1500	shift	משמרת; להזיז	שינוי | משמרת | להזיז	1:שינוי
w1503	significantly	באופן משמעותי	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
w1507	sound	קול; בריא	צליל | להישמע | הגיוני	1:צליל | 2:להישמע | 3:הגיוני
w1511	spread	התפשטות, פיזור; ממרח, למרוח	להתפשט | למרוח | ממרח	1:להתפשט
w1517	study	מחקר; חדר עבודה	ללמוד | מחקר | חדר עבודה	1:ללמוד
w1520	surface	פני שטח	משטח | לצוף	1:משטח | 2:לצוף
w1521	surprisingly	במפתיע	באופן מפתיע	1:באופן מפתיע
w1525	symptom	סימפטום	תסמין | סימן	1:תסמין | 2:סימן
w1528	take place	התרחש	להתרחש | להתקיים	1:להתרחש | 2:להתקיים
w1530	terms	מונחים; תנאים	תנאי | מונח	1:תנאי | 2:מונח
w1534	though	למרות זאת; למרות ש-	למרות ש | בכל זאת	1:למרות ש | 2:בכל זאת
w1537	to sum up	כדי לסכם; לסכם	לסיכום	1:לסיכום
w1541	transform	לשנות צורה	להפוך | לשנות	1:להפוך | 2:לשנות
w1545	treat	להתייחס; פינוק, ממתק; לפנק	לטפל ב | להתייחס אל | פינוק	1:לטפל ב | 2:להתייחס אל
w1551	unofficial	בלתי רשמי	לא רשמי	1:לא רשמי
w1553	unrealistic	לא מציאותי	לא ריאלי	1:לא ריאלי
w1560	vehicle	כלי רכב	רכב	1:רכב
w1568	waterfall	מפל	מפל מים	1:מפל מים
w1571	whenever	בכל פעם ש-, מתי ש-; לא משנה מתי	בכל פעם ש	1:בכל פעם ש
w1573	whom	מי	את מי	1:את מי
w1581	abroad	חו"ל	בחו"ל	1:בחו"ל
w1582	absent	חסר, לא נוכח	נעדר | חסר	1:נעדר
w1589	administration	מנהל	ממשל | ניהול	1:ממשל | 2:ניהול
w1591	afterwards	לאחר מכן	אחר כך	1:אחר כך
w1594	annoy	להציק	להרגיז	1:להרגיז
w1602	association	אסוציאציה; איגוד	עמותה | קשר	1:עמותה | 2:קשר
w1604	attach	לחבר, לייחס	לצרף | לחבר	1:לצרף
w1605	attempt	ניסיון	לנסות | ניסיון	1:לנסות
w1614	bald	קרח	קירח	1:קירח
w1622	blend	לערבב	למזג | תערובת	1:למזג | 2:תערובת
w1623	boil	להרתיח	לרתוח | להרתיח	1:לרתוח
w1625	boost	דחף, המריץ	להגביר | לחזק	1:להגביר | 2:לחזק
w1627	bore	לשעמם, שעמום; לקדוח (חור)	לשאת | לסבול | ללדת	1:לשאת | 2:לסבול | 3:ללדת
w1628	bounce	לקפץ, ניתור	לנתר | לקפוץ	1:לנתר | 2:לקפוץ
w1635	cabin	בקתה	תא | בקתה	1:תא
w1642	cereal	דגני בוקר	דגן | דגני בוקר	1:דגן
w1658	conservative	שמרני	שמרן | זהיר	1:שמרן | 2:זהיר
w1665	conventional	שגרתי, קונבנציונאלי	מקובל | שגרתי	1:מקובל
w1680	deaf	חרש	חירש	1:חירש
w1683	defeated	הובס	להביס | מובס	1:להביס | 2:מובס
w1685	degree	מעלה (מדידה); תואר אקדמי; דרגה; מידה, במידה מסוימת	תואר | מעלה | מידה	1:תואר
w1687	dental	שקשור בשיניים	של שיניים | דנטלי	1:של שיניים | 2:דנטלי
w1690	depart	לעזוב	לצאת | לעזוב	1:לצאת
w1696	distant	מרוחק	רחוק | מנוכר	1:רחוק | 2:מנוכר
w1700	double standard	מוסר כפול	תקן כפול	1:תקן כפול
w1704	elderly	זקן	קשיש	1:קשיש
w1712	equally	במידה שווה	באופן שווה	1:באופן שווה
w1716	evolved	התפתח	להתפתח	1:להתפתח
w1717	exception	יוצא מהכלל	יוצא דופן | חריגה	1:יוצא דופן | 2:חריגה
w1718	execute	להוציא לפועל; להוציא להורג	לבצע | להוציא להורג	1:לבצע
w1720	expand	להרחיב	להתרחב | להרחיב	1:להתרחב
w1722	expense	הוצאות	הוצאה	1:הוצאה
w1727	facial	שקשור בפנים	של הפנים | טיפול פנים	1:של הפנים | 2:טיפול פנים
w1733	footprints	עקבות, טביעות רגל	טביעת רגל	1:טביעת רגל
w1736	frequently	לעיתים קרובות	לעתים קרובות	1:לעתים קרובות
w1741	gain	להרוויח, להוסיף	להשיג | רווח	1:להשיג | 2:רווח
w1744	gather	אסף	להתאסף | לאסוף	1:להתאסף | 2:לאסוף
w1751	heavily	מאוד, במידה רבה	בכבדות | מאוד	1:בכבדות
w1752	hike	הליכה, טיול	טיול רגלי | לטייל | העלאה	1:טיול רגלי | 2:לטייל | 3:העלאה
w1763	increase	להגדיל, להגביר	לעלות | עלייה	1:לעלות | 2:עלייה
w1764	indication	אינדיקציה, סימן ל-	סימן | רמז	1:סימן | 2:רמז
w1766	infected	הודבק	נגוע | להדביק	1:נגוע | 2:להדביק
w1770	ingredients	מרכיבים	מרכיב	1:מרכיב
w1773	insanity	אי שפיות	שיגעון | טירוף	1:שיגעון | 2:טירוף
w1775	inspiring	נותן השראה	מעורר השראה	1:מעורר השראה
w1786	lack	מחסור	חוסר | לחסר	1:חוסר | 2:לחסר
w1789	lifetime	תקופת החיים, במשך החיים	חיים | משך חיים	1:חיים | 2:משך חיים
w1803	melt	להמיס	להימס | להמיס	1:להימס
w1804	minor	קטין; סולם מינור (במוזיקה); קטן, שולי	משני | קטין | זניח	1:משני | 3:זניח
w1806	moral	מוסר	מוסרי | מוסר השכל	1:מוסרי | 2:מוסר השכל
w1814	observe	להתבונן, להבחין	לצפות | לשמור | להעיר	1:לצפות | 2:לשמור | 3:להעיר
w1815	offend	להעליב	לפגוע | להעליב	1:לפגוע
w1823	oven	תנור בישול	תנור	1:תנור
w1825	pad	לרפד	פנקס | רפידה | לרפד	1:פנקס | 2:רפידה
w1850	provoke	להתגרות, להסית	לעורר | להתגרות	1:לעורר
w1855	rarely	לעיתים נדירות	לעתים רחוקות	1:לעתים רחוקות
w1857	razor	סכין גילוח	תער	1:תער
w1858	reasonable	הגיוני	סביר | הגיוני	1:סביר
w1862	recover	להתאושש	להחלים | להתאושש | לשחזר	1:להחלים | 3:לשחזר
w1867	relative	קרוב-משפחה; יחסי	קרוב משפחה | יחסי	1:קרוב משפחה
w1872	reserve	עתודה, מילואים; לשמור; שמורה	להזמין מראש | לשמור | רזרבה	1:להזמין מראש | 3:רזרבה
w1887	ruins	הריסות, עיי חורבות	חורבה	1:חורבה
w1889	sailor	ימאי	מלח	1:מלח
w1890	satellite	לווין	לוויין	1:לוויין
w1891	satisfaction	שביעות רצון	סיפוק | שביעות רצון	1:סיפוק
w1894	secure	להבטיח, לשמור, להגן	בטוח | לאבטח | להשיג	1:בטוח | 2:לאבטח | 3:להשיג
w1900	shelter	מקלט	מחסה | מקלט	1:מחסה
w1901	shiny	נוצץ, בוהק	מבריק | נוצץ	1:מבריק
w1902	shrink	לכווץ ,כיווץ	להתכווץ | פסיכיאטר	1:להתכווץ | 2:פסיכיאטר
w1913	stack	ערמה	ערימה | לערום	1:ערימה | 2:לערום
w1922	strict	נוקשה	קפדני | נוקשה	1:קפדני
w1923	stripes	פסים	פס | דרגה	1:פס | 2:דרגה
w1924	struggle	מאבק, מאמץ	להיאבק | מאבק	1:להיאבק
w1926	stunt	פעלול	תרגיל מסוכן | לעכב	1:תרגיל מסוכן | 2:לעכב
w1929	succeed	הצליח	להצליח | לרשת	1:להצליח | 2:לרשת
w1934	suspicious	חשוד (משהו)	חשדן | חשוד	1:חשדן
w1936	swing	לנדנד, נדנדה	להתנדנד | נדנדה	1:להתנדנד
w1941	toes	בהונות	אצבע רגל | בוהן	1:אצבע רגל | 2:בוהן
w1943	toward	אל, אל עבר	לכיוון | לעבר	1:לכיוון | 2:לעבר
w1944	traffic jam	פקק תנועה	פקק | פקק תנועה	1:פקק
w1946	trigger	הדק	לגרום | הדק | להפעיל	1:לגרום | 3:להפעיל
w1947	triggered	גרם, עורר, הוביל ל-	לגרום | להפעיל | לעורר	1:לגרום | 2:להפעיל | 3:לעורר
w1948	twist	סיבוך, סיבוב	לפתל | תפנית	1:לפתל | 2:תפנית
w1954	unlike	שלא כמו	בניגוד ל | שונה	1:בניגוד ל | 2:שונה
