k	term	gloss	blind	missing
w0826	block	חסימה; לבנה, גוש, חלק	לחסום | גוש	1:לחסום
w0828	border	גבול	גבול | לגבול	2:לגבול
w0830	brave	אמיץ	אמיץ | להתמודד	2:להתמודד
w0831	built	בנה, נבנה (עבר/בינוני פעול של build); בנוי, בנוי היטב	לבנות | חטוב	1:לבנות | 2:חטוב
w0833	capture	ללכוד	ללכוד | לצלם | לכידה	2:לצלם | 3:לכידה
w0835	carry	לסחוב	לשאת | לסחוב	1:לשאת
w0836	castle	טירה	טירה | מצודה	2:מצודה
w0837	cell	תא	תא | סוללה	2:סוללה
w0840	challenge	לאתגר; אתגר	אתגר | לאתגר | לערער	3:לערער
w0843	cheer	לעודד	לעודד | קריאת עידוד	2:קריאת עידוד
w0845	choice	בחירה	בחירה | ברירה	2:ברירה
w0848	coat	מעיל; שכבה (של צבע, בטון וכו')	מעיל | לצפות	2:לצפות
w0849	coin	מטבע	מטבע | לטבוע	2:לטבוע
w0852	combat	להילחם ב-, להיאבק ב-; קרב, לחימה	קרב | להילחם	2:להילחם
w0854	command	פקודה, לפקוד	פקודה | לצוות | שליטה	2:לצוות | 3:שליטה
w0859	complex	מסובך	מורכב | מתחם | קומפלקס	1:מורכב | 2:מתחם | 3:קומפלקס
w0863	conflict	עימות, סכסוך	סכסוך | להתנגש	2:להתנגש
w0864	content	תוכן; שביעות רצון	תוכן | מרוצה	2:מרוצה
w0865	core	ליבה	ליבה | מרכז	2:מרכז
w0867	cost	מחיר, עלות	עלות | לעלות	2:לעלות
w0869	court	מגרש (ספורט); בית משפט	בית משפט | חצר | לחזר	2:חצר | 3:לחזר
w0870	cover	לכסות; לסקר, לכלול; כיסוי, מכסה	לכסות | כיסוי | כריכה	3:כריכה
w0873	curious	סקרן	סקרן | מוזר	2:מוזר
w0874	currently	כרגע, נכון לעכשיו	כרגע | כעת	2:כעת
w0876	daily	יומיומי	יומי | מדי יום	1:יומי | 2:מדי יום
w0878	delay	עיכוב, לאחר, לדחות	עיכוב | לעכב	2:לעכב
w0879	delivery	משלוח	משלוח | לידה | מסירה	2:לידה | 3:מסירה
w0880	department	מחלקה	מחלקה | אגף	2:אגף
w0882	described	מתואר	לתאר	1:לתאר
w0884	deserve	מגיע (לו)	להיות ראוי	1:להיות ראוי
w0886	destiny	גורל	גורל | ייעוד	2:ייעוד
w0889	device	מכשיר	מכשיר | אמצעי | תחבולה	2:אמצעי | 3:תחבולה
w0891	disappear	להעלם	להיעלם	1:להיעלם
w0895	display	להציג	להציג | תצוגה	2:תצוגה
w0898	dump	לשפוך	לזרוק | מזבלה	1:לזרוק | 2:מזבלה
w0899	during	תוך כדי, במשך	במהלך | תוך כדי	1:במהלך
w0901	economy	כלכלה	כלכלה | חסכנות	2:חסכנות
w0903	education	השכלה	חינוך | השכלה	1:חינוך
w0916	except	מלבד, חוץ מ-	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
