q	src	key	verdict	unanimous	inOptions
117	adv7#8	disrupt	TOP3	interrupt	no
118	adv7#9	substitute	TOP1	substitute	yes
119	adv7#10	margin	TOP1	margin	yes
120	adv7#11	recruit	TOP1	recruit	yes
121	adv7#12	vanish	TOP1	vanish	yes
122	adv7#13	uncover	TOP1	uncover	yes
123	adv7#14	milestone	TOP1	milestone	yes
124	adv7#15	confront	TOP1	confront	yes
125	adv7#16	exclude	TOP1	exclude	yes
126	adv7#17	fierce	TOP1	fierce	yes
127	adv7#18	readiness	TOP1	readiness	yes
128	adv7#19	broaden	TOP3	expand	no
129	adv7#20	denial	TOP1	denial	yes
130	adv7#21	expertise	TOP1	expertise	yes
131	adv7#22	artifact	TOP3	artefact	no
132	adv7#23	terrain	TOP1	terrain	yes
133	adv7#24	supervise	TOP1	supervise	yes
134	adv7#25	frequent	TOP1	frequent	yes
135	adv7#26	conquer+govern	MISS	conquer+occupy	no
136	adv7#27	foresee+validate	MISS		no
137	adv8#1	persuade	TOP1		no
138	adv8#2	scarce	TOP1	scarce	yes
139	adv8#3	imply	TOP1	imply	yes
140	adv8#4	intact	TOP1	intact	yes
141	adv8#5	crucial	MISS	mandatory	no
142	adv8#6	mock	TOP3	ridicule	no
143	adv8#7	possess	TOP3	own	no
144	adv8#8	assumption	TOP1	assumption	yes
145	adv8#9	resemble	TOP1	resemble	yes
146	adv8#10	revenue	TOP3	income	no
147	adv8#11	inevitable	TOP1	inevitable	yes
148	adv8#12	contradiction	TOP1	contradiction	yes
149	adv8#13	density	TOP1	density	yes
150	adv8#14	prominent	MISS	eminent	no
151	adv8#15	treaty	TOP1	treaty	yes
152	adv8#16	perception	TOP1	perception	yes
153	adv8#17	numerous	TOP1	numerous	yes
154	adv8#18	magnitude	TOP1	magnitude	yes
155	adv8#19	manuscript	TOP1	manuscript	yes
156	adv8#20	habitat	TOP1	habitat	yes
157	adv8#21	cautious	TOP1	cautious	yes
158	adv8#22	compile	MISS	consolidate	no
159	adv8#23	bail	TOP1	bail	yes
160	adv8#24	pursue	TOP1	pursue	yes
161	adv8#25	straightforward	TOP3	clear	no
162	adv8#26	ancestor	TOP1	ancestor	yes
163	adv8#27	glance	TOP1	glance	yes
164	base4#1	vote	TOP1	vote	yes
165	base4#2	cheap	TOP1	cheap	yes
166	base4#3	weight	TOP1	weight	yes
167	base4#4	architect	TOP1	architect	yes
168	base4#5	nurse	TOP1	nurse	yes
169	base4#6	cow	TOP1	cow	yes
170	base4#7	river	TOP1	river	yes
171	base4#8	cheat	TOP1	cheat	yes
172	base4#9	receive	MISS	receives	no
173	base4#10	hidden	TOP1	hidden	yes
174	base4#11	theory	TOP1	theory	yes
175	base4#12	sunlight	TOP1	sunlight	yes
176	base4#13	wave	TOP1	wave	yes
177	base4#14	sold+bought	TOP1	sold+bought	yes
178	base4#15	edit	MISS		no
179	base4#16	harmony	TOP1	harmony	yes
180	base4#17	dilemma	TOP1	dilemma	yes
181	base4#18	panic	TOP1	panic	yes
182	base4#19	shield	TOP1	shield	yes
183	base4#20	genes	TOP1	genes	yes
184	base4#21	interview	TOP1	interview	yes
185	base4#22	rope	TOP1	rope	yes
186	base4#23	filter	TOP1	filter	yes
187	base4#24	container	TOP1	container	yes
188	base4#25	crime	TOP1	crime	yes
189	base4#26	clean	TOP3	wash	no
190	base4#27	salt	TOP1	salt	yes
191	base4#28	roof	TOP1	roof	yes
192	mid5#1	witness	TOP3		no
193	mid5#2	advice	TOP1	advice	yes
194	mid5#3	capture	TOP1	capture	yes
195	mid5#4	symptom	TOP1	symptom	yes
196	mid5#5	necessary	TOP3	required	no
197	mid5#6	surface	TOP1	surface	yes
198	mid5#7	recognize+cure	TOP3	diagnose+cure	no
199	mid5#8	punish	TOP1	punish	yes
200	mid5#9	minimize	MISS	reduce	no
201	mid5#10	audience	TOP1	audience	yes
202	mid5#11	narrow	TOP1	narrow	yes
203	mid5#12	translate	TOP1	translate	yes
204	mid5#13	storage	TOP1	storage	yes
205	mid5#14	crack	TOP1	crack	yes
206	mid5#15	century	TOP1	century	yes
207	mid5#16	cover+deliver	MISS	pack+deliver	no
208	mid5#17	proof	TOP1	proof	yes
209	mid5#18	ancient	TOP1	ancient	yes
210	mid5#19	insurance	TOP1	insurance	yes
211	mid5#20	plant+gather	MISS	sow+harvest	no
212	mid5#21	disadvantage	TOP3	drawback	no
213	mid5#22	resource	TOP1		no
214	mid5#23	nickname	TOP1	nickname	yes
215	mid5#24	earthquake	TOP1	earthquake	yes
216	mid5#25	instrument	TOP1	instrument	yes
217	mid5#26	legend	TOP1	legend	yes
218	mid5#27	arrest	TOP1	arrest	yes
219	mid5#28	beg	TOP1	beg	yes
220	mid6#1	temporary	TOP1	temporary	yes
221	mid6#2	urgent	TOP1	urgent	yes
222	mid6#3	reliable	TOP1	reliable	yes
223	mid6#4	justify	TOP1	justify	yes
224	mid6#5	eliminate	TOP1	eliminate	yes
225	mid6#6	verify	TOP1		no
226	mid6#7	extend	TOP1	extend	yes
227	mid6#8	guarantee	TOP1	guarantee	yes
228	mid6#9	demand	TOP1	demand	yes
229	mid6#10	stubborn	TOP1	stubborn	yes
230	mid6#11	suspicious	TOP1	suspicious	yes
231	mid6#12	insult	TOP1	insult	yes
232	mid6#13	defeat	TOP1	defeat	yes
233	mid6#14	attempt	TOP3		no
234	mid6#15	essential	TOP1	essential	yes
235	mid6#16	poisonous	TOP1	poisonous	yes
236	mid6#17	radiation	TOP1	radiation	yes
237	mid6#18	population	TOP1	population	yes
238	mid6#19	reputation	TOP1	reputation	yes
239	mid6#20	retirement	TOP1	retirement	yes
240	mid6#21	imagination	TOP3	originality	no
241	mid6#22	efficient	TOP1	efficient	yes
242	mid6#23	citizen	TOP1	citizen	yes
243	mid6#24	crisis	TOP1	crisis	yes
244	mid6#25	policy	TOP1	policy	yes
245	mid6#26	contain+transfer	MISS		no
246	mid6#27	weaken+repair	MISS		no
