unexplored	עמוק מתחת להרים יש מערות רבות שלא נחקרו.	לא נחקר, לא נבדק
unfamiliar	השפה הלא מוכרת הקשתה להזמין.	לא מוכר
unjust	העונש הלא צודק שהוטל על החפים מפשע הלם את כולם.	לא צודק
unorthodox	שיטות ההוראה הלא שגרתיות שלו בלבלו תלמידים רבים.	לא שגרתי, לא מקובל
coastline	קו החוף הסלעי השתרע לאורך קילומטרים רבים לאורך הים.	קו/רצועת חוף
cornerstone	עבודה קשה ומסירות הן אבני הפינה של כל קריירה מוצלחת.	אבן פינה
disapproving	המבט הלא מאשר שלה הראה שהיא לא מסכימה.	לא מאשר, לא מסכים, לא מרוצה
misbehave	הילד יתנהג בצורה לא הולמת אם לא תיתן לו תשומת לב.	להתנהג בצורה לא הולמת
occasionally	היא שותה קפה מדי פעם אבל בדרך כלל מעדיפה תה.	מידי פעם
predict	מדענים צופים מראש שהטמפרטורות יעלו בשנים הקרובות.	לצפות מראש
unaware	הוא לא היה מודע לכך שמישהו גנב את האופניים שלו.	לא מודע
unconventional	שיטות ההוראה הלא שיגרתיות שלו עניינו את התלמידים בדרכים חדשות ומרגשות.	לא שיגרתי
unholy	הברית הלא קדושה בין האויבים הלמה את כולם באזור.	לא קדוש, לא מוסרי
afford	הם לא יכלו לעמוד בהוצאה של קניית בית באזור היקר ההוא.	יכול לעמוד בהוצאות, להרשות לעצמו
ancestor	אבי הקדמון הגיע למדינה הזו לפני יותר ממאה שנה.	אב קדמון
cripple	הפציעה הקשה תטיל בו מום למשך חודשים.	להטיל מום
fundraiser	בית הספר ארגן אירוע לגיוס כספים כדי לאסוף כסף לתוכנית המוזיקה באביב הזה.	מגייס כספים
halve	אם תחלק את המתכון לשניים, תצטרך רק שתי ביצים במקום ארבע.	לחלק לשניים, להקטין בחצי
hibernate	בעלי חיים רבים ישנים שנת חורף בחודשי החורף כשהמזון נהיה נדיר והקור מתעצם.	לישון שנת חורף
irresistible	הריח של הלחם הטרי היה כזה שממש אי אפשר היה לעמוד בפניו.	שלא ניתן לעמוד בפניו
medieval	הטירה מימי הביניים עמדה על הגבעה במשך מאות שנים.	מתקופת ימי הביניים
premature	הלידה המוקדמת מדי של התינוקת גרמה לכך שהיא נזקקה לטיפול נוסף בבית החולים.	מוקדם מדי
durable	הנעליים העמידות האלה יחזיקו מעמד שנים רבות בטיפול נכון.	עמיד, בר-קיימא, מחזיק מעמד
incomprehensible	הטקסט האקדמי הצפוף היה בלתי מובן לי לחלוטין.	לא מובן
mere	הוא התייחס לחששותיה כאל לא יותר מהגזמה, וסירב לחלוטין להקשיב.	רק, לא יותר מ-
proclaim	מנהל בית הספר יכריז בפומבי על יום שישי כיום מיוחד למשחקי חוץ.	להכריז בפומבי
verse	הוא דקלם את הבית הראשון בשיר בצורה יפהפייה.	בית בשיר; שירה
accomplices	שני השותפים לעבירה נעצרו על ידי המשטרה.	שותף לדבר עבירה
antler	הקרניים המסועפות של הצבי הצעיר היו מכוסות קטיפה.	קרן מסועפת של אייל/צבי
arable	האדמה המתאימה לעיבוד הייתה מושלמת לגידול יבולים.	מתאים לעיבוד
commends	המורה מציינת לשבח תלמידים שמשלימים את שיעורי הבית שלהם בקפידה.	לציין לשבח
compulsory	חינוך גופני הוא חובה עבור כל תלמידי התיכון.	מהווה חובה
culminate	הפסטיבל יגיע לשיאו בתצוגת זיקוקים מרהיבה.	הגיע לשיא
embark	הם יצאו לדרך במסע הרפתקאות במדבר עם גמלים וציוד.	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס
frivolous	הוא בזבז כסף על רכישות קלות דעת כמו כריות נוי מיותרות.	קל דעת, לא רציני; חסר חשיבות
heed	כדאי שתשים לב לאזהרת מזג האוויר ותישאר בבית בבטחה.	לשים לב
icicle	נטיפי קרח ארוכים נתלו מהגג לאחר שירד גשם קפוא.	נטיף קרח
insurmountable	הבעיה נראתה כאילו אי אפשר להתגבר עליה, עד שהצוות עבד יחד.	שאין להתגבר עליו
obscure	הלהקה הלא ידועה הזאת מנגנת רק במועדונים מקומיים קטנים.	סתום, לא ידוע; לטשטש
outspoken	היא דיברה בגלוי על אי ההסכמה שלה עם המדיניות.	מדבר גלויות, ישיר
proliferate	סיפורים מזויפים מתפשטים במהירות ברשתות החברתיות בלי בדיקת עובדות.	התפשט במהירות
resent	היא חשה טינה על כך שהוא מעולם לא עזר במטלות הבית.	לחוש טינה, להתרעם על
rotary	החוגה הסיבובית בטלפון הישן הייתה איטית לשימוש.	נע על ציר סיבובי
spewing	הר הגעש פלט לבה בעוצמה על הכפרים הסמוכים.	פולט/מתיז בעוצמה, מקיא
