k	a	b
ce4277439613	ריגשו	לרגש | לעורר
e8a2451614fc	הבלעדי	בלעדי
26dac91f407f	בחומרי נפץ	חומר נפץ
274de7dd670d	מייצאת	ייצוא
dee1eb7059c4	חיצוניים	חיצוני
41c82ff646d7	הפיה	פיה
454cda136ede	האגדה	אגדה
d24ccc48baee	המוכר	מוכר
083322d9c133	הקטלנית	קטלני | ממית | הרה-אסון | גורלי
d23d0669b331	גורלם	גורל | חרץ גורל
a4dbca6a28f8	ספרות בדיונית	בדיון | לא אמיתי
221b971a5200	יוצרת הסרטים	יוצר סרטים
45d2ad797c30	הגמישה	גמיש
3595fde7abb8	הפולקלור	פולקלור
7e8dfd3d6c89	במזלג	מזלג
31903d19c57b	רשמית	רשמי
8599a308ff27	במזל	מזל | עושר
893da5edba60	התסכול	תסכול
a5cbcea7fbe0	בסיסיים	בסיסי פונדמנטלי
070180872ae9	מייצרות	לייצר | להפיק | ליצור
b39cfbe1b54e	הז אנר	ז אנר | סוגה
8d7abac30c5b	בהינתן	נתון
e7eb040435f6	דקדוקית	דקדוקי
804592c1a2b8	המרשים	גדול | כולל | מרשים
f6b86e5df1c5	התמודדה	להתמודד
9e84456061ad	הדופק	דופק | פעימות לב
7aa01dd58cd1	ההיסטוריון	היסטוריון
a98182fa9221	תדחיק	לעכב | למנוע
6bd6ec9dcb65	הצופר	צופר | קרן של בע ח
a4dc2a2ab8d3	ההומוריסטיות	מצחיק | הומוריסטי
ea15f2c4d51d	היברידית	כלאיים | היברידי
4a5651c247c5	מהקרחון	קרחון
32900ac680d2	החשיבות	חשיבות
7ef5b0587eec	ישפר	לשפר
7ec8dee939de	התמים	תמים | חף מפשע
35f62e5a24f3	יעורר השראה	לעורר השראה
2450cd7903a9	מתקשרים	ליצור אינטראקציה | לתקשר | להשפיע הדדית
5bc7cb0a12a5	ההקדמה	הקדמה | מבוא | היכרות
6c7972de619a	במעבדה	מעבדה
4e30663cbf15	האגדה	אגדה | מקרא מפה
2fe40f0c016a	מעמיסים	להעמיס
5890237175b7	ההיגיון	הגיון
eeea98ed54b6	צועדים	לצעוד
e671dafb61f1	השיווק	שיווק | לשווק
42fbf7bc7caf	החבר	בן זוג | חבר | להזדווג
88cef83a48c7	שים לב	לשים לב | לשמור | שכל | אכפת
8da27bb64e7d	הטילים	טיל
e23201bf3dc2	האנדרטה	אנדרטה
fdc186d30080	מדרבנים	לדרבן
7e636f7dbf86	מפסגת	פסגת הר
90bcebd3b03b	הצר	צר
012bd6434ff0	הכינוי	כינוי
2efde8e5ae2e	המספרי	מספרי
ce72e0bfeef2	האגוז	אגוז
55c5eb817ff8	הזית	זית
c828f42381ea	לניתוח	ניתוח | מבצע | פעולה
e8d4e8b77f77	הכוללת	כולל | באופן כללי
cbc5688a5ee8	הצייר	צייר
3513b5590a29	המפלגה	מפלגה | מסיבה
43b5caef4cc7	הפתולוגיה	פתולוגיה | ענף ברפואה
6c5b2e4217ef	עונשין	עונש | קנס
00f3d418f4c5	מינתה	להציב | למנות | עמדה | משרה | תפקיד | עמוד | לפרסם | פרסום | לשלוח בדואר | דואר
bd4e7baa4eec	ההריון	הריון
0ac046828dc6	ההכנות לקראת	הכנות לקראת
e83d76301037	נוכחותה	נוכחות
ebb6fff0deea	מעמידים פנים	להעמיד פנים
e53106d81450	לפני כן	הקודם | לפני-כן
f7761e7c26f7	הכומר	כומר
ac10f383fc4d	העיקרית	ראשוני | עיקרי | מובחר
c4a10819d713	קדומים	קדום | חסר תרבות
58fec7997ca9	הוכיח	להוכיח
c55d7faacd41	פרסמה	לפרסם | להוציא לאור
2b90290e3291	קניתי	לקנות | לרכוש
5c5fedb95892	די	למדי
b77a03c17b2f	בציטוט	ציטוט
8b31a14a7daa	למרוץ	מרוץ | גזע
e2b48fe10775	ירידת הגשמים	ירידת גשמים
45ecdad770e4	בדרגת	דרגה
52048a09c567	מהירים	מהיר | אשד | זרם מים מהיר בנהר
