k	a	b
7c8fa980780c	בבוז	זלזול | בוז
c8dde93c575b	שלט	להתמחות | לשלוט | אדון | שליט
adc23a0872ec	בעוני	עוני
afdc0050db00	הניחה	מונח
421dc9de3790	המשוננים	משונן
92a2acfbc32d	המחקר	מחקר | חדר עבודה
6a460f5b1cfc	המורשת	מורשת
f5783fc384bb	נמתין	להמתין
b8bdf09db460	חוקרים	לחקור | ללמוד
48954bf7a699	כיסה	לכסות | לסקר | לכלול | כיסוי | מכסה
57e0450950f2	הביעה	להביע | רהוט
8ade8a567d98	ההתנגדות	התנגדות
521015e744c1	ההערה	הערה | הפרעה לשיחה
1f98d8df8ae3	הצייד	מסיג גבול | צייד לא מורשה
f7a367f48bf2	מתחברים	לחבר
e1d8b8f9b18e	אבי הקדמון	אב קדמון
9b6cc5018042	קילף	פשט עור
ec6c0889dfe6	התאמצה	להתאמץ | להפעיל
cbc4797d925f	הגאון	גאון
53176120048f	הפרח	פרח
0dbb5365ea48	בוקעות	לבקוע מביצה | פתח | צוהר
c86ee176ee92	פסק הדין	פסק דין | פסיקה
044714c4762d	הפולשני	פולשני | חודרני
f7b645e10c02	הזעם	זעם
49090fa98281	העשיר	עשיר
6382fe4654fb	לרב מכר	רב-מכר
4ba0afcd32a4	להשתמש	השתמש
532283e66cfc	מהסוג	סוג | טוב לב | אדיב | נעים
9ad727b98702	יומיומיים	אגבי | רגיל | יומיומי
8019ab7285b3	ברשותו	בעלות | חזקה
efa7f636e615	מגוריה	מגורים
03b23ae90354	השגשוג	צמיחה | שגשוג
2a1f52a130a7	בית הקברות	בית קברות
b545eec9461c	במקביל	מקביל
d907dc7caf18	קישטו	לקשט
18fd5706ae18	האומנים	אומן | בעל מלאכה
5ffa585b23e3	ההתנהגות	התנהגות
6b9bef5a426d	בפרס	פרס | להעניק פרס
f5eccb591859	התיאור	תיאור
a6a61dbaa79f	הבלתי נשכח	בלתי נשכח
0b826813ba16	המתאם	מתאם
040b1ffbcd5d	הלקוח	לקוח | צרכן
3e5d9eb6517f	התגובה	תגובה
7b68b407a782	נוסדה	לייסד
49eb6defcd3d	המודעה	מודעה | פרסום
def7616575ed	ירשום	לרשום מרשם
01b960a04eaf	עכשווית	עכשווי | מודרני | בן-זמנו | בן-תקופה
fd33f06dac2a	העור	עור
02dafdfd03d3	זמנית	זמני
67254d4690c9	הקול	קול | להשמיע קול
cfcde8a02611	באמצע	אמצע
99b43177d970	הדמוגרפיים	דמוגרפי
aeb078e51fd0	האירוע	אירוע
125ecfa226bc	המשגשג	משגשג | מצליח
e87e83c11c56	מאפשרת	לאפשר
a130a3c6a6ef	לבחינה	בחינה | בדיקה
03f23509b213	המסע	מסע
14e0f02b1f64	שתשקול	לקחת בחשבון | לשקול
e7a142212cf2	תבדוק	לבדוק
a14ab52fcc17	נהנים	ליהנות
719143676b5a	הקישור	קישור | לקשר | חוליה
3b79f4352d40	מאלצים	לאלץ | לחייב
b6fa21c57d85	חופפים	חופף
dfc452eb2d4c	האצילי	אציל | אצילי
8a7c60dc7b1d	גנטיות	תורשתי | גנטי
5aea0acf7efa	גרגר יער	גרגרי יער
65cafa41aeba	כל אחת	שייך בהתאמה
54766d610654	נוטים	נוטה
e20132a1a972	האחו	מרעה | אחו
857c9fe93fda	היוצר	יוצר
1b9747805e99	ביקש	בקשה | לבקש
8cb041141e4c	האישיות	אישיות
8579428ba6c0	המבצע	מבצע | מציג
42cc1a419660	אמצעים	אמצעי | למדוד
e3c6c632c437	תעצים	להעצים
b62c6a5d7891	המסדרון	מסדרון | היכל
03da0c901441	מסייעת	לסייע | לעזור | להקל
1eba9b110aaf	חרט	לחרוט
9bf10d0b3a28	מחלקת	מחלקה
68f8283bd6d9	הילדים	ילדים
f40c47a0b369	העיתונאי	עיתונאי
7d6ee1d805c8	מהמעי	מעי
58965d712382	מרתקים	לרתק
056ef790c7fb	המחסור	מחסור
4722fe2f32f0	התרבות	תרבות
55541d07de8f	במחלקת	מחלקה
813765afc481	היעד	יעד
74c30430f4f5	המחויבות	התחייבות | אירוסין
4c5be0dddad5	באולם הספורט	אולם ספורט
b333d0f0bf63	דאה	להמריא
f324a42e7005	הקהל	קהל
00ad859fcd89	מסר	למסור | להעביר
db968e974590	חיוניים	חיוני
3afddc11cea4	הזקן	זקן
fbc6c9abed82	מיותרים	לא הכרחי
c445d5153cce	קו החוף	קו/רצועת חוף
67490fb4718e	לצום	צום | מהיר
10ecbb5322fd	האקולוגי	אקולוגי
f4d81e9c08a4	יומיומית	יומיומי
e21874c080f9	הדור	דור
f992a742ec78	קדומים	קדום | עתיק
cb3da39bf39b	הספורטאי	ספורטאי | אתלט
446a5572737d	אורגניים	אורגני
d428e5534d9e	העבריין	עבריין | מזניח חובה | בפיגור בתשלום
3ae2888aea90	הציפיות	ציפיות
298e4d4aa65c	משקלו	משקל
6bc97aad49dc	צופים	לצפות
13000eb70eb2	הבקר	בקר
d09f007db160	מוכת	מוכה
0cd28a7fed08	ידקור	לדקור
6153e2e9a1e6	לעמוד בהוצאה	יכול לעמוד בהוצאות | להרשות לעצמו
fc4f8f833cb8	הווידוי	וידוי
ebad962961ee	מייבאת	לייבא
dc4b592b2fab	ההפצה	הפצה | תפוצת מידע
83cfec6b496e	התקשורת	מדיה | תקשורת
2c909b1cca0e	הבסיסי	יסודי | בסיסי
4bc302e8d25d	העניין	עניין | ריבית
a8f8a9e6143f	הקרניים המסועפות	קרן מסועפת של אייל/צבי
19e884ae943d	במשמרת	משמרת | להזיז
b88ce0d98eea	המסעדה	מסעדה
1e1982261ccc	שלא נחקרו	לא נחקר | לא נבדק
53f60f3d8e1a	הרזה	רזה
5bec8b24742c	התעוור	עיוור
f67dbf64dc16	בצומת	צומת | הצטלבות
