k	a	b
00a0666e3cd4	מהקוגניציה	קוגניציה | הכרה
c25bb0e80de7	הקולוניאלית	קולוניאלי
a025a73dd5cf	הוועדה	ועדה
083fff21c6b8	תואמות	תואם | מתיישב עם | מתאים זה לזה
0d1e920e679a	הדאגה	דאגה | עניין
742cd6967218	המסקנה	מסקנה
e77ce629f9a7	יבנו	לבנות
61cdbe3b7c9f	בתחרות	תחרות | לערער על | לחלוק על | להתמודד על
decfd71a40fa	מנחושת	נחושת
3347c5bbb552	מתואמים	לתאם | לקשר
8d1436421fa9	מועצת	מועצה
4d599f927e94	הביקורת	ביקורת
e3732b302f46	בצומת	צומת
8db2f15c1ad1	לבישול	קולינרי | של בישול
5af6e05d4c7c	חלמה בהקיץ	לחלום בהקיץ
9cee76914266	חובה	חוב
766d82ede081	תכריז	להכריז
7e74bea2178c	נקשט	לקשט
4bbf484aaa9e	ירדו	ירידה | הפחתה | להפחית | לצמצם
3390671c46e4	המסורה	מסור | מוקדש ל-
6df719948296	העדין	עדין
8819501605d1	חנות הכלבו	חנות כלבו
da36d5dc8fb1	המדבר	מדבר | לנטוש
89fd69e2e18b	יקבעו	לקבוע
4f912d9f0525	נבדלות	להיבדל | לחלוק
bbeef7654804	לאי-נוחות	אי-נוחות
4715ca087ce6	הלא נאמנים	לא נאמן
d98e08994704	הביתית	ביתי | מקומי | פנים-ארצי | מבוית חיה
c4a1f649c56a	הגיוס	גיוס | טיוטה | משיכה | רוח פרצים
70c811fc6c41	שכפל	לשכפל
bf9c36182980	המוזר	מוזר | אקסצנטרי
4b315e86ed15	מחנכים	לחנך
6b453d50964d	נתקלתי	להיתקל ב- | לפגוש | מפגש | היתקלות
5e67de42f862	מסכנת	לסכן
259305eb8012	עצומה	עצום
0c8a0981e078	מבטיחות	להבטיח
efc9a1a56aa9	נלהבת	נלהב
89c0839b2905	זכאים	זכאי
0872642b2297	למעטפה	מעטפה
f052c37338b0	צייד	לצייד
47cfce706ea4	במחק	מחק
10a812a2bbe0	התפתחותיים	התפתחותי
d80086863130	חשף	לחשוף | להעמיד בפני
297bee582913	מתקנים	מתקן
a74f74d8dde5	דוהים	לדהות | לדעוך
a4f5e0159e88	לתהילה	תהילה | פרסום
8208506562da	העדיפה	מחבב | מגונדר
e4ccdec27a9b	הלקויים	לקוי | לא תקין
94f23265a8fe	המועדפת	מועדף
