k	a	b
d0f6f9b20177	בטקט	טקט
e80a207a49e2	יתרחש	התרחש
b58c3399d614	לימדה	ללמד | לימד
d36af3bf7cc8	במונחים	מונחים | תנאים
288bdc981de9	המרקם	מרקם | טקסטורה
ba898515fd3f	ולכן	לכן
820ce6110922	הדוקות	הדוק | לחוץ | צמוד
e746dfc5c317	ציר הזמן	ציר זמן
89d51f4305db	סוחרות	להחליף | לסחור | מסחר
810cdc7eda82	לטראנס	טראנס | מצב היפנוטי
27edde267f33	יהפוך	לשנות צורה
71e75d79b5bf	המתרגם	מתרגם
fa4d5013c65a	מתייחסים	להתייחס | פינוק | ממתק | לפנק
5a90e68f41e5	טרופיות	טרופי
9c8366e43c75	היקום	יקום
289e7aadde15	הבלתי רשמי	בלתי רשמי
2e4f10ad77ab	לא מציאותית	לא מציאותי
738c6c38f7b5	לא רצויים	לא רצוי
ca0793a99190	העמק	עמק
bed58e88b1bb	המילולי	ורבלי | מילולי
d859d724cd4b	הוותיק	ותיק | חייל משוחרר | יוצא צבא
0b05eab42dc2	דעתי	דעה | השקפה | נוף | מראה | שדה ראייה | לראות | לצפות | להתייחס ל-
0d9be72a7b3c	הנבל	רשע | נבל
8af2d350e9f6	העגלה	עגלה
16120f9b2f13	תבזבז	בזבוז | לבזבז | הפסולת
639f869f0524	המפל	מפל
33d98b9106a7	יחליש	להחליש
491df98a3ac4	לווייתן	לוויתן
2a48b700b325	לא משנה לאן	בכל מקום | לא משנה היכן
04b6b4eef646	תוהה	לתהות | להטיל ספק | פלא
7aa7fe778059	ביער	יער
197ae8618d69	בחו ל	חו ל
261dfa5cabd0	נעדר	חסר | לא נוכח
efdbd24b7344	מקובלת	מקובל
dc4c30744ac6	השיגה	להשיג
c5502f1abd72	הפעל	להפעיל
4b6a4a3483a0	עיבד	להתאים | לעבד | להסתגל
5661313f99c1	בנוסף	תוספת | הוספה
31eafab62ed7	ישפיע	להשפיע
81f3759a235d	ולאחר מכן	לאחר מכן
ca9d1b534f09	יציק	להציק
259c7aebd9a5	מיישמים	ליישם | להחיל | לחול על | להגיש בקשה | לפנות
4d68fe7d2f89	יאשר	לאשר
695a738966ff	סידרה	לסדר
71851c5de31b	מלאכותיים	מלאכותי
bee9cf443285	חיברה	לחבר | לייחס
95de237fcafc	משכה	למשוך
c11f9b94f42c	המשיכה	משיכה
61d5e81c88a5	המגושמות	מגושם | מוזר | מביך
79c5bba1d448	המטען	מטען | מזוודה
07eefb7fb129	האופה	אופה
5e1bab35ec70	אסרה	חרם | איסור
1309739628cb	הבס	בס במוזיקה
04925b36f0ee	לידי	ליד
29573a585e33	הלהב	להב
6a63956349e5	הריק	ריק | רווח
bc06e94ca4d1	תמריץ	דחף | המריץ
af0390768563	שיעמם	לשעמם | שעמום | לקדוח חור
a3b5ff4b6d05	קפץ	לקפץ | ניתור
827811df7f33	מלבנים	לבנה
94bf8202102a	מתקצבת	תקציב | לתקצב
eb6abab5fc88	הבריון	בריון
c34d515c8bc8	קברו	לקבור
a8f3e601fb64	בבקתה	בקתה
a4d18466fa16	הכלוב	כלוב | לכלוא
2ae8423fe2b3	הקופאי	קופאי
17fe14915b69	הקתדרלה	קתדרלה
7b476f517e83	לצדקה	צדקה
84304fd4f233	הקסם	קסם
b7432f529dd2	עליזה	עליז | שמח
b3130bca4d24	הצוק	צוק
41abd55b886a	האקלים	אקלים
c8e8918d65b3	בטורים	טור | עמוד
e5dc6e806dd0	המסחרי	מסחרי | סרטון פרסומת
9bbba49cf0ba	ביצע	ביצוע/ לבצע | להתחייב
3d0afa909ae0	התלוננה	להתלונן
1e5e91b07c27	התרכז	להתרכז
da9fd83300d5	בטוחה בעצמה	בטוח בעצמו
0d09b4ff2f7c	שמרנית	שמרני
aeaabcc05d7c	הקשר	קשר | מזימה
8c127701b804	הקבוע	קבוע | רצוף
d45914423178	התייעצה	להתייעץ
88bc620461ab	הכילה	להכיל | מכיל
c610b0f42e36	כיבשת	יבשת
6f0b5fc559c1	המיר	להמיר | מומר
16faf86636d7	שיתוף הפעולה	שיתוף פעולה
bbf6c3b085f3	המושחת	להשחית | מושחת
8db4c85146f1	הכתר	כתר | להכתיר
8c3f243d01c8	הכת	כת
58d5c0d5398f	הסקרנות	סקרנות
9d7117439646	הווילון	וילון
5bc4a0ca4093	פנייה	עקומה | פניה
e80e1288417f	הביסו	להביס | לנצח | תבוסה | הבסה
d546ef117806	שהובסה	הובס
da80f73c0df2	הגדר	להגדיר
325db1322b3a	מעלות	מעלה מדידה | תואר אקדמי | דרגה | מידה | במידה מסוימת
c3ac47a75465	דורשת	לדרוש | דרישה
996ffd45d8c3	השיניים	שקשור בשיניים
2399902b2ffb	רופא השיניים	רופא שיניים
e4a7df3d9d6d	הכחיש	לסרב | להכחיש
198f35cbf9fd	תעזוב	לעזוב
622613d478d1	הרסניות	הרסני
9c1cc65c9c98	ביומן	יומן
4b1875535832	תאכזב	לאכזב
fdfd13e80699	המרוחקים	מרוחק
07a9e50ef262	אזור	מחוז
22fefd1df5e0	ההולנדי	הולנדי
f7dfdfc8530f	תקל	להקל | קלות
1659b80535ff	יעילה	יעיל
5c65dba33bf4	מעסיק	להעסיק | להשתמש ב- | לנקוט
af0584e7cce2	המעסיק	מעסיק | מעביד
fdce97ec6c9a	מעודדים	לעודד
9c9cb20998ee	העידן	עידן
84abd7f3c143	חיוניים	חיוני
31698a936df9	התפתחו	התפתח
6112cfa4c788	יוציא את התוכנית לפועל	להוציא לפועל | להוציא להורג
aef6c8136067	קיומם	קיום
2cedf1c752f2	הרחבת	הרחבה | התרחבות | התפשטות
56b39accec93	הוצאה	הוצאות
104d9154fca2	המהירה	מהיר | לבטא
96855a9a030a	הביטוי	ביטוי
1d8a94620947	ההארכה	הארכה | הרחבה | תוספת מבנה | שלוחה טלפון
dcec9e626525	הפנים	שקשור בפנים
3f30872d5af2	מציג	להציג | סרט באורך מלא | תכונה | מאפיין
84e1db1f5a18	הנשי	נשי
c0416182e0c3	הדייג	דייג
f356c798360f	לשיטפון	שיטפון
f6e99b4a49f1	אוסרים	לאסור
543296a64749	המפחיד	מפחיד
fab911eb7c08	לצבור	להרוויח | להוסיף
993c0c54bfee	יתאספו	אסף
61585284f7e3	הנכדה	נכדה
3f58179ba7fe	תבטיח	להבטיח | ערבות
0c5757819527	לטיול	הליכה | טיול
c56186b4624c	למולדתה	מולדת
cf3056315c61	המחלה	מחלה
15d0725f1dc9	בדמיון	דמיון
0e973c416e20	חסר הסבלנות	חסר סבלנות
05cd95e66f79	המאסר	מאסר | כליאה
ea9794288b8e	ההכנסה	הכנסה
0f4512f1ec24	תעשיית	תעשייה
741ae0212115	שהודבק	הודבק
3d5d7a68407b	ראשי התיבות	ראשי תיבות | התחלתי | ראשוני
b932a7c283cb	אי השפיות	אי שפיות
82ee3875be30	במכון	מוסד | מכון | לכונן
2560d025d743	הכוונה	כוונה
2902d0683509	פנימיים	פנימי
9e8dc66d961a	תפריע	להפריע
32dee498557d	המציא	להמציא
e218a52dcbbb	ההשקעה	השקעה
7df946d04f9f	מבודדים	לבודד
b5182a1f7a9e	עמלה	להתאמץ | עבודה | עמל | לעמול
54b347c265f5	הצולע	צולע
4e1300b8687b	כל חייה	תקופת החיים | במשך החיים
fcc52eb069f2	הכבד	כבד
ea1ec3e70f94	לבדידות	בדידות
76238d802d29	בריאות	ריאה
4d863a7547a2	הים התיכון	ים תיכוני
3632ff571f73	נמסה	להמיס
5ce65d0064bd	המוסר	מוסר
