k	a	b
e345b74fdd4d	מיוחדת	מיוחד
f6b9e343697b	מבזבז	לבזבז | לפזר | לבלות | להעביר
062c9596ff93	עמוד	לעמוד
9350884b3be9	בכוכב	כוכב | לככב
7092be2147a9	נתחיל	להתחיל
15b71baacc13	לתחנה	תחנה | להציב
64fcebb7ccbd	בחנות	חנות | לאחסן
35e080656f82	המוזרה	מוזר
6b9793acbe17	חזקות	חזק
e364003fb473	בסטודיו	סטודיו
323d43b4953b	טיפשי	טיפש
5040c8c69540	הקיץ	קיץ
3c4a6a5bbd92	המפתיע	הפתעה
71b20b2249c0	המתוק	מתוק | ממתק
daf6a22096bf	המערכת	מערכת | שיטה
5ae78c296416	הצוות	צוות
ce116458eaf2	שתודה	תודה | להודות
03ea0ac384c9	בתיאטרון	תיאטרון | בית קולנוע
a45f2373117c	ואז	אז
aa7b9cfc8fe7	מאלף	אלף
17f523709f80	שעה	זמן
2bc4ce5c2dae	תיגע	מגע | לגעת
dab7d45a284f	בוטחת	אמון | לבטוח
9222919d1973	האמת	אמת
08d9967b8480	שלפני	לפנות | סיבוב
bedc44542690	מבין	להבין
ab810a7ecd37	בדרך כלל	בדרך-כלל
4e3de89caa66	בכפר	כפר
c885525bb23a	נבקר	לבקר
af81e24ca822	לחכות	להמתין | המתנה
908ad1ff2b48	הקיר	קיר
f38bc7983070	רוצה	לרצות
972b3a55ef68	המלחמה	מלחמה
f6019b1eb43c	תסתכל	להסתכל | להשגיח | שעון
ebd7f1b3d93b	הדרך	דרך
15b55fbc410a	בסוף השבוע	סוף שבוע
363b8b11466f	במערב	מערב
21a23e448894	באיזו	מה | איזה
