k	a	b
6e8c005f0ea4	האדירה	אדיר | מאיים
629c93c9e5d0	זנח	לזנוח
7ddf70a9f391	האחוותי	אחוותי | של אחים
e5b648a5a9e5	קלות דעת	קל דעת | לא רציני | חסר חשיבות
f603030ceb13	החסכנית	חסכני
7fb75e09aeef	רהטה	לרהט
77a1804410be	חסרי תוחלת	חסר תוחלת | נטול סיכוי
837753240c0d	מד	למדוד | להעריך | מידה
ac3039ef3e65	הידידותית	ידידותי
49c23bfb8121	לסוג	סוג | מין
8b789dcc112b	בלוטת	בלוטה
a7d2efea96b3	סיפקה	לספק | להשביע רצון | לענג
b95dfcd454c0	תלונה	טרוניה | התמרמרות
20e717aee631	החצץ	גרגרי חול | חצץ | לכלוך | נחישות | אומץ לב
bfd2d02dfadd	שיבחו	לשבח | ברד
5384e4c0258b	שתשים לב	לשים לב
4f9165787d16	בישר	לבשר | מבשר
830832dcded7	ככפירה	כפירה
4fbaba0ef0f5	מעכב	לעכב
d0a6f22b7de7	נטיפי קרח	נטיף קרח
8596c3b90c83	הטבילה	טבילה | שיקוע במים | שקיעה מוחלטת | מעורבות עמוקה בנושא
b80ee1f9440f	מקנים	להעביר | להקנות
9dbfd43584a7	מסבכות	לסבך | לערב
f165d026da93	הפצירה	להתחנן | להפציר
33f422a02fad	התדירות	כמות | הקרות משהו שקורה
2846a0a6489a	השיפוע	שיפוע | מדרון | לנטות | להטות
29f8fc543a74	לא בולטים	לא בולט | לא מושך תשומת לב
863744ef4964	החרוצה	חרוץ | שקדן
8ec564e99907	בינקותה	ינקות
36e20d694c17	עבירת	עבירה
778453ca2343	גרות	לגור ב- | לשכון ב- | לאכלס
61db7a26818c	טבועה	טבוע | מובנה
f30a2533c094	משרישים	להחדיר | להשריש
61d95660f9f4	אי אפשר להתגבר עליה	שאין להתגבר עליו
3d9aa7969e32	ההתקוממות	התקוממות
df4e92b4ebea	הנצחי	נצחי
854dee5f41a1	חסר חוליות	חסר-חוליות
ebf9afc24dc6	אבן המפתח	אבן מפתח
7fa7dda80a96	חסר הברק	חסר ברק | עמום | לא מרשים
6c074a8cd3a7	המצער	מצער | מעציב
cb60e0b64826	רגע של שכחה	מעידה | פליטת פה | פרק זמן | פקיעה | סיום
d01e8f67aa71	ישבח	לשבח | להלל
4cccc00bc7c5	גמישים	גמיש
b20ad0d1d5d2	שושלתו	ייחוס | שושלת
bd99fd2f20be	מתעבים	לתעב
d9a62912a53e	הרווחית	ריווחי
618bfac51665	יתווך	לגשר | לתווך
00002f368e78	הקודרת	קודר | עגמומי
ba68fff31d2f	רבות	רב | הרבה
f2a5c9d13fa2	זניחה	זניח
31dd5745706d	ליליות	לילי
1af8d973d5b1	יזין	להזין | לספק מזון | לטפח
5bf9bd36b8b7	המונה	מונה של שבר
e46dd0bec9ea	הלא ידועה	סתום | לא ידוע | לטשטש
a94bd0829e39	יערוך	לכהן | לערוך
3e8c9e0055f6	ההשמטה	השמטה | הזנחה
5d2c527a9c95	האכזרי	אכזרי | מדכא | מעיק
76aab1d96907	דיברה בגלוי	מדבר גלויות | ישיר
eeabcfb69d46	לשפץ	שיפוץ | אוברול
a69c2cd99389	בעלת חשיבות עליונה	בעל חשיבות עליונה
b20f1a40ac4e	התחביב	תחביב | בילוי | עיסוק לשעות הפנאי
798423b5ddd7	הרוכל	רוכל | סוחר
49f32af0c940	מקום לנוח עליו	ענף | נח | ישב על ענף
a468d2a39905	המתפשטת	מתפשט | מחלחל
fae3ad471635	המחזאית	מחזאי
0180fd8566ba	במצוקה	צרה | סכנה
58e9dd08974d	צנחו	לצנוח | לצלול | לרדת בחדות
f7c18cc7928f	מאוכלסת בצפיפות	מאוכלס בצפיפות
053a8f53e24b	הבור	מהמורה | בור
312b58e0e664	קודמיה	קודמים
2d20691d3473	ינהל	לנהל
6a4b09ee431a	כאמתלה	אמתלה | תואנה
e7a76d3376e8	השכיחות	שכיחות
100e72fd73ef	מתפשטים במהירות	התפשט במהירות
f720fa42e475	הפורה	פורה | שופע
deb68a0aa378	גרמו	לגרום | לעורר | מיידי
a7722c06c09c	הביאה לידי	הביא לידי
8ee862498209	להחזיק	תמיכה | אביזר | לתמוך
0f1cb2d7e3dd	המיומנות	מיומנות | יכולת
90d225e6a401	הוכחני	וכחני
7069d3c125ef	ההרגעה	הבטחה | הרגעה
255475a1b290	ההפרכה	הפרכה | סתירה
a85d2521296b	ההדדית	הדדי | במתמטיקה מספר הופכי
2d1446eaa1eb	הפריך	להפריך
4fff2cbc4ef2	הפכה	להפוך ל- | לגרום | להגיש
00e93846473b	התהילה	תהילה | פרסום | מוניטין
4ea9cbd9aa27	חשה טינה	לחוש טינה | להתרעם על
4dd79fce84cc	הסיבובית	נע על ציר סיבובי
f55cfb4544cd	ארון הקבורה	ארון קבורה קדום
000ceaece4f8	הקשקשים	קשקשים של דג
56019b24d1e1	בבוז	בוז | זלזול | לבוז | לזלזל
7d82357d8ae4	תבחן	בדק | בחן
65e8c8e7d7dd	לחדשות מרעישות	חדשות מרעישות
11e24f94cf43	רעפי	רעף
76c32a395271	עטיפת	תכריך | עטיפה
0e5b7cac0e76	נקבעה	להכניס מישהו לרשימה | רעף | לוח
fb602937ddb0	מגחכים	גיחוך
fecba2be7db2	תבקש	לשדל / להדיח | לבקש/לחפש בתחינה
d8af578e1901	בבדידות	בדידות
07e4a9f9fa90	פלט	פולט/מתיז בעוצמה | מקיא
194d04126a8b	המשתרעת על שטח נרחב	משתרע על שטח נרחב | מתפשט ללא סדר
8f8898b6b19c	קומתו	קומה | גובה | מעמד | שיעור קומה
89e58763daf3	היעיל והחסכוני	יעיל וחסכוני | אווירודינמי | מעוצב לזרימה
4ea137cd1cad	מיותרים	מיותר | עודף
b99272ae71d5	הרגישות	רגישות | פגיעות
a1ccdefacb50	רגישים	רגיש ל- | חשוף ל- | נוטה ל-
577d186fb452	הרמאי	רמאי
3b01bb6859c9	תכתים	לזהם | להכתים | להכפיש
82c993088dfd	המוחשיות	מוחשי
538cc3e3946e	באצבעון	אצבעון לתפירה
f2bb8ad3dbf1	סוכלו	לסכל | להכשיל
77d87eeaa329	בהתעסקות	להתעסק | לחטט | לנסות לשפר בשינויים קטנים
31cfe4af975e	ייסר	לייסר | לענות
8961414ec8d6	מתעלים	להתעלות
79a1ebd63937	התרחש	להתרחש | להתברר
257f536bf87e	לא ממופים	לא ממופה | לא נחקר | לא נודע
576ccf832a69	בלתי נסלחת	בלתי נסלח
10e99b407927	תמך	להחזיק | לתמוך | לדגול
86cb1b12e784	ביטאה	לבטא | להגות | ת מוחלט | גמור
46bc2f6a9b1b	בעלי חוליות	בעל חוליות
871316c450a8	התוססים	תוסס | עז
c9ee5524c782	מתחרים	להתחרות
afbf571cf539	המקצוע	מקצוע
938044242f4b	הקולני	קולני | צעקני | המביע דעה בקול רם ובתוקף
5199b9c64c35	הקנאי	קנאי | פנט
