k	a	b
abf291b67b7f	הגיע לה	מגיע לו
4d85edcf958a	לקינוח	קינוח
8f70623184c6	בגורלנו	גורל
e40a62263a5e	מתפתחות	לפתח
73eb1e9ec502	במכשיר	מכשיר
30e0759fd591	הבמאי	במאי | מנהל
1b5826998fe5	להיעלם	להעלם
054885cd771e	תפריע	להפריע
05c3748933c6	הנשר	נשר
ad7cbd9ba9b4	העורך	עורך
6e441bf0f6f9	יעילה	יעיל | אפקטיבי
47a2b8025714	המהנדס	מהנדס | להנדס
e646d4d87e74	הכניסה	כניסה
295cf3605514	הסביבה	סביבה
c44d5eaf8625	המדויק	מדויק
7ff1b812f604	התרגשותם	התרגשות
9f3262dbdc12	תרגילים	תרגיל | להתאמן | לממש | ליישם
1e6fe76026d6	קיימים	קיים
1734aff229f8	מצפים	לצפות
c548f69b9124	הניסוי	ניסוי | להתנסות
c4b94ef5d08a	הכשלון	כשלון
ed57b96cfe7c	החוואי	חוואי
c17d519e70bc	כספיות	כספי
df14de0e983f	לדוג	דיג
6f7f2d793b42	כושר	בכושר | להתאים
2da308599ab3	שטוחה	שטוח | דירה
8117952106ff	זרות	חוץ | זר | נוכרי
c57de566514f	במסגרת	מסגרת | למסגר
9c027f014604	החברות	חברות
e209232f5562	התפקוד	תפקוד | לתפקד
838e7215ace3	הזבל	זבל
d7f4afb9ffd1	המושל	מושל
ccdcd332fb72	בכיתה	כיתה | ציון | דרגה | מעמד | שיפוע
802a5bffc259	הנכד	נכד
5a4bb4d0b5c7	ידריך	להדריך
814eed49c06b	הגובה	גובה
56d21e41458f	בכביש הראשי	כביש ראשי
b7adfa29e24e	הגבעה	גבעה
6d67e1a3dac3	הגונה	הגון
e01bc9dc1b5c	לארח	מארח
573a528c05e3	הצייד	צייד
316bcff3226f	חלה	חולה
2977a4f8d5d1	לא חוקית	לא חוקי
d5eba0a83955	התמונה	דמות | תמונה
c33e980f204c	ומיד	מיד
036f5e8bf29e	מרשימה	מרשים
c4b5a6ec3338	כולל	לכלול
fcfd794e0409	לעצמאית	עצמאי
0a939aff3d07	מפציעה	פציעה
de3a034b5d34	הפנימיים	פנימי
cf308115a839	מיידית	מיידי | בהרף עין
e56ecfc1f8c7	האינטליגנציה	אינטליגנציה | מודיעין
0eb566c1a29e	חקרה	לחקור
cc19a07fdcb8	הממלכה	ממלכה
a0cfd9e57177	במטבח	מטבח
36bb60850ed2	ברכיו	ברכיים
d37a9e98f658	הידע	ידע
538ec3b281ba	ידועה	ידוע
0fc03096ff03	האגם	אגם
b1cbf9fe6cf1	עורכת הדין	עורך-דין
65f74b49c301	הובילה	הוביל ל-
6c53d80ab067	מגבלת	גבול | לשים גבול | מוגבל
d7ac34167bda	השפה	שפה
d0f892705450	מנהלת	לנהל | להצליח | להסתדר ___ to
035165ba8351	הנישואים	נישואין
5606c625d7e8	החומר	חומר | חומרני
d9075494e3c4	תזכיר	להזכיר | לאזכר
4616c699337d	השיטה	שיטה
0a643f4f7032	בצבא	צבא | צבאי
cc33fe4c8717	במראה	מראה
fc895efd9a6f	תשגיח	להשגיח | מוניטור
60dfeec8cd9d	תנועת	תנועה
67fd07427097	התעלומה	תעלומה
313a812d9314	האומה	אומה
ae1befcb795d	בקרבת	ליד | קרוב
5a63a995f4ea	הכרחיים	הכרחי
ef81b77300d7	השכונה	שכונה
3234e583d9b1	עצבנית	עצבני | לחוץ | מתוח
4e357501c64e	כבר לא	לא עוד
3c253f7fc256	בצהריים	צהריים 12 00
86523a1cb25d	שמת לב	לשים לב | התראה
542fe07b5f9b	גרעיניות	גרעיני
96466a4cae92	בבירור	ברור
5f954ae8845f	הנגדי	מנוגד | ממול
2aa771fb0cdd	הארגון	ארגון
1efeee29da74	התשוקה	תשוקה
e150872080bf	הסבלנות	סבלנות
4ddb7759debd	סבלנית	סבלני | חולה
d68c5ae8dfb1	שקטים	שלו | שקט
22bb417d9957	הביצועים	ביצוע | הופעה
8bcf78e5d01c	יצירת	יצירה | חתיכה | חלק
bd91683c6eb0	הצינור	צינור
23bd856ef3f8	הצמח	צמח | לשתול | מפעל power ___
429b79257fc8	התנוחה	מיקום | למקם | תנוחה | תפקיד | משרה
e58cfd44b09d	בסיר	סיר | קדרה
9ab92b1ccb5b	מתרגלת	לתרגל | תרגול
42971f344826	היקר	יקר
781b8b25dc73	הקודמת	קודם
35496c688bc8	לכלא	כלא
39e516da4937	בפרס	פרס
73b4c206e7fc	המוצר	מוצר
ae9d1982abb7	צופים	לתכנן | פרוייקט | מיזם | להשליך | להקרין
b9a0c65b06dd	הציבורית	ציבורי
8f4c009c0e6c	שואב	משאבה | לשאוב
f3b1f2aee139	המטרה	כוונה | מטרה
0d79b4f05989	הזעם	זעם
5e11c80214c8	מעלים	להעלות
274104d71e00	הגיבה	להגיב
79138b68d657	הבנתי	הבין
a5e1757178c6	האחרונה	שארע לאחרונה
1cda26763ee6	מזהה	לזהות
e58424b1bcce	ממליץ	להמליץ
f3693a2857d5	ישחררו	לשחרר
