k	a	b
6eab37913eec	שפת	שפה | חישוק
661a2a5cddc7	נדירים	נדיר | מועט
f6a829baaf05	תפזר	לפזר | להתפזר
1e5988510f9f	הרגשות	רגשות | דעה
87eb29070fdd	היתד	זינוק | יתד | מסמר
f7d49e698bc4	דוחק	לדחוק ב | לעודד | לדחוף | דחף | רצון | תשוקה
3175bf74faaa	המבוקש	לרצות | מבוקש
d1db7ca0994d	נפוצה	נפוץ | רחב היקף
363808b0d881	קמה	לצוץ | לקום | קם
78017aec200e	ביראת כבוד	יראת כבוד | התפעלות
114c8e4efa14	לעול	נטל | עול | להכביד
a5d7e5ee4dc6	המשותפת	קהילתי | משותף | ציבורי
841f04edc748	ברי השוואה	דומה | בר-השוואה
415355db5a93	רגועה	רגוע | שלו | שולט בעצמו | הלחין | חיבר | מורכב
192b867bce71	ההתכתבות	התכתבות | התאמה
bf5990d6ac88	ייעץ	עצה | לייעץ | להדריך | פרקליט | יועץ | עורך דין
0e3974dc61c6	בעל התפקיד המקביל	מקבילה | בעל תפקיד מקביל | עמית | בן-זוג
855fd2494653	נעכב	לעכב | לדחות | להישמע
d224aa089a8e	שואבת	לנבוע | לשאוב | להפיק | לגזור מ-
2fe090695ce4	חילוקי הדעות	חילוקי דעות | שוני
7c44e509f3fd	ישגר	לשלוח | לשגר | דיווח
4f02436de16c	לעקירה	עקירה | תזוזה
0a51a3f417eb	בתיקו	תיקו | שוויון | לצייר | למשוך
87074b3f2a10	מתגוררים	להתגורר | להתעכב
3d5c5585150a	מהירה	מהיר | בהול | פזיז
636d862e0157	גזרו	להסיק | נגזר | משתמע
709bc7f26704	להכניס	לבלוע | לצרוך
b351dc97a7f5	ריסן	לעכב | לרסן | למנוע
b419a08b1dd1	הידועה	לציין | ידוע | מפורסם
e2b127a60606	עבר את מועד ההחזרה	באיחור | שעבר זמנו
8c04fffcbea8	ירשום	לרשום | לרשום מרשם | להורות
bab571b96194	שלטונו	שלטון | למלוך
ed87f55821dc	החידה	חידה | לנקב
3ca8402efe3b	המקדש	מקדש | מקלט | שמורה
b2ed5bed6b51	במסור	לראות | מסור
561ec0ca1e08	חיפשו	לחפש | חיפש | לבקש
617eb7beb305	תתקנן	לתקנן | להאחיד
549efca3a0d1	העוקבים	עוקב | מאוחר יותר
f1c4c10fbd92	ליורשת	יורש | מחליף
f6db64da26ba	האוהדת	אוהד | מבין
43cef1dcdb77	הביישן	ביישן | פחדן
752e31c778e2	נחשף	להתפתח | נפרש | נפתח | התגלה | לפתוח קיפול | לפרוש
69a331930d8a	כלי השיט	כלי | כלי שיט
ecd0c0273efe	למעלה	מידה טובה | מעלה
f175aea26b9f	בסיטונאות	סיטונאי | סיטונאות | גורף
99c094e80cf6	מותחת	למתוח | רוח | ללפף
7c98c1d9f13e	שיבחו	שבח | להריע | לשבח
99e7bcb20688	בשפע	עושר | שפע
a25e4b341f80	יתמכו	לחזק | לתמוך
709f88244b5f	יסקרו	לגייס תמיכה | לבדוק | לסקור
f7892d84e937	מנצלים	לנצל | לכתוב ברישיות
534fb74e80fa	מציינת לשבח	לשבח | לציין לשבח | להמליץ
20535ead24cd	כוללת	לכלול | להיות מורכב
7c7256166021	יכנס	להתכנס | לכנס
3d20809d5947	הגנדרן	גנדרן | גנדרני | מצוין
cb0f91bf66ca	שלפה	לצייר | לשלוף | שלף | למשוך
840786cf8c15	גרמו לו להתמרמר	למרר | גורם התמרמרות
ff6e3e02a3b3	הבולטת	נודע | בולט | בכיר
a38665ca4537	סוגרת	לצרף | לסגור | להקיף
15e5ffaf1bb6	השטח המגודר	סגירה | כיתור | שטח מגודר | נספח
09fc96233301	הוציא	להוציא | לבזבז | לגמור | לפזר
da7c77aa5076	בדה	לבדות | לייצר
5673a217ec11	חוסר היציבות	תנודה | חוסר יציבות
a9482949e467	סיכלה	לסכל | רדיד
2d8db7309e6e	רהטה	לרהט | לספק
9b1a76c71617	מסבכות	להפליל | לסבך | לערב
4d5900ba0356	התדירות	שכיחות | היארעות
2c02f33ccb6c	בינקותה	ינקות | שלב ראשוני
101548c7f09a	ההערה	מילת קריאה | הערה | הפרעה לשיחה
1af68b1a463d	הנצחי	אינסופי | נצחי | בלתי נגמר
dbc3e9e46f6b	במצוקה	מצוקה | צרה | סכנה
c02499a1dcfa	מאוכלסת בצפיפות	רב אוכלוסין | מאוכלס בצפיפות
42e622407217	ינהל	לנהל | לכהן
be56b2cddcf1	מתפשטים במהירות	להתרבות | התפשט במהירות
8957dd2af5fe	הביאה לידי	לעורר | הביא לידי | לגרום
972d2a428a98	הוכחני	נוטה לריב | וכחני | קנטרן
248fa2141e88	כל אחת	בהתאמה | של כל אחד
14fdd7dd7dca	הסיבובית	סיבובי | כיכר תנועה
76be7743dba6	הקשקשים	מאזניים | קשקשים של דג
29042a946780	לחדשות מרעישות	תחושה | חדשות מרעישות | סנסציה
0f220fb46a79	רעפי	שלבקת חוגרת | רעף
a54785d6a2fd	עטיפת	תכריך | עטיפה | לאפוף
0784d17ee527	נקבעה	צפחה | לקבוע מועד | להכניס לרשימה | רעף | לוח | להכניס מישהו לרשימה
1204f229af5b	דאה	לנסוק | לדאות | להמריא
fa6142674080	תבקש	לבקש | לשדל / להדיח | לבקש/לחפש בתחינה
fd2296288f42	בבדידות	בדידות | התבודדות
2e2a514d96b5	מתעלים	להתעלות | לחרוג
b8a9a352c7a3	תמך	לקיים | להחזיק | לתמוך | לדגול
d82877a0575d	המקצוע	ייעוד | מקצוע
