k	a	b
20fca5a829bf	הולך הרגל	הולך רגל
9ee1c2ebad56	התפיסה	תפיסה | תחושה
c7ced6b5b608	התמידה	להתמיד | להתעקש
b16344163770	קטנוניים	קטן | חסר חשיבות | קטנוני
a46e2e6bb86d	צבטה	לצבוט
218138623324	בטיח	טיח
d3d83f30959f	התחייב	להתחייב
6333885e326a	בשפע	מלא | שופע
4a17e2736460	החזיקה	להיות בעלים של | להחזיק ב-
eb6aa1ca2dbe	הדעה הקדומה	דעה קדומה
c5f8343b9ee1	המוקדמת מדי	מוקדם מדי
46bb38877d16	מניח	להניח
c3e412f5e360	המנהל	מנהל בית ספר | ראשי | עיקרי | קרן הלוואה
286978bce835	בוחנים	לחטט | לברר | לגשש
dc5ce5e78099	אוסר	לאסור | למנוע
54cbd14f99ae	בולטת	בולט | חשוב
1e5db3e70ef6	מניעות	להניע | לדחוף
9e755da154de	הנבואה	נבואה
acb2df2172e8	הפתגם	פתגם | אמרה
bfbe15ffe2b1	ירדוף	לרדוף
be6b98da7d43	במעקה	מעקה | מסילה
9d41a3213320	הבילוי	בילוי
cfc77df1fb19	חוזרת	קרה שוב
e0c15562aa3f	מחשיב	להתייחס | להחשיב
2bcc0f8e6bbc	מווסתת	לווסת
eab7345c5619	מתרגלים	לחזור | לתרגל
b3c6ae5f9620	מחזקים	לתגבר | לחזק
97075b87286b	השריד	שארית | שריד
a0f438a200a7	השארית	שארית
4855d1fde719	המאגר	מאגר
94cc032dcf29	הגביל	להגביל
6e38f018d841	תחייה	להחיות
580c0a664a98	שפת	שפה
60ae27546991	כפריות	כפרי
8e407d1f604b	הישועה	ישועה | גאולה
a5b63427adb9	נדירים	נדיר
c324d018d0a4	תפזר	לפזר
97e75d48057e	הרגשות	רגשות
4cc87965c81a	תתנפץ	לנפץ | להרוס | לקעקע
ecbc3f00b2a8	רועה הצאן	רועה צאן
62cc3f69d614	בכנות	כנות
6b3f0d98e497	בית המטבחיים	בית מטבחיים
21167eb04040	האדמה	אדמה | לכלוך
d70a804faaee	אך ורק	בלבד | רק
49ae336273e4	בודד	מבודד
0c22d5d9e7e2	היתד	יתד
abb95a23c07f	ינווט	לנווט | להוביל
1d6cc8d2e0e6	הגבעול	גבעול | גזע | לנבוע מ- | להיווצר מ-
821abea7a876	נוקשים	נוקשה
8ff1646de519	תעורר	לעורר | להמריץ
b3893f26f9e8	ולאחר מכן	לאחר מכן | אחר כך | בהמשך
287301f42e7e	השטחי	שטחי
36fbff892ceb	המקיף	מקיף | סובב
61ccf281aae8	הרכים	רך
e8dc4531b17d	הפח	בדיל | עשוי מפח
f87cef3447fd	גיליון ציונים	תמליל | פרוטוקול
cf5625bfc309	דוחק	לעודד | לדחוף | דחף | רצון | תשוקה
89c12f084702	הפנויה	פנוי | ריק
604c307e1809	העצום	עצום | נרחב | רחב ידיים
b65bce425bed	ולהיפך	להיפך
18baa7145bbc	תפר	להפר | לחלל
e45fb7caa2cb	הצפע	צפע
4e5e1c4b609d	המבוקש	מבוקש
eb8a75f0f373	ארון הבגדים	ארון בגדים | מלתחה
bb679624a7ba	נפוצה	נפוץ
819a64cc44af	להצטבר	לצבור | לאסוף
ea1c9c8929c3	מורגלת	מורגל
b0705722b1d2	רכישת	רכישה
6d0ef0607742	דבקים	לדבוק ב- | לדגול ב-
b49cc5aafa6e	מנהל	לנהל | לפקח | לתת | לחלק
20e61d347d76	בגיל ההתבגרות	גיל ההתבגרות
89410969488c	המעבר	מעבר
88c9cb7067d2	דו משמעיות	דו משמעי | לא לגמרי ברור
d02231617ef6	בתוך	בקרב | בין
f95a7e222bcb	לקטיעה	קטיעה
a172354ec81c	לחרדה	חרדה
5537ba26950b	הציוד	מכשיר | ציוד | מערכת מכשירים | מנגנון
09960f666bef	התברר	ברור | נראה לעין | לכאורה | מדומה
7b46c5947659	תמנה	למנות
c6d43dbdd660	קמה	לקום | קם
06ba5a6f6768	תיבת	תיבה
4958f7c0e7f3	הטענה	טענה | קביעה
89586ab0da91	יעריך	להעריך | לאמוד
c53ba59bd05f	המלווה	משרת | מטפל | מלווה
bde5376b6cbb	ייחסה	לייחס | לקשר | תכונה | מאפיין
905d088a5280	ביראת כבוד	יראת כבוד
813552df077c	האגן	אגן | כיור
654439ba2a82	המקור	מקור
b719ba3c3c91	הבוטנאי	בוטנאי
6d4b550c10cb	לעול	עול
d44267e322c5	הפורץ	פורץ
8efbe14acafb	גילף	לגלף | לחטוב | לחתוך בשר | לחרוט
896c72ea0072	מאפיינים	לאפיין
259af0fb2011	מרכבתו	מרכבה
aaa5860c2823	הופץ	להפיץ | לנוע במחזוריות
07d1448531c5	בנסיבות	מצב | תנאי | נסיבות
f00f226db015	לדו-קיום	דו-קיום
ad9f140f24a4	יתחיל	להתחיל
0ba4dcc62435	המשותפת	משותף | ציבורי
8eb65c87126b	ברי השוואה	בר-השוואה
3a87a62832fc	רגועה	רגוע | שלו | שולט בעצמו | הלחין | חיבר
1d02ca3670de	התפיסה	תפיסה
40121d98c26e	גינו	לגנות | נידון ל-
bd10045eec19	יחרימו	להחרים
4de5b69aa1d6	מורכבת	מורכב מ-
815c39b77d39	איחדה	לאחד | לגבש
9a9e8a1162aa	מהוות	מהווים | להקים | לייסד
bcb9642a1b93	זיהמה	לזהם
55019a5eb593	סותרת	סותר
3164dd9fdc2a	מתכתבים	להתכתב | להתאים
3aeb6ddeb434	ההתכתבות	התכתבות
9a58758d0e0d	ייעץ	לייעץ | להדריך | פרקליט | יועץ
0bde7080c290	בעל התפקיד המקביל	בעל תפקיד מקביל | עמית | בן-זוג
c1f3dde9bab3	השתוקקה	להשתוקק
839a82986b72	הוולגריות	וולגרי | גס | גולמי
458e63c268ea	המטבח	מטבח | בישול
b570c4108ccd	מעבדת	לעבד | לטפח
633695e30aa7	הצאר	צאר שליט רוסי
241f94cb61bd	הנפטר	נפטר
