k	a	b
bee4f5ad9c18	נעלה	מנעול | לנעול
af25309eb565	לאבד	מפסיד
74d154fd9d33	הרועשת	רועש | קולני | רם
a0a5459308f3	קסומה	קסום
1eba746de5e5	בדואר	דואר
73d556d21764	העיקרית	עיקרי
d89c02b37753	זכרים	זכר
cfa88da062b9	המניפולציה	מניפולציה | תמרון
28bd93d84c33	מיפתה	מפה | למפות
f210f9897482	משוק	שוק
c9d4c2e30e2b	כחברה	חבר בקבוצה מסוימת
655e4d306b7a	המדריכה	מדריך רוחני
9d98000a475c	התגעגע	להתגעגע | לפספס
21c3ced076ea	משימת	משימה
77615012b72b	מולקולות	מולקולה
3cf3ff64e513	לקופים	קוף
3b7cc5b96f63	שרירים	שריר
25b4cae9fce7	המוטציה	מוטציה
d545d8aadfa3	הטבעי	טבעי
95e7909e8143	הטבע	טבע
cf0cb0921684	הצוואר	צוואר
880836b7d375	השליליות	שלילי
3fca13595b3e	השכן	שכן
f7123ff0ee1e	הרעש	רעש
37697b3c0085	הנורמה	נורמה | תקן
bb6daa310f7a	האובססיה	אובססיה | דיבוק
784f66395830	הרשמיים	רשמי | מאושר
69ff86e15fe4	לדעתי	דעה
37d18570fd20	בסדר	סדר | פקודה | לצוות | להזמין | מסדר דתי
ecc7fb49bb9b	המקורי	מקורי
da0a99c3695a	בעל	בעלים
6f2e3d095ac2	החבילה	חפיסה | חבילה
413148306093	הציור	ציור
b91c30b422de	לפאניקה	פאניקה | בהלה
49a03010f579	הפרדוקס	סתירה | פרדוקס
bcc1ec07b6b6	בנתיב	דרך | נתיב
6cb86b958914	עצרה	הפסקה | להפסיק
a4dd74c1965d	כחיית מחמד	חיית מחמד
2a346c9547f2	הפילוסופית	פילוסופי
d69eaf3cfbca	הפוביה	פוביה | פחד כרוני
69b75809296a	קטפה	לקטוף | לבחור | מפרט לגיטרה
8309ca654ab1	הטייס	טייס
fb50233bde94	פוטנציאל	אפשרי | פוטנציאלי
22d8f87d1d06	רבת העוצמה	רב כוח
01c0fbd0da45	קדמונים	קדמון | פרה-היסטורי
de0babcb3ea7	התכוננה	התכונן
a65b5b90fc98	המצגת	מצגת
5b6a0380f4d0	המחיר	מחיר
99c7224333c2	המקצועי	מקצועי
6f14e89b6af9	התכנית	תכנית | תכניה | לתכנת
323399b499bd	חידת	חידה | פאזל
b2764eaaceba	הטילה ספק	להטיל ספק | שאלה
b740192ee48b	אקראיים	מקרי | אקראי
a0639d29713b	העכברוש	עכברוש
889b824ea638	המציאות	מציאות
74b3604ddfdd	תקבל	לקבל
f2292a2f8e9d	ברפלקס	רפלקס | תגובה אוטומטית
5993e4c2b584	רלוונטית	רלוונטי | קשור
118ef10ca7ec	הסר	להסיר
b743071faae9	הגיב	להגיב | תגובה | תשובה
522cb1f905f3	האחריות	אחריות
183641f31b01	האחראית	אחראי
c12351a75641	תוצאת	תוצאה
2e2d6760cb50	המהפכה	מהפכה
ab3188d6f5c8	הנהר	נהר
6d5618b12d74	הטיל	טיל
38676c312123	לגג	גג
5195ed405eea	השורשים	שורש
047e1ef3f40e	החבל	חבל
7df3d66ce6e3	שלט	לשלוט | לפסוק | להחליט | כלל | חוק | שלטון
6f16bf015da7	סרקה	סריקה | לסרוק
8bf6219843a4	המדע	מדע
8807c18ce025	המדענית	מדען
ac8d5b5bb6be	הסדרה	סדרה
e39faefe1aae	שירתה	לשרת | לרצות עונש | להגיש
76f65336bcdd	הקימו	להרכיב | לארגן | לסדר
a5272e0d49b2	לצורת	צורה | לעצב צורה
4cbb8faca36e	החדה	חד
9697923e673e	כמגן	מגן | להגן
896fda9fbf38	כתפה	כתף
