k	a	b
2763b5505ad6	ההדדיות	הדדי
934afbced9dd	לבחילה	בחילה
545466016889	הרשלני	רשלני
2aea9b4702b2	הראויה לציון	ראוי לציון | בולט | יוצא דופן
0396a1bc703d	הידועה	ידוע | מפורסם
fba416072327	חומרים מזינים	חומר מזין
d06bd1dd897c	מחייבים	לחייב | להכריח
1685c8d0d35f	בדרך כלל	בדרך-כלל
a30f6bddcebb	התחילה	התחיל | התהווה
462f753ef808	עולים על	עולה על | שוקל יותר מ-
0851f93d72bf	עבר את מועד ההחזרה	שעבר זמן ההגשה שלו
42724566d7a7	לא הבחנתי	לא הבחין | פספס | החמיץ | התעלם | גם צפה על מגבוה
cce15359dea9	מציפה	להכריע | להציף | לגבור על | להמם
23883453bcfb	המשכנע	משכנע
f968e268dab7	הרופא	רופא
8ef6d0295c9c	מתאר	לתאר | לצייר
1c480a29d989	מהווים	להציב | להוות | תנוחה
73a252a6d7bb	החזקה	חזק | בעל כוח השפעה
d39d5f214559	הקדר	קדר
9dc0cf9de624	מוכת העוני	מוכה עוני
e1f84ec85dee	הקודם	קודם
b983ca1ac100	החיזויים	חיזויי | מנבא
e58f01a01b6e	נפוצה	נפוץ | שכיח | רווח
2d357c15ead2	תקופת המבחן	תקופת מבחן
28ae26efa682	יכריז בפומבי	להכריז בפומבי
93096c9146e2	עמוקה	עמוק | מעמיק | מוחלט | מרחיק לכת
b74330c6a8a6	נוטים	נוטה
2a120c00aedf	עתידיים	צפוי | עתידי
17d4e4df55a3	קרבת	קרבה
ac30b4301039	הצדיק	להצדיק | להסביר
83d2432d8ee2	קוצרים	לקצור
8070fc39b403	האחורי	אחורי | לטפח | לגדל
baabe0f5e184	המיתון	מיתון
3d596087d1d9	הזיכרון	זיכרון
b794c2b68a58	שלטונו	שלטון
9a6a6477896b	המדכא	מדכא
f670106667cd	החידה	חידה
3c459babce48	איתנה	איתן | חזק ובריא
b302829dd646	מכרסמים	מכרסם
8f61bfe9851a	למען	תועלת | עניין
32c7fe7d7709	המקדש	מקדש | מקלט
a14258a807c4	במסור	מסור
fd0ff6d3ae85	חילונית	חילוני
d92a8f3f24bf	חיפשו	לחפש | חיפש
a3ea3758d392	בהפרדה	הפרדה
ddf18ac863d8	הססמית	ססמי קשור לרעידות אדמה
e2e60919e400	חומרת	חומרה
6780a1a60df3	תולעי המשי	תולעת משי
f986489b7cfd	האמירו	להאמיר
22c04361b5bd	הערפיח	ערפיח
0a46ea0a4fdf	המרווחת	מרווח
28d6f93e7137	נמתח	להימתח | להקיף | מרווח
cef93c2df69b	תתקנן	לתקנן
c2681d18109c	אוניית הקיטור	אוניית קיטור
e9a03f79b5ea	המתח הנפשי	מתח נפשי | להתאמץ | למתוח | לנקוע
bf5c493e37e5	שואפת	לשאוף
56976c5e9d42	מעד	למעוד
ad43d9c344e5	החסון	חסון | מוצק
2e91f5f1c267	העוקבים	עוקב
94cef419d57a	הדק	דק | עדין | כמעט בלתי מורגש | מרומז
e2c025868191	פרברית	פרברי
4ace4fb103ac	ליורשת	יורש
b4714ceb39eb	עולים על	להצטיין | לעלות על
bacc797812da	סחף	נסחף
98887c086ff0	האוהדת	אוהד
cba58fb164d5	מזוהמת	מוכתם | מזוהם
5e9af3d6eb28	העדות	עדות
6843d4a7a9af	משגשגים	לשגשג
69dfb208ba1f	הביישן	ביישן
4cd075b3a09e	עברה	לעבור | להתנסות | לחוות
8cc22fc7a25e	לקחו	לקחת על עצמך
d91086b75f2d	חשפו	לחשוף | לחפור
ed33b86f5950	נחשף	נפרש | נפתח | התגלה | לפתוח קיפול
23bd215116e6	החינוך	גידול | חינוך
39400e3f7c2a	העמימות	עמימות | ערפול
8713970a895b	הבית	בית בשיר | שירה
5a544c3fcdda	כלי השיט	כלי שיט
8f818975c9a1	בת-קיימא	בר-קיימא | ישים
d8158a0388ef	חיים	חד | בהיר | ססגוני | חי | מוחשי
a7cd736db938	בסיטונאות	סיטונאות
1e5f8c862253	השממה	ערבה | שממה
b3592aa6eb1f	מותחת	למתוח | רוח
a81721f4bead	מתחה	מתוח | נמתח | פצע
2835dd1e9027	מתעבת	לשנוא | לתעב
c1c2a67638bb	שיבחו	להריע | לשבח
3d0157c6d5c2	השותפים לעבירה	שותף לדבר עבירה
606de8399fb3	בדבק	דבק | דביק
9662e8695d07	בואה	הופעה | בוא
ea975e988c3e	שליליים	שלילי
726faf0d180f	בשפע	שפע
9035f9923c8c	העשירה	שופע | עשיר
3aed4c187400	התייסר	להתייסר | לסבול ייסורים | להתלבט קשות
99fab94cf556	תקל	להקל | להפיג
a24947b85d9c	הקסם	קסם | משיכה | לפתות
e594225e02d1	מוצאה	מוצא
a93181c81f17	העריך	להעריך שווי | לאמוד
42f9b9b4dfa5	המתאימה לעיבוד	מתאים לעיבוד
d1e441a93176	השאיפה	שאיפה | חלום
7374834dd9f1	שואפת	לשאוף | להתאוות
23c3e93037cd	בתדהמה	תדהמה | השתאות
4d95c2f4eaf8	הדהימו	להדהים
dd03b50fbfde	לזוועות	זוועה
063e1eb26dc2	הסיט	להסיט | להפנות | למנוע
09161160ae97	המבולבל	מבולבל
3882bffcab72	הביישן	ביישן
2e6a0ed80494	לנדבניה	נדבנים | תורמים
2cb54868de49	יתמכו	לתמוך
e1ce6a16dd50	הגופה	גופה
3f2a19112a12	כן	כנה | ישיר
6ac1cc5d0e53	יסקרו	לבדוק | לסקור
d6f253a6f968	המעמדות	מעמד חברתי
56d1b58f33ee	חפפו	להקביל | לחפוף
d944cb5bc02b	מציינת לשבח	לציין לשבח
d7ecf7e10cd8	התמציתי	תמציתי | תכליתי
af4ae87043fd	להסכמה	הסכמה | הסכמה משותפת | התרחשות בו-זמנית
dc69d4ac353e	יתייעצו	להתייעץ | לדון | להעניק תואר | כבוד
3bae96b540fb	מאסרו	מאסר | ריתוק
739b45d89bab	מתקהלות	להתקהל | להתאסף | להתכנס
ae36b641bf60	יכנס	לכנס
617bde45c0bf	הכתב	כתב | מתכתב
2138836560a1	חומדים	לחמוד | לחשוק ב-
ccada0b9520a	מקרקרות	קרקור
e632100eb79c	הגנדרן	גנדרני
7a7653c0072b	תמרים	תמר | יציאה | פגישה | דייט | תאריך
96ff0a036bb5	כראוי	לראות כ- | לחשוב ל-
35dcf033c262	ההתרסה	התרסה | מרי | סירוב לציית
0e39cf065852	חופרים	לחפור | להעמיק
ee4b1d8d394f	אשפיל	להנמיך | להשפיל
