k	a	b
d0e65512e34b	חידת	חידה | פאזל | לבלבל
4089e70b7925	תוצאת	תוצאה | לנבוע
eba436c6d181	שירתה	לשרת | לרצות עונש | להגיש
608b12756d07	הקימו	להרכיב | להקים | לארגן | לסדר
3da7b3e3e649	הגודל	גודל | מידה
63aec83faf96	מיין	סוג | למיין
ac03b3eac02e	מציע	להציע | לרמז
30a5e1d8fce0	הטון	טון | נימה
428552c65de9	מעץ	עץ | יער
7cb56a0f6787	השחקנית	שחקנית
bd05f86019ef	מרשה	להרשות | לאפשר
b4757396f8d1	סחב	לשאת | לסחוב
124f66f3143b	מסובכת	מורכב | מסובך | מתחם
f3d34e153951	הסקרן	סקרן | מוזר
19ca9a9d719b	יומיומית	יומי | יומיומי | מדי יום
4739dd9ce556	תרגילים	פעילות גופנית | תרגיל | להתאמן | לממש | ליישם
34271ca0977e	הכשלון	כישלון | תקלה
089f184f6c17	החוואי	חקלאי | חוואי | איכר
d9abdba38aa0	התפקוד	תפקיד | תפקוד | לתפקד
670584bb7ac7	ידריך	מדריך | להדריך
cd0f17708951	המסדרון	אולם | מסדרון | היכל
a9a85e44db21	הגונה	כן | הגון | ישר
df6dc3718653	התמונה	דמות | תמונה | דימוי
012805a6622e	הידע	ידע
ec0154638862	במראה	מראה | לשקף
7714364d62a8	שמת לב	לשים לב | התראה | הודעה
b8e62bb7d5a9	שקטים	שלו | שקט
5c07aa515fb0	התנוחה	עמדה | מיקום | למקם | תנוחה | תפקיד | משרה
ff6794386b3a	המוצר	מוצר | תוצר
0862edb07219	צופים	לחזות | לתכנן | פרויקט | מיזם | להשליך | להקרין
6be737cb04ad	הבנתי	להבין | הבין | להגשים
aa6cd9b68f7d	מזהה	לזהות | להכיר
660363839da1	התסריט	תסריט | כתב
8803bd9f9953	הבוגרים	בכיר | בוגר תלמיד שנה אחרונה | זקן
ae6c3d486175	הצל	צל | להאפיל | לעקוב
3d06daedf3eb	החוזק	כוח | חוזק
b18acadaebb1	הכותרת	כותרת | תואר
46949fa64da3	הטיפול	טיפול | יחס
b0ab73d06567	לבשה	ללבוש | להתבלות
d245d6385358	אנלוגיים	אנלוגי ההיפך מדיגיטלי | מקבילה
e4c544816348	יומיומיים	לא רשמי | אגבי | רגיל | יומיומי | מזדמן
19feac9542ed	בניגוד	ניגוד | להוות ניגוד | לעמת
b3e2dce0794f	המימד	ממד | מימד | היבט
f0caa87cd25b	מרוויחה	להרוויח | לזכות ב
ad60d8265afc	הבלעדי	בלעדי | יוקרתי
17c41050f3b0	בחומרי נפץ	נפיץ | חומר נפץ
e796cbc1bc47	הפולקלור	פולקלור | מסורת עממית
76070f80e404	במזלג	מזלג | הסתעפות
24de4cc778d9	התמודדה	לטפל | להתמודד | ידית
5327202bc27a	תדחיק	להתאפק | לעכב | למנוע
ea60a4f61b34	מהקרחון	הר קרח
a86588f6dc7c	ישפר	לשפר | להשתפר
14cd04112f51	מעמיסים	מטען | להעמיס | לטעון
753c24542717	הצר	צר | לצמצם
1ed4db67e717	הכומר	כומר | כהן
16ce3a9230a1	הוכיח	להוכיח | להתברר
d06bf05a04d2	מהירים	מהיר | אשד | זרם מים מהיר בנהר
444e4ef28eed	מתחרט	להצטער | להתחרט | חרטה
256778036a0e	המחליף	תחליף | מחליף
4276f5880539	הרסו	להרוס | חורבה
858ce2b26457	ההפרדה	הפרדה | פרידה
34f18d3af1fa	במשמרת	שינוי | משמרת | להזיז
195c78857ed9	הראייה	ראייה | כוונת | מראה
62c550a17623	הדובר	דובר | רמקול
7ff5cb074fed	המחקר	ללמוד | מחקר | חדר עבודה
20654d393cf7	פני השטח	משטח | פני שטח | לצוף
dd2ae1fab161	יתרחש	להתרחש | התרחש | להתקיים
38774e1a02d2	ציר הזמן	ציר זמן | לוח זמנים
f6751ed74f8d	יהפוך	לשנות צורה | להפוך ל-
ebb50515d4c1	המילולי	ורבלי | מילולי | בעל פה
53ebac181f07	בנוסף	תוספת | הוספה | חיבור
c9a0578655ba	יציק	להרגיז | להציק
576c033d73b8	סידרה	לסדר | לארגן
37f7d1cc40d0	חיברה	לצרף | לחבר | לייחס
7937fb198ed4	המשיכה	משיכה | אטרקציה
a81723b570c7	אסרה	חרם | איסור | לאסור
e5461994bd08	תמריץ	להגביר | דחף | המריץ
e1d15eb9c6e2	הבריון	בריון | להציק
bc7626b32367	בבקתה	תא | בקתה
c434e3e2b331	בטוחה בעצמה	בטוח בעצמו | בטוח
b0d0dc36827c	התייעצה	להתייעץ | לעיין ב
de3e0232a337	הכילה	להכיל | מכיל | לבלום
c9fa8c7abe56	דורשת	לדרוש | דרישה | ביקוש
01f538cbf71f	אזור	מחוז | רובע
1a8c4b28ac2d	תקל	להקל | קלות
16096854adfd	הביטוי	ביטוי | הבעה
7fdde412d78d	לשיטפון	שיטפון | להציף
ef5df5e32a59	יתאספו	להתאסף | אסף | לאסוף
467b9894fe72	לטיול	טיול רגלי | הליכה | טיול | העלאה
698d9b81918c	שהודבק	נגוע | הודבק
0cda568c98a5	תפריע	להפריע | לקטוע
a1917ce7226c	עמלה	להתאמץ | עבודה | עמל | לעמול | לידה
371e7f7eff4f	הצולע	צולע | גרוע
a0dc19328e28	אמצעים	אמצעי | למדוד | מידה
197b7dead18d	נמסה	להימס | להמיס
e03a02fcbaf8	המוסר	מוסרי | מוסר | מוסר השכל
deff7d187f98	מתבוננים	להתבונן | להבחין | לשמור
7a62d5e3a4a1	המעליבה	מעליב | פוגעני | התקפה
6d3ab412a4fc	המצוין	יוצא מן הכלל | מצוין | פתוח
7bbe9d943d3e	מרפדים	פנקס | לרפד | רפידה
5090d6aa07de	הקידום	קידום | מבצע
e35179dc8d00	תגרה	לעורר | להתגרות | להסית
493a1fa320f8	ההתנגדות	התנגדות | מחתרת | עמידות
34e34cd286f3	יכווצו	להתכווץ | לכווץ | כיווץ
b9a015ea9fda	יציבה	יציב | אורווה
cabab47470de	תצליח	להצליח | הצליח | לרשת
33df22ddeab7	חשודה	חשוד משהו | חשדן
8e223b4c2f9f	בלעה	לבלוע | סנונית
bcd7bef0434b	הנדנדה	להתנדנד | לנדנד | נדנדה
caf01050d997	בהדק	לגרום | הדק
e82f2ecbc2b0	מיותרים	מיותר | לא הכרחי
9e34302d8b14	החום	חום | חמימות
3514f32f35cd	מקשרים	לקשר | עמית
c51e51bc4f9a	כופף	לכופף | עיקול
db00faa79c43	הכפוף	כפוף | כופף
08974bc1d494	בשידור	לשדר | שידור
1ec175e50f23	המסקנה	מסקנה | סיום
c69b5599ffee	הווידוי	הודאה | וידוי
40c40b04eca5	תכריז	להכריז | להצהיר
96e6cea4a9e7	הדמוגרפיים	דמוגרפי | פלח אוכלוסייה
4afaa24693ed	נבדלות	להיות שונה | להיבדל | לחלוק | לחלוק על
5c829ef97eae	המחויבות	מעורבות | התחייבות | אירוסין
9bff840ae9e9	מבטיחות	להבטיח | לוודא
1fee426b4fd7	נוסדה	לייסד | לבסס
e22d8ee9b288	התפתחותיים	אבולוציוני | התפתחותי
03e8d3b83bdf	העדיפה	מפואר | מחבב | מגונדר | לחבב
a5b8f5dba5ed	עממית	עממי | אנשים
8aa7ecd54c76	תסיים את לימודיה	בוגר | לסיים לימודים
33250cc0b4da	האיומה	מזעזע | איום
dd55e6d847b9	יערב	לכלול | לערב
cb4404d3a929	השיפוט	שיפוט | שיקול דעת | פסק דין
c0819a8d7e1e	במסלול	נתיב | מסלול
ad1570797a45	המנדט	מנדט | ייפוי כוח | לחייב
a5523cee77d8	מהגרות	לנדוד | להגר
d09aab253a9b	מתירים	אישור | רישיון | להרשות | להתיר
e7369ed57fd6	ברשותו	רכוש | בעלות | חזקה
834d43efa1fc	להסתיים	לגרום ל | הסתיים ב- | להוביל ל
d47882df6042	המאזניים	קנה מידה | מאזניים | לעלות | לטפס | סולם | סקלה
76801bb02fe4	עליונים	עדיף | עליון | ממונה
1326cfc69261	המקדש	מקדש | רקה
6b5a8930f36f	נוטים	נוטה | לטפל
dd7340194977	עקבת	סימן | עקבה | לעקוב | למצוא
ef984231a0e9	ניסויים	נסיון | משפט | ניסוי
