k	a	b
506dc4dc854b	הבצל	בצל
ee03a75c8a48	תתנגד	להתנגד ל- | להתייצב נגד
70775ded4b02	תיאמה	לתאם | לתזמר
92afdb5212e4	באורגן	אורגן כלי נגינה | איבר
835a6b4ada49	מיושנים	מיושן
b770d1192788	הדקל	דקל | כף יד
ac777b52bd6d	ההורות	הורות
2ae06662fa53	מסוימת	מסוים | ספציפי | מיוחד | about קפדן | בררן
22cfa270e4da	מסיירים	סיור | לסייר
188c7adbc228	מתירים	אישור | רישיון | להרשות
fe511ca909c1	בשלב	שלב | דרגה
2039d12e6733	הפיזיקאי	פיזיקאי
d3aeac631126	העלילה	עלילה | חלקה חלקת אדמה | להכין תרשים | לזמום | לקשור קשר
5341c99be323	הפולנית	פולני | להבריק | לצחצח
84aefdfafd6d	שיבח	לשבח
3e75c4184d54	מדויקות	מדויק
9335d1415368	עדיפים	עדיף
07852260b8d5	מניעת	מניעה
9700ba1e21b9	התכונה	תכונה | רכוש
e98285c5175e	מעדיף	עדיף | למדי
88bab953b322	הסירוב	סירוב
171ba2307b82	נשארת	נשאר | עדיין | שרידים
0069d2cd3841	יוצא הדופן	ראוי לציון | יוצא דופן
3e270732da27	להסתיים	הסתיים ב-
bfe18cc988dd	המהפכנית	מהפכני
b5315fa37e2d	הזבל	זבל | שטויות
7bb4b2efbe60	קדושה	קדוש
5d31898beff2	סנקציות	סנקציה | עונש | לאשר | להתיר | לתת גושפנקה
98ff6f83a93e	המאזניים	מאזניים | לעלות | לטפס | סולם | סקלה
2daabc457242	ההמשך	המשך
d349f53d1fd6	ערבבו	לערבב | לגרור רגליים
0deec4a19e03	ובאופן דומה	באופן דומה
246498a38ccc	הספקנות	ספקנות
99c500f83701	יישבר	להישבר | במהירות סלנג
3406b1a28b18	המתוחכם	מתוחכם
e2fcd50ea6f4	מדהימה	מדהים
a0620fca1f25	תחזק	לחזק
23fbbf4308a3	להכות	הכה | התקיף | שביתה
507d7f8e2c82	עליונים	עליון
1cc61261e23e	המתח	השהיה | מתח
a502d3e560ae	המקדש	מקדש
7e291d87c71c	המתח	מתח
f9739ba7258d	עקבת	סימן | עקבה | לעקוב | למצוא
b573ebc89700	השקופים	שקוף
f0b56818bb79	ניסויים	נסיון | משפט
f7cbcbaeeef1	השבט	שבט
a2baed582e56	ולא מושך	לא מושך
eea5dee32fb3	הלא ביקורתית	לא ביקורתי
1b4879313bb8	הלא מוכרת	לא מוכר
89b9e15bf379	הבלתי נתפס	בלתי נתפס
1e22b5566f32	הלא צודק	לא צודק
1c9b34deb58f	הלא שגרתיות	לא שגרתי | לא מקובל
01d9192b2fa8	מכלים	לכלות | לנצל עד תום
8c9ba29472af	המאונכים	מאונך
14efa1cdbda0	הוולקנית	וולקני | געשי
e6490ce03b76	פגיעים	פגיע | חשוף לפגיעה
1389da00789d	הראויים	ראוי
947805e995ee	הקבלה	קבלה | קבלת דבר | הסכמה | השלמה
41931cf2b99b	הדיוק	דיוק
e626cb1e8020	ההאשמה	האשמה
ef308a638910	אוהבת	העריץ | אהב
1bba908bf517	לבגרות	בגרות
85ad59014263	היועץ	יועץ
5940f97b8cc0	פרשת	עניין | פרשה | רומן
e640f484d04c	בייסורים	ייסורים
72c4969d4cc8	יישרו	להסתדר בשורה
be172cc1f406	השעשוע	שעשוע
e8f07f924fd7	העוגן	עוגן
0280f2e6cf4f	בציפייה	ציפייה | צפייה מראש
cea336922070	העתיק	עתיק | ענתיקה
7f74ae020d97	אדישה	אדיש
a84bc1362e1a	ההתנקשות	התנקשות | רצח פוליטי
e66000aac5f1	הנכס	נכס
929eb71f9ed0	תקצה	למנות | להקצות
5cb10f71aa9c	המודעות	מודעות
455cb6536f77	מצמצה	למצמץ
05cf04b388fa	פורחים	לפרוח | פריחה
7f93ff957297	התעלה	תעלה
7302ecbde199	רשלנית	לא זהיר | רשלני
459f0fd21b3b	יאשר	להצהיר | לאשר
d7a60a8ce718	המסלול	מסלול | להקיף | מעגל חשמלי
297cdea6561e	מסווגים	לסווג | מסווג
fa6a5a01e873	ההתנגשות	התנגשות
325d6519ca79	הפרשנות	פרשנות
de61d0ec6238	המסחר	מסחר
7ee20112a72a	ההשוואה	השוואה
46bb06f5776a	תפצה	לפצות
59d0d7e9e4bf	לקומפוסט	זבל אורגני
3681dec00e6e	הבנת	הבנה
3b2bf7abaf11	יסיים	לסיים | להסיק
172d5e9acfd5	מודעת	מודע
4f13cf79bde0	התוצאה	תוצאה
a9090c097a67	שקלנו	שיקול | שיקול דעת | מכלול שיקולים | התחשבות
2ce3373ea9fa	עקביים	עקבי
c444e6bed049	צורכים	לצרוך
863afd8a14fa	השיירה	שיירה
4b9a5b010638	החוט	חבל דק | חוט | כבל חשמלי
c0b5a6c6f278	אבני הפינה	אבן פינה
f8620a8f8580	כיקרה	יקר
aeceb0636f2c	המחוז	מחוז | נפה
ec5b1b6e562c	האמיצים	אמיץ
70b4d85f3c86	המטבע	מטבע
728d7a049e60	המחלבה	מחלבה
9162d0a228f7	העשור	עשור
92c065388c66	ברורים	ברור | מוגדר | ודאי
5876a056b38d	יעוות	לעוות
79a9652d2387	ידגים	להדגים | להפגין
03ea9907100f	ההכחשה	הכחשה
8471ee4ee672	הצפוף	צפוף | סמיך
72b09bbe14df	נהרס	הרוס | מפורק
6971890153e9	הסוכרת	סוכרת
c53c2a05f4de	יאבחן	לאבחן
76b2f7c8c355	הניב	ניב
adaf95201839	יכתיב	להכתיב | לפקד
ead047854a98	העמומה	עמום | קלוש | מעורפל | לעמעם
14531c679857	הלא מאשר	לא מאשר | לא מסכים | לא מרוצה
b4b2551873f9	יעניש	חינך | העניש | ממושמע
6f6e4f4aae16	בגועל	גועל | להגעיל
4f9903828fed	לא מצייתים	להפר | לא לציית
58742d17c26c	באי-סדר	אי-סדר | ערבוביה | מהומה | אי-שקט | הפרעה רפואית
55b94e2c446c	ההבחנה	הבחנה | הבדל | מצוינות | הצטיינות
90933ecbe1d1	הסיח	להסיח את הדעת
bd820cc60f08	הפצת	הפצה
b25dec800830	ההפרעה	הפרעה
199d29afcff2	במורד	מדרון | מורד
4bfa60b83374	להיסחף	זרם | סחף
4a59dc662d7a	מטפטפים	לטפטף
52689e3ad921	בדו-קרב	דו-קרב
a3bc39ab33b0	מגמד	לגמד | גמד
426f77ab4bfe	בצבע	צבע | לצבוע
32325fc6e263	המהדורה	מהדורה
c256d383d14e	יבחרו	לבחור
59a88ab4a218	הדגיש	להדגיש
33ad38876d4b	אוכפים	לאכוף | לכפות
440e092d3115	הרגיזה	להרגיז | להכעיס
