# צבירה חוצת-מבחנים · קורפוס=22 מבחנים · פריטים ייחודיים=4254
מנורמל	ייצוג	סוג	תוצאה	התאמה	מועדים	הופעות	ממוצע-שאלה	ציטוטים
דיבור	דיבור	analogy+completion	full	דביר	5	5	3.0	summer_2022·פרק1·ש1·רגל ; summer_2023·פרק1·ש2·מסיח 3 ; summer_2025·פרק1·ש16·אפשרות 1 ; summer_2026·פרק1·ש6·מסיח 3 ; 2020_autumn·פרק2·ש17·אפשרות 2
הופתעתי	הופתעתי	completion	miss		5	5	0.0	autumn_2021·פרק1·ש11·אפשרות 1 ; autumn_2023·פרק1·ש14·אפשרות 1 ; spring_2022·פרק2·ש16·אפשרות 1 ; summer_2021·פרק2·ש10·אפשרות 4 ; 2020_summer·פרק2·ש13·אפשרות 1
הסכמה	הסכמה	analogy	close	סכמ	5	5	2.8	autumn_2021·פרק2·ש1·מסיח 3 ; spring_2025·פרק2·ש3·רגל ; summer_2021·פרק1·ש1·מסיח 2 ; winter_2023·פרק1·ש3·מסיח 2 ; 2019_winter·פרק2·ש6·מסיח 4
ורק	ורק	completion	miss		5	5	0.0	spring_2022·פרק2·ש17·אפשרות 1 ; spring_2024·פרק1·ש16·אפשרות 4 ; spring_2025·פרק1·ש11·אפשרות 3 ; summer_2026·פרק2·ש12·אפשרות 1 ; winter_2023·פרק1·ש10·אפשרות 4
טובה	טובה	completion	miss		5	5	0.0	autumn_2024·פרק1·ש15·אפשרות 1 ; autumn_2025·פרק1·ש11·אפשרות 3 ; summer_2022·פרק2·ש17·אפשרות 1 ; 2019_spring·פרק1·ש12·אפשרות ? ; 2019_winter·פרק1·ש14·אפשרות ?
טעם	טעם	analogy+completion	close	טעמ	5	5	5.5	autumn_2021·פרק1·ש10·אפשרות 4 ; spring_2024·פרק2·ש5·מסיח 1 ; summer_2023·פרק1·ש11·אפשרות 1 ; 2019_spring·פרק2·ש6·לא-זוהה ; 2020_spring·פרק1·ש11·אפשרות 4
כסף	כסף	analogy+completion	close	כספ	5	5	1.5	autumn_2024·פרק2·ש12·אפשרות 1 ; spring_2022·פרק2·ש2·מסיח 2 ; spring_2023·פרק2·ש2·מסיח 2 ; summer_2024·פרק1·ש1·מסיח 1 ; 2020_autumn·פרק2·ש1·מסיח 3
לדבר	לדבר	analogy+completion	full	דביר	5	5	3.5	autumn_2021·פרק2·ש5·מסיח 4 ; summer_2023·פרק2·ש15·אפשרות 4 ; summer_2024·פרק1·ש2·רגל ; 2020_autumn·פרק2·ש17·אפשרות 1 ; 2020_summer·פרק2·ש11·אפשרות 4
מכונית	מכונית	analogy	miss		5	5	3.0	summer_2021·פרק1·ש3·מסיח 4 ; summer_2022·פרק1·ש2·מסיח 1 ; 2020_autumn·פרק2·ש2·מסיח 3 ; 2020_summer·פרק2·ש5·מסיח 4 ; 2020_winter·פרק1·ש3·מסיח 2
מעטים	מעטים	completion	close	מעט	5	5	0.0	autumn_2025·פרק2·ש16·אפשרות 2 ; winter_2022·פרק2·ש14·אפשרות 2 ; 2019_winter·פרק2·ש10·אפשרות 1 ; 2020_autumn·פרק1·ש13·אפשרות 2 ; 2020_winter·פרק1·ש9·אפשרות 2
מקום	מקום	analogy+completion	miss		5	5	4.3	autumn_2021·פרק1·ש5·מסיח 3 ; autumn_2024·פרק2·ש5·מסיח 4 ; spring_2022·פרק2·ש17·אפשרות 3 ; 2019_winter·פרק1·ש3·מסיח 3 ; 2020_winter·פרק1·ש7·אפשרות 4
משקל	משקל	analogy+completion	miss		5	5	2.3	autumn_2023·פרק2·ש3·מסיח 2 ; spring_2023·פרק2·ש2·מסיח 4 ; spring_2024·פרק1·ש17·אפשרות 4 ; summer_2024·פרק2·ש2·מסיח 1 ; winter_2022·פרק2·ש14·אפשרות 3
נדיר	נדיר	analogy+completion	miss		5	5	5.0	autumn_2021·פרק1·ש11·אפשרות 2 ; autumn_2023·פרק1·ש14·אפשרות 2 ; spring_2024·פרק1·ש5·רגל ; summer_2021·פרק1·ש11·אפשרות 4 ; winter_2023·פרק2·ש5·רגל
סביר	סביר	completion	full	סבר	5	5	0.0	autumn_2025·פרק2·ש16·אפשרות 4 ; summer_2023·פרק1·ש10·אפשרות 1 ; summer_2024·פרק1·ש15·אפשרות 1 ; 2020_autumn·פרק2·ש15·אפשרות 3 ; 2020_spring·פרק2·ש8·אפשרות 4
שהרי	שהרי	completion	close	הרי	5	5	0.0	spring_2022·פרק2·ש17·אפשרות 2 ; spring_2023·פרק2·ש7·אפשרות 4 ; spring_2024·פרק1·ש17·אפשרות 1 ; summer_2023·פרק1·ש9·אפשרות 3 ; summer_2024·פרק1·ש15·אפשרות 1
שינה	שינה	analogy+completion	miss		5	5	2.0	summer_2021·פרק1·ש1·מסיח 1 ; summer_2022·פרק1·ש1·מסיח 3 ; summer_2025·פרק1·ש14·אפשרות 3 ; summer_2026·פרק1·ש8·אפשרות 1 ; winter_2023·פרק1·ש4·מסיח 4
תשובה	תשובה	analogy+completion	close	שבה	5	5	1.5	autumn_2025·פרק2·ש2·מסיח 2 ; spring_2024·פרק2·ש2·רגל ; summer_2023·פרק1·ש1·מסיח 4 ; winter_2022·פרק2·ש12·אפשרות 3 ; 2019_winter·פרק1·ש1·רגל
בגד	בגד	analogy	miss		4	4	2.8	spring_2024·פרק2·ש6·מסיח 2 ; summer_2021·פרק1·ש3·רגל ; 2020_summer·פרק2·ש1·מסיח 3 ; 2020_winter·פרק2·ש1·מסיח 4
בית	בית	analogy+completion	miss		4	4	3.5	spring_2022·פרק2·ש17·אפשרות 1 ; summer_2023·פרק1·ש6·רגל ; summer_2024·פרק1·ש15·אפשרות 4 ; 2020_autumn·פרק2·ש1·מסיח 1
בלתי	בלתי	completion	close	בלתי	4	4	0.0	summer_2022·פרק1·ש9·אפשרות 4 ; summer_2023·פרק1·ש9·אפשרות 2 ; 2020_summer·פרק2·ש11·אפשרות 1 ; 2020_winter·פרק1·ש9·אפשרות 1
בניגוד	בניגוד	completion	close	נגד	4	4	0.0	autumn_2024·פרק1·ש15·אפשרות 1 ; spring_2024·פרק1·ש16·אפשרות 1 ; summer_2024·פרק2·ש9·אפשרות 4 ; summer_2025·פרק1·ש15·אפשרות 4
ברור	ברור	analogy+completion	miss		4	4	1.0	autumn_2021·פרק2·ש14·אפשרות 2 ; spring_2023·פרק2·ש8·אפשרות 2 ; 2019_winter·פרק2·ש1·מסיח 1 ; 2020_spring·פרק2·ש8·אפשרות 2
דומה	דומה	completion	close	דמה	4	4	0.0	spring_2024·פרק2·ש10·אפשרות 4 ; summer_2022·פרק1·ש10·אפשרות 1 ; summer_2024·פרק1·ש15·אפשרות 4 ; 2020_summer·פרק1·ש9·אפשרות 1
החלטה	החלטה	analogy+completion	miss		4	4	2.0	autumn_2024·פרק1·ש15·אפשרות 1 ; autumn_2025·פרק2·ש2·מסיח 1 ; spring_2023·פרק1·ש12·אפשרות 4 ; spring_2024·פרק2·ש2·מסיח 4
הרי	הרי	completion	close	הרי	4	4	0.0	autumn_2024·פרק1·ש13·אפשרות 2 ; spring_2024·פרק1·ש17·אפשרות 2 ; summer_2023·פרק1·ש9·אפשרות 1 ; winter_2023·פרק1·ש11·אפשרות 3
זניח	זניח	analogy+completion	full	זנח	4	4	2.0	summer_2022·פרק2·ש16·אפשרות 1 ; 2019_winter·פרק2·ש1·רגל ; 2020_summer·פרק2·ש3·מסיח 2 ; 2020_winter·פרק1·ש9·אפשרות 3
חדל	חדל	analogy+completion	full	חדל	4	4	5.0	autumn_2023·פרק2·ש5·מסיח 3 ; summer_2024·פרק2·ש10·אפשרות 3 ; winter_2022·פרק1·ש10·אפשרות 4 ; 2019_winter·פרק1·ש14·אפשרות ?
חוסר	חוסר	completion	close	חסר	4	4	0.0	autumn_2024·פרק2·ש14·אפשרות 4 ; spring_2023·פרק1·ש12·אפשרות 2 ; spring_2024·פרק2·ש11·אפשרות 3 ; 2020_spring·פרק1·ש10·אפשרות 3
חרף	חרף	completion	full	חרף	4	4	0.0	summer_2021·פרק2·ש11·אפשרות 1 ; winter_2023·פרק1·ש12·אפשרות 2 ; 2019_winter·פרק2·ש10·אפשרות 4 ; 2020_winter·פרק2·ש9·אפשרות 4
יער	יער	analogy+completion	close	יער	4	4	4.3	autumn_2023·פרק2·ש13·אפשרות 1 ; summer_2024·פרק2·ש6·מסיח 2 ; 2020_spring·פרק2·ש6·מסיח 3 ; 2020_summer·פרק1·ש1·רגל
לדבוק	לדבוק	completion	full	דבק	4	4	0.0	autumn_2024·פרק1·ש15·אפשרות 3 ; summer_2023·פרק2·ש15·אפשרות 3 ; summer_2025·פרק1·ש14·אפשרות 1 ; 2019_spring·פרק2·ש13·אפשרות ?
להיענות	להיענות	analogy+completion	miss		4	4	5.0	autumn_2024·פרק1·ש5·מסיח 4 ; summer_2023·פרק2·ש16·אפשרות 1 ; summer_2026·פרק1·ש9·אפשרות 1 ; 2020_autumn·פרק2·ש5·מסיח 2
לוהט	לוהט	analogy	full	להוט	4	4	3.8	autumn_2025·פרק1·ש1·מסיח 2 ; spring_2025·פרק2·ש4·רגל ; 2019_winter·פרק1·ש6·מסיח 2 ; 2020_autumn·פרק1·ש4·מסיח 1
לחטוב	לחטוב	analogy	full	חוטב	4	4	3.2	autumn_2023·פרק1·ש2·מסיח 4 ; spring_2025·פרק2·ש6·רגל ; winter_2023·פרק1·ש4·מסיח 3 ; 2020_spring·פרק1·ש1·מסיח 2
לקנות	לקנות	analogy+completion	miss		4	4	3.7	spring_2025·פרק1·ש11·אפשרות 3 ; summer_2024·פרק1·ש3·מסיח 1 ; 2020_autumn·פרק1·ש6·מסיח 4 ; 2020_spring·פרק2·ש2·מסיח 3
לקרוא	לקרוא	analogy+completion	miss		4	4	2.0	autumn_2023·פרק1·ש2·מסיח 2 ; spring_2023·פרק1·ש2·מסיח 3 ; summer_2021·פרק2·ש10·אפשרות 1 ; 2020_winter·פרק2·ש10·אפשרות 1
לרדוף	לרדוף	analogy	miss		4	4	3.2	spring_2022·פרק2·ש3·מסיח 1 ; summer_2021·פרק1·ש2·מסיח 4 ; winter_2023·פרק2·ש3·מסיח 2 ; 2020_autumn·פרק2·ש5·מסיח 4
לשבח	לשבח	analogy+completion	miss		4	4	5.5	autumn_2021·פרק1·ש11·אפשרות 1 ; spring_2025·פרק2·ש5·מסיח 2 ; 2019_winter·פרק1·ש14·אפשרות ? ; 2020_autumn·פרק1·ש6·מסיח 1
לתמוך	לתמוך	completion	close	תמכ	4	4	0.0	summer_2021·פרק2·ש12·אפשרות 2 ; summer_2025·פרק2·ש7·אפשרות 4 ; winter_2022·פרק2·ש14·אפשרות 1 ; 2019_winter·פרק2·ש10·אפשרות 1
מאחר	מאחר	completion	close	אחר	4	4	0.0	autumn_2024·פרק1·ש15·אפשרות 3 ; summer_2022·פרק1·ש10·אפשרות 2 ; 2019_winter·פרק1·ש14·אפשרות ? ; 2020_spring·פרק2·ש9·אפשרות 2
מדי	מדי	completion	miss		4	4	0.0	spring_2022·פרק1·ש9·אפשרות 1 ; spring_2025·פרק1·ש12·אפשרות 4 ; winter_2022·פרק1·ש7·אפשרות 3 ; 2020_winter·פרק1·ש7·אפשרות 2
מזון	מזון	analogy+completion	miss		4	4	2.7	autumn_2024·פרק2·ש1·מסיח 3 ; spring_2024·פרק2·ש9·אפשרות 3 ; summer_2023·פרק1·ש4·מסיח 1 ; 2020_autumn·פרק1·ש3·מסיח 1
מרבית	מרבית	completion	miss		4	4	0.0	summer_2023·פרק1·ש9·אפשרות 3 ; summer_2026·פרק1·ש10·אפשרות 1 ; 2019_winter·פרק2·ש10·אפשרות 2 ; 2020_winter·פרק1·ש9·אפשרות 4
נגן	נגן	analogy	miss		4	4	1.8	spring_2025·פרק2·ש2·מסיח 2 ; summer_2026·פרק1·ש1·מסיח 3 ; 2020_spring·פרק2·ש2·מסיח 4 ; 2020_winter·פרק2·ש2·מסיח 4
נותר	נותר	completion	full	ניתר	4	4	0.0	autumn_2021·פרק1·ש11·אפשרות 4 ; autumn_2023·פרק2·ש15·אפשרות 2 ; winter_2022·פרק1·ש10·אפשרות 1 ; 2019_winter·פרק1·ש15·אפשרות ?
עניין	עניין	analogy+completion	miss		4	4	6.0	autumn_2024·פרק1·ש15·אפשרות 2 ; summer_2026·פרק2·ש12·אפשרות 1 ; 2019_spring·פרק2·ש6·לא-זוהה ; 2020_winter·פרק1·ש6·מסיח 2
פירורים	פירורים	analogy	miss		4	4	5.0	autumn_2021·פרק2·ש4·רגל ; spring_2023·פרק2·ש6·מסיח 4 ; summer_2023·פרק2·ש4·רגל ; summer_2026·פרק2·ש6·מסיח 3
פרח	פרח	analogy	close	פרח	4	4	4.0	autumn_2023·פרק1·ש4·מסיח 1 ; spring_2022·פרק2·ש5·מסיח 3 ; summer_2021·פרק1·ש3·מסיח 3 ; 2020_spring·פרק2·ש4·מסיח 3
פרי	פרי	analogy+completion	close	פרי	4	4	2.0	spring_2025·פרק1·ש2·מסיח 1 ; summer_2022·פרק2·ש3·מסיח 2 ; winter_2022·פרק2·ש13·אפשרות 3 ; winter_2023·פרק2·ש1·רגל
פשע	פשע	analogy	miss		4	4	3.2	autumn_2023·פרק1·ש3·מסיח 4 ; spring_2023·פרק2·ש1·רגל ; 2020_spring·פרק2·ש4·מסיח 4 ; 2020_winter·פרק2·ש5·מסיח 3
רבה	רבה	completion	miss		4	4	0.0	autumn_2021·פרק1·ש10·אפשרות 2 ; autumn_2024·פרק1·ש13·אפשרות 2 ; summer_2023·פרק2·ש15·אפשרות 4 ; winter_2023·פרק1·ש11·אפשרות 1
שמחה	שמחה	analogy+completion	close	שמחה	4	4	1.0	autumn_2021·פרק1·ש12·אפשרות 1 ; summer_2021·פרק1·ש1·מסיח 4 ; summer_2026·פרק1·ש8·אפשרות 4 ; winter_2023·פרק1·ש11·אפשרות 3
תורם	תורם	analogy+completion	miss		4	4	4.0	autumn_2023·פרק2·ש4·מסיח 3 ; spring_2023·פרק2·ש4·מסיח 3 ; spring_2025·פרק1·ש10·אפשרות 2 ; summer_2023·פרק2·ש15·אפשרות 1
אופניים	אופניים	analogy	close	פנמ	3	3	3.0	summer_2022·פרק1·ש2·רגל ; summer_2026·פרק1·ש6·מסיח 2 ; winter_2022·פרק2·ש1·רגל
אור	אור	analogy	miss		3	3	1.7	autumn_2023·פרק2·ש2·מסיח 2 ; autumn_2024·פרק2·ש1·רגל ; summer_2023·פרק1·ש2·רגל
איסור	איסור	analogy+completion	miss		3	3	2.5	autumn_2024·פרק1·ש2·מסיח 3 ; spring_2024·פרק2·ש9·אפשרות 2 ; 2020_spring·פרק2·ש3·מסיח 2
אכזבה	אכזבה	analogy+completion	close	כזב	3	3	3.0	autumn_2021·פרק1·ש12·אפשרות 4 ; summer_2023·פרק1·ש3·מסיח 2 ; 2020_spring·פרק1·ש3·מסיח 1
אכל	אכל	analogy	close	אכל	3	3	4.3	spring_2023·פרק2·ש6·מסיח 4 ; spring_2025·פרק2·ש4·מסיח 2 ; winter_2023·פרק2·ש3·מסיח 3
אליהם	אליהם	completion	miss		3	3	0.0	autumn_2023·פרק1·ש13·אפשרות 2 ; spring_2024·פרק2·ש11·אפשרות 2 ; summer_2024·פרק2·ש9·אפשרות 4
אפשרות	אפשרות	analogy	close	פשר	3	3	4.0	autumn_2025·פרק1·ש4·רגל ; summer_2022·פרק1·ש4·מסיח 4 ; summer_2026·פרק2·ש4·מסיח 2
אש	אש	analogy	miss		3	3	2.0	autumn_2023·פרק2·ש2·רגל ; autumn_2024·פרק2·ש1·מסיח 1 ; 2020_autumn·פרק1·ש3·מסיח 4
באר	באר	analogy	full	ביאור	3	3	4.7	autumn_2025·פרק2·ש6·מסיח 1 ; summer_2021·פרק2·ש2·מסיח 1 ; 2020_spring·פרק2·ש6·רגל
בדומה	בדומה	completion	close	דמה	3	3	0.0	autumn_2024·פרק1·ש14·אפשרות 1 ; spring_2024·פרק1·ש16·אפשרות 4 ; summer_2024·פרק2·ש9·אפשרות 1
בדיעבד	בדיעבד	analogy+completion	full	בדיעבד	3	3	4.5	spring_2023·פרק1·ש3·מסיח 4 ; summer_2021·פרק1·ש6·מסיח 4 ; winter_2023·פרק1·ש11·אפשרות 2
בהתאם	בהתאם	completion	miss		3	3	0.0	spring_2022·פרק2·ש17·אפשרות 1 ; summer_2024·פרק2·ש9·אפשרות 3 ; 2020_winter·פרק1·ש8·אפשרות ?
במידת	במידת	completion	miss		3	3	0.0	spring_2024·פרק1·ש17·אפשרות 4 ; summer_2026·פרק2·ש13·אפשרות 3 ; 2020_winter·פרק2·ש11·אפשרות 2
במשורה	במשורה	analogy	full	במשורה	3	3	3.0	autumn_2024·פרק2·ש2·מסיח 1 ; spring_2023·פרק1·ש3·מסיח 3 ; summer_2026·פרק2·ש4·מסיח 3
בעיניי	בעיניי	completion	miss		3	3	0.0	spring_2024·פרק1·ש17·אפשרות 1 ; summer_2026·פרק2·ש12·אפשרות 1 ; winter_2022·פרק2·ש12·אפשרות 3
בצר	בצר	analogy	full	בצר	3	3	5.0	summer_2026·פרק2·ש5·מסיח 2 ; 2020_autumn·פרק1·ש5·מסיח 3 ; 2020_winter·פרק1·ש5·רגל
גדל	גדל	completion	full	גדיל	3	3	0.0	autumn_2021·פרק2·ש13·אפשרות 1 ; spring_2025·פרק1·ש12·אפשרות 2 ; winter_2022·פרק1·ש10·אפשרות 3
גפרור	גפרור	analogy	miss		3	3	3.7	autumn_2024·פרק2·ש1·מסיח 1 ; spring_2024·פרק2·ש6·מסיח 4 ; 2019_spring·פרק1·ש4·לא-זוהה
גרזן	גרזן	analogy	close	רזנ	3	3	2.3	autumn_2023·פרק1·ש2·מסיח 4 ; autumn_2024·פרק1·ש3·רגל ; summer_2021·פרק2·ש2·רגל
דולק	דולק	analogy	full	דלק	3	3	3.7	autumn_2021·פרק1·ש2·מסיח 2 ; summer_2022·פרק1·ש6·מסיח 1 ; 2020_autumn·פרק2·ש3·מסיח 1
דומם	דומם	analogy	full	דומם	3	3	5.3	spring_2024·פרק2·ש6·מסיח 3 ; summer_2025·פרק1·ש6·מסיח 1 ; 2020_autumn·פרק1·ש4·מסיח 2
דיבר	דיבר	analogy	full	דביר	3	3	3.0	summer_2021·פרק2·ש5·מסיח 1 ; summer_2026·פרק1·ש3·מסיח 2 ; 2020_winter·פרק1·ש1·רגל
הדביק	הדביק	analogy	full	דבק	3	3	3.0	spring_2022·פרק1·ש3·מסיח 3 ; spring_2024·פרק1·ש2·מסיח 2 ; 2020_spring·פרק2·ש4·רגל
היגיון	היגיון	completion	full	יגון	3	3	0.0	autumn_2024·פרק1·ש15·אפשרות 4 ; spring_2025·פרק1·ש12·אפשרות 2 ; winter_2022·פרק2·ש13·אפשרות 1
הייתי	הייתי	completion	miss		3	3	0.0	autumn_2023·פרק2·ש15·אפשרות 1 ; autumn_2025·פרק1·ש12·אפשרות 1 ; summer_2022·פרק2·ש17·אפשרות 1
היסוד	היסוד	completion	miss		3	3	0.0	spring_2022·פרק1·ש10·אפשרות 4 ; 2020_autumn·פרק1·ש14·אפשרות 1 ; 2020_winter·פרק1·ש9·אפשרות 3
הנאה	הנאה	analogy+completion	close	נאה	3	3	3.5	autumn_2023·פרק2·ש3·מסיח 1 ; summer_2021·פרק2·ש4·רגל ; winter_2023·פרק1·ש11·אפשרות 2
הנה	הנה	analogy	full	הונה	3	3	4.3	autumn_2021·פרק2·ש6·רגל ; winter_2022·פרק2·ש4·מסיח 3 ; 2019_winter·פרק1·ש3·מסיח 2
התברר	התברר	completion	miss		3	3	0.0	spring_2022·פרק2·ש15·אפשרות 4 ; summer_2024·פרק2·ש10·אפשרות 4 ; 2020_spring·פרק1·ש10·אפשרות 1
ולו	ולו	completion	miss		3	3	0.0	autumn_2021·פרק1·ש12·אפשרות 3 ; spring_2022·פרק2·ש17·אפשרות 2 ; winter_2022·פרק2·ש14·אפשרות 3
ולפיכך	ולפיכך	completion	full	לפיכך	3	3	0.0	spring_2022·פרק1·ש10·אפשרות 4 ; spring_2024·פרק1·ש16·אפשרות 1 ; summer_2025·פרק2·ש8·אפשרות 2
זהיר	זהיר	analogy	close	זהר	3	3	4.3	autumn_2024·פרק1·ש2·מסיח 2 ; spring_2024·פרק1·ש5·מסיח 4 ; winter_2023·פרק2·ש6·מסיח 1
חולצה	חולצה	analogy	close	חלצ	3	3	2.3	autumn_2021·פרק1·ש4·מסיח 1 ; winter_2022·פרק1·ש2·מסיח 3 ; 2020_summer·פרק2·ש1·מסיח 3
חולק	חולק	completion	close	חלק	3	3	0.0	autumn_2023·פרק2·ש13·אפשרות 2 ; autumn_2025·פרק1·ש10·אפשרות 2 ; 2019_spring·פרק2·ש14·אפשרות ?
חוקי	חוקי	analogy+completion	miss		3	3	1.0	autumn_2024·פרק2·ש14·אפשרות 2 ; spring_2022·פרק2·ש16·אפשרות 4 ; spring_2023·פרק2·ש1·רגל
חיובית	חיובית	completion	miss		3	3	0.0	summer_2023·פרק1·ש11·אפשרות 1 ; winter_2022·פרק2·ש12·אפשרות 3 ; 2020_winter·פרק1·ש9·אפשרות 1
חיוך	חיוך	analogy+completion	full	חך	3	3	3.5	autumn_2025·פרק1·ש11·אפשרות 3 ; summer_2021·פרק1·ש1·מסיח 4 ; 2020_winter·פרק1·ש6·מסיח 1
חיונית	חיונית	completion	miss		3	3	0.0	summer_2024·פרק2·ש9·אפשרות 2 ; winter_2023·פרק1·ש12·אפשרות 2 ; 2020_spring·פרק2·ש7·אפשרות 3
חינם	חינם	analogy+completion	miss		3	3	3.5	spring_2024·פרק2·ש1·מסיח 2 ; winter_2022·פרק2·ש6·מסיח 2 ; 2020_summer·פרק2·ש12·אפשרות 2
חלופה	חלופה	analogy+completion	close	חלפ	3	3	6.0	spring_2025·פרק2·ש16·אפשרות 3 ; summer_2021·פרק2·ש11·אפשרות 2 ; 2019_winter·פרק2·ש6·רגל
חמוץ	חמוץ	analogy	close	חמצ	3	3	3.7	summer_2025·פרק1·ש6·רגל ; 2019_spring·פרק1·ש1·לא-זוהה ; 2020_autumn·פרק1·ש4·מסיח 3
חרב	חרב	analogy	full	חרב	3	3	2.7	autumn_2023·פרק2·ש1·מסיח 3 ; autumn_2024·פרק1·ש3·מסיח 1 ; spring_2022·פרק2·ש4·מסיח 1
חשוב	חשוב	analogy+completion	miss		3	3	1.0	autumn_2024·פרק2·ש13·אפשרות 4 ; spring_2023·פרק2·ש1·מסיח 4 ; summer_2023·פרק2·ש16·אפשרות 4
חשובה	חשובה	completion	close	שבה	3	3	0.0	spring_2023·פרק2·ש8·אפשרות 3 ; spring_2025·פרק1·ש10·אפשרות 2 ; winter_2023·פרק1·ש12·אפשרות 1
חתונה	חתונה	analogy	miss		3	3	4.3	summer_2025·פרק2·ש3·מסיח 4 ; winter_2023·פרק2·ש4·מסיח 3 ; 2019_spring·פרק1·ש6·לא-זוהה
ידיים	ידיים	analogy+completion	close	ידי	3	3	4.0	spring_2024·פרק1·ש3·מסיח 4 ; summer_2023·פרק1·ש9·אפשרות 2 ; summer_2025·פרק1·ש5·מסיח 4
יהלום	יהלום	analogy+completion	close	הלמ	3	3	2.5	autumn_2023·פרק2·ש13·אפשרות 4 ; summer_2026·פרק1·ש4·מסיח 3 ; 2020_spring·פרק2·ש1·רגל
יין	יין	analogy	miss		3	3	3.3	autumn_2021·פרק1·ש1·מסיח 3 ; summer_2026·פרק2·ש5·מסיח 2 ; 2020_autumn·פרק2·ש4·מסיח 2
ישן	ישן	analogy	miss		3	3	3.7	autumn_2023·פרק2·ש5·מסיח 2 ; winter_2022·פרק1·ש1·מסיח 2 ; winter_2023·פרק2·ש5·מסיח 3
כבד	כבד	analogy	full	כיבד	3	3	3.0	autumn_2023·פרק2·ש3·מסיח 2 ; spring_2023·פרק2·ש2·מסיח 4 ; summer_2024·פרק2·ש4·מסיח 1
