מנורמל	ייצוג	סיבה	הערה	מנה
הצעתה	הצעתה	דחייה: נטייה		j-12
השבתתו	השבתתו	דחייה: נטייה		j-12
השגתי	השגתי	דחייה: נטייה		j-12
התקדמותה	התקדמותה	דחייה: נטייה		j-13
התקנתו	התקנתו	דחייה: נטייה		j-13
חשיבותו	חשיבותו	דחייה: נטייה		j-15
טיבו	טיבו	דחייה: נטייה		j-15
טעותם	טעותם	דחייה: נטייה		j-15
טענתם	טענתם	דחייה: נטייה		j-15
ימינו	ימינו	דחייה: נטייה		j-16
יריביהם	יריביהם	דחייה: נטייה		j-16
כגורלם	כגורלם	דחייה: נטייה		j-16
כוונתה	כוונתה	דחייה: נטייה		j-16
כוחה	כוחה	דחייה: נטייה		j-16
כוחם	כוחם	דחייה: נטייה		j-16
כוכבה	כוכבה	דחייה: נטייה	ספק: כנראה נטיית-קניין של כוכב (כּוֹכָבָהּ) או שם פרטי	j-04
להבנת	להבנת	דחייה: נטייה		j-04
להצעתה	להצעתה	דחייה: נטייה		j-17
להשבתתו	להשבתתו	דחייה: נטייה		j-18
לטענת	לטענת	דחייה: נטייה		j-18
לטענתה	לטענתה	דחייה: נטייה		j-18
ליבי	ליבי	דחייה: נטייה		j-18
לכוונתו	לכוונתו	דחייה: נטייה		j-18
לריפויו	לריפויו	דחייה: נטייה		j-20
מגבלתו	מגבלתו	דחייה: נטייה		j-20
מגדרם	מגדרם	דחייה: נטייה		j-20
מהחלטתה	מהחלטתה	דחייה: נטייה		j-20
מוזרם	מוזרם	דחייה: נטייה		j-21
מוטמן	מוטמן	דחייה: נטייה		j-21
מוענש	מוענש	דחייה: נטייה		j-21
מורי	מורי	דחייה: נטייה		j-21
מושמע	מושמע	דחייה: נטייה		j-21
מושמץ	מושמץ	דחייה: נטייה		j-21
מושתק	מושתק	דחייה: נטייה		j-21
מחויבותו	מחויבותו	דחייה: נטייה		j-21
מימושן	מימושן	דחייה: נטייה		j-22
מכוניותיהם	מכוניותיהם	דחייה: נטייה		j-22
מכריו	מכריו	דחייה: נטייה		j-22
מנגינתו	מנגינתו	דחייה: נטייה		j-22
מניעיהם	מניעיהם	דחייה: נטייה		j-22
מסיגי	מסיגי	דחייה: נטייה	ספק: צורת נסמך מתוך הצירוף 'מסיגי גבול'	j-22
מעמיתיו	מעמיתיו	דחייה: נטייה		j-22
מעצתו	מעצתו	דחייה: נטייה		j-23
מעשיו	מעשיו	דחייה: נטייה		j-23
מפיה	מפיה	דחייה: נטייה		j-23
מצבן	מצבן	דחייה: נטייה		j-23
מרצונו	מרצונו	דחייה: נטייה		j-23
מרצי	מרצי	דחייה: נטייה		j-23
משמעה	משמעה	דחייה: נטייה		j-23
נבחריו	נבחריו	דחייה: נטייה		j-24
נגינתו	נגינתו	דחייה: נטייה		j-24
נסיעתו	נסיעתו	דחייה: נטייה		j-24
סיומו	סיומו	דחייה: נטייה		j-25
סירובו	סירובו	דחייה: נטייה		j-25
סירובך	סירובך	דחייה: נטייה		j-25
עיניהם	עיניהם	דחייה: נטייה		j-26
עמיתו	עמיתו	דחייה: נטייה		j-26
עצתו	עצתו	דחייה: נטייה		j-26
פניו	פניו	דחייה: נטייה		j-27
פנינו	פנינו	דחייה: נטייה		j-27
פתיחת	פתיחת	דחייה: נטייה		j-27
פתרוהו	פתרוהו	דחייה: נטייה		j-27
קולם	קולם	דחייה: נטייה		j-28
קנייתו	קנייתו	דחייה: נטייה		j-28
קריאתה	קריאתה	דחייה: נטייה		j-28
רוצף	רוצף	דחייה: נטייה	ספק: כנראה רוּצַף, סביל של רִצֵּף — נטייה סבילה כדוגמת הוּשַׁר	j-28
רכישתה	רכישתה	דחייה: נטייה		j-29
רצונה	רצונה	דחייה: נטייה		j-29
רצוני	רצוני	דחייה: נטייה	ספק: אולי התואר רְצוֹנִי — ממילא שקוף מן רצון	j-29
רצונך	רצונך	דחייה: נטייה		j-29
תאונת	תאונת	דחייה: נטייה		j-31
תוכל	תוכל	דחייה: נטייה		j-31
תוצאותיהם	תוצאותיהם	דחייה: נטייה		j-31
תחשוב	תחשוב	דחייה: נטייה		j-31
תחשוש	תחשוש	דחייה: נטייה		j-31
תימנע	תימנע	דחייה: נטייה		j-31
תיתפס	תיתפס	דחייה: נטייה		j-31
תעוכב	תעוכב	דחייה: נטייה		j-31
תפיסתו	תפיסתו	דחייה: נטייה		j-31
תרוויח	תרוויח	דחייה: נטייה		j-31
תשיגך	תשיגך	דחייה: נטייה		j-31
א	א	דחייה: רעש		j-06
איתו	איתו	דחייה: רעש	מילית יחס נטויה	j-02
אלה"	אלה"	דחייה: רעש		j-07
אליה	אליה	דחייה: רעש	מילית יחס נטויה (אֵלֶיהָ)	j-02
ברקת"	ברקת"	דחייה: רעש	ספק: מירכאות תלושות — כנראה שם פרטי בציטוט	j-09
גימ"ל	גימ״ל	דחייה: רעש		j-09
ד"רהראל	ד"רהראל	דחייה: רעש		j-09
דו	דו	דחייה: רעש		j-09
דוכי	דוכי	דחייה: רעש	ספק: כנראה שיבוש חילוץ — אולי דֳּכִי המקראית לצד "גלים" באותה רגל	j-09
דעים	דעים	דחייה: רעש	ספק: שבר של הצירוף תמימי-דעים	j-09
ה	ה	דחייה: רעש		j-09
האלינדית	האלינדית	דחייה: רעש	ספק: שיבוש OCR — לא מזוהה כמילה עברית	j-10
הג	הג	דחייה: רעש		j-10
המולגית	המולגית	דחייה: רעש	ספק: ככל הנראה שיבוש חילוץ של מילה לועזית (הומולוגית?)	j-11
הנו	הנו	דחייה: רעש		j-11
הסובקים	הסובקים	דחייה: רעש		j-11
השר"	השר"	דחייה: רעש		j-12
ואין	ואין	דחייה: רעש		j-13
ואינם	ואינם	דחייה: רעש		j-13
ואכן	ואכן	דחייה: רעש		j-13
ובו	ובו	דחייה: רעש		j-13
ובין	ובין	דחייה: רעש		j-13
ובלבד	ובלבד	דחייה: רעש	ספק: מילית חיבור (ובלבד ש-), דקדוק ולא אוצר מילים	j-13
ובמחיאות	ובמחיאות	דחייה: רעש	קטע מהצירוף מחיאות-כפיים עם ו' חיבור	j-13
ובנוגע	ובנוגע	דחייה: רעש		j-13
ובתוך	ובתוך	דחייה: רעש		j-13
וג'ינג'ייש	וג'ינג'ייש	דחייה: רעש	שיבוש OCR	j-13
והיא	והיא	דחייה: רעש		j-13
והיה	והיה	דחייה: רעש		j-13
והם	והם	דחייה: רעש		j-13
והן	והן	דחייה: רעש		j-13
וכמו	וכמו	דחייה: רעש		j-14
וכפי	וכפי	דחייה: רעש		j-14
ולו	ולו	דחייה: רעש		j-01
ולפיה	ולפיה	דחייה: רעש		j-14
ומכל	ומכל	דחייה: רעש		j-14
ומשום	ומשום	דחייה: רעש		j-14
ועם	ועם	דחייה: רעש		j-14
ורק	ורק	דחייה: רעש		j-01
יחף"	יחף״	דחייה: רעש		j-15
כה	כה	דחייה: רעש		j-01
כמי	כמי	דחייה: רעש		j-16
כרצון	כרצון	דחייה: רעש		j-17
כשהודיעה	כשהודיעה	דחייה: רעש		j-17
כשהם	כשהם	דחייה: רעש		j-17
כשהעונש	כשהעונש	דחייה: רעש		j-17
כשם	כשם	דחייה: רעש		j-17
לאל תר	לאל תר	דחייה: רעש		j-17
לל	לל	דחייה: רעש		j-19
למרבה	למרבה	דחייה: רעש		j-04
לעומת	לעומת	דחייה: רעש	מילית יחס, לא ערך לימודי	j-02
לק	לק	דחייה: רעש	ספק: אולי לַק — לועזית ממילא	j-19
מאותם	מאותם	דחייה: רעש		j-20
מאז	מאז	דחייה: רעש		j-20
מאליו	מאליו	דחייה: רעש		j-20
מדי	מדי	דחייה: רעש		j-01
מהן	מהן	דחייה: רעש		j-20
מחבריו"	מחבריו"	דחייה: רעש		j-21
מחשב להישבר	מחשב להישבר	דחייה: רעש		j-21
מכל	מכל	דחייה: רעש	ספק: ככל הנראה מִכָּל (מ+כל) באפשרות השלמה, לא שם-העצם מְכָל	j-05
מכפי	מכפי	דחייה: רעש		j-05
מל	מל	דחייה: רעש	ספק: כנראה שבר מילה; גם אם הפועל מָל — הופעה יחידה עמומה	j-22
מלעיצובן	מלעיצובן	דחייה: רעש		j-22
ממו סס	ממו סס	דחייה: רעש		j-22
מנכ"ל	מנכ״ל	דחייה: רעש		j-22
מנכונה	מנכונה	דחייה: רעש	ספק: כנראה מ+נכונה או שיבוש חילוץ	j-22
מר אה	מר אה	דחייה: רעש		j-23
משמעית	משמעית	דחייה: רעש	ספק: כנראה שבר של "חד-משמעית"	j-23
מתק תק	מתק תק	דחייה: רעש		j-24
נו"ן	נו"ן	דחייה: רעש		j-24
ניצן"	ניצן"	דחייה: רעש		j-24
על גבי	על גבי	דחייה: רעש		j-26
עליך	עליך	דחייה: רעש		j-26
פתח סגור ליבו	פתח סגור ליבו	דחייה: רעש		j-27
שאביו	שאביו	דחייה: רעש		j-29
שאופיר	שאופיר	דחייה: רעש		j-29
שאי	שאי	דחייה: רעש		j-06
שאילו	שאילו	דחייה: רעש		j-29
שאיש	שאיש	דחייה: רעש		j-29
שאלו	שאלו	דחייה: רעש	ספק: אולי הפועל שָׁאֲלוּ — ממילא נטיית שאל השכיח	j-29
שאליהו	שאליהו	דחייה: רעש		j-29
שאם	שאם	דחייה: רעש		j-29
שאסרו	שאסרו	דחייה: רעש		j-29
שאף	שאף	דחייה: רעש	ספק: אולי הפועל שָׁאַף, אך אפשרות-אחות באותה שאלה (שאם) מעידה על שברי ש-	j-29
שביניהם	שביניהם	דחייה: רעש		j-29
שביקר	שביקר	דחייה: רעש		j-29
שבמדענים	שבמדענים	דחייה: רעש		j-29
שבנוגע	שבנוגע	דחייה: רעש		j-29
שדווקא	שדווקא	דחייה: רעש		j-29
שדי	שדי	דחייה: רעש	ספק: כנראה שבר ש+די; קריאות אחרות אינן סבירות בהשלמה	j-29
שה	שה	דחייה: רעש	ספק: אולי שֶׂה, אך אפשרות בת שתי אותיות בהשלמה נראית כקטע מילה	j-29
שהגיש	שהגיש	דחייה: רעש		j-29
שהוגשה	שהוגשה	דחייה: רעש		j-29
שהוכח	שהוכח	דחייה: רעש		j-29
שהופיעו	שהופיעו	דחייה: רעש		j-29
שהוצגה	שהוצגה	דחייה: רעש		j-29
שהושמעה	שהושמעה	דחייה: רעש		j-29
שהטיח	שהטיח	דחייה: רעש		j-29
שהיו	שהיו	דחייה: רעש		j-29
שהייתה	שהייתה	דחייה: רעש		j-06
שהכין	שהכין	דחייה: רעש		j-29
שהמדיניות	שהמדיניות	דחייה: רעש		j-29
שהניב	שהניב	דחייה: רעש		j-29
שהסרט	שהסרט	דחייה: רעש		j-29
שהעונש	שהעונש	דחייה: רעש		j-29
שהצבים	שהצבים	דחייה: רעש		j-29
שהצטבר	שהצטבר	דחייה: רעש		j-29
שהציבור	שהציבור	דחייה: רעש		j-29
שהציגה	שהציגה	דחייה: רעש		j-29
שהצעתי	שהצעתי	דחייה: רעש		j-29
שהקונים	שהקונים	דחייה: רעש		j-29
שהרוח	שהרוח	דחייה: רעש		j-29
שהשימוש	שהשימוש	דחייה: רעש		j-29
שחבריו	שחבריו	דחייה: רעש		j-30
שחושב	שחושב	דחייה: רעש		j-06
שחסכו	שחסכו	דחייה: רעש		j-30
שטעיתי	שטעיתי	דחייה: רעש		j-30
שיזם	שיזם	דחייה: רעש		j-30
שיחסית	שיחסית	דחייה: רעש		j-30
שימנע	שימנע	דחייה: רעש		j-30
שיקל	שיקל	דחייה: רעש	ספק: אינה מילה תקנית — כנראה שיבוש של שָׁקַל או שִׁקְלֵל	j-30
שירדו	שירדו	דחייה: רעש		j-30
שירוויח	שירוויח	דחייה: רעש		j-30
שישיג	שישיג	דחייה: רעש		j-30
שכוחם	שכוחם	דחייה: רעש		j-30
שלגביו	שלגביו	דחייה: רעש		j-30
שלרוב	שלרוב	דחייה: רעש		j-30
שלשם	שלשם	דחייה: רעש		j-30
שמא	שמא	דחייה: רעש	ספק: מילית בעלת ערך לימודי מסוים, אך מילית ⇒ רעש לפי התדריך	j-30
שמגע	שמגע	דחייה: רעש		j-30
שמכיוון	שמכיוון	דחייה: רעש		j-30
שמסעה	שמסעה	דחייה: רעש		j-30
שמקורו	שמקורו	דחייה: רעש		j-30
שנדב	שנדב	דחייה: רעש	ספק: ש+נָדַב או שם פרטי (נדב) — שבר תחבירי	j-30
שנהוג	שנהוג	דחייה: רעש		j-30
שנוסע	שנוסע	דחייה: רעש		j-30
שנעשו	שנעשו	דחייה: רעש		j-30
שסופה	שסופה	דחייה: רעש		j-30
שעסקיהם	שעסקיהם	דחייה: רעש		j-30
שפגע	שפגע	דחייה: רעש		j-30
שפשע	שפשע	דחייה: רעש		j-30
שציון	שציון	דחייה: רעש		j-30
שצר	שצר	דחייה: רעש		j-30
שקראו	שקראו	דחייה: רעש		j-30
שקרוב	שקרוב	דחייה: רעש		j-30
ששם	ששם	דחייה: רעש		j-31
שתוכל	שתוכל	דחייה: רעש		j-31
שתחום	שתחום	דחייה: רעש		j-31
שתיפגע	שתיפגע	דחייה: רעש		j-31
שתשנה	שתשנה	דחייה: רעש		j-31
אדנית	אדנית	דחייה: שורש-קיים		j-02
אחז	אחז	דחייה: שורש-קיים		j-07
אירע	אירע	דחייה: שורש-קיים		j-07
בבת העין	בבת העין	דחייה: שורש-קיים	ספק: כנראה קיים במאגר כ"בבת עין"	j-07
בישר	בישר	דחייה: שורש-קיים	ספק: אותו רצף שורש (ב-ש-ר) כערך קיים; גם אם מדובר בשורש הומונימי — ספק ⇒ דחייה	j-03
בצורת	בצורת	דחייה: שורש-קיים	ספק: נקרא כ-בַּצֹּרֶת (הומוגרף), שורש ב-צ-ר תואם ל-close	j-08
גזום	גזום	דחייה: שורש-קיים		j-09
גזם	גזם	דחייה: שורש-קיים		j-09
דחה על הסף	דחה על הסף	דחייה: שורש-קיים		j-09
דלה מידע	דלה מידע	דחייה: שורש-קיים		j-09
הדיר את רגליו	הדיר את רגליו	דחייה: שורש-קיים	ספק: הניב נגזר ישירות מהפועל הדיר שכבר במאגר	j-10
הכביר מילים	הכביר מילים	דחייה: שורש-קיים	ספק: השורש כבר קיים במאגר, והניב כמעט קומפוזיציונלי מ"הכביר"	j-11
המיט עליו חרפה	המיט עליו חרפה	דחייה: שורש-קיים		j-11
המיט קלון	המיט קלון	דחייה: שורש-קיים		j-11
המרה פיו	המרה פיו	דחייה: שורש-קיים	ספק: לא ברור אם "המרה" שבמאגר הוא הִמְרָה (מ-ר-ה) או הֲמָרָה (מ-ו-ר) — הספק מחייב דחייה	j-11
הפיח בו תקווה	הפיח בו תקווה	דחייה: שורש-קיים		j-12
השביע את רצונו	השביע את רצונו	דחייה: שורש-קיים		j-12
התבדה	התבדה	דחייה: שורש-קיים		j-13
התגושש	התגושש	דחייה: שורש-קיים	ספק: המילונים מסווגים תחת גשש למרות הריחוק הסמנטי	j-13
התגוששות	התגוששות	דחייה: שורש-קיים	ספק: המילונים מסווגים תחת גשש למרות הריחוק הסמנטי	j-13
התהלל	התהלל	דחייה: שורש-קיים		j-13
התלקח	התלקח	דחייה: שורש-קיים	ספק: אותו שורש (ל-ק-ח) כערך קיים; אין עדות שהמבחן בוחן אותם כזוג נבדל	j-03
התלקחות	התלקחות	דחייה: שורש-קיים	ספק: המילונים מסווגים את התלקח תחת שורש לקח	j-13
התפאר	התפאר	דחייה: שורש-קיים		j-13
זמם	זמם	דחייה: שורש-קיים		j-03
חבץ	חבץ	דחייה: שורש-קיים		j-14
חובל	חובל	דחייה: שורש-קיים		j-14
חיבל	חיבל	דחייה: שורש-קיים		j-15
חיטא	חיטא	דחייה: שורש-קיים		j-15
חלוק	חלוק	דחייה: שורש-קיים		j-15
חלוקים	חלוקים	דחייה: שורש-קיים		j-15
חלקלקות	חלקלקות	דחייה: שורש-קיים		j-15
חנן	חנן	דחייה: שורש-קיים		j-15
חשק את שפתיו	חשק את שפתיו	דחייה: שורש-קיים	ספק: וריאנט של "חשק את שיניו" שהתקבל; השורש כבר במאגר	j-15
טומן	טומן	דחייה: שורש-קיים		j-15
יצירת ביכורים	יצירת ביכורים	דחייה: שורש-קיים	ספק: משמעות הצירוף נגזרת מביכורים (בכר) שכבר במאגר	j-16
כורעת ללדת	כורעת ללדת	דחייה: שורש-קיים	ספק: המשמעות נשענת על כרע שכבר במאגר	j-16
כיסופים	כיסופים	דחייה: שורש-קיים	ספק: אם הערך הקיים משורש כספ אינו ממשפחת נכסף — ייתכן צירוף מקרים	j-16
כיתת רגליים	כיתת רגליים	דחייה: שורש-קיים	ספק: הערך הקיים משורש כתת כנראה מכסה את הניב עצמו	j-16
כלימה	כלימה	דחייה: שורש-קיים		j-16
כרכרה	כרכרה	דחייה: שורש-קיים		j-17
לאבק	לאבק	דחייה: שורש-קיים		j-17
לגימה	לגימה	דחייה: שורש-קיים		j-17
להאביס	להאביס	דחייה: שורש-קיים		j-17
להטליא	להטליא	דחייה: שורש-קיים		j-17
להיחלץ	להיחלץ	דחייה: שורש-קיים		j-17
להיחפז	להיחפז	דחייה: שורש-קיים		j-17
להשמיץ	להשמיץ	דחייה: שורש-קיים		j-04
להתפאר	להתפאר	דחייה: שורש-קיים		j-18
לחלופין	לחלופין	דחייה: שורש-קיים		j-18
לחלוץ	לחלוץ	דחייה: שורש-קיים		j-18
לנסר	לנסר	דחייה: שורש-קיים		j-04
מאופק	מאופק	דחייה: שורש-קיים		j-20
מבואר	מבואר	דחייה: שורש-קיים		j-20
מבוסם	מבוסם	דחייה: שורש-קיים	ספק: אם הערך הקיים בשורש בסמ הוא בושם/מבושם — מבוסם נבדל במשמעות	j-20
מגובב	מגובב	דחייה: שורש-קיים		j-20
מגולען	מגולען	דחייה: שורש-קיים		j-20
מהסה	מהסה	דחייה: שורש-קיים		j-20
מלטשה	מלטשה	דחייה: שורש-קיים		j-22
מלמול	מלמול	דחייה: שורש-קיים		j-22
מעפיל	מעפיל	דחייה: שורש-קיים		j-23
מרובב	מרובב	דחייה: שורש-קיים		j-23
מרושש	מרושש	דחייה: שורש-קיים		j-23
מרט את עצביו	מרט את עצביו	דחייה: שורש-קיים		j-23
מתמיה	מתמיה	דחייה: שורש-קיים		j-05
מתפכח	מתפכח	דחייה: שורש-קיים		j-24
מתרושש	מתרושש	דחייה: שורש-קיים		j-24
נגזר דינו	נגזר דינו	דחייה: שורש-קיים	ספק: ניב עצמאי, אך שורש גזר כבר במאגר	j-24
