למה	שורש	מועדים	הופעות	ממוצע-שאלה	סוגים	צורות-מקור	הערות	ציטוטים
הֶעֱלָה מִתְּהוֹם הַנְּשִׁיָּה	נ-ש-ה	1	1	6.0	analogy	העלה מתהום הנשייה	שורש-חריג: ערך הניב בצירוף "תהום הנשייה" (שורש נ-ש-ה), לא בפועל העלה שכבר קיים — ניב עצמאי הנבחן כערך נבדל	spring_2025·פרק1·ש6·רגל
הֶרֶף עַיִן	-	1	1	6.0	analogy	להרף עין		summer_2021·פרק1·ש6·מסיח 2
הַשָּׂגָה	נ-ש-ג	1	1	6.0	analogy	השגות		2020_autumn·פרק1·ש6·מסיח 2
הִתְעַרְטֵל	ע-ר-ט-ל	1	1	2.0	analogy	להתערטל		summer_2022·פרק2·ש2·רגל
זָרָה חוֹל בְּעֵינָיו	ז-ר-ה	1	1	3.0	analogy	זרה חול בעיניו	שורש-חריג: ניב בעל משמעות עצמאית (להטעות), ערך לימודי נבדל מהפועל זרה	summer_2022·פרק1·ש3·מסיח 1
חָזַר לְסוּרוֹ	-	1	1	0.0	completion	לסורו		2019_spring·פרק2·ש13·אפשרות ?
חָצִיר	ח-צ-ר	1	1	3.0	analogy	חציר		2020_autumn·פרק1·ש3·מסיח 2
חֵרֵף אֶת נַפְשׁוֹ	ח-ר-פ	1	1	5.0	analogy	חירף את נפשו	שורש-חריג: "חירף" במאגר = גידף; הניב במשמעות סיכן את חייו — ערך נבדל	2020_spring·פרק2·ש5·מסיח 3
חָשַׁק אֶת שִׁנָּיו	ח-ש-ק	1	1	6.0	analogy	חשק את שיניו	שורש-חריג: הניב במשמעות הידוק שיניים — ערך נבדל מ"חשק" שבמאגר	autumn_2023·פרק1·ש6·מסיח 2
יָדוֹ לֹא הָיְתָה מַשֶּׂגֶת	-	1	1	6.0	analogy	ידו לא הייתה משגת	שורש-חריג: ניב עצמאי ("לא יכול היה להרשות לעצמו"); החפיפה ל"ידו" היא במילה, לא בשורש	2020_winter·פרק2·ש6·מסיח 1
יִשֵּׁר אֶת הַהֲדוּרִים	י-ש-ר	1	1	6.0	analogy	יישר את ההדורים	שורש-חריג: ניב אטום — ערכו הלימודי במכלול (הֲדוּרִים), לא כפילות של הערך הקיים משורש ישר	2020_summer·פרק2·ש6·מסיח 3
לֹא הָיְתָה לוֹ יָד בַּדָּבָר	-	1	1	6.0	analogy	לא הייתה לו יד בדבר		2020_winter·פרק2·ש6·מסיח 2
לוּלְיָנִי	-	1	1	6.0	analogy	לולייני		summer_2021·פרק2·ש6·רגל
לְרוֹעֵץ	ר-ע-צ	1	1	0.0	completion	לרועץ		2019_winter·פרק1·ש13·אפשרות ?
מִגְדַּל קְלָפִים	-	1	1	6.0	analogy	מגדל קלפים	שורש-חריג: צירוף כבול במשמעות מושאלת; החפיפה לשורש גדל דרך "מגדל" אינה אותו ערך לימודי	spring_2022·פרק1·ש6·רגל
מַלְקוֹשׁ	ל-ק-ש	1	1	5.0	analogy	מלקוש		summer_2025·פרק2·ש5·מסיח 4
מַפְלִיא מַכּוֹתָיו	פ-ל-א	1	1	4.0	analogy	מפליא מכותיו	שורש-חריג: ניב שמשמעותו (הכה נמרצות) אינה נגזרת מהערך הקיים בשורש פלא	summer_2025·פרק1·ש4·מסיח 3
מְקֻרְזָל	ק-ר-ז-ל	1	1	6.0	analogy	מקורזל		summer_2021·פרק2·ש6·מסיח 3
נָבוּל	נ-ב-ל	1	1	4.0	analogy	נבול		autumn_2023·פרק1·ש4·מסיח 1
נִשְׁבַּר מַטֵּה לַחְמוֹ	-	1	1	5.0	analogy	נשבר מטה לחמו	שורש-חריג: ניב עצמאי — ערך הלמידה ב"מַטֵּה לַחְמוֹ", לא בנגזרת שקופה של שבר	summer_2024·פרק2·ש5·מסיח 1
עוֹמֵד בְּעֵינוֹ	ע-מ-ד	1	1	3.0	analogy	עומד בעינו	שורש-חריג: המבחן (2020_summer פרק1 ש3) בוחן ארבעה ניבי עמד באותה שאלה כערכים נבדלים	2020_summer·פרק1·ש3·מסיח 3
עַל אַפּוֹ וְעַל חֲמָתוֹ	-	1	1	2.0	analogy	על אפו ועל חמתו	שורש-חריג: ניב שלם בעל משמעות עצמאית; ההתאמה ל"חמתו" היא הכלה מילולית ולא כפילות ערך	autumn_2024·פרק2·ש2·מסיח 3
עָנֹג	ע-נ-ג	1	1	6.0	analogy	ענוג		summer_2025·פרק1·ש6·מסיח 3
פִּיֵּס	פ-י-ס	1	1	6.0	analogy	פייס		winter_2023·פרק1·ש6·מסיח 4
פִּלְבֵּל	פ-ל-ב-ל	1	1	4.0	analogy	פלבל		spring_2022·פרק1·ש4·מסיח 4
פָּסַע	פ-ס-ע	1	1	6.0	analogy	פסע		spring_2023·פרק2·ש6·מסיח 3
פְּרִיטָה	פ-ר-ט	1	1	2.0	analogy	פריטה		summer_2023·פרק2·ש2·מסיח 1
פָּשַׁט יָד	פ-ש-ט	1	1	3.0	analogy	פשט יד	שורש-חריג: ניב עצמאי — משמעותו (קיבוץ נדבות) אינה נגזרת מהערך פשט	summer_2026·פרק1·ש3·מסיח 4
צָרוּת עַיִן	צ-ר-ר	1	1	5.0	analogy	צרות עין	שורש-חריג: ניב עצמאי — משמעותו (קנאה, קמצנות) אינה נגזרת מהערך עין	autumn_2025·פרק2·ש5·מסיח 4
קַו פָּרָשַׁת הַמַּיִם	פ-ר-ש	1	1	5.0	analogy	קו פרשת המים	שורש-חריג: ניב עצמאי — מובנו המטפורי (נקודת מפנה) אינו נגזר מהערך פרש	winter_2022·פרק1·ש5·מסיח 1
קוֹלָר	-	1	2	0.0	completion	וקולר / קולר		spring_2023·פרק1·ש13·אפשרות 4 ; spring_2023·פרק1·ש13·אפשרות 4
קָצְרָה יָדוֹ מֵהוֹשִׁיעַ	ק-צ-ר	1	1	6.0	analogy	קצרה ידו מהושיע	שורש-חריג: ניב מקראי אטום הנבחן כיחידה עצמאית, לא כפל של 'קצר'	2020_winter·פרק2·ש6·רגל
רַךְ לֵבָב	ל-ב-ב	1	1	1.0	analogy	רך לבב	שורש-חריג: ניב שמשמעותו (מוג-לב, פחדן) אינה נגזרת מהערך לבב	summer_2024·פרק2·ש1·מסיח 3
שָׁטַח תַּחֲנוּנָיו	ש-ט-ח	1	1	5.0	analogy	שטח תחנוניו	שורש-חריג: ה-close על תחנוניו (חננ), אך הצירוף נלמד כיחידה וליבת החידוש היא שָׁטַח — שורש שונה	autumn_2025·פרק1·ש5·רגל
שָׁנוּי בְּמַחֲלֹקֶת	ש-נ-ה	1	1	5.0	analogy	שנוי במחלוקת		spring_2023·פרק2·ש5·רגל
שִׁנֵּס	ש-נ-ס	1	1	0.0	completion	לשנס		2019_spring·פרק2·ש13·אפשרות ?
שִׁנֵּעַ	ש-נ-ע	1	1	5.0	analogy	שינע		2020_summer·פרק2·ש5·מסיח 1
תְּבוּסְתָנוּת	ב-ו-ס	1	1	6.0	analogy	תבוסתנות		2020_winter·פרק1·ש6·מסיח 4
תָּחַם	ת-ח-ם	1	1	5.0	analogy	תחם		summer_2023·פרק1·ש5·רגל
הִלְשִׁין	ל-ש-נ	1	1	5.0	analogy	להלשין	אישור מפורש של חגי (נדחה בשיפוט כ"שכיחה" — האישור גובר)	spring_2025·פרק2·ש5·רגל
