מילה	פירוש היום	מה במשפט	ההצעה	מי צריך להשתנות	חוזק	למה
hasten	למהר, להחפז	להחיש	למהר, להחפז; להחיש	פירוש	חזק	"hasten our departure" הוא פועל יוצא. הפירוש נותן רק פועל עומד
invoke	לעורר, לזמן	להסתמך	להסתמך על, להפעיל (סעיף); לעורר, לזמן	פירוש	חזק	"invoke a policy" הוא להסתמך על או להפעיל
grievance	טרוניה, התמרמרות	תלונה	תלונה רשמית, טרוניה, התמרמרות	פירוש	חזק	"filed a grievance" הוא הגיש תלונה
incidence	כמות, הִקָּרוּת (משהו שקורה)	התדירות	שכיחות, היארעות	פירוש	חזק	שכיחות היא המילה. הפירוש הנוכחי מנוקד וזה חריג במאגר, וגם המשפט שגוי: תדירות היא frequency
plight	צרה, סכנה	במצוקה	מצוקה, צרה; סכנה	פירוש	חזק	מצוקה היא המילה הרגילה ל-plight, והיא אינה בפירוש
slate	להכניס מישהו לרשימה; רעף, לוח	נקבעה	לקבוע (מועד), להכניס לרשימה; רעף, לוח	פירוש	חזק	"slated for Tuesday" הוא נקבע ל-
soar	להמריא	דאה	לנסוק, לדאות; להמריא	פירוש	חזק	להמריא הוא take off. soar הוא לנסוק או לדאות, ולכן כאן הפירוש עלול להיות שגוי ולא רק חסר
fancy	מחבב; מגונדר	העדיפה	הפירוש נשאר כפי שהוא	משפט	חזק	fancy אינו העדיף. משפט הדוגמה מתרגם מילה אחרת, והפירוש הוא הצד הנכון
down	למטה	במורד	למטה; במורד, לאורך	פירוש	בינוני	הפירוש נותן רק את התואר. במשפט זו מילת יחס ("down the hallway"), וזה מובן נפרד
pause	הפסקה, להפסיק	עצרה	הפסקה, להפסיק; לעצור, להשהות	פירוש	בינוני	"hit pause on the movie" הוא לעצור או להשהות
set up	להרכיב, לארגן, לסדר	הקימו	להרכיב, להקים, לארגן, לסדר	פירוש	בינוני	"set up the tent" הוא הקימו. להרכיב קרוב אך אינו הצורה שבמשפט
as many as	רבים כמו (מספר גדול)	לא פחות	לא פחות מ-, עד כדי	פירוש	בינוני	הפירוש הוא תיאור בסוגריים ולא תרגום. במשפט "לא פחות מחמישים"
district	מחוז	אזור	מחוז, רובע	פירוש	בינוני	⚠ לא להוסיף "אזור": זה הפירוש של area, ושתי מילים עם אותו פירוש שוברות את התרגול. רובע מכסה
apparently	כנראה	מסתבר	כנראה, מסתבר ש-	פירוש	בינוני	"apparently he did not know" הוא מסתבר ש-
permit	אישור, רישיון; להרשות	מתירים	אישור, רישיון; להרשות, להתיר	פירוש	בינוני	להתיר הוא הפועל שבמשפט, ואינו בפירוש
govern	למשול	יקבע	למשול; להסדיר, לקבוע	פירוש	בינוני	"rules govern how the club operates" אינו למשול
probe	לחטט, לברר, לגשש	בוחנים	לחקור, לברר, לגשש, לחטט	פירוש	בינוני	"probe the ocean depths" הוא לחקור
skinned	פשט עור	קילף	פשט עור, קילף	פירוש	בינוני	⚠ אפשר גם הפוך: להחליף במשפט את הפרי בבעל חיים. "skinned the fruit" הוא קילף, והפירוש הנוכחי צר לבעלי חיים
urge	לעודד, לדחוף ; דחף, רצון, תשוקה	דוחק	לדחוק ב, לעודד, לדחוף; דחף, רצון, תשוקה	פירוש	בינוני	"I urge you" הוא דוחק ב. בהזדמנות זו גם הרווח המיותר שלפני הנקודה-פסיק
expend	לגמור, לבזבז, לפזר	הוציא	להוציא, לבזבז, לגמור, לפזר	פירוש	בינוני	"expended most of its budget" הוא הוציא
respective	שייך בהתאמה	כל אחת	בהתאמה, של כל אחד	פירוש	בינוני	"שייך בהתאמה" אינו עברית שגורה. קרא בקול
hold back	לעכב, למנוע	תדחיק	הפירוש נשאר כפי שהוא	משפט	בינוני	תדחיק הוא repress. התרגום הטבעי הוא "אל תכבוש את רגשותיך"
ensue	להתרחש בעקבות, לבוא כתוצאה, להתחולל	פרץ	הפירוש נשאר כפי שהוא	משפט	בינוני	"פרץ כאוס" הוא broke out. הפירוש נכון, והמשפט לוקח חירות ניסוח
circle	להקיף בעיגול; מעגל	חג	מעגל; להקיף בעיגול, לחוג	פירוש	חלש	הפירוש מתאר את הפעולה ואינו נותן לה מילה. במשפט "חג"
herd	לאסוף; עדר, לרעות	לכנס	לאסוף; עדר, לכנס, לרעות	פירוש	חלש	לכנס ולאסוף קרובות מאוד. הפירוש מכסה, וההוספה היא ליטוש ⚠ ההצעה המקורית הובילה ב«עדר» · נמדד שזה סוגר את הקבלה של "לאסופ עדר" (segConcat דורש רצף בסדר), ולכן «לאסוף» נשאר ראשון ו«לכנס» נוסף
unfold	נפרש, נפתח, התגלה; לפתוח קיפול	נחשף	הפירוש נשאר כפי שהוא	משפט	חלש	"התגלה" שבפירוש הוא אותו מובן. המשפט בחר מילה נרדפת
lapse	מעידה, פליטת פה; פרק זמן, פקיעה, סיום	רגע של שכחה	הפירוש נשאר כפי שהוא	משפט	חלש	"מעידה" שבפירוש מכסה. המשפט הרחיב לביטוי בן שלוש מילים
prop	תמיכה, אביזר; לתמוך	להחזיק	הפירוש נשאר כפי שהוא	משפט	חלש	"לתמוך" שבפירוש מכסה את "prop the door open"
silk	משי	ממשי	⛔ אין שינוי	שום צד · דגל שקרי	אין	"ממשי" במשפט הוא מ+משי. שלושת השופטים קראו אותו כמילה "ממשי" והשוו שורש מ-ש-ש. הפירוש נכון והמשפט נכון
