מילה	פירוש היום	הפירוש החדש	הכרעה	נימוק
impose	לכפות	להטיל, לכפות	פאנל 3/3	פירוש שגוי
improve	לשפר	לשפר; להשתפר	פאנל 3/3	פירוש צר מדי
in favor of	לטובת	בעד, לטובת	פאנל 3/3	פירוש שגוי
in order	תקין, מסודר	כדי, תקין, מסודר	פאנל 3/3	פירוש שגוי
in that case	במקרה הזה	אם כך, במקרה הזה	פאנל 3/3	פירוש שגוי
incident	תקרית	תקרית; אירוע	פאנל 3/3	פירוש צר מדי
inconsistent	לא עקבי	לא עקבי; סותר	פאנל 3/3	פירוש צר מדי
individual	יחיד, אינדיבידואל	יחיד, אינדיבידואל; אישי	פאנל 3/3	פירוש צר מדי
induce	לגרום, לייצר	לגרום, לייצר; לשכנע	פאנל 3/3	פירוש צר מדי
infancy	ינקות	ינקות; שלב ראשוני	פאנל 3/3	פירוש צר מדי
infected	הודבק	נגוע, הודבק	פאנל 3/3	פירוש שגוי
inferred	נגזר, משתמע	להסיק, נגזר, משתמע	פאנל 3/3	פירוש שגוי
inhibit	לרסן	לעכב, לרסן; למנוע	פאנל 3/3	פירוש שגוי
inquiry	חקירה	בירור, חקירה	פאנל 3/3	מובן נפוץ חסר
instrument	כלי	כלי; כלי נגינה	פאנל 3/3	פירוש צר מדי
intellectual	אינטלקטואלי	אינטלקטואלי; אינטלקטואל	פאנל 3/3	פירוש צר מדי
interjection	הערה, הפרעה לשיחה	מילת קריאה, הערה, הפרעה לשיחה	פאנל 3/3	פירוש שגוי
interminable	נצחי	אינסופי, נצחי; בלתי נגמר	פאנל 3/3	פירוש שגוי
introduce	להציג, לעשות היכרות	להציג, לעשות היכרות; להכניס	פאנל 3/3	פירוש צר מדי
inventory	מצאי	מלאי, מצאי; רשימת מלאי	פאנל 3/3	פירוש שגוי
involve	לערב	לכלול, לערב	פאנל 3/3	מובן נפוץ חסר
irregular	לא רגיל	לא סדיר, לא רגיל	פאנל 3/3	פירוש שגוי
jewel	תכשיט	תכשיט; אבן חן	פאנל 3/3	פירוש צר מדי
judgment	שיפוט	שיפוט; שיקול דעת, פסק דין	פאנל 3/3	פירוש צר מדי
keep	לשמור; חלק מהמצודה	לשמור; חלק מהמצודה; להמשיך	פאנל 3/3	פירוש צר מדי
labor	להתאמץ; עבודה, עמל, לעמול	להתאמץ; עבודה, עמל, לעמול; לידה	פאנל 3/3	פירוש צר מדי
laid	מונח	להניח, מונח; להטיל	פאנל 3/3	פירוש שגוי
lane	מסלול	נתיב, מסלול	פאנל 3/3	פירוש שגוי
launder	לכבס	לכבס; להלבין	פאנל 3/3	פירוש צר מדי
lean	להישען	להישען; רזה	פאנל 3/3	פירוש צר מדי
left	שמאלה	שמאל, שמאלה; לעזוב	פאנל 3/3	פירוש שגוי
lie	לשקר, שקר	לשקר, שקר; לשכב	פאנל 3/3	פירוש צר מדי
lie, lay	לשכב, שכב	לשכב, שכב; להימצא	פאנל 3/3	פירוש צר מדי
load	להעמיס	מטען, להעמיס; לטעון	פאנל 3/3	פירוש שגוי
locate	לאתר	לאתר; למקם	פאנל 3/3	פירוש צר מדי
loosely	באופן רפוי	באופן רופף, באופן רפוי; בערך	פאנל 3/3	פירוש שגוי
lower	להנמיך	להוריד, להנמיך; נמוך	פאנל 3/3	פירוש שגוי
makeup	איפור	איפור; הרכב	פאנל 3/3	פירוש צר מדי
management	ניהול	ניהול; הנהלה	פאנל 3/3	פירוש צר מדי
mandate	מנדט, ייפוי כוח	מנדט, ייפוי כוח; לחייב	פאנל 3/3	פירוש צר מדי
margin	שוליים, מרווח	שוליים, מרווח; הפרש	פאנל 3/3	פירוש צר מדי
market	שוק	שוק; לשווק	פאנל 3/3	פירוש צר מדי
mastery	מומחיות	שליטה, מומחיות	פאנל 3/3	מובן נפוץ חסר
match	גפרור; התאמה, להתאים	משחק, גפרור; התאמה, להתאים	פאנל 3/3	מובן נפוץ חסר
measure	אמצעי; למדוד	אמצעי; למדוד; מידה	פאנל 3/3	פירוש צר מדי
melt	להמיס	להימס, להמיס	פאנל 3/3	מובן נפוץ חסר
mental	נפשי	נפשי; שכלי	פאנל 3/3	פירוש צר מדי
mentor	מדריך רוחני	חונך, מדריך רוחני	פאנל 3/3	פירוש שגוי
message	הודעה	הודעה; מסר	פאנל 3/3	פירוש צר מדי
migrate	להגר	לנדוד, להגר	פאנל 3/3	מובן נפוץ חסר
minister	שר (בממשלה)	שר (בממשלה); כומר	פאנל 3/3	פירוש צר מדי
mobilize	לנייד, להניע	לגייס, לנייד, להניע	פאנל 3/3	פירוש שגוי
mock	ללעוג	ללעוג; מדומה	פאנל 3/3	פירוש צר מדי
modest	צנוע	צנוע; מתון	פאנל 3/3	פירוש צר מדי
mold	לעצב; עובש	לעצב; עובש; תבנית	פאנל 3/3	פירוש צר מדי
moral	מוסר	מוסרי, מוסר; מוסר השכל	פאנל 3/3	פירוש שגוי
mostly	לרוב	בעיקר, לרוב	פאנל 3/3	פירוש שגוי
narrow	צר	צר; לצמצם	פאנל 3/3	פירוש צר מדי
nationality	לאום	לאום; אזרחות	פאנל 3/3	פירוש צר מדי
nature	טבע	טבע; מהות	פאנל 3/3	פירוש צר מדי
negate	לשלול	לשלול; לבטל	פאנל 3/3	פירוש צר מדי
nobility	אצולה	אצולה; אצילות	פאנל 3/3	פירוש צר מדי
noted	ידוע, מפורסם	לציין, ידוע, מפורסם	פאנל 3/3	מובן נפוץ חסר
obligation	התחייבות	התחייבות; חובה	פאנל 3/3	פירוש צר מדי
observe	להתבונן, להבחין	להתבונן, להבחין; לשמור	פאנל 3/3	פירוש שגוי
observer	משקיף	משקיף; צופה	פאנל 3/3	פירוש צר מדי
occasions	הזדמנויות, מקרים	אירוע, הזדמנויות, מקרים	פאנל 3/3	פירוש שגוי
occupy	להעסיק; לתפוס, לאכלס	להעסיק; לתפוס, לאכלס; לכבוש	פאנל 3/3	פירוש צר מדי
offender	פושע, פוגע	עבריין, פושע, פוגע	פאנל 3/3	פירוש שגוי
offensive	מעליב, פוגעני	מעליב, פוגעני; התקפה	פאנל 3/3	פירוש צר מדי
official	רשמי, מאושר	רשמי, מאושר; פקיד	פאנל 3/3	פירוש צר מדי
on top of	על, מעל	על, מעל; בנוסף ל	פאנל 3/3	פירוש צר מדי
only	רק	רק; יחיד	פאנל 3/3	פירוש צר מדי
orient	להתמצא	לכוון, להתמצא	פאנל 3/3	פירוש שגוי
orientation	התמצאות	התמצאות; כיוון	פאנל 3/3	פירוש צר מדי
original	מקורי	מקורי; מקור	פאנל 3/3	פירוש צר מדי
over	על, מעל; מחדש, שוב	על, מעל; מחדש, שוב; נגמר	פאנל 3/3	פירוש צר מדי
pad	לרפד	פנקס, לרפד; רפידה	פאנל 3/3	מובן נפוץ חסר
panic	פאניקה, בהלה	פאניקה, בהלה; להיבהל	פאנל 3/3	פירוש צר מדי
pedestrian	הולך רגל	הולך רגל; שגרתי	פאנל 3/3	פירוש צר מדי
penned	כתב	כתב; לכלוא	פאנל 3/3	פירוש שגוי
perceive	להבחין, לראות	לתפוס, להבחין, לראות	פאנל 3/3	מובן נפוץ חסר
persist	להתמיד, להתעקש	להתמיד, להתעקש; להימשך	פאנל 3/3	פירוש צר מדי
pilot	טייס	טייס; ניסיוני	פאנל 3/3	פירוש צר מדי
pinch	לצבוט	לצבוט; קורט	פאנל 3/3	פירוש צר מדי
pioneer	חלוץ	חלוץ; לפרוץ דרך	פאנל 3/3	פירוש צר מדי
pit	בור	בור; גלעין	פאנל 3/3	פירוש צר מדי
plague	מגפה	מגפה; להטריד	פאנל 3/3	פירוש צר מדי
plead	לעתור, להתחנן	לעתור, להתחנן; לטעון	פאנל 3/3	פירוש צר מדי
populous	מאוכלס בצפיפות	רב אוכלוסין, מאוכלס בצפיפות	פאנל 3/3	פירוש שגוי
position	מיקום, למקם; תנוחה; תפקיד, משרה	עמדה, מיקום, למקם; תנוחה; תפקיד, משרה	פאנל 3/3	מובן נפוץ חסר
posture	יציבה, תנוחה	יציבה, תנוחה; עמדה	פאנל 3/3	פירוש צר מדי
potential	אפשרי, פוטנציאלי	פוטנציאל, אפשרי, פוטנציאלי	פאנל 3/3	מובן נפוץ חסר
powerful	רב כוח	חזק, רב כוח; רב עוצמה	פאנל 3/3	פירוש שגוי
predict	לצפות מראש	לחזות, לצפות מראש; לנבא	פאנל 3/3	פירוש שגוי
prepare	התכונן	להכין, התכונן; להתכונן	פאנל 3/3	פירוש שגוי
prescribe	לרשום מרשם	לרשום, לרשום מרשם; להורות	פאנל 3/3	פירוש שגוי
presentation	מצגת	מצגת; הצגה	פאנל 3/3	פירוש צר מדי
presently	כעת	כעת; בקרוב	פאנל 3/3	פירוש שגוי
priest	כומר	כומר; כהן	פאנל 3/3	פירוש צר מדי
product	מוצר	מוצר; תוצר	פאנל 3/3	פירוש צר מדי
professional	מקצועי	מקצועי; מקצוען	פאנל 3/3	פירוש צר מדי
proliferate	התפשט במהירות	להתרבות, התפשט במהירות	פאנל 3/3	פירוש שגוי
prompted	הביא לידי	לעורר, הביא לידי; לגרום	פאנל 3/3	פירוש שגוי
proportion	שיעור, מידה	יחס, שיעור, מידה	פאנל 3/3	פירוש שגוי
proposition	הצעה	הצעה; טענה	פאנל 3/3	פירוש צר מדי
prove	להוכיח	להוכיח; להתברר	פאנל 3/3	פירוש צר מדי
provoke	להתגרות, להסית	לעורר, להתגרות, להסית	פאנל 3/3	מובן נפוץ חסר
pupil	תלמיד	תלמיד; אישון	פאנל 3/3	פירוש צר מדי
pursue	לרדוף	לרדוף; לשאוף	פאנל 3/3	פירוש צר מדי
pursuit	מרדף	מרדף; שאיפה	פאנל 3/3	פירוש צר מדי
puzzle	חידה, פאזל	חידה, פאזל; לבלבל	פאנל 3/3	פירוש צר מדי
quake	רעד	לרעוד, רעד; רעידת אדמה	פאנל 3/3	פירוש שגוי
qualify	להיות מוסמך	להעפיל, להיות מוסמך	פאנל 3/3	פירוש שגוי
quality	איכות	איכות; תכונה	פאנל 3/3	פירוש צר מדי
quench	לספק, להרוות	לספק, להרוות; לכבות	פאנל 3/3	פירוש צר מדי
quite	למדי	די, למדי; לגמרי	פאנל 3/3	פירוש שגוי
range	טווח; רכס; מטווח	טווח; רכס; מטווח; לנוע	פאנל 3/3	פירוש צר מדי
readily	ללא קושי	בקלות, ללא קושי; ברצון	פאנל 3/3	פירוש שגוי
realize	הבין	להבין, הבין; להגשים	פאנל 3/3	פירוש שגוי
reasonable	הגיוני	סביר, הגיוני	פאנל 3/3	מובן נפוץ חסר
recipient	נמען	מקבל, נמען	פאנל 3/3	פירוש שגוי
