⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
so	אז, כך ש-, ולכן; כל-כך, מאוד	אז | כל כך	2:כל כך
so that	כך ש-	כדי ש	1:כדי ש
soon	בהקדם, מוקדם	בקרוב	1:בקרוב
spend	לבזבז, לפזר; לבלות, להעביר	להוציא | לבלות	1:להוציא
stand	לעמוד	לעמוד | דוכן | עמדה	2:דוכן | 3:עמדה
star	כוכב, לככב	כוכב | כוכבית	2:כוכבית
stupid	טיפש	טיפשי | מטומטם	1:טיפשי | 2:מטומטם
suddenly	לפתע	פתאום	1:פתאום
sugar	סוכר	סוכר | מותק	2:מותק
surprise	הפתעה	הפתעה | להפתיע	2:להפתיע
sweet	מתוק, ממתק	מתוק | חמוד	2:חמוד
team	צוות	קבוצה	1:קבוצה
thanks to	תודות ל-	הודות ל	1:הודות ל
that	ש-	ש | ההוא	1:ש | 2:ההוא
through	דרך, מבעד	דרך | באמצעות	2:באמצעות
ticket	כרטיס	כרטיס | דוח	2:דוח
time	זמן	זמן | פעם	2:פעם
too	גם; יותר מידי	גם | מדי	2:מדי
trust	אמון, לבטוח	אמון | לבטוח | קרן נאמנות	3:קרן נאמנות
turn	לפנות, סיבוב	לפנות | תור | לסובב	2:תור | 3:לסובב
until	עד ש-	עד	1:עד
voice	קול, להשמיע קול	קול | להביע	2:להביע
wait	להמתין, המתנה	לחכות | המתנה	1:לחכות
wall	קיר	קיר | חומה	2:חומה
want	לרצות	לרצות | מחסור	2:מחסור
watch	להסתכל, להשגיח; שעון	לצפות | שעון | להשגיח	1:לצפות
when	כאשר, כש-	מתי | כאשר	1:מתי
why	מדוע	למה | מדוע	1:למה
without	מבלי, ללא	בלי	1:בלי
wonderful	נפלא	נפלא | נהדר	2:נהדר
worse	גרוע יותר	רע | גרוע	1:רע | 2:גרוע
writer	סופר	סופר | כותב	2:כותב
afraid	מפחד	מפוחד | חושש	1:מפוחד | 2:חושש
along	לאורך	לאורך | יחד עם	2:יחד עם
architect	ארכיטקט	אדריכל	1:אדריכל
as soon as	כאשר, ברגע ש-	ברגע ש	1:ברגע ש
as well as	כמו גם	כמו גם | וגם	2:וגם
asked for	ביקש	לבקש	1:לבקש
authentic	מקורי, אותנטי	אותנטי | אמיתי	2:אמיתי
base	בסיס	בסיס | לבסס	2:לבסס
bath	אמבטיה, להתרחץ	אמבטיה | רחצה	2:רחצה
beach	חוף ים	חוף	1:חוף
candy	ממתק	ממתק | סוכריה	2:סוכריה
care	לחבב; לדאוג, לטפל	לדאוג | טיפול | לטפל	2:טיפול
case	תיבה; מקרה, טיעון	מקרה | תיק	2:תיק
catch, caught	לתפוס, תפס	לתפוס | להידבק	2:להידבק
cause	מטרה; גורם, סיבה	לגרום | סיבה	1:לגרום
cheat	לרמות, לבגוד	לרמות | רמאי	2:רמאי
chemical	כימיקל, כימי	כימי | חומר כימי	2:חומר כימי
circle	להקיף בעיגול; מעגל	מעגל | להקיף	2:להקיף
comic	קומי (מהמילה קומדיה)	קומי | קומיקס	2:קומיקס
connect	לחבר	לחבר | להתחבר	2:להתחבר
container	מיכל, קונטיינר	מכל | קונטיינר	1:מכל
copy	להעתיק	עותק | להעתיק	1:עותק
country	ארץ; כפר, אזור	מדינה | ארץ	1:מדינה
couple	זוג, לצמד	זוג | לחבר	2:לחבר
cousin	בן-דוד	בן דוד	1:בן דוד
crash	להתנגש, התנגשות	להתרסק | תאונה	1:להתרסק | 2:תאונה
criteria	אמות מידה, קריטריונים	קריטריון | אמת מידה	1:קריטריון | 2:אמת מידה
cross	לחצות; צלב, להצליב	לחצות | צלב | כועס	3:כועס
crowd	קהל; להצטופף	קהל | המון	2:המון
damage	נזק, לגרום נזק	נזק | להזיק	2:להזיק
darkness	חשיכה	חושך	1:חושך
depression	דיכאון	דיכאון | מיתון | שקע	2:מיתון | 3:שקע
design	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב | לעצב	1:עיצוב
dictator	עריץ, דיקטטור	רודן	1:רודן
direction	כיוון	כיוון | הכוונה	2:הכוונה
drastic	דרסטי	דרסטי | קיצוני	2:קיצוני
earlier	קודם לכן	מוקדם	1:מוקדם
echo	הד	הד | להדהד	2:להדהד
ecological	אקולוגי	אקולוגי | סביבתי	2:סביבתי
elastic	גמיש, אלסטי, גומיה	גמיש | גומייה	2:גומייה
enter	נכנס	להיכנס	1:להיכנס
error	שגיאה	שגיאה | טעות	2:טעות
excellent	מצוין	מצוין | נהדר	2:נהדר
fail	להיכשל	להיכשל | להכשיל	2:להכשיל
farm	חווה	חווה | משק	2:משק
file	תיק, קובץ	קובץ | תיק | להגיש	3:להגיש
filter	פילטר, מסנן	מסנן | לסנן	2:לסנן
flow	זרם	לזרום | זרימה	1:לזרום | 2:זרימה
flower	פרח	פרח | לפרוח	2:לפרוח
for	מפני ש-; עבור	בשביל | עבור | כי	1:בשביל | 3:כי
found	מצא, גילה; לייסד	למצוא | לייסד	1:למצוא
freeze, froze	להקפיא, הקפיא	לקפוא | להקפיא	1:לקפוא
front	חזית, להתעמת	חזית | קדמי	2:קדמי
garden	גן	גינה	1:גינה
genes	גנים	גן	1:גן
giant	ענק	ענק | ענקי	2:ענקי
global	עולמי, גלובאלי	עולמי | גלובלי	2:גלובלי
golden	מוזהב	זהוב	1:זהוב
hid from	התחבא מ-	להסתתר מ	1:להסתתר מ
horror	אימה	אימה | זוועה	2:זוועה
in case	למקרה ש-, שמא; אם במקרה	למקרה ש	1:למקרה ש
in that case	במקרה הזה	אם כך	1:אם כך
installation	התקנה	התקנה | מיצב	2:מיצב
intellectual	אינטלקטואלי	אינטלקטואלי | אינטלקטואל	2:אינטלקטואל
intuition	אינטואיציה	אינטואיציה | תחושת בטן	2:תחושת בטן
kind	סוג; טוב לב, אדיב, נעים	סוג | אדיב | נחמד	3:נחמד
largest	הגדול ביותר	גדול	1:גדול
last	אחרון; המשיך, החזיק מעמד	אחרון | להימשך	2:להימשך
leader	מנהיג	מנהיג | מוביל	2:מוביל
level	לאזן, להשוות; רמה, דרגה, מפלס	רמה | ישר | ליישר	2:ישר | 3:ליישר
liberal	ליברלי, מתירני	ליברלי | נדיב	2:נדיב
library	ספריה	ספרייה	1:ספרייה
losing	מפסיד	לאבד | להפסיד	1:לאבד | 2:להפסיד
mail	דואר	דואר | לשלוח	2:לשלוח
main	עיקרי	עיקרי | ראשי	2:ראשי
makeup	איפור	איפור | הרכב	2:הרכב
market	שוק	שוק | לשווק	2:לשווק
master	להתמחות, לשלוט; אדון, שליט	אדון | לשלוט ב | מומחה	2:לשלוט ב | 3:מומחה
mental	נפשי	נפשי | שכלי	2:שכלי
mentor	מדריך רוחני	חונך	1:חונך
miss	להתגעגע; לפספס	להחמיץ | להתגעגע | לפספס	1:להחמיץ
nature	טבע	טבע | מהות	2:מהות
network	רשת	רשת | ליצור קשרים	2:ליצור קשרים
neutral	ניטרלי	ניטרלי | אדיש	2:אדיש
nurse	אחות	אחות | להניק | לטפל	2:להניק | 3:לטפל
obsession	אובססיה, דיבוק	אובססיה | שיגעון	2:שיגעון
of course... but...	כמובן... אך...	כמובן... אבל...	1:כמובן... אבל...
official	רשמי, מאושר	רשמי | פקיד	2:פקיד
on top of	על, מעל	מעל | בנוסף ל	2:בנוסף ל
order	סדר; פקודה, לצוות; להזמין; מסדר (דתי)	הזמנה | סדר | פקודה	1:הזמנה
original	מקורי	מקורי | מקור	2:מקור
package	חפיסה, חבילה	חבילה | לארוז	2:לארוז
panic	פאניקה, בהלה	פאניקה | להיבהל	2:להיבהל
path	דרך, נתיב	שביל | נתיב	1:שביל
pause	הפסקה, להפסיק	הפסקה | להשהות	2:להשהות
pet	חיית מחמד	חיית מחמד | ללטף	2:ללטף
photograph	צילום, לצלם	תצלום | לצלם	1:תצלום
pilot	טייס	טייס | ניסיוני | להטיס	2:ניסיוני | 3:להטיס
potential	אפשרי, פוטנציאלי	פוטנציאל | פוטנציאלי	1:פוטנציאל
powerful	רב כוח	חזק | רב עוצמה | משפיע	1:חזק | 2:רב עוצמה | 3:משפיע
prehistoric	קדמון, פרה-היסטורי	פרהיסטורי | קדום	1:פרהיסטורי | 2:קדום
prepare	התכונן	להכין | להתכונן	1:להכין | 2:להתכונן
presentation	מצגת	מצגת | הצגה	2:הצגה
professional	מקצועי	מקצועי | מקצוען	2:מקצוען
program	תכנית; תכניה; לתכנת	תוכנית | לתכנת	1:תוכנית
puzzle	חידה, פאזל	חידה | לבלבל	2:לבלבל
quality	איכות	איכות | תכונה	2:תכונה
question	להטיל ספק; שאלה	שאלה | לפקפק | לחקור	2:לפקפק | 3:לחקור
rat	עכברוש	עכברוש | מלשין	2:מלשין
repeat	לחזור; שידור/מאורע חוזר	לחזור על | חזרה	1:לחזור על | 2:חזרה
respond	להגיב, תגובה, תשובה	להגיב | לענות	2:לענות
revolution	מהפכה	מהפכה | סיבוב	2:סיבוב
ring, rang	לצלצל, צלצל	טבעת | לצלצל	1:טבעת
root	שורש	שורש | להשתרש	2:להשתרש
rule	לשלוט, לפסוק, להחליט; כלל, חוק, שלטון	כלל | למשול	2:למשול
seem	נראה כ-, דומה ל-	להיראות	1:להיראות
sense	היגיון, תודעה; חוש, לחוש	חוש | תחושה | לחוש	2:תחושה
set up	להרכיב, לארגן, לסדר	להקים | לארגן	1:להקים
sharp	חד	חד | חריף	2:חריף
shoulder	כתף	כתף | לשאת	2:לשאת
size	גודל	גודל | מידה	2:מידה
skill	יכולת, מיומנות	מיומנות | כישרון	2:כישרון
sold	מכר	למכור	1:למכור
solution	פתרון	פתרון | תמיסה	2:תמיסה
sort	למיין	סוג | למיין	1:סוג
speak, spoke	לדבר, דיבר	לדבר | לנאום	2:לנאום
speed	מהירות	מהירות | למהר	2:למהר
spicy	פיקנטי	חריף	1:חריף
sponsor	נותן חסות	נותן חסות | לתת חסות	2:לתת חסות
spray	לרסס, לפזר	תרסיס | לרסס	1:תרסיס
storm	סערה	סערה | להסתער	2:להסתער
stuff	דברים; למלא, לפחלץ	דברים | למלא | לדחוס	3:לדחוס
such as	כמו למשל	כגון	1:כגון
suggest	להציע	להציע | לרמז	2:לרמז
talent	כשרון	כישרון	1:כישרון
tax	מס	מס | למסות	2:למסות
tiny	קטנטן	זעיר | קטנטן	1:זעיר
tone	טון	טון | נימה	2:נימה
tour	סיור	סיור | לסייר	2:לסייר
tower	מגדל	מגדל | להתנשא	2:להתנשא
treasure	אוצר, לנצור	אוצר | להוקיר	2:להוקיר
triple	פי 3	משולש | לשלש	1:משולש | 2:לשלש
twins	תאומים	תאום	1:תאום
upgrade	לשדרג	שדרוג | לשדרג	1:שדרוג
use	תועלת, תכלית; לנצל; להשתמש	להשתמש | שימוש	2:שימוש
vacation	חופשה	חופשה | לנפוש	2:לנפוש
versions	גרסאות	גרסה	1:גרסה
wave	גל	גל | לנופף	2:לנופף
weight	משקל	משקל | כובד | חשיבות	2:כובד | 3:חשיבות
worldwide	כלל עולמי, בכל העולם	עולמי	1:עולמי
zone	אזור	אזור | תחום	2:תחום
above all	מעל לכל	מעל הכול	1:מעל הכול
absurd	מגוחך, לא סביר	אבסורדי | מגוחך	1:אבסורדי
accident	תאונה	תאונה | מקרה	2:מקרה
according	לפי	לפי | על פי | בהתאם ל	2:על פי | 3:בהתאם ל
across	בצד השני, לרוחב	מעבר ל	1:מעבר ל
alarm	דאגה, להדאיג; אזעקה	אזעקה | חרדה | להבהיל	2:חרדה | 3:להבהיל
allow	להרשות	להרשות | לאפשר	2:לאפשר
as a result	כתוצאה	כתוצאה מכך	1:כתוצאה מכך
attractive	נאה, מושך	מושך | אטרקטיבי | יפה	2:אטרקטיבי | 3:יפה
award	פרס, להעניק פרס	פרס | להעניק	2:להעניק
badly	בצורה גרועה, רע; קשות, נואשות	רע | מאוד	2:מאוד
balance	שיווי משקל; איזון, לאזן	איזון | לאזן | יתרה	3:יתרה
beat	מקצב; מכה, להכות	לנצח | להכות | קצב	1:לנצח | 3:קצב
birth	לידה	לידה | מוצא	2:מוצא
blind	עיוור	עיוור | לסנוור | תריס	2:לסנוור | 3:תריס
block	חסימה; לבנה, גוש, חלק	לחסום | גוש	1:לחסום
capture	ללכוד	ללכוד | לצלם | לכידה	2:לצלם | 3:לכידה
carry	לסחוב	לשאת | לסחוב	1:לשאת
castle	טירה	טירה | מצודה	2:מצודה
cell	תא	תא | סוללה	2:סוללה
challenge	לאתגר; אתגר	אתגר | לאתגר | לערער	3:לערער
choice	בחירה	בחירה | ברירה	2:ברירה
coat	מעיל; שכבה (של צבע, בטון וכו')	מעיל | לצפות	2:לצפות
combat	להילחם ב-, להיאבק ב-; קרב, לחימה	קרב | להילחם	2:להילחם
command	פקודה, לפקוד	פקודה | לצוות | שליטה	2:לצוות | 3:שליטה
complex	מסובך	מורכב | מתחם | קומפלקס	1:מורכב | 2:מתחם | 3:קומפלקס
conflict	עימות, סכסוך	סכסוך | להתנגש	2:להתנגש
content	תוכן; שביעות רצון	תוכן | מרוצה	2:מרוצה
core	ליבה	ליבה | מרכז	2:מרכז
cost	מחיר, עלות	עלות | לעלות	2:לעלות
court	מגרש (ספורט); בית משפט	בית משפט | חצר | לחזר	2:חצר | 3:לחזר
cover	לכסות; לסקר, לכלול; כיסוי, מכסה	לכסות | כיסוי | כריכה	3:כריכה
curious	סקרן	סקרן | מוזר	2:מוזר
currently	כרגע, נכון לעכשיו	כרגע | כעת	2:כעת
daily	יומיומי	יומי | מדי יום	1:יומי | 2:מדי יום
delay	עיכוב, לאחר, לדחות	עיכוב | לעכב	2:לעכב
described	מתואר	לתאר	1:לתאר
deserve	מגיע (לו)	להיות ראוי	1:להיות ראוי
destiny	גורל	גורל | ייעוד	2:ייעוד
device	מכשיר	מכשיר | אמצעי | תחבולה	2:אמצעי | 3:תחבולה
disappear	להעלם	להיעלם	1:להיעלם
display	להציג	להציג | תצוגה	2:תצוגה
during	תוך כדי, במשך	במהלך | תוך כדי	1:במהלך
economy	כלכלה	כלכלה | חסכנות	2:חסכנות
education	השכלה	חינוך | השכלה	1:חינוך
except	מלבד, חוץ מ-	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
except for	למעט	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
exchange	להחליף, חלופה	להחליף | חילופין | בורסה	2:חילופין | 3:בורסה
exercise	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית | להתאמן | תרגיל	1:פעילות גופנית
exist	קיים	להתקיים	1:להתקיים
extraordinary	בלתי רגיל	יוצא דופן	1:יוצא דופן
failure	כשלון	כישלון | תקלה	1:כישלון | 2:תקלה
farmer	חוואי	חקלאי | איכר	1:חקלאי | 2:איכר
fever	חום (של מחלה)	חום | קדחת	2:קדחת
financial	כספי	כספי | פיננסי	2:פיננסי
fit	בכושר; להתאים	בכושר | מתאים | להתאים	2:מתאים
flew	עף	לטוס | לעוף	1:לטוס | 2:לעוף
flip	לזרוק, להעיף; סלטה; להפוך צד	להפוך	1:להפוך
form	צורה; ליצור, להקים	צורה | טופס | להקים	2:טופס
frame	מסגרת, למסגר	מסגרת | להפליל	2:להפליל
function	תפקוד, לתפקד	תפקיד | לתפקד | פונקציה	1:תפקיד | 3:פונקציה
grade	כיתה; ציון, דרגה, מעמד; שיפוע	ציון | דרגה | לדרג	3:לדרג
guide	להדריך	מדריך | להדריך	1:מדריך
hall	מסדרון; היכל	אולם | מסדרון	1:אולם
harm	לפגוע, להזיק	לפגוע | נזק	2:נזק
highway	כביש ראשי	כביש מהיר	1:כביש מהיר
honest	הגון	כן | ישר	1:כן | 2:ישר
host	מארח	מארח | לארח	2:לארח
however	למרות זאת; בכל דרך	אבל | אולם | עם זאת	1:אבל | 2:אולם | 3:עם זאת
image	דמות, תמונה	תמונה | דימוי	2:דימוי
impact	השפעה; התנגשות	השפעה | להשפיע	2:להשפיע
individual	יחיד, אינדיבידואל	יחיד | אישי	2:אישי
instant	מיידי; בהרף עין	מיידי | רגע	2:רגע
intense	עז, אינטנסיבי	עז | אינטנסיבי | חזק	3:חזק
introduce	להציג, לעשות היכרות	להציג | להכניס	2:להכניס
invisible	בלתי נראה	בלתי נראה | סמוי	2:סמוי
knees	ברכיים	ברך	1:ברך
lecture	הרצאה	הרצאה | להרצות	2:להרצות
led to	הוביל ל-	להוביל ל | לגרום ל	1:להוביל ל | 2:לגרום ל
limit	גבול, לשים גבול, מוגבל	גבול | להגביל	2:להגביל
lower	להנמיך	להוריד | נמוך	1:להוריד | 2:נמוך
management	ניהול	ניהול | הנהלה	2:הנהלה
mark	לסמן	לסמן | ציון | כתם	2:ציון | 3:כתם
marriage	נישואין	נישואים	1:נישואים
material	חומר, חומרני	חומר | בד | מהותי	2:בד | 3:מהותי
mention	להזכיר, לאזכר	להזכיר | אזכור	2:אזכור
method	שיטה	שיטה | דרך	2:דרך
mirror	מראה	מראה | לשקף	2:לשקף
monitor	להשגיח, מוניטור	מסך | לנטר	1:מסך | 2:לנטר
mostly	לרוב	בעיקר	1:בעיקר
mystery	תעלומה	תעלומה | מסתורין	2:מסתורין
nation	אומה	אומה | עם	2:עם
nearby	ליד, קרוב	בקרבת מקום | סמוך	1:בקרבת מקום | 2:סמוך
necessary	הכרחי	הכרחי | נחוץ	2:נחוץ
no longer	לא עוד	כבר לא	1:כבר לא
notice	לשים לב; התראה	לשים לב | הודעה	2:הודעה
obviously	ברור	כמובן	1:כמובן
opposite	מנוגד, ממול	הפוך | נגדי	1:הפוך | 2:נגדי
pair	זוג	זוג | לזווג	2:לזווג
passion	תשוקה	תשוקה | להט	2:להט
patient	סבלני; חולה	סבלני | חולה | מטופל	3:מטופל
patients	מטופלים	מטופל | חולה	1:מטופל | 2:חולה
per	לכל	לפי | לכל	1:לפי
permission	רשות, היתר	רשות | אישור	2:אישור
pleasure	תענוג, לענג	הנאה | עונג | תענוג	1:הנאה | 2:עונג
position	מיקום, למקם; תנוחה; תפקיד, משרה	עמדה | תפקיד | למקם	1:עמדה
pot	סיר, קדרה	סיר | עציץ | גראס	2:עציץ | 3:גראס
practice	לתרגל, תרגול	תרגול | לתרגל | נוהג	3:נוהג
pregnant	הרה (בהריון)	בהריון | הרה	1:בהריון
pride	גאווה	גאווה | להקה	2:להקה
prison	כלא	כלא | בית סוהר	2:בית סוהר
prize	פרס	פרס | להעריך	2:להעריך
product	מוצר	מוצר | תוצר	2:תוצר
profit	רווח	רווח | להרוויח	2:להרוויח
project	לתכנן; פרוייקט, מיזם; להשליך, להקרין	פרויקט | לחזות	1:פרויקט | 2:לחזות
protest	למחות, הפגנה	מחאה | למחות	1:מחאה
public	ציבורי	ציבורי | ציבור	2:ציבור
purpose	כוונה, מטרה	מטרה | תכלית	2:תכלית
quarter	רבע	רבע | רובע	2:רובע
raise	להעלות	להרים | לגדל | העלאה	1:להרים | 2:לגדל | 3:העלאה
realize	הבין	להבין | להגשים	1:להבין | 2:להגשים
recent	שארע לאחרונה	אחרון | טרי	1:אחרון | 2:טרי
release	לשחרר	לשחרר | שחרור	2:שחרור
reporter	עיתונאי	כתב | עיתונאי	1:כתב
rescue	להציל	להציל | הצלה	2:הצלה
research	מחקר	מחקר | לחקור	2:לחקור
rise	עליה, לעלות	לעלות | עלייה	2:עלייה
safety	בטיחות	בטיחות | ביטחון	2:ביטחון
salary	שכר	משכורת | שכר	1:משכורת
sample	מדגם, דגימה, דוגמה	דגימה | לדגום	2:לדגום
scare	פחד, להפחיד	להפחיד | בהלה	2:בהלה
schedule	לוח זמנים	לוח זמנים | לתזמן	2:לתזמן
script	תסריט	תסריט | כתב	2:כתב
