מילה	יחידה	פירוש היום	הפירוש החדש	מקור	נימוק
decay	8	ריקבון	להירקב, ריקבון	פאנל	מובן נפוץ חסר
deeply	4	מאוד, במידה רבה	עמוקות, מאוד, במידה רבה	פאנל	מובן נפוץ חסר
defer	9	לעכב, לדחות	לעכב, לדחות; להישמע	פאנל	פירוש צר מדי
deficiency	9	מחסור	מחסור; ליקוי	פאנל	פירוש צר מדי
deliberation	10	דיון	שיקול דעת, דיון	פאנל	מובן נפוץ חסר
delight	8	תענוג	תענוג; לשמח	פאנל	פירוש צר מדי
demand	5	לדרוש, דרישה	לדרוש, דרישה; ביקוש	פאנל	פירוש צר מדי
depression	2	דיכאון	דיכאון; מיתון	פאנל	פירוש צר מדי
derive	9	לשאוב, להפיק, לגזור מ-	לנבוע, לשאוב, להפיק, לגזור מ-	פאנל	מובן נפוץ חסר
design	2	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב, תכנית, דוגמה, תרשים; לתכנן, לעצב	פאנל	מובן נפוץ חסר
desirable	7	נחשק	רצוי, נחשק	פאנל	פירוש שגוי
despair	8	להתייאש	ייאוש, להתייאש	פאנל	מובן נפוץ חסר
determined	8	נחוש, נחרץ	נחוש, נחרץ; לקבוע	פאנל	פירוש צר מדי
differ	6	להיבדל, לחלוק	להיות שונה, להיבדל, לחלוק; לחלוק על	פאנל	פירוש שגוי
differences	9	חילוקי דעות	חילוקי דעות; שוני	פאנל	פירוש שגוי
dimension	4	מימד	ממד, מימד; היבט	פאנל	פירוש שגוי
diminish	10	לצמצם	לפחות, לצמצם	פאנל	פירוש שגוי
direction	2	כיוון	כיוון; הכוונה	פאנל	פירוש צר מדי
discourage	8	להרתיע, לשכנע שלא	לייאש, להרתיע, לשכנע שלא; להניא	פאנל	פירוש שגוי
disguise	6	תחפושת	תחפושת; להסוות	פאנל	פירוש צר מדי
dispatch	9	לשגר	לשלוח, לשגר; דיווח	פאנל	מובן נפוץ חסר
displacement	9	עקירה	עקירה; תזוזה	פאנל	פירוש צר מדי
disregard	8	להתעלם	להתעלם; זלזול	פאנל	פירוש צר מדי
dissection	9	חיתוך, ביתור	ניתוח, חיתוך, ביתור; נתיחה	פאנל	פירוש שגוי
dissolve	8	להתמוסס	להתמוסס; לפרק	פאנל	פירוש צר מדי
distinctive	8	מיוחד	ייחודי, מיוחד	פאנל	פירוש שגוי
distress	8	מצוקה	מצוקה; לצער	פאנל	פירוש צר מדי
distribute	7	להפיץ	להפיץ; לחלק	פאנל	פירוש צר מדי
distribution	7	הפצה	הפצה; חלוקה	פאנל	פירוש צר מדי
diverge	10	לסטות	להתפצל, לסטות	פאנל	מובן נפוץ חסר
downhill	7	מדרון, מורד	מדרון, מורד; מתדרדר	פאנל	פירוש שגוי
draw	9	תיקו, שוויון; לצייר	תיקו, שוויון; לצייר; למשוך	פאנל	פירוש צר מדי
draw (drew)	10	לשלוף, שלף	לצייר, לשלוף, שלף; למשוך	פאנל	פירוש שגוי
drift	7	זרם, סחף	לנדוד, זרם, סחף	פאנל	פירוש שגוי
dull	6	סתום; משעמם; עמום	סתום; משעמם; עמום; קהה	פאנל	פירוש צר מדי
dump	3	לשפוך	לזרוק, לשפוך; מזבלה	פאנל	פירוש שגוי
dwell	9	להתגורר	להתגורר; להתעכב	פאנל	פירוש שגוי
earlier	2	קודם לכן	מוקדם, קודם לכן	פאנל	פירוש שגוי
earn	4	להרוויח	להרוויח; לזכות ב	פאנל	פירוש צר מדי
echo	2	הד	הד; להדהד	פאנל	פירוש צר מדי
education	3	השכלה	חינוך, השכלה	פאנל	מובן נפוץ חסר
enclose	10	לצרף	לצרף; להקיף	פאנל	פירוש צר מדי
enclosing	10	לסגור, להקיף	לצרף, לסגור, להקיף	פאנל	מובן נפוץ חסר
engagement	6	התחייבות; אירוסין	מעורבות, התחייבות; אירוסין	פאנל	מובן נפוץ חסר
enhance	8	להעצים	לשפר, להעצים	פאנל	מובן נפוץ חסר
enlist	9	להתגייס	להתגייס; לגייס	פאנל	פירוש צר מדי
envision	9	לחזות, לצפות	לדמיין, לחזות, לצפות	פאנל	מובן נפוץ חסר
episode	2	פרק	פרק; אירוע	פאנל	פירוש צר מדי
erosion	7	סחף, כרסום	שחיקה, סחף, כרסום	פאנל	פירוש שגוי
establish	6	לייסד	לייסד; לבסס	פאנל	פירוש צר מדי
evolutionary	6	התפתחותי	אבולוציוני, התפתחותי	פאנל	פירוש שגוי
exclusive	4	בלעדי	בלעדי; יוקרתי	פאנל	פירוש צר מדי
exercise	3	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית, תרגיל; להתאמן; לממש, ליישם	פאנל	מובן נפוץ חסר
exile	8	להגלות, לגרש	גלות, להגלות, לגרש	פאנל	מובן נפוץ חסר
expand	5	להרחיב	להתרחב, להרחיב	פאנל	מובן נפוץ חסר
explosive	4	חומר נפץ	נפיץ, חומר נפץ	פאנל	מובן נפוץ חסר
expression	5	ביטוי	ביטוי; הבעה	פאנל	פירוש צר מדי
fabric	8	בד	בד; מרקם	פאנל	פירוש צר מדי
fabricate	10	לבדות	לבדות; לייצר	פאנל	פירוש צר מדי
fancy	6	מחבב; מגונדר	מפואר, מחבב; מגונדר; לחבב	פאנל	פירוש שגוי
farmer	3	חוואי	חקלאי, חוואי; איכר	פאנל	פירוש שגוי
fiction	4	בדיון, לא אמיתי	בדיון, לא אמיתי; ספרות בדיונית	פאנל	פירוש צר מדי
filter	2	פילטר, מסנן	פילטר, מסנן; לסנן	פאנל	פירוש צר מדי
flood	5	שיטפון	שיטפון; להציף	פאנל	פירוש צר מדי
flow	2	זרם	לזרום, זרם; זרימה	פאנל	פירוש שגוי
fluctuation	10	חוסר יציבות	תנודה, חוסר יציבות	פאנל	פירוש שגוי
foil	10	לסכל	לסכל; רדיד	פאנל	פירוש צר מדי
folk	6	עממי	עממי; אנשים	פאנל	פירוש צר מדי
folklore	4	פולקלור	פולקלור; מסורת עממית	פאנל	פירוש צר מדי
fork	4	מזלג	מזלג; הסתעפות	פאנל	פירוש צר מדי
form	3	צורה; ליצור, להקים	צורה; ליצור, להקים; טופס	פאנל	פירוש צר מדי
foundation	5	יסוד	יסוד; קרן	פאנל	פירוש צר מדי
fraction	8	שבר	שבר; חלק קטן	פאנל	פירוש צר מדי
fracture	8	שבר	שבר; לשבור	פאנל	פירוש צר מדי
freeze, froze	2	להקפיא, הקפיא	לקפוא, להקפיא, הקפיא	פאנל	מובן נפוץ חסר
front	2	חזית, להתעמת	חזית, להתעמת; קדמי	פאנל	פירוש צר מדי
fuel	5	דלק	דלק; לתדלק	פאנל	פירוש צר מדי
fulfill	6	להגשים	למלא, להגשים	פאנל	מובן נפוץ חסר
fume	10	אדים, עשן	לזעום, אדים, עשן	פאנל	פירוש שגוי
function	3	תפקוד, לתפקד	תפקיד, תפקוד, לתפקד	פאנל	מובן נפוץ חסר
furnish	10	לרהט	לרהט; לספק	פאנל	פירוש צר מדי
gain	5	להרוויח, לצבור, להוסיף	להשיג, להרוויח, לצבור, להוסיף; רווח	פאנל	פירוש שגוי
gather	5	אסף	להתאסף, אסף; לאסוף	פאנל	פירוש שגוי
gauge	10	למדוד, להעריך, מידה	מד, למדוד, להעריך, מידה	פאנל	מובן נפוץ חסר
generally	4	באופן כללי	בדרך כלל, באופן כללי	פאנל	פירוש שגוי
genuine	6	אמיתי, מקורי	אמיתי, מקורי; כן	פאנל	פירוש צר מדי
gift	1	מתנה	מתנה; כישרון	פאנל	פירוש צר מדי
glance	8	מבט חטוף	מבט חטוף; להעיף מבט	פאנל	פירוש שגוי
goal	2	מטרה	מטרה; שער	פאנל	פירוש צר מדי
golden	2	מוזהב	זהוב, מוזהב	פאנל	פירוש שגוי
graduate	6	לסיים לימודים	בוגר, לסיים לימודים	פאנל	מובן נפוץ חסר
granted (that)	10	בהנחה ש-, נתון ש-	אמנם, בהנחה ש-, נתון ש-	פאנל	פירוש שגוי
grocery	7	מכולת	מכולת; מצרכים	פאנל	פירוש צר מדי
guide	3	להדריך	מדריך, להדריך	פאנל	מובן נפוץ חסר
gym	2	אולם ספורט	חדר כושר, אולם ספורט	פאנל	פירוש שגוי
hall	3	מסדרון; היכל	אולם, מסדרון; היכל	פאנל	מובן נפוץ חסר
handle	4	להתמודד	לטפל, להתמודד; ידית	פאנל	פירוש שגוי
harness	10	לרתום	לרתום; רתמה	פאנל	פירוש צר מדי
harsh	6	נוקשה, אכזרי	קשה, נוקשה, אכזרי; חמור	פאנל	פירוש שגוי
hasty	9	מהיר, בהול	מהיר, בהול; פזיז	פאנל	פירוש שגוי
hegemony	10	הגמוניה	הגמוניה; שליטה	פאנל	פירוש צר מדי
herb	7	עשב	עשב תיבול, עשב	פאנל	פירוש שגוי
hike	5	הליכה, טיול	טיול רגלי, הליכה, טיול; העלאה	פאנל	פירוש שגוי
hold back	4	לעכב, למנוע	להתאפק, לעכב, למנוע	פאנל	מובן נפוץ חסר
honest	3	הגון	כן, הגון; ישר	פאנל	פירוש שגוי
horrific	6	איום	מזעזע, איום	פאנל	מובן נפוץ חסר
identify	5	לזהות	לזהות; להזדהות	פאנל	פירוש צר מדי
illuminate	9	להאיר	להאיר; להבהיר	פאנל	פירוש צר מדי
image	3	דמות, תמונה	דמות, תמונה; דימוי	פאנל	פירוש צר מדי
impose	8	לכפות	להטיל, לכפות	פאנל	פירוש שגוי
improve	4	לשפר	לשפר; להשתפר	פאנל	פירוש צר מדי
in favor of	6	לטובת	בעד, לטובת	פאנל	פירוש שגוי
in order	9	תקין, מסודר	כדי, תקין, מסודר	פאנל	פירוש שגוי
in that case	2	במקרה הזה	אם כך, במקרה הזה	פאנל	פירוש שגוי
incident	4	תקרית	תקרית; אירוע	פאנל	פירוש צר מדי
inconsistent	7	לא עקבי	לא עקבי; סותר	פאנל	פירוש צר מדי
individual	3	יחיד, אינדיבידואל	יחיד, אינדיבידואל; אישי	פאנל	פירוש צר מדי
induce	9	לגרום, לייצר	לגרום, לייצר; לשכנע	פאנל	פירוש צר מדי
infancy	10	ינקות	ינקות; שלב ראשוני	פאנל	פירוש צר מדי
infected	5	הודבק	נגוע, הודבק	פאנל	פירוש שגוי
inferred	9	נגזר, משתמע	להסיק, נגזר, משתמע	פאנל	פירוש שגוי
inhibit	9	לרסן	לעכב, לרסן; למנוע	פאנל	פירוש שגוי
inquiry	9	חקירה	בירור, חקירה	פאנל	מובן נפוץ חסר
instrument	4	כלי	כלי; כלי נגינה	פאנל	פירוש צר מדי
intellectual	2	אינטלקטואלי	אינטלקטואלי; אינטלקטואל	פאנל	פירוש צר מדי
interjection	10	הערה, הפרעה לשיחה	מילת קריאה, הערה, הפרעה לשיחה	פאנל	פירוש שגוי
interminable	10	נצחי	אינסופי, נצחי; בלתי נגמר	פאנל	פירוש שגוי
introduce	3	להציג, לעשות היכרות	להציג, לעשות היכרות; להכניס	פאנל	פירוש צר מדי
inventory	7	מצאי	מלאי, מצאי; רשימת מלאי	פאנל	פירוש שגוי
involve	6	לערב	לכלול, לערב	פאנל	מובן נפוץ חסר
irregular	4	לא רגיל	לא סדיר, לא רגיל	פאנל	פירוש שגוי
jewel	7	תכשיט	תכשיט; אבן חן	פאנל	פירוש צר מדי
judgment	6	שיפוט	שיפוט; שיקול דעת, פסק דין	פאנל	פירוש צר מדי
keep	10	לשמור; חלק מהמצודה	לשמור; חלק מהמצודה; להמשיך	פאנל	פירוש צר מדי
labor	5	להתאמץ; עבודה, עמל, לעמול	להתאמץ; עבודה, עמל, לעמול; לידה	פאנל	פירוש צר מדי
laid	8	מונח	להניח, מונח; להטיל	פאנל	פירוש שגוי
lane	6	מסלול	נתיב, מסלול	פאנל	פירוש שגוי
launder	9	לכבס	לכבס; להלבין	פאנל	פירוש צר מדי
lean	8	להישען	להישען; רזה	פאנל	פירוש צר מדי
left	1	שמאלה	שמאל, שמאלה; לעזוב	פאנל	פירוש שגוי
lie	1	לשקר, שקר	לשקר, שקר; לשכב	פאנל	פירוש צר מדי
lie, lay	8	לשכב, שכב	לשכב, שכב; להימצא	פאנל	פירוש צר מדי
load	4	להעמיס	מטען, להעמיס; לטעון	פאנל	פירוש שגוי
locate	5	לאתר	לאתר; למקם	פאנל	פירוש צר מדי
loosely	9	באופן רפוי	באופן רופף, באופן רפוי; בערך	פאנל	פירוש שגוי
lower	3	להנמיך	להוריד, להנמיך; נמוך	פאנל	פירוש שגוי
makeup	2	איפור	איפור; הרכב	פאנל	פירוש צר מדי
management	3	ניהול	ניהול; הנהלה	פאנל	פירוש צר מדי
mandate	6	מנדט, ייפוי כוח	מנדט, ייפוי כוח; לחייב	פאנל	פירוש צר מדי
margin	7	שוליים, מרווח	שוליים, מרווח; הפרש	פאנל	פירוש צר מדי
market	2	שוק	שוק; לשווק	פאנל	פירוש צר מדי
mastery	8	מומחיות	שליטה, מומחיות	פאנל	מובן נפוץ חסר
match	8	גפרור; התאמה, להתאים	משחק, גפרור; התאמה, להתאים	פאנל	מובן נפוץ חסר
measure	5	אמצעי; למדוד	אמצעי; למדוד; מידה	פאנל	פירוש צר מדי
melt	5	להמיס	להימס, להמיס	פאנל	מובן נפוץ חסר
mental	2	נפשי	נפשי; שכלי	פאנל	פירוש צר מדי
mentor	2	מדריך רוחני	חונך, מדריך רוחני	פאנל	פירוש שגוי
message	1	הודעה	הודעה; מסר	פאנל	פירוש צר מדי
migrate	6	להגר	לנדוד, להגר	פאנל	מובן נפוץ חסר
minister	4	שר (בממשלה)	שר (בממשלה); כומר	פאנל	פירוש צר מדי
mobilize	9	לנייד, להניע	לגייס, לנייד, להניע	פאנל	פירוש שגוי
mock	8	ללעוג	ללעוג; מדומה	פאנל	פירוש צר מדי
modest	8	צנוע	צנוע; מתון	פאנל	פירוש צר מדי
mold	9	לעצב; עובש	לעצב; עובש; תבנית	פאנל	פירוש צר מדי
moral	5	מוסר	מוסרי, מוסר; מוסר השכל	פאנל	פירוש שגוי
mostly	3	לרוב	בעיקר, לרוב	פאנל	פירוש שגוי
narrow	4	צר	צר; לצמצם	פאנל	פירוש צר מדי
nationality	6	לאום	לאום; אזרחות	פאנל	פירוש צר מדי
nature	2	טבע	טבע; מהות	פאנל	פירוש צר מדי
negate	9	לשלול	לשלול; לבטל	פאנל	פירוש צר מדי
nobility	8	אצולה	אצולה; אצילות	פאנל	פירוש צר מדי
noted	9	ידוע, מפורסם	לציין, ידוע, מפורסם	פאנל	מובן נפוץ חסר
obligation	7	התחייבות	התחייבות; חובה	פאנל	פירוש צר מדי
observe	5	להתבונן, להבחין	להתבונן, להבחין; לשמור	פאנל	פירוש שגוי
observer	7	משקיף	משקיף; צופה	פאנל	פירוש צר מדי
occasions	7	הזדמנויות, מקרים	אירוע, הזדמנויות, מקרים	פאנל	פירוש שגוי
occupy	8	להעסיק; לתפוס, לאכלס	להעסיק; לתפוס, לאכלס; לכבוש	פאנל	פירוש צר מדי
offender	7	פושע, פוגע	עבריין, פושע, פוגע	פאנל	פירוש שגוי
offensive	5	מעליב, פוגעני	מעליב, פוגעני; התקפה	פאנל	פירוש צר מדי
official	2	רשמי, מאושר	רשמי, מאושר; פקיד	פאנל	פירוש צר מדי
on top of	2	על, מעל	על, מעל; בנוסף ל	פאנל	פירוש צר מדי
only	1	רק	רק; יחיד	פאנל	פירוש צר מדי
orient	9	להתמצא	לכוון, להתמצא	פאנל	פירוש שגוי
orientation	6	התמצאות	התמצאות; כיוון	פאנל	פירוש צר מדי
original	2	מקורי	מקורי; מקור	פאנל	פירוש צר מדי
over	1	על, מעל; מחדש, שוב	על, מעל; מחדש, שוב; נגמר	פאנל	פירוש צר מדי
pad	5	לרפד	פנקס, לרפד; רפידה	פאנל	מובן נפוץ חסר
panic	2	פאניקה, בהלה	פאניקה, בהלה; להיבהל	פאנל	פירוש צר מדי
pedestrian	8	הולך רגל	הולך רגל; שגרתי	פאנל	פירוש צר מדי
penned	10	כתב	כתב; לכלוא	פאנל	פירוש שגוי
perceive	9	להבחין, לראות	לתפוס, להבחין, לראות	פאנל	מובן נפוץ חסר
persist	8	להתמיד, להתעקש	להתמיד, להתעקש; להימשך	פאנל	פירוש צר מדי
pilot	2	טייס	טייס; ניסיוני	פאנל	פירוש צר מדי
pinch	8	לצבוט	לצבוט; קורט	פאנל	פירוש צר מדי
pioneer	8	חלוץ	חלוץ; לפרוץ דרך	פאנל	פירוש צר מדי
pit	6	בור	בור; גלעין	פאנל	פירוש צר מדי
plague	6	מגפה	מגפה; להטריד	פאנל	פירוש צר מדי
plead	8	לעתור, להתחנן	לעתור, להתחנן; לטעון	פאנל	פירוש צר מדי
populous	10	מאוכלס בצפיפות	רב אוכלוסין, מאוכלס בצפיפות	פאנל	פירוש שגוי
position	3	מיקום, למקם; תנוחה; תפקיד, משרה	עמדה, מיקום, למקם; תנוחה; תפקיד, משרה	פאנל	מובן נפוץ חסר
posture	9	יציבה, תנוחה	יציבה, תנוחה; עמדה	פאנל	פירוש צר מדי
potential	2	אפשרי, פוטנציאלי	פוטנציאל, אפשרי, פוטנציאלי	פאנל	מובן נפוץ חסר
powerful	2	רב כוח	חזק, רב כוח; רב עוצמה	פאנל	פירוש שגוי
predict	7	לצפות מראש	לחזות, לצפות מראש; לנבא	פאנל	פירוש שגוי
prepare	2	התכונן	להכין, התכונן; להתכונן	פאנל	פירוש שגוי
prescribe	9	לרשום מרשם	לרשום, לרשום מרשם; להורות	פאנל	פירוש שגוי
presentation	2	מצגת	מצגת; הצגה	פאנל	פירוש צר מדי
presently	9	כעת	כעת; בקרוב	פאנל	פירוש שגוי
priest	4	כומר	כומר; כהן	פאנל	פירוש צר מדי
product	3	מוצר	מוצר; תוצר	פאנל	פירוש צר מדי
professional	2	מקצועי	מקצועי; מקצוען	פאנל	פירוש צר מדי
proliferate	10	התפשט במהירות	להתרבות, התפשט במהירות	פאנל	פירוש שגוי
prompted	10	הביא לידי	לעורר, הביא לידי; לגרום	פאנל	פירוש שגוי
proportion	7	שיעור, מידה	יחס, שיעור, מידה	פאנל	פירוש שגוי
proposition	7	הצעה	הצעה; טענה	פאנל	פירוש צר מדי
prove	4	להוכיח	להוכיח; להתברר	פאנל	פירוש צר מדי
provoke	5	להתגרות, להסית	לעורר, להתגרות, להסית	פאנל	מובן נפוץ חסר
pupil	7	תלמיד	תלמיד; אישון	פאנל	פירוש צר מדי
pursue	8	לרדוף	לרדוף; לשאוף	פאנל	פירוש צר מדי
pursuit	9	מרדף	מרדף; שאיפה	פאנל	פירוש צר מדי
puzzle	2	חידה, פאזל	חידה, פאזל; לבלבל	פאנל	פירוש צר מדי
quake	7	רעד	לרעוד, רעד; רעידת אדמה	פאנל	פירוש שגוי
qualify	7	להיות מוסמך	להעפיל, להיות מוסמך	פאנל	פירוש שגוי
quality	2	איכות	איכות; תכונה	פאנל	פירוש צר מדי
quench	10	לספק, להרוות	לספק, להרוות; לכבות	פאנל	פירוש צר מדי
quite	4	למדי	די, למדי; לגמרי	פאנל	פירוש שגוי
range	4	טווח; רכס; מטווח	טווח; רכס; מטווח; לנוע	פאנל	פירוש צר מדי
readily	9	ללא קושי	בקלות, ללא קושי; ברצון	פאנל	פירוש שגוי
realize	3	הבין	להבין, הבין; להגשים	פאנל	פירוש שגוי
reasonable	5	הגיוני	סביר, הגיוני	פאנל	מובן נפוץ חסר
recipient	9	נמען	מקבל, נמען	פאנל	פירוש שגוי
recognition	5	הכרה	הכרה; זיהוי	פאנל	פירוש צר מדי
recognize	3	לזהות	לזהות; להכיר	פאנל	פירוש צר מדי
reconstruct	7	לשחזר	לשחזר; לבנות מחדש	פאנל	פירוש צר מדי
recruit	7	לגייס	לגייס; טירון	פאנל	פירוש צר מדי
refer	7	מתייחס	להתייחס, מתייחס; להפנות	פאנל	פירוש שגוי
refined	8	מעודן, מלוטש	מעודן, מלוטש; מזוקק	פאנל	פירוש צר מדי
reflection	7	השתקפות	השתקפות; הרהור	פאנל	פירוש צר מדי
regard	8	להתייחס, להחשיב	להתייחס, להחשיב; כבוד	פאנל	פירוש צר מדי
regret	4	להתחרט, חרטה	להצטער, להתחרט, חרטה	פאנל	מובן נפוץ חסר
regulate	8	לווסת	להסדיר, לווסת	פאנל	מובן נפוץ חסר
reign	9	שלטון	שלטון; למלוך	פאנל	פירוש צר מדי
relationship	1	מערכת יחסים	קשר, מערכת יחסים	פאנל	פירוש שגוי
relocate	7	למקם מחדש	לעבור, למקם מחדש; להעביר	פאנל	פירוש שגוי
remedy	8	תרופה	תרופה; לתקן	פאנל	פירוש צר מדי
