מילה	יחידה	פירוש היום	פירוש מוצע	הסכמה	מחלקה	מצב	הערה
fasten	7	להדק	להדק; לחבר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לחבר» מופיע גם אצל EN י1 join · EN י2 connect · EN י5 attach
human	1	אנושי	אנושי; אדם	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «אדם» מופיע גם אצל EN י1 person
ignite	8	להצית	להצית; לעורר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לעורר» מופיע גם אצל EN י4 excite · EN י5 provoke · EN י8 stimulate
mail	2	דואר	דואר; לשלוח	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לשלוח» מופיע גם אצל EN י1 send · EN י3 ship · EN י9 dispatch
malfunction	7	כשל, ליקוי	תקלה, כשל, ליקוי	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «תקלה» מופיע גם אצל EN י3 fault · EN י4 glitch
mark	3	לסמן	לסמן; כתם	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «כתם» מופיע גם אצל EN י4 spot · EN י7 stain · HE י7 רְבָב
mirror	3	מראה	מראה; לשקף	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לשקף» מופיע גם אצל EN י7 reflect
notice	3	לשים לב; התראה	לשים לב; התראה; הודעה	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «הודעה» מופיע גם אצל EN י1 message
outstanding	5	יוצא מן הכלל, מצוין	יוצא מן הכלל, מצוין; פתוח	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «פתוח» מופיע גם אצל EN י1 open
pay	1	לשלם	לשלם; שכר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «שכר» מופיע גם אצל EN י3 salary
plaster	8	טיח	טיח; פלסטר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «פלסטר» מופיע גם אצל HE י2 אִסְפְּלָנִית
pool	1	בריכה	בריכה; מאגר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «מאגר» מופיע גם אצל EN י8 reservoir
preside	10	לנהל	לנהל; לכהן	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לכהן» מופיע גם אצל EN י10 officiate
promotion	5	קידום	קידום; מבצע	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «מבצע» מופיע גם אצל EN י4 operation · EN י7 performer
remote	3	מרוחק	מרוחק; שלט	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «שלט» מופיע גם אצל EN י1 sign · EN י10 reigned
replacement	4	מחליף	תחליף, מחליף	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «תחליף» מופיע גם אצל EN י7 substitute
resist	5	להתנגד	להתנגד; לעמוד בפני	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לעמוד בפני» מופיע גם אצל EN י1 face
revived	7	קם לתחייה, התחדש	להחיות, קם לתחייה, התחדש	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «להחיות» מופיע גם אצל EN י8 revitalize
ring, rang	2	לצלצל, צלצל	טבעת, לצלצל, צלצל	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «טבעת» מופיע גם אצל EN י1 ring
script	3	תסריט	תסריט; כתב	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «כתב» מופיע גם אצל EN י10 correspondent · EN י10 penned
shadow	3	צל, להאפיל	צל, להאפיל; לעקוב	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לעקוב» מופיע גם אצל EN י1 follow · EN י3 track · EN י6 trace
splendid	9	נהדר, מהולל	נהדר, מהולל; מפואר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «מפואר» מופיע גם אצל EN י6 fancy · EN י6 magnificent
start	1	להתחיל	להתחיל; התחלה	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «התחלה» מופיע גם אצל EN י1 beginning · HE י7 רֵישָא
steam	6	אד, לאדות	קיטור, אד, לאדות; אדים	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «אדים» מופיע גם אצל EN י10 fume
strain	9	מתח נפשי; להתאמץ, למתוח, לנקוע	מתח, מתח נפשי; להתאמץ, למתוח, לנקוע	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «מתח» מופיע גם אצל EN י2 stress · EN י6 suspense · EN י6 tension
subsequent	9	עוקב	עוקב; מאוחר יותר	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «מאוחר יותר» מופיע גם אצל EN י1 later
successor	9	יורש	יורש; מחליף	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «מחליף» מופיע גם אצל EN י4 replacement
timeline	4	ציר זמן	ציר זמן; לוח זמנים	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לוח זמנים» מופיע גם אצל EN י3 schedule
timid	9	ביישן	ביישן; פחדן	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «פחדן» מופיע גם אצל HE י6 מוּג לֵב
tormented	10	לייסר, לענות	לייסר, לענות; מיוסר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «מיוסר» מופיע גם אצל HE י4 דָּווּי
until	1	עד ש-	עד, עד ש-	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «עד» מופיע גם אצל EN י1 by · EN י4 witness
variety	5	מבחר, מגוון	מבחר, מגוון; זן	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «זן» מופיע גם אצל EN י6 species
