M415.619	התימר	חשב וטען שהוא יכול לעשות משהו שמעבר ליכולתו	חשב וטענ שהוא יכול לעשות משהו שמעבר ליכולתו	חשב וטענ שהוא יכול עשת משהו שמעבר ליכולתו	
M442.654	ילודה	כלל התינוקות שנולדו בזמן/במקום מסוים (ההפך מתמותה)	כלל התינוקות שנולדו בזמנ	כולל התינוקות שנולדו בזמנ	
M485.700	נקבובית	נקב קטן מאוד, חור זעיר	חור זעיר	התחור זעיר	
M590.876	התודע	ערך היכרות עם מישהו/משהו חדש, הכיר לראשונה	ערכ היכרות עמ מישהו	עורכ היכרות עמ מישהו	
M747.1105	בור סוד (שאינו מאבד טפה)	מי שזוכר היטב כל מה שלמד ואינו שוכח דבר	מי שזוכר היטב כל מה שלמד ואינו שוכח דבר	מי שזוכר היטב כל מה שלמד ואינו שכחנ דבר	
M79.155	זבן	מוכר בחנות	מוכר בחנות	מכור בחנות	
M813.1215	יושב קרנות	בטלן, הולך בטל (קרן = פינה), אוכל לחם חסד	הולכ בטל	הולכ בוטל	
M888.1341	אדרת	בגד עליון רחב הנעטף על הגוף, סימן מובהק של נביאים ומלכים	בגד עליונ רחב הנעטפ על הגופ	בגד עליונ נרחב הנעטפ על הגופ	
M964.1449	כברה	מסננת, כלי שתשתיתו עשויה רשת	כלי שתשתיתו עשויה רשת	כלי שתשתיתו עשויה לרשות	
M997.1482	נמלך בו	התייעץ איתו, נועץ בו	נועצ בו	נעצ בו	
