יחידה	#	מילה	הכרעה	פירוש שנדחה	פירוש שהוחזר	נימוק
4	36	נִתַּר	REJECTED	קפץ בפתאומיות, זינק (ניתר ממקומו)	קפץ בבהלה (ניתר ממקומו)	
4	49	גָּוַע	REJECTED	מת לאט (גווע ברעב)	מת (גווע ברעב)	
4	68	דָּגַל	REJECTED	צידד ברעיון ונהג לפיו (דוגל בשוויון)	תמך והצהיר (דוגל בשוויון)	
4	79	שָׁלָה	REJECTED	דלה והעלה מן הנוזל (שלה דגים)	הוציא מתוך נוזל (שלה מן הבאר)	התנגשות עם ערך 80 מָשָׁה באותה יחידה: דלה והעלה מן הנוזל מול חילץ מן המים. שני הפירושים בלתי-ניתנים להבחנה במבחן
4	80	מָשָׁה	REJECTED	חילץ מן המים (משה את הטובע)	הוציא מהמים (משה את הטובע)	התנגשות עם ערך 79 שָׁלָה באותה יחידה: חילץ מן המים מול דלה והעלה מן הנוזל. דרושה הבחנה מפורשת בין השניים
4	100	כְּסוּת	REJECTED	בגד, לבוש (כסות עיניים: הסוואה)	לבוש וכיסוי (כסות עיניים: הסוואה)	הסוגריים הן הסבר עם נקודתיים ולא קולוקציה, ומכניסות משמעות שנייה בתוך הסוגריים; ההגדרה בלי הסוגריים אמנם עומדת אך הפורמט מפר את כלל 4
4	140	רוֹכֵל	REJECTED	מוכר נודד מבית לבית	סוחר נודד המציע מרכולתו	מבית לבית מצמצם שלא לצורך ואינו נתמך במקורות
4	180	תָּלוּי עַל בְּלִימָה	REJECTED	רופף מאוד ועלול לקרוס	עומד בספק גמור, ללא בסיס	
4	183	צַר עַיִן	REJECTED	מתקנא ואינו שמח באושר הזולת	קנאי בשל אחרים	
4	190	יָצָא מִגִּדְרוֹ	REJECTED	התאמץ מעל ומעבר; התרגש מאוד, איבד שליטה	התאמץ במיוחד למען	
4	202	מְגֻלָּם	REJECTED	מיוצג, מומחש; כלול, טמון בתוך	מיוצג, מוכל בתוך	
5	24	גָּלַל	REJECTED	דחף בסיבוב (גלל אבן); סיפר בפירוט (גולל פרשה)	גלגל כבד (גלל אבן); סיפר בפירוט (גולל פרשה)	
5	40	הִשִּׂיא	REJECTED	חיתן (השיא את בתו); נתן עצה	נתן (השיא עצה); חיתן (השיא את בתו)	
5	58	הִתְפָּעֵם	REJECTED	חש התרגשות והערצה	התרגש והתמלא רגש (נפעם)	
5	99	נַפְתּוּלִים	REJECTED	מאבקים קשים, התלבטויות (נפתולי הנפש)	פיתולים ומאבקים (נפתולי הנפש)	
5	104	מַלְתָּעוֹת	REJECTED	שיני טורף חדות (בין מלתעות המוות)	שיני הטורף (בין מלתעות)	
5	108	פֵּאָה	REJECTED	צד, קצה, שוליים (פאתי העיר)	קצה וצד (פאתי העיר; פאת השדה)	
5	142	בִּמְרוּצַת הַזְּמַן	REJECTED	ככל שחלפו השנים	עם חלוף הזמן	הפירוש הופך את הצירוף למבנה יחס ככל ש ומצמצם זמן לשנים, לא בר-הצבה
5	165	אַחַר כָּבוֹד	REJECTED	בנימוס ובאדיבות, לרוב בציניות (סולק אחר כבוד)	כביכול בכבוד (סולק אחר כבוד)	הפירוש מציב בנימוס ובאדיבות כמשמעות ראשית ומדביק הערת שימוש לרוב בציניות אחרי פסיק, כאילו נרדפת
5	182	דִּבְרֵי טַעַם	REJECTED	אמירות נבונות ומשכנעות	דברים נבונים ומשכנעים	משכנעות אינה נתמכת באף מקור ומוצגת אחרי פסיק כנרדפת
6	8	הִפְלִיא	REJECTED	הצטיין, עשה היטב (הפליא לנגן); הכה קשות (הפליא מכותיו)	עשה להפליא (הפליא לנגן); הכה קשות (הפליא בו מכות)	
6	13	הִתְבָּרֵךְ	REJECTED	ניחן מטבעו בתכונה טובה (התברך בקול ערב)	זכה מטבעו בְּ־ (התברך בקול ערב)	
6	16	סִלְסֵל	REJECTED	עיטר בקולו (סלסל בזמרה); עשה תלתלים	עיטר בקולו (סלסל בזמרה); תלתל	
6	32	מִבְטַחִים	REJECTED	מחסה, מקום מפלט (חוף מבטחים)	מקום בטוח (עיר מבטחים)	
6	76	תָּלוּשׁ	REJECTED	עקור ממקומו, מנותק (תלוש מן המציאות)	מנותק מהקרקע (תלוש מן המציאות)	
6	91	בָּבַת עַיִן	REJECTED	אישון; דבר יקר מכול (שמר עליו כבבת עינו)	אישון העין; דבר יקר מכול (שמר עליו כבבת עינו)	
6	99	דֶּרֶךְ הַמֶּלֶךְ	REJECTED	הנתיב הראשי והמקובל	הדרך הראשית והמקובלת	מוגדר כנתיב פיזי בלבד; חסרה המשמעות המושאלת של דרך הפעולה הנכונה והמקובלת
6	102	פִּיק בִּרְכַּיִם	REJECTED	רעד הרגליים מרוב פחד	רעד ברכיים מאימה	
6	143	הָלַם	REJECTED	התאים ויאה (הולם אותה); הכה בעוצמה	התאים ויאה; הכה בעוצמה (הולם אותה)	
6	146	מֶחֱוָה	REJECTED	תנועת גוף המביעה משמעות; מעשה סמלי של הוקרה	מעשה סמלי של הוקרה	
6	195	עֶגְלוֹן	REJECTED	נהג כרכרה רתומה לסוסים	מי שנוהג בעגלה רתומה לסוסים	הפירוש מחליף עגלה בכרכרה ובהמות בסוסים, צמצום שגוי
7	13	כָּהָה	REJECTED	התעמעם, דעך (עיניו כהו)	התעמעם (עיניו כהו; לא כהתה רוחו)	
7	22	צוּר	REJECTED	סלע איתן, מצוק (צור מחצבתו: מוצאו); מעוז, מחסה	סלע איתן (צור מחצבתו: מוצאו)	הסוגריים הסבר עם נקודתיים ולא קולוקציה, בניגוד לכלל 4
7	28	סְנוּנִית	REJECTED	ציפור נודדת בעלת זנב מפוצל (סנונית ראשונה)	ציפור נודדת (סנונית ראשונה: סימן מבשר)	סנונית ראשונה ניב מושאל ולא קולוקציה של הציפור, והמשמעות המושאלת סימן ראשון חסרה
7	35	לְשַׁד	REJECTED	כוח חיוני, מיץ (לשד עצמותיו); תמצית, עיקר	מיץ החיים (מצץ את לשד עצמותיו)	
7	41	אַשְׁפַּתּוֹת	REJECTED	ערמות זבל ופסולת (הרים מאשפתות)	ערמות אשפה (הרים מאשפתות: העלה מהשפל)	הרים מאשפתות אינו צירוף מתועד, המקור הוא מאשפות ירים אביון בצורה אחרת
7	66	יְפֵה נֶפֶשׁ	REJECTED	עדין, רגיש ואידיאליסט תמים	עדין ואידיאליסט (לעיתים בלעג)	
7	82	הֶעֱלִים עַיִן	REJECTED	הבליג בכוונה על מעשה פסול	התעלם במתכוון	הבליג אינו התעלם במכוון; המקורות מגדירים העמיד פנים שלא ראה
7	89	נָשָׂא וְנָתַן	REJECTED	התמקח ודן בתנאי עסקה	ניהל משא ומתן	
7	101	נוֹרָא הוֹד	REJECTED	מפואר ומרהיב, מעורר התפעלות	מעורר יראה והתפעלות	רכיב היראה/יראת הכבוד שב"נורא" הוחלף ב"מעורר התפעלות" שמחליש את המשמעות
7	110	טִכֵּס עֵצָה	REJECTED	דן עם אחרים ותכנן כיצד לפעול	התייעץ וחיפש דרך פעולה	"ותכנן כיצד לפעול" אינו נתמך במקור והפירוש פרוזאי במקום נרדפות
7	139	אֲחוּז תְּזָזִית	REJECTED	קדחתני, נסער וחסר מנוחה	נסער וחסר מנוחה	
7	156	יָגוֹר	REJECTED	פחד, חרד	חושש ופוחד	
7	163	מַשְׁכּוּכִית	REJECTED	בהמה שהעדר נמשך אחריה	המוביל את העדר אחריו	
7	177	צִחְצוּחַ חֲרָבוֹת	REJECTED	איומי מלחמה, הצהרות תוקפניות	עימות מילולי מתלהט	
8	17	שַׁחַת	REJECTED	בור עמוק; שאול, עולם המתים (ירד לשחת)	בור קבר (ירד לשחת: אבד)	
8	26	כִּמְדֻמֶּה	REJECTED	כך אני סבור, אך איני בטוח (כמדומני)	כפי שנדמה (כמדומני)	הסוגריים "(כמדומני)" הן צורת נטייה ולא קולוקציה, בניגוד לכלל 4; הניסוח בגוף ראשון הוא הסבר ולא הגדרה
8	35	מִשְׁנֵה זְהִירוּת	REJECTED	ערנות יתרה מפני סכנה	זהירות כפולה ומוגברת	"ערנות" אינה זהירות, ו"מפני סכנה" מצמצם ללא בסיס במקורות
8	40	חוֹבֵק עוֹלָם	REJECTED	מקיף את כל כדור הארץ	מקיף את העולם כולו	הפירוש קורא את הניב כתמונה גאוגרפית מילולית ומפספס את משמעות ההיקף הרחב
8	43	אֶרֶץ לֹא זְרוּעָה	REJECTED	מדבר, אדמת בור; תחום שטרם נחקר	תחום שאיש לא חקר	המשמעות "תחום שטרם נחקר" אינה מתועדת לצירוף הזה; היא בלבול עם "ארץ הלא נודע" (terra incognita)
8	50	רֹאשׁוֹ וְרֻבּוֹ	REJECTED	כל כולו, במלואו (שקוע בזה ראשו ורובו)	שקוע כל כולו	
8	130	הִתְנוֹסֵס	REJECTED	התנופף בגובה ובלט לעין (הדגל התנוסס)	התנופף בגאון (הדגל התנוסס)	65 תווים, מעל תקרת 60
8	176	מִבְדּוֹק	REJECTED	מתקן בנמל לתיקון אוניות מחוץ למים	מתקן תיקון ספינות	61 תווים, מעל תקרת 60
8	188	נָשִׂיא	REJECTED	ענן, עב	ענן נושא גשם	חסרה המשמעות המרכזית - ראש מדינה ומנהיג; ניתנה רק המשמעות המשנית ענן
8	192	שְׂכַלְתָן	REJECTED	רציונליסט, מי שמעדיף היגיון על רגש	מי שמכריע לפי היגיון וניתוח קר ולא לפי רגש או אמונה	
9	10	קַב	REJECTED	מידת נפח בת ארבעה לוגים; מעט אך איכותי (קב ונקי)	מידת נפח קדומה	
9	53	נִקְרָה	REJECTED	נקיק בסלע; הזדמן במקרה (נקרה בדרכו)	נקיק בצוק; נקרה בדרכו: הזדמן	מעגליות: "הזדמן במקרה" מכיל נגזרת שקופה של אותו שורש ק.ר.ה; גם ערבוב שם עצם ופועל
9	54	סָפַק אֶת כַּפָּיו	REJECTED	הכה יד ביד מרוב כעס או ייאוש	מחא כף בצער וייאוש	
9	121	שׁוּמָה	REJECTED	אומדן ערכו הכספי של נכס	הערכת שווי; שומה עליו: חובה עליו	
9	130	עֵינַיִם טְרוּטוֹת	REJECTED	מבט אדום ועייף מחוסר שינה	עיניים עייפות ואדומות	
9	147	טֶפַח	REJECTED	רוחב כף יד, מידת אורך עתיקה (מגלה טפח)	מידת רוחב כף יד (מגלה טפח)	
9	159	סַנְוֵרִים	REJECTED	עיוורון פתאומי מאור חזק (הוכה בסנוורים)	עיוורון מבוהל (הוכה בסנוורים)	
9	171	הֶחֱזִיר עֲטָרָה לְיָשְׁנָהּ	REJECTED	השיב מנהג או מוסד לתפארתו	חידש מסורת שנזנחה	הפירוש מצמצם שלא לצורך (דוגמאות המקור: בית ספר, בניין)
9	177	בֶּן דְּמוּתוֹ	REJECTED	אדם הנראה כמוהו, כפילו	הדומה לו כשתי טיפות	
10	24	אֵם הַדֶּרֶךְ	REJECTED	מקום שממנו מתפצלות דרכים	הדרך הראשית	
10	52	לַעַג לָרָשׁ	REJECTED	צחוק על מצוקת החלש; סיוע מזלזל וחסר ערך	התעללות בחלש (כלעג לרש)	
10	55	מִרְבָּץ	REJECTED	ריכוז מחצבים בקרקע; מקום שופע בדבר מה	שכבת סלע או אדמה שיש בה ריכוז מחצבים; מקום שופע בדבר מסוים	
10	85	אִישׁ קְּצָווֹת	REJECTED	קנאי, נחרץ בדעותיו ובמעשיו	אדם קיצוני	
10	96	לֵיל שִמּוּרִים	REJECTED	לילה לבן, שערים בו כולו	לילה לבן, לילה שערים בו (בדרך כלל מתוך דאגה)	
10	113	רִפְיוֹן יָדַיִּם	REJECTED	תשישות נפש, חוסר מרץ לפעול	יאוש	
10	129	אור יקרות	REJECTED	אור נעים ובהיר (זהר באור יקרות)	הצגה מחמיאה (באור יקרות)	מעגליות: ההגדרה בלי הסוגריים פותחת במילה אור עצמה שבצירוף
10	150	אתרע מזלו	REJECTED	פגע בו רוע הגורל	התהפך מזלו לרעה	רוע נגזרת שקופה של אתרע והגורל נרדף למזלו — הפירוש מסגיר את הצירוף
10	155	טס	REJECTED	מגש, כלי שטוח לנשיאת חפצים	מגש מתכת	ערך ללא ניקוד; הלמה הראשית טס (עף, נסע במטוס) חסרה, הפירוש מכסה רק מגש
10	166	רחת	REJECTED	מזרה, כלי לזריית תבואה; כף שטוחה	כף רחבה של אופים	
10	189	דִּבֵּר גְּבוֹהָה גְּבוֹהָה	REJECTED	התרברב, התבטא בגאווה מופרזת	דיבר ביהירות ובהתנשאות	
