יחידה	#	מילה מנוקדת	מילה	שורש	מוצא	סטטוס	מקורות	הערה
1	36	הָגוּן	הגון	הגנ	ויקינתונים (CC0)	שוכתב			L206914
1	37	עִקֵּשׁ	עקש	עקש	ויקינתונים (CC0)	שוכתב			L216122
1	38	צַיְתָן	ציתן	צית	ויקינתונים (CC0)	אומת			L217568
1	39	כָּנוּעַ	כנוע	כנע	ויקינתונים (CC0)	שוכתב		נדחה בהפרכה ונכתב מחדש בכפוף לשער	L212151
1	40	עוֹיֵן	עוין	עינ	ויקינתונים (CC0)	אומת			L215957
1	41	נִרְגָּן	נרגן	רגנ	ויקינתונים (CC0)	אומת			L214993
1	42	רַכְרוּכִי	רכרוכי	רכך	ויקינתונים (CC0)	אומת			L218962
1	43	מֻפְנָם	מפנם	פנמ	ויקינתונים (CC0)	שוכתב			L212907
1	44	מֻחְצָן	מחצן	חצנ	⚠ דרוש מקור	שוכתב			נמלה
1	45	פַּזְרָן	פזרן	פזר	ויקינתונים (CC0)	אומת			L216614
1	46	גַּרְגְּרָן	גרגרן	גרגר	ויקינתונים (CC0)	שוכתב			L206353
1	47	הוֹלֵל	הולל	הלל	ויקינתונים (CC0)	אומת			L207205
1	48	הֲפַכְפַּךְ	הפכפך	הפכ	ויקינתונים (CC0)	אומת			L208531
1	49	עַרְמוּמִי	ערמומי	ערמ	ויקינתונים (CC0)	אומת			L216333
1	50	פֶּתִי	פתי	פתה	ויקינתונים (CC0)	אומת			L217401
1	51	שַׁאֲנָן	שאנן	שאנ	ויקינתונים (CC0)	שוכתב			L219189
1	52	לָהוּט	להוט	להט	ויקינתונים (CC0)	אומת			L212298
1	53	זָעוּף	זעוף	זעפ	ויקינתונים (CC0)	אומת			L210495
1	54	צָבוּעַ	צבוע	צבע	ויקינתונים (CC0)	אומת			L217452
1	55	גַּלְמוּד	גלמוד	גלמד	ויקינתונים (CC0)	אומת			L206277
1	56	הוֹקִיר	הוקיר	יקר	ויקינתונים (CC0)	אומת			L207395
1	57	זָנַח	זנח	זנח	ויקינתונים (CC0)	שוכתב			L210488
1	58	חָדַל	חדל	חדל	ויקינתונים (CC0)	אומת			L210603
1	59	נִכְסַף	נכסף	כספ	ויקינתונים (CC0)	אומת			L214651
1	60	גָּעַר	גער	גער	ויקינתונים (CC0)	אומת			L206334
1	61	הִתְרִיס	התריס	תרס	ויקינתונים (CC0)	אומת			L210213
1	62	הִפְצִיר	הפציר	פצר	ויקינתונים (CC0)	אומת			L208559
1	63	מֵאֵן	מאן	מאנ	ויקינתונים (CC0)	אומת			L213109
1	64	נֵאוֹת	נאות	אות	ויקינתונים (CC0)	אומת			L214044
1	65	נַעֲתַר	נעתר	עתר	ויקינתונים (CC0)	אומת			L214836
1	66	הִמְרָה	המרה	מרה	ויקינתונים (CC0)	שוכתב			L208238
1	67	הִתְקוֹמֵם	התקומם	קומ	ויקינתונים (CC0)	אומת			L210107
1	68	הִרְהֵר	הרהר	הרהר	ויקינתונים (CC0)	אומת			L208879
1	69	תָּהָה	תהה	תהה	ויקינתונים (CC0)	אומת			L219997
1	70	הִסִּיק	הסיק	נסק	ויקינתונים (CC0)	שוכתב			L208321
1	71	הִפְרִיךְ	הפריך	פרכ	ויקינתונים (CC0)	אומת			L208576
1	72	אִשֵּׁשׁ	אשש	אשש	ויקינתונים (CC0)	אומת			L204893
1	73	הִלֵּל	הלל	הלל	ויקינתונים (CC0)	אומת			L1333585
1	74	קִטְרֵג	קטרג	קטרג	ויקינתונים (CC0)	אומת			L218106
1	75	סִנְגֵר	סנגר	סנגר	ויקינתונים (CC0)	אומת			L215682
1	76	הוֹקִיעַ	הוקיע	יקע	ויקינתונים (CC0)	אומת			L207394
1	77	הִרְתִּיעַ	הרתיע	רתע	ויקינתונים (CC0)	אומת			L208959
1	78	נִבְעַת	נבעת	בעת	ויקינתונים (CC0)	אומת			L214114
1	79	הִתְעַשֵּׁת	התעשת	עשת	ויקינתונים (CC0)	אומת			L209986
1	80	הִסְתַּיֵּג	הסתיג	סיג	ויקינתונים (CC0)	אומת			L208383
1	81	צִדֵּד	צדד	צדד	ויקינתונים (CC0)	שוכתב			L217542
1	82	חָלַק עַל	חלק על	חלק	ויקינתונים (CC0)	אומת			L65291
1	83	עִרְעֵר עַל	ערער על	ערר	ויקינתונים (CC0)	אומת			L216339
1	84	פִּקְפֵּק	פקפק	פקפק	ויקינתונים (CC0)	אומת			L217128
1	85	דָּבַק	דבק	דבק	ויקינתונים (CC0)	אומת			L206429
1	86	עָרַק	ערק	ערק	ויקינתונים (CC0)	אומת			L216347
1	87	חָמַק	חמק	חמק	ויקינתונים (CC0)	שוכתב			L211011
1	88	שָׁהָה	שהה	שהה	ויקינתונים (CC0)	אומת			L219256
1	89	הִתְמַהְמֵהַּ	התמהמה	מהמה	ויקינתונים (CC0)	אומת			L209717
1	90	בּוֹשֵׁשׁ	בושש	בשש	ויקינתונים (CC0)	אומת			L205652
1	91	הֵאִיץ	האיץ	אוצ	ויקינתונים (CC0)	אומת			L206814
1	92	הִלֵּךְ	הלך	הלכ	ויקינתונים (CC0)	שוכתב		נדחה בהפרכה ונכתב מחדש בכפוף לשער	L184903
1	93	תָּעָה	תעה	תעה	ויקינתונים (CC0)	אומת			L220324
1	94	עָמַל	עמל	עמל	ויקינתונים (CC0)	אומת			L216185
1	95	טָרַח	טרח	טרח	ויקינתונים (CC0)	אומת			L211542
1	96	שָׁקַד	שקד	שקד	ויקינתונים (CC0)	אומת			L219820
1	97	הָגָה	הגה	הגה	ויקינתונים (CC0)	אומת			L206911
1	98	חוֹלֵל	חולל	חול	ויקינתונים (CC0)	אומת			L210658
1	99	הֵסֵב	הסב	סבב	ויקינתונים (CC0)	שוכתב			L208305
1	100	הֵנִיב	הניב	נוב	ויקינתונים (CC0)	אומת			L208277
1	101	שִׁכְלֵל	שכלל	כלל	ויקינתונים (CC0)	אומת			L219641
1	102	גָּרַע	גרע	גרע	ויקינתונים (CC0)	אומת			L206387
1	103	דִּלֵּל	דלל	דלל	ויקינתונים (CC0)	שוכתב			L206614
1	104	גָּדַשׁ	גדש	גדש	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L206060
1	105	הִרְעִיף	הרעיף	רעפ	ויקינתונים (CC0)	אומת			L208926
1	106	הִפְרִיז	הפריז	פרז	ויקינתונים (CC0)	אומת			L208573
1	107	הִמְעִיט	המעיט	מעט	ויקינתונים (CC0)	אומת			L208234
1	108	זָקַף	זקף	זקפ	ויקינתונים (CC0)	שוכתב		נדחה בהפרכה ונכתב מחדש בכפוף לשער	L210523
1	109	גָּמַל	גמל	גמל	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L206295
1	110	מָחַל	מחל	מחל	ויקינתונים (CC0)	אומת			L213038
1	111	הֶחֱמִיץ	החמיץ	חמצ	ויקינתונים (CC0)	שוכתב			L207637
1	112	אָכַף	אכף	אכפ	ויקינתונים (CC0)	אומת			L204914
1	113	זִכָּה	זכה	זכה	ויקינתונים (CC0)	אומת			L210450
1	114	הִרְשִׁיעַ	הרשיע	רשע	ויקינתונים (CC0)	אומת			L208955
1	115	כָּפַר	כפר	כפר	ויקינתונים (CC0)	אומת			L1320773
1	116	הֵפִיחַ	הפיח	פוח	ויקינתונים (CC0)	אומת			L208523
1	117	מָעַךְ	מעך	מעכ	ויקינתונים (CC0)	אומת			L213598
1	118	חֶרְפָּה	חרפה	חרפ	ויקינתונים (CC0)	אומת			L77950
1	119	חֲפוּת	חפות	חפפ	ויקינתונים (CC0)	אומת			L211079
1	120	תְּחִנָּה	תחנה	חננ	ויקינתונים (CC0)	אומת			L68611
1	121	קַנָּאוּת	קנאות	קנא	ויקינתונים (CC0)	אומת			L67907
1	122	הֲפוּגָה	הפוגה	פוג	ויקינתונים (CC0)	אומת			L208515
1	123	מוֹרָא	מורא	ירא	ויקינתונים (CC0)	שוכתב			L66125
1	124	גְּנַאי	גנאי	גנה	ויקינתונים (CC0)	שוכתב		הוחזר בסבב 1 · הופרך בהפרכת-המכהן ונכתב מחדש	L206302
1	125	תְּהִלָּה	תהלה	הלל	ויקינתונים (CC0)	אומת			L68558
1	126	מוֹנִיטִין	מוניטין	מוניטין	ויקינתונים (CC0)	אומת			L66107
1	127	בּוּז	בוז	בוז	ויקינתונים (CC0)	אומת			L205540
1	128	חֶמְלָה	חמלה	חמל	ויקינתונים (CC0)	אומת			L65304
1	129	אַהֲדָה	אהדה	אהד	ויקינתונים (CC0)	אומת			L75046
1	130	מְשׂוּכָה	משוכה	שוכ	ויקינתונים (CC0)	שוכתב		נדחה בהפרכה ונכתב מחדש בכפוף לשער	L79603
1	131	תַּכְלִית	תכלית	תכלית	ויקינתונים (CC0)	אומת			L82487
1	132	תַּחְבּוּלָה	תחבולה	תחבל	ויקינתונים (CC0)	אומת			L220103
1	133	מְזִמָּה	מזמה	זממ	ויקינתונים (CC0)	אומת			L78933
1	134	בֶּצַע	בצע	בצע	ויקינתונים (CC0)	אומת			L491563
1	135	מְבוּכָה	מבוכה	בוכ	ויקינתונים (CC0)	אומת			L66013
1	136	הִשְׁתָּאוּת	השתאות	שאה	ויקינתונים (CC0)	אומת			L209060
1	137	יִסּוּרִים	יסורים	יסר	ספריא · נחלת הכלל	אומת			Perush Maharzu on Vayikra Rabbah 29:5:2 (Midrash Rabbah, Vilna, 1878 [he])
1	138	מַכְאוֹב	מכאוב	כאב	ויקינתונים (CC0)	שוכתב			L66260
1	139	יָגוֹן	יגון	יגה	ויקינתונים (CC0)	אומת			L65523
1	140	חֶדְוָה	חדוה	חדה	ויקינתונים (CC0)	אומת			L490035
1	141	נַחַת	נחת	נוח	ויקינתונים (CC0)	אומת			L214421
1	142	מֹרַת רוּחַ	מרת רוח	מרת-רוח	ספריא · נחלת הכלל	אומת			Netinah LaGer, Genesis 26:35:1 (Vilna, 1876 [he])
1	143	חֵמָה	חמה	יחמ	ויקינתונים (CC0)	אומת			L65298
1	144	טִינָה	טינה	טינ	ויקינתונים (CC0)	אומת			L211390
1	145	אֵיבָה	איבה	איב	ויקינתונים (CC0)	אומת			L63863
1	146	תּוֹכֵחָה	תוכחה	יכח	ויקינתונים (CC0)	אומת			L220027
1	147	לֶקַח	לקח	לקח	ויקינתונים (CC0)	אומת			L212509
1	148	בְּקִיאוּת	בקיאות	בקא	ויקינתונים (CC0)	אומת			L205920
1	149	דִּכְדּוּךְ	דכדוך	דכדכ	ויקינתונים (CC0)	אומת			L64710
1	150	חֲנֻפָּה	חנפה	חנפ	ויקינתונים (CC0)	אומת			L77881
1	151	גַּחְמָה	גחמה	גחמ	ויקינתונים (CC0)	אומת			L206164
1	152	סְרָק	סרק	סרק	ויקינתונים (CC0)	שוכתב		נדחה בהפרכה ונכתב מחדש בכפוף לשער	L215859
1	153	לַשָּׁוְא	לשוא	שוא	ספריא · נחלת הכלל	אומת			Rashi on Temurah 3b:7:2 (Vilna Edition [he])
1	154	כְּפִיּוּת טוֹבָה	כפיות טובה	כפיות-טובה	ספריא · נחלת הכלל	אומת			Chelkat Mechokek on Job 5:19:1 (Chelkat Mechokek, Warsaw 1876 [he])
1	155	מַשּׂוֹא פָּנִים	משוא פנים	משוא-פנים	ספריא · נחלת הכלל	אומת			Ben Yehoyada on Yevamot 79a:2 (Senlake edition 2019 based on Ben Yehoyada, Jerusalem, 1897 [he])
1	156	קָלוֹן	קלון	קלה	ויקינתונים (CC0)	אומת			L81644
1	157	תְּנוּךְ	תנוך	תנכ	ויקינתונים (CC0)	אומת			L82519
1	158	עָכוּר	עכור	עכר	ויקינתונים (CC0)	אומת			L216146
1	159	צָלוּל	צלול	צלל	ויקינתונים (CC0)	אומת			L217613
1	160	קָלוּשׁ	קלוש	קלש	ויקינתונים (CC0)	אומת			L218247
1	161	פָּעוּט	פעוט	פעט	ויקינתונים (CC0)	אומת			L217063
1	162	נִכָּר	נכר	נכר	ויקינתונים (CC0)	אומת			L79847
1	163	מֻבְהָק	מבהק	בהק	ויקינתונים (CC0)	אומת			L212731
1	164	סָמוּי	סמוי	סמי	ויקינתונים (CC0)	שוכתב			L215649
1	165	מְעֻרְפָּל	מערפל	ערפל	ספריא · נחלת הכלל	אומת			Metzudat David on Job 38:9:1 (On Your Way [he])
1	166	עָמוּם	עמום	עממ	ויקינתונים (CC0)	אומת			L216173
1	167	דּוּ־מַשְׁמָעִי	דו משמעי	דו-משמעי	ויקיטקסט · נחלת הכלל	שוכתב			צידה לדרך למועדי ישראל/כ
1	168	שׁוֹמֵם	שומם	שממ	ויקינתונים (CC0)	אומת			L219328
1	169	תָּכוּף	תכוף	תכפ	ויקינתונים (CC0)	אומת			L220212
1	170	שָׁכִיחַ	שכיח	שכיח	ויקינתונים (CC0)	שוכתב			L219630
1	171	אָחִיד	אחיד	אחד	ויקינתונים (CC0)	אומת			L204650
1	172	חוֹלֵף	חולף	חלפ	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L210957
1	173	אָרְעִי	ארעי	ארע	ויקינתונים (CC0)	אומת			L205422
1	174	רָעוּעַ	רעוע	רעע	ויקינתונים (CC0)	אומת			L219017
1	175	אֵיתָן	איתן	אתנ	ויקינתונים (CC0)	אומת			L204897
1	176	חָסִין	חסין	חסנ	ויקינתונים (CC0)	שוכתב			L211057
1	177	קֵהֶה	קהה	קהה	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L217807
1	178	תָּפֵל	תפל	תפל	ויקינתונים (CC0)	אומת			L220357
1	179	אַפְלוּלִי	אפלולי	אפל	ויקינתונים (CC0)	אומת			L205240
1	180	סְגַלְגַּל	סגלגל	סגל	ויקינתונים (CC0)	אומת			L215164
1	181	דָּחוּק	דחוק	דחק	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L206542
1	182	עָגוּם	עגום	עגמ	ויקינתונים (CC0)	שוכתב			L215902
1	183	מַשְׁמִים	משמים	שממ	ויקינתונים (CC0)	שוכתב			L213940
1	184	עֲרִירִי	ערירי	ערר	ויקינתונים (CC0)	אומת			L216326
1	185	עָלָה בַּתֹּהוּ	עלה בתהו	עלה-בתהו	ספריא · נחלת הכלל	אומת			Malbim on Exodus 16:14:1 (Mikraei Kodesh, Vilna, 1891 [he])
1	186	אָזְלַת יָד	אזלת יד	אזלת-יד	ויקינתונים (CC0)	אומת			L63834
1	187	אֹזֶן קַשֶּׁבֶת	אזן קשבת	אוזן-קשבת	ספריא · נחלת הכלל	שוכתב			Haamek Davar on Genesis 4:23:4 (Sefer Torat Elohim, Vilna 1879 [he])
1	188	כִּלְאַחַר יָד	כלאחר יד	כלאחר-יד	ספריא · נחלת הכלל	אומת			Zohar Chadash, Tikuna Kadma'ah 75 (Zohar Chadash [he])
1	189	אֵין תּוֹכוֹ כְּבָרוֹ	אין תוכו כברו	אין-תוכו-כברו	ספריא · נחלת הכלל	שוכתב			Malbim Beur Hamilot on Isaiah 10:6:2 (On Your Way [he])
1	190	נִמְנָה עִם	נמנה עם	נמנה-עם	ויקינתונים (CC0)	שוכתב			L214705
1	191	עוֹלֶה בְּקָנֶה אֶחָד עִם	עולה בקנה אחד עם	עולה-בקנה-אחד	ספריא · נחלת הכלל	אומת			Lechem Shamayim on Mishnah Mikvaot 2:9:1 (Jerusalem, 1978 [he])
1	192	חַס	חס	חוס	ויקינתונים (CC0)	SKIP			L211046
1	193	טָבַע	טבע	טבע	ויקינתונים (CC0)	שוכתב			L211263
1	194	אֶגֶד	אגד	אגד	ויקינתונים (CC0)	שוכתב			L204348
1	195	נָא	נא	נא	ויקינתונים (CC0)	אומת			L492185
1	196	לֹא בִּכְדִי	לא בכדי	לא-בכדי	ספריא · נחלת הכלל	שוכתב			Darkhei Moshe (Amiel), Derekh HaKodesh, Shmatta 11 9:3 (Darkhei Moshe, Jerusalem 1998-2000 [he])
1	197	קוֹרַת רוּחַ	קורת רוח	קורת-רוח	ספריא · נחלת הכלל	שוכתב			Kessef Mishneh on Mishneh Torah, Slaves 6:4:2 (Torat Emet 363 [he])
1	198	בְּפוּמְבִּי / בְּפוּמְבֵּי	בפומבי / בפומבי	בפומבי	ספריא · נחלת הכלל	אומת			Prisha, Even HaEzer 91:16:1 (Tur Even HaEzer, Vilna, 1923 [he])
1	199	כַּן / כַּנָּה	כן / כנה	כנ	ויקינתונים (CC0)	אומת			L65801
1	200	הַדְרָן	הדרן	הדרנ	ויקינתונים (CC0)	אומת			L77190
2	1	בְּעֶטְיוֹ	בעטיו	עטי	ספריא · נחלת הכלל	אומת			Rashi on Shabbat 55b:3:1 (Vilna Edition [he])
2	2	פֶּן	פן	פן	ויקינתונים (CC0)	אומת			L67475
2	3	לְבַל	לבל	לבל	ספריא · נחלת הכלל	אומת			Tov haLevanon, Tenth Treatise on Devotion to God 7:72 (Chovat Halevavot, Warsaw 1875 [he])
2	4	בְּטֶרֶם	בטרם	טרמ	ספריא · נחלת הכלל	שוכתב			Yahel Ohr on Zohar 3:249a:2 (Vilna 1882 [he])
2	5	בִּן־לַיְלָה	בן לילה	בן-לילה	ספריא · נחלת הכלל	אומת			Etz Yosef on Shemot Rabbah 9:7:25 (Midrash Rabbah with Etz Yosef, Warsaw, 1867 [he])
2	6	זֶה מִכְּבָר	זה מכבר	כבר	ספריא · נחלת הכלל	שוכתב			Justice in the Jewish State according to the Torah 31:2 (Tel Aviv, 1936 [he])
2	7	לְשֶׁעָבַר	לשעבר	לשעבר	ויקינתונים (CC0)	שוכתב		הוחזר בסבב 1 · הופרך בהפרכת-המכהן ונכתב מחדש	L492056
2	8	חֲדָשׁוֹת לַבְּקָרִים	חדשות לבקרים	חדשות-לבקרים	ספריא · נחלת הכלל	אומת			Sermons Unto My People, The Three Festivals 2:30 (Derashot El Ami, Jerusalem 1936 [he])
2	9	קַל וָחֹמֶר	קל וחמר	קל-וחומר	ויקינתונים (CC0)	אומת			L67882
2	10	מִבְּעוֹד מוֹעֵד	מבעוד מועד	מבעוד-מועד	ויקיטקסט · נחלת הכלל	אומת			חוק קיום דיונים בהיוועדות חזותית בהשתתפות עצורים, אסירים וכלואים בתקופת התפשטות נגיף הקורונה החדש (הוראת שעה)
2	11	בְּעִצּוּמוֹ שֶׁל	בעצומו של	עצמ	ספריא · נחלת הכלל	אומת			Notes and Corrections on Midrash Aggadah, Genesis 7:8 (Midrash Aggadah, ed. Buber, Vienna, 1894. [he])
2	12	בִּמְשׂוּרָה	במשורה	משורה	ספריא · נחלת הכלל	אומת			Ibn Ezra on Leviticus 19:36:3 (On Your Way [he])
2	13	חַמְדָן	חמדן	חמד	ויקינתונים (CC0)	אומת			L210979
2	14	גַּנְדְּרָן	גנדרן	גנדר	ויקינתונים (CC0)	אומת			L206306
2	15	קַנְטְרָן	קנטרן	קנטר	ויקינתונים (CC0)	אומת			L218359
2	16	עִלֵּג	עלג	עלג	ויקינתונים (CC0)	אומת			L216080
2	17	נִלְעָג	נלעג	לעג	ויקינתונים (CC0)	שוכתב			L214676
2	18	זָחוּחַ	זחוח	זחח	ויקינתונים (CC0)	אומת			L210395
2	19	כִּילַי	כילי	כלי	ויקינתונים (CC0)	שוכתב			L78400
2	20	אָמִיד	אמיד	אמד	ויקינתונים (CC0)	אומת			L205009
2	21	אֶבְיוֹן	אביון	אבה	ויקינתונים (CC0)	אומת			L204333
2	22	כָּחוּשׁ	כחוש	כחש	ויקינתונים (CC0)	אומת			L212031
2	23	צָנוּם	צנום	צנמ	ויקינתונים (CC0)	אומת			L217659
2	24	תִּמְהוֹנִי	תמהוני	תמה	ויקינתונים (CC0)	אומת			L220183
2	25	נוֹטֵר	נוטר	נטר	ויקינתונים (CC0)	אומת			L214250
2	26	תַּכְסִיסָן	תכסיסן	טכס	ויקינתונים (CC0)	אומת			L220231
2	27	סוֹרֵר	סורר	סרר	ויקינתונים (CC0)	אומת			L215321
2	28	נִרְפֶּה	נרפה	רפה	ויקינתונים (CC0)	שוכתב			L215014
2	29	אָנִין	אנין	אנינ	ויקינתונים (CC0)	אומת			L205099
2	30	אִסְטְנִיס	אסטניס	איסטניס	ויקינתונים (CC0)	אומת			L205147
2	31	הֶדְיוֹט	הדיוט	הדיוט	ויקינתונים (CC0)	אומת			L64794
2	32	בּוּר	בור	בור	ויקינתונים (CC0)	אומת			L205622
2	33	אֱוִיל	אויל	אול	ויקינתונים (CC0)	אומת			L63742
2	34	חָמוּם	חמום	חממ	ויקינתונים (CC0)	שוכתב			L210986
2	35	שְׁלוּמִיאֵל	שלומיאל	שלומיאל	ויקינתונים (CC0)	אומת			L219671
2	36	הִתְנַכֵּל	התנכל	נכל	ויקינתונים (CC0)	אומת			L209842
2	37	הִתְעַמֵּר	התעמר	עמר	ויקינתונים (CC0)	אומת			L209936
2	38	הִתְנַצֵּחַ	התנצח	נצח	ויקינתונים (CC0)	אומת			L209865
2	39	הִתֵּל	התל	התל	ויקינתונים (CC0)	אומת			L208084
2	40	הוֹנָה	הונה	ינה	ויקינתונים (CC0)	אומת			L207258
2	41	עָשַׁק	עשק	עשק	ויקינתונים (CC0)	אומת			L216362
2	42	נִשֵּׁל	נשל	נשל	ויקינתונים (CC0)	אומת			L215070
2	43	נָחַל	נחל	נחל	ויקינתונים (CC0)	שוכתב			L214380
2	44	חָסָה	חסה	חסה	ויקינתונים (CC0)	שוכתב			L211047
2	45	כָּמַהּ	כמה	כמה	ויקינתונים (CC0)	אומת			L212140
2	46	עָרַג	ערג	ערג	ויקינתונים (CC0)	אומת			L216306
2	47	נָהָה	נהה	נהה	ויקינתונים (CC0)	אומת			L214197
2	48	תָּר	תר	תור	ויקינתונים (CC0)	אומת			L220419
2	49	חִזֵּר	חזר	חזר	ויקינתונים (CC0)	אומת			L210742
2	50	אָרַב	ארב	ארב	ויקינתונים (CC0)	אומת			L205352
2	51	הִתְחַקָּה	התחקה	חקה	ויקינתונים (CC0)	אומת			L209538
2	52	הִפְטִיר	הפטיר	פטר	ויקינתונים (CC0)	אומת			L208521
2	53	נָם	נם	נומ	ויקינתונים (CC0)	שוכתב			L214681
2	54	שִׁנֵּן	שנן	שננ	ויקינתונים (CC0)	אומת			L219562
2	55	נָבַט	נבט	נבט	ויקינתונים (CC0)	שוכתב			L1320631
2	56	נָעַץ	נעץ	נעצ	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L214818
2	57	לָטַשׁ	לטש	לטש	ויקינתונים (CC0)	אומת			L212397
2	58	בָּהָה	בהה	בהה	ויקינתונים (CC0)	אומת			L205505
2	59	גָּהַר	גהר	גהר	ויקינתונים (CC0)	שוכתב			L206063
2	60	רָכַן	רכן	רכנ	ויקינתונים (CC0)	אומת			L218960
2	61	קִעְקַע	קעקע	קעקע	ויקינתונים (CC0)	אומת			L218389
2	62	נִתֵּץ	נתץ	נתצ	ויקינתונים (CC0)	אומת			L214624
2	63	רָמַס	רמס	רמס	ויקינתונים (CC0)	שוכתב			L218986
2	64	בָּזַז	בזז	בזז	ויקינתונים (CC0)	אומת			L205664
2	65	שִׁסָּה	שסה	שסה	ויקינתונים (CC0)	אומת			L219567
2	66	מִגֵּר	מגר	מגר	ויקינתונים (CC0)	אומת			L213113
2	67	נִכְלַם	נכלם	כלמ	ויקינתונים (CC0)	אומת			L214645
2	68	הִתְרַעֵם	התרעם	רעמ	ויקינתונים (CC0)	אומת			L210227
2	69	רָטַן	רטן	רטנ	ויקינתונים (CC0)	אומת			L218840
2	70	קָבַל	קבל	קבל	ויקינתונים (CC0)	אומת			L217771
2	71	נֶאֱנַק	נאנק	אנק	ויקינתונים (CC0)	שוכתב			L214061
