מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
הִתְנַבֵּא	שווה	פועל מדויק (חיזוי או נבואה), לא מכוסה על ידי "כן / כנה".		1	השמיע ניבוי או חיזוי כלשהו	שווה	25	כן / כנה
יְקִיצָה	שווה	שם עצם מדויק (התעוררות), אטום יחסית, לא שכיח מדי.		1	התעוררות משינה, הקיצה	אולי	0	
כְּסָיָה	שווה	מילה נדירה ואטומה לגמרי (כפפה), ללא כל כיסוי.		1	כפפה	אולי	0	
לֵאוּת	שווה	שם עצם ספרותי (עייפות ויגיעה), לא מכוסה על ידי "עיניים טרוטות" — ביטוי ספציפי יותר לעיניים בלבד.		1	יגעות, עייפות, תשישות	אולי	33	עינים טרוטות
לַהֲגָן	שווה	מילה נדירה ואטומה (פטפטן), לא מכוסה כלל.		1	פטפטן, שמדבר בלי סוף	אולי	33	קנה
מִצְנֶפֶת	שווה	שם עצם ספציפי (כובע בד), לא מכוסה על ידי "חבש" — פועל, לא שם עצם דומה.		1	כובע בד, מגבעת	שווה	33	חבש
מְתַאֲבֵן	שווה	שם עצם קולינרי מדויק, לא מכוסה על ידי "תקרבת" (כיבוד כללי).		1	מאכל המוגש בתחילת הארוחה על-מנת להגביר את התאבון	אולי	14	תקרבת
נָהִיר	שווה	תואר ספרותי (ברור ומובן), לא מכוסה כלל — עמודת המשפחה מכילה שורש קרוב בלבד, לא כיסוי משמעות.		1	ברור, מובן	אולי	50	מבהק
נִיחָא	שווה	כפי שהתדריך עצמו מציין כדוגמה לכשל הסקריפט: אין קשר אמיתי ל"גדש" (חפיפת המילה "מילא" מקרית בלבד); ניחא היא מילת דיבור נפרדת ("מילא, אין דבר").		1	מילא, אין דבר	לא שווה	100	גדש
נִכּוּשׁ	שווה	שם עצם חקלאי מדויק (עקירת עשבים שוטים), אטום ולא שכיח מדי.		1	עקירת עשבים שוטים	שווה	0	
נִפְעָם	שווה	תואר ספרותי (נרגש), לא שכיח מדי.		1	נרגש	שווה	0	
פָּלָה	שווה	פועל אטום וספציפי (הוצאת כינים), לא מכוסה כלל על ידי "דלה" (שאיבה ממקור מופשט).		1	הוציא כינים (מהשיער, מהפרווה וכדומה)	אולי	20	דלה
קְרִיסָה	שווה	התמוטטות (מבנה, מערכת או אדם), אינה זהה ל"קעקע" (עקירה או ערעור מכוון).		1	התמוטטות, הרס	שווה	50	קעקע
קְרִישָׁה	שווה	תהליך פיזי-כימי מדויק, לא מכוסה על ידי "דלל" — שהוא ההפך כמעט (דילול).		1	התעבות של נוזל והפיכתו לסמיך וקרוש	אולי	20	דלל
הִתְיַלֵּד	שווה	פועל מדויק (התנהגות ילדותית), לא מכוסה על ידי "בפומבי" (גלוי לעין כל — לא קשור).		1	התנהג כילד, נהג באופן ילדותי	אולי	20	בפומבי / בפומבי
עִרְטֵל	שווה	פועל מדויק (הפשטה וחשיפה), לא מכוסה על ידי "נצר" (שמירה — כמעט ההפך).		1	הפשיט, חשף מכל כיסוי	שווה	25	נצר
מִקְטוֹרֶן	שווה	שם עצם לפריט לבוש מדויק, לא מכוסה כלל על ידי "תנוך" (חלק האוזן).		1	ז'קט, החלק העליון של חליפה	אולי	25	תנוך
מְזֻכָּךְ	שווה	תואר ספרותי (טוהר מפסולת), שונה מ"צלול" (בהירות וצלילות) אף שקרוב במשלב.		1	מטוהר, נקי מכל פסולת	שווה	25	צלול
מֵרֵט אֶת עֲצַבָּיו	שווה	ניב שלם ("הרגיז עד מאוד"), פריט מבחן מלא כשלעצמו, לא מכוסה על ידי "דלה".		1	הרגיז מאוד, הוציא מדעתו	אולי	33	דלה
אַשְׁפָּה	שווה	נרתיק לחיצים, קרוב במשלב ל"נדן" (נרתיק חרב) אך פריט נפרד עם רפרנס שונה (חיצים מול חרב).		2	נרתיק לחיצים	אולי	50	נדן
בַּר-מִינָן	שווה	כינוי ארמי לנפטר, שונה דקדוקית ותפקודית מ"גוע" (פועל למות).		2	מת, מנוח	שווה	50	גוע
בָּרַר	שווה	פועל בחירה וסינון, קרוב אך לא זהה ל"נפה" (סינון פיזי במלית ממשית).		2	בחר את מה שמתאים ביותר, סינן	שווה	25	נפה
גַּפַּיִם	שווה	שם עצם אנטומי-רשמי (איברי גוף), פחות שכיח מ"ידיים ורגליים", לא מכוסה על ידי "מוניטין".		2	שם כולל לרגלים והידיים של בני אדם ובעלי חיים	שווה	14	מוניטין
הִדִּיר שֵׁינָה מֵעֵינָיו	שווה	ניב שלם (נדודי שינה מדאגה), שונה מהניב האחר במשפחה ("הדיר רגליו" = נמנע מלהגיע למקום).		2	הטריד את מנוחתו וגרם לו דאגה רבה; מנע ממנו לישון	אולי	22	קפח
הִזְדַּכְּכוּת	שווה	שם עצם ספרותי-רוחני (טיהור וקתרזיס), שונה מ"התעשת" (התאוששות מעשית וחזרה לצלילות).		2	תהליך היטהרות פיזית עד לצלילות; טיהור נפשי או רוחני, קתרזיס	שווה	11	התעשת
הִתְמַקֵּחַ	שווה	פועל ספציפי למיקוח על מחיר, שונה מ"התנצח" (ויכוח כללי בלהט).		2	התווכח עם הצד השני על גובה התשלום או על תנאי ההסכם	שווה	14	התנצח
הִתְקַהֵל	שווה	פועל להתאספות המונית, לא מכוסה על ידי "אשנב" (פתח קטן בקיר — לא קשור).		2	התאסף, התקבץ לקהל	שווה	33	אשנב
חַמְשִׁיר	שווה	מונח ספרותי מדויק (שיר הומוריסטי בן חמש שורות), לא מכוסה על ידי "מכתם" (אמרה שנונה קצרה — סוגה שונה).		2	יצירה פיוטית היתולית קצרה בת חמש שורות, בחריזה קבועה	שווה	11	מכתם
יֵשׁ בְּלִבּוֹ עָלָיו	שווה	פירוש הניב הוא "לא סלח" — היפוך גמור ממשמעות "מחל" (סלח); ה-100% חפיפה הוא כשל סקריפט שהתעלם מהשלילה במשמעות.		2	לא סלח	לא שווה	100	מחל
מִרְקָם	שווה	שם עצם מטפורי חשוב ("מרקם חברתי"), לא מכוסה על ידי "רכרוכי" (חלש אופי — לא קשור).		2	הרכב של חומר; מארג, אופי שנובע מההרכב	שווה	17	רכרוכי
נֵתַח	שווה	שם עצם לחתיכת בשר או חלק, גם בשימוש מטפורי ("נתח שוק"), לא זהה ל"פת" (פרוסת לחם ספציפית).		2	חתיכת בשר; חלק מהשלם, פרוסה	שווה	40	פת
סָכַר אֶת פִּיו	שווה	ניב שלם (השתקה), מוגן מפסילה גם אם השורש "סכר" קיים לבד כמילה נפרדת (כלל הניבים בתדריך).		2	סתם לו את הפה, החריש	אולי	25	פקד
עָסִיסִי	שווה	תואר מטפורי חי ("סיפור עסיסי" = צבעוני ופיקנטי), לא מכוסה על ידי "יהיר" (גאוותן — לא קשור).		2	רענן, מעניין; מלא מיץ	שווה	25	יהיר
פָּדָה	שווה	פועל מדויק (פדיון או הצלה בתשלום), לא מכוסה על ידי "פזרן" (מבזבז — לא קשור).		2	הציל, שיחרר, חילץ; שילם כסף תמורת החפץ הממושכן	אולי	13	פזרן
פּוּמִית	שווה	שם עצם נדיר ואטום (פיה), ללא כל כיסוי.		2	פִּיָּה	שווה	0	
קוּבְלָנָה	שווה	מונח משפטי-ספרותי לתלונה רשמית, לא מכוסה כלל על ידי "אשש" (חיזק טענה — לא קשור).		2	תלונה, טענה	אולי	50	אשש
שִׁיסּוּי	שווה	שם עצם ספציפי (הסתה לתקיפה), לא מכוסה כלל.		2	הסתה לתקיפה, חירחור	אולי	0	
תְּלוּלִית	שווה	שם עצם מדויק (גבשושית), לא מכוסה על ידי "אגל" (טיפה — תחום שונה).		2	ערימה קטנה	שווה	50	אגל
אוּמְדָן	שווה	הערכה כמותית לא-מדויקת (למשל אומדן נזקים), מונח שימושי ולא שכיח מדי.		3	הערכה של גודל	אולי	50	כיבד
אָחוּז אֵימָה	שווה	ניב ספרותי ("נתפס בפחד עז"), לא שכיח מדי ולא מכוסה כלל.		3	מפוחד מאוד	אולי	0	
אָפַס	שווה	"אפיסה" מתארת תשישות/עייפות, לא "תם ונגמר"; מילה אטומה ולא שכיחה מדי		3	לא נשאר ממנו דבר, תם, נגמר	אולי	25	שהה
בֵּית מֶרְחָץ	שווה	המשמעות (מרחצאות ציבוריים) אינה מכוסה כלל; "בית בד" ו"בית מרזח" הם התאמות מכניות שגויות (רק "בית" משותף)		3	מקום ציבורי שניתן להתרחץ ולהתקלח בו	אולי	33	בית בד
בְּרִיּוֹת	שווה	מילה תנ"כית-ספרותית אטומה (בעלי חיים/יצורים) שאינה מכוסה כלל; "מוניטין" התאמה שגויה		3	שם כולל לבעלי החיים (כולל בני אדם)	אולי	17	מוניטין
הִלְאִים	שווה	מונח כלכלי-פוליטי מובחן (הלאמה) שאינו מכוסה כלל; "אכף" ומשפחת אולם/אלמה הם התאמות שגויות		3	העביר נכס פרטי לידי המדינה מכוח חוק או בתמורה	אולי	13	אכף
הֵפֵר	שווה	המשמעות המרכזית (הפר הסכם/חוק) אינה מכוסה על ידי "חדל" (רק "הפסיק")		3	לא קיים; הפסיק, השבית	אולי	33	חדל
הִשִּׂיא עֵצָה	שווה	אין שום כיסוי בחדש (0% חפיפה); ניב ספרותי לא שכיח		3	ייעץ	אולי	0	
הִשְׁתַּעְבֵּד	שווה	משמעות (שעבוד, איבוד חירות) אינה מכוסה כלל; "התחור" התאמה שגויה סמנטית		3	נעשה תלוי לחלוטין באדם או בדבר; איבד את חירותו ונכנע למרות זרה; מושכן כערובה לחוב	שווה	15	התחור
הִתְאַבֵּק בַּעֲפַר רַגְלָיו	שווה	"שם דבר" עוסק בפרסום, לא בתלמידות; הניב הספציפי (הפך לתלמיד) אינו מכוסה		3	הפך לתלמידו	שווה	50	שם דבר
הִתְלַקֵּחַ	שווה	משמעות ההתלקחות (אש/עימות) אינה מכוסה על ידי "בקע" (חפיפה חלקית בלבד על "פרץ")		3	נתפס באש והחל לבעור; פרץ בעוצמה והתגבר	שווה	14	בקע
הִתְרַבְרֵב	שווה	מילה במשלב גבוה יחסית, אינה שגורה כמו "להשוויץ"; אין כיסוי כלל בחדש		3	התגאה, השתחצן, "השוויץ"	שווה	0	
זִכּוּך	שווה	מילה ספרותית-פילוסופית (טיהור/עידון) שאינה שכיחה; אין לה כיסוי בחדש		3	טיהור	שווה	0	
חֲפִיר	שווה	"תלם" הוא תלם מחרשה חקלאי, לא תעלת ביצורים; המשמעות הצבאית-ביצורית של חפיר אינה מכוסה		3	תעלה חפורה באדמה מסביב לחומת העיר או מסביב למבצר	אולי	13	תלם
טֶרָסָה	שווה	"טרשים" הוא סלעים/אדמה קשה - התאמה פונטית שגויה, לא סמנטית; מונח גיאוגרפי (מדרגת הר) אינו מכוסה		3	מדרגה שנבנית במדרון ההר כדי למנוע סחף אדמה	שווה	14	טרשים
יְלוּדָה	שווה	"ולד" הוא נולד/צאצא בודד; ילודה הוא מושג דמוגרפי-סטטיסטי (שיעור לידות) שונה לגמרי, לא מכוסה		3	כלל התינוקות שנולדו בזמן/במקום מסוים (ההפך מתמותה)	אולי	13	שהה
כָּלִיל	שווה	ה"קרוב" מתייחס לפועל "ליבן" (בירור), לא לתואר הפועל "כליל" (לגמרי); אין כיסוי אמיתי		3	לגמרי, לחלוטין, עד תום	אולי	50	לבן
מַגְבִּית	שווה	מונח לגיוס כספים ציבורי אינו מכוסה כלל; "חתר" התאמה שגויה		3	גביית כספים בצורה מאורגנת למטרה ציבורית כלשהי	אולי	14	חתר
מֵחוּשִׁים	שווה	מילה נרדפת פחות שכיחה ל"כאבים"; אין כיסוי כלל בחדש		3	כאבים	שווה	0	
עַל רֶגֶל אַחַת	שווה	"מכתם" הוא סוג של אמרה שנונה (שם עצם), לא צורת מסירה קצרה (תואר פועל); הניב המפורסם (הלל הזקן) אינו מכוסה		3	בצורה קצרה ומתומצתת, ביעף	אולי	25	מכתם
פּוֹרֶה	שווה	"גרגרן" (זללן) אינו קשור כלל למשמעות "פורה" (יבול/תפוקה); המשמעות אינה מכוסה		3	שמניב הרבה פרי, שנותן תפוקה גדולה, יעיל	אולי	14	גרגרן
פְּתַלְתְּל	שווה	"עקלתון" מכסה רק את המשמעות הפיזית (מפותל); המשמעויות הנוספות (הפכפך, ערמומי, מסובך) אינן מכוסות כלל		3	שאינו ישר, מפותל; הפכפך, ערמומי; מסובך להבנה, מורכב	שווה	25	עקלתון
קִידָּה	שווה	"בגלופין" (שכרות קלה) אינו קשור כלל ל"קידה" (השתחוואה); התאמה שגויה מבוססת על המילה "קלה" בלבד		3	השתחוות קלה	אולי	50	בגלופין
קְלִישָאַה / קְלִישָה	שווה	קלישה היא מילה שאולה (מצרפתית), לא קשורה בפועל ל"קלוש" העברי למרות הדמיון הצלילי; "עשק" התאמה שגויה; המשמעות אינה מכוסה		3	ביטוי או אמירה ששימוש יתר גזל ממנה כל מקוריות	אולי	14	עשק
קָמִין	שווה	"כור" הוא תנור התכה תעשייתי, לא אח ביתי; המשמעות הביתית (קמין) אינה מכוסה		3	תנור, אח	שווה	50	כור
קְשֵׁה לֵב	שווה	"חמלה" הוא רחמים עצמם, לא חוסר-רחמים; המשמעות (אכזריות, קשיחות רגשית) אינה מכוסה		3	חסר רחמים, אכזרי, אטום רגשית	אולי	20	חמלה
שַׁבְרִיר	שווה	"פלג" מתייחס לנחל/סיעה, לא לשבריר-כמות (חלק זעיר); המשמעות המרכזית אינה מכוסה		3	חלק קטן ביותר, קצת	שווה	50	פלג
שִׁכְתּוּב	שווה	"מוניטין" (שם טוב) אינו קשור כלל ל"שכתוב" (כתיבה מחדש); התאמה שגויה		3	כתיבת חומר כלשהו בשנית בניסוח או סגנון טוב יותר	שווה	13	מוניטין
שָׁלַח יָד בְּנַפְשׁוֹ	שווה	אין קשר בין "מוניטין"/"משלח יד" לניב זה (התאבדות); אין כיסוי כלל		3	התאבד, שם קץ לחייו	אולי	25	מוניטין
שָׁפָל	שווה	המשמעות המרכזית (נבזה, מנוול) שלילית לגמרי ושונה מ"ענו" (צנוע, חיובי); רק צירוף משני ("שפל רוח") קרוב לענו		3	נבזה, מנוול; נמוך, קטן (___ רוח - צנוע, רוחו "קטנה")	שווה	11	ענו
תַּסְמִין	שווה	"החוה" הוא סימן בתנועת גוף, לא תסמין רפואי-אבחוני; המשמעות אינה מכוסה		3	סימפטום, סימן היכר	שווה	33	החוה
אִיכּוּל	שווה	"בשל" (מילת סיבה) אינו קשור כלל ל"איכול" (קורוזיה/שריפה) - התאמה מקרית דרך המילה "עקב" בהגדרות		4	קורוזיה, הרס מתכת עקב התרכבות עם חמצן; שריפה, בערה	אולי	13	בשל
אֵימְתָנִי	שווה	אין כיסוי כלל בחדש (0% חפיפה); תואר ספרותי לא שכיח, נגזר מ"אימה" אך בצורה פחות מוכרת		4	מפחיד, מאיים, מבהיל	שווה	0	
גֵּאוּת	שווה	"בקיאות" (ידע) אינו קשור לגאות (גאות ים / שגשוג); המשמעות אינה מכוסה		4	התרוממות מחזורית של מפלס הים; שגשוג והתחזקות ניכרת בתחום	אולי	13	בקיאות
הוּעַם	שווה	"שם דבר" עוסק בפרסום, לא בטשטוש/עמעום; ההתאמה מקרית (רק המילה "הפך" משותפת)		4	הפך לקהה, טושטש, עורפל	שווה	25	שם דבר
הֲלָצָה	שווה	"שחוק" (בהקשר "בדיחה שחוקה") מתאר בדיחה נדושה, לא את המושג "בדיחה/הלצה" עצמו; אין כיסוי אמיתי		4	בדיחה, אמירה שנועדה להצחיק	אולי	25	שחוק
הִתְוַדֵּעַ	שווה	"פעוט" אינו קשור כלל; המשמעות (היכרות ראשונה) אינה מכוסה, מילה בסגנון כתוב-פורמלי		4	ערך היכרות עם מישהו/משהו חדש, הכיר לראשונה	שווה	20	פעוט
זָעוּם	שווה	החפיפה הטקסטואלית (100%) עם "זע" מקרית לחלוטין - זע עוסק בתנועה (לא זז), זעום עוסק בכמות (מעט מאוד); שני שרשים שונים, בדיוק כמו מלכודת "ניחא" שבתדריך		4	מעט מאוד	אולי	100	זע
חַלּוּק נַחַל	שווה	"אשד" הוא מפל מים, לא אבן חלוקה; "חלק על"/"חלק הארי" משתמשים בשורש חלק במשמעות אחרת (מנה, לא מוחלק); אין כיסוי אמיתי		4	אבן חלקה שנשחקה על ידי זרימת מים	אולי	17	אשד
חֲתִימַת שָׂפָם	שווה	"ינקות" היא גיל התינוקות, לא גיל ההתבגרות (צמיחת שפם ראשונה); שלב חיים שונה לגמרי		4	ראשית צמיחתו של השפם	שווה	33	ינקות
כִּחְכּוּחַ	שווה	"בקע" עוסק בפריצת קול/פתיחה באופן כללי, לא בקול כיחכוח גרון ספציפי; המשמעות המדויקת אינה מכוסה		4	השמעת קול חיכוך בגרון	שווה	25	בקע
כִּיסוּפִים	שווה	אין כיסוי כלל בחדש (0% חפיפה); מילה ספרותית לגעגועים/השתוקקות		4	געגועים, השתוקקות	שווה	0	
מְאוּבָּן	שווה	כל ההתאמות במשפחה מקריות (משותפת רק ההברה "אבן"); המשמעות (מאובן, אבן/הלם) אינה מכוסה כלל		4	דבר שנתקשה כאבן; נדהם, משותק	אולי	0	
מַחְצָב	שווה	חומר גלם ממוקד (לא כלי כרייה) שאינו מכוסה כלל ע"י "גחלת"; לא שכיח מדי, מילת מבחן טובה.		4	חומר שחוצבים מן האדמה כגון: אבנים, פחם, מתכת וכו'	אולי	13	גחלת
מַחְצָבָה	שווה	מקום כרייה, שונה לגמרי מ"בית בד" (מקום ייצור שמן); לא שכיחה מדי.		4	מקום בו חוצבים אבנים לבניין וכו'	אולי	33	בית בד
מְטִיל	שווה	גוש מתכת יצוק, שונה מ"סדן"; לא נגזרת שקופה של "הטיל" (לזרוק/לצוות) לפי חוק הפירוש הזהה.		4	גוש מתכת יצוקה בצורה כלשהי	אולי	20	סדן
מַטָף	שווה	מיכל כיבוי אש, שונה לגמרי מ"חסין" (עמיד); לא מכוסה.		4	מיכל שמשמש לכיבוי אש	שווה	25	חסין
מִיכֵּן	שווה	מיכון עבודה ידנית, מובן שונה לגמרי מ"רמס"; לא שכיח מדי.		4	הפך עבודה שנעשתה בכוח אדם לעבודה אוטומטית	אולי	17	רמס
מְכוּנָף	שווה	בעל כנפיים, שונה לגמרי מ"פקד"; מילה ספרותית לא שכיחה.		4	שיש לו כנפיים	שווה	33	פקד
מַכּוֹת נֶאֱמָנוֹת / נִמְרָצוֹת	שווה	צירוף מבחן מלא, אין התאמה בחדש (0% חפיפה).		4	מכות חזקות מאוד	שווה	0	
מָשַׁח	שווה	משח בשמן לקדש, שונה לגמרי מ"עששית"; מילה ספרותית לא שכיחה מדי.		4	מרח (בד"כ שמן); יצק שמן על דבר בכדי לקדשו	שווה	29	עששית
נִיחוֹח	שווה	ריח נעים, מובן שונה מ"ערב" (נעים באופן כללי, גם ערבות הלוואה); מילה ספרותית סבירה לקושי.		4	ריח נעים וטוב	שווה	33	ערב
נִשְׂגָב מִבִּינָתוֹ	שווה	מובן שונה לגמרי מ"ותרן" (מתפשר); ביטוי לא שכיח.		4	אינו יכול להבין את הדבר	אולי	25	ותרן
סָבַב אוֹתוֹ בְּכַחַשׁ	שווה	רימה/שיקר, שונה לגמרי מ"פקד" (ציווה/אירע); החפיפה של 50% מקרית (מילים משותפות בלבד).		4	שיקר לו, רימה אותו	שווה	50	פקד
סִיכָה	שווה	מריחת שמן (משיחה) — מובן ארכאי נבדל לגמרי, לא מכוסה; הומוגרף מעניין למילה "סיכה" הרגילה.		4	מריחה בשמן, משיחה	אולי	0	
עִמְעוּם	שווה	טשטוש/הפחתת עוצמה, שונה לגמרי מ"חמק" (נמלט בחשאי); לא שכיחה מדי במובן המופשט.		4	הפחתת עוצמת תאורה; טשטוש של דבר עד שקשה להבחין בו	שווה	13	חמק
פִּדְיוֹן	שווה	מובן הפדיון/גאולה אינו מכוסה ע"י "פרקן" (11% בלבד); המובן העסקי (פדיון יומי) נפוץ אך מובן הגאולה לא.		4	שחרור אדם או נכס תמורת תשלום; סך ההכנסות של עסק בתקופה נתונה	אולי	11	פרקן
פִּכְפּוּך	שווה	קול זרימת מים, שונה לגמרי מ"הפכפך" — שורש דומה אך מובן שונה לגמרי (אדם הפכפך אינו קול נביעה); לא שכיחה.		4	זרימה, נביעה	אולי	0	
פְּתִית	שווה	פירור/פתית, מובן כללי שונה לגמרי, לא מכוסה, לא שכיחה מדי כמושג מופשט.		4	פרור	שווה	0	
צִיטָטָה	שווה	מובן ברור ונבדל מ"הסב" (גרם/הפנה); מונח ספרותי-אקדמי לא שכיח מדי.		4	משפט או פסקה שנלקחו מדברי אחר ומשולבים כלשונם בטקסט	שווה	13	הסב
קְלִיָּה	שווה	חריכת גרגרים, שונה לגמרי מ"אסם" (מחסן תבואה); המשפחה "קל וחמר" משורש שונה לגמרי, לא נגזרת אמיתית.		4	חריכה של גרגרי תבואה	אולי	33	אסם
שְׂדֵרָה	שווה	פוליסמית (שדרה עירונית / טור סידור / דרג היררכי) — המובנים הפחות שכיחים לא מכוסים ע"י "הסב".		4	דרך עירונית מרווחת שבשוליה עצים; מערך פריטים זה אחר זה; דירוג בהיררכיה של קבוצה	אולי	9	הסב
שָׁפַךְ לִבּוֹ	שווה	שונה מ"התודה" (הודאה באשמה) — כאן שיתוף רגשי של צרות, לא הודאה; ביטוי טוב למבחן.		4	השתפך, חשף את כל צרותיו בפני מישהו	שווה	25	התודה
תֵּל	שווה	גבעה מלאכותית/ערמה, שונה לגמרי מ"נחשול" (גל); המשפחה המוצעת (תהלה, התל) אינה קשורה באמת.		4	גבעה מלאכותית, ערמה, גל	אולי	25	נחשול
תַּסְכִּית	שווה	יצירה דרמתית לרדיו, שונה לגמרי מ"אחרית דבר" (אפילוג); מונח ספרותי לא שכיח מדי.		4	יצירה דרמתית שעובדה לשידור ברדיו	שווה	20	אחרית דבר
תְּשׁוּקָה	שווה	רצון עז שונה מ"בולמוס" (דחף כפייתי/רעב, לא בהכרח תשוקה); אינן זהות.		4	רצון עז, תאווה עזה	שווה	50	בולמוס
אוּרְבָּנִי	שווה	מילה שאולה נבדלת לגמרי (עירוני), לא מכוסה כלל.		5	עירוני (עירוני - urban)	שווה	0	
אַיֵּה?	שווה	צורה ספרותית ארכאית של "איפה", לא שכיחה בכתיב זה.		5	איפה?	שווה	0	
אֲלוּנְטִית	שווה	מגבת — מילה ארכאית נדירה ומצוינת למבחן.		5	מגבת	שווה	0	
אִלְפָּס	שווה	כלי בישול עמוק, שונה לגמרי מ"בוז" (זלזול); מילה נדירה טובה.		5	סיר עמוק עם ידית ומכסה, מחבת עמוקה	שווה	17	בוז
בֶּדֶק בַּיִת	שווה	ביקורת עצמית לשם שיפור, שונה לגמרי מ"יהיר" (גאוותן); ביטוי פורמלי לא שכיח מדי.		5	בקרה עצמית, בדיקה לצורך שיפור	אולי	20	יהיר
בָּזִיךְ	שווה	כלי/גביע ארכאי, שונה לגמרי מ"כיוצא בזה" (דומה לכך); חפיפה מקרית בלבד.		5	סוג של כוס, גביע; סוג של קערה	אולי	40	כיוצא בזה
בִּזֵּר	שווה	ביזור סמכויות, שונה מהתזת נוזלים פיזית ("התיז"); מובן ספציפי (האצלת אחריות מפוזרת) לא מכוסה.		5	האציל סמכויות, פיזר האחריות	שווה	25	התיז
בָּחַשׁ בַּקַּלַּחַת	שווה	ביטוי (הסתה למריבה) אינו נגזר באופן מובן מהפועל הבסיסי "בחש" (ערבב); מובן הניב אינו שקוף.		5	סכסך	אולי	0	
בֵּית גְּנָזִים	שווה	מקום אחסון מסמכים, שונה לגמרי מ"מפלט" (מקום הצלה); המשפחה מקרית (רק תבנית "בית/בת").		5	מקום אכסון למסמכים	אולי	33	מפלט
בֵּית עֲבוֹט	שווה	בית משכונות, שונה לגמרי מ"בית בד" (ייצור שמן); מונח לא שכיח מדי אך לא צר מקצועית.		5	מקום בו ניתן למשכן חפצים תמורת הלוואה, בית משכונות	אולי	22	בית בד
בֶּן-דְּמוּתוֹ	שווה	מובן כמעט הפוך מ"מאין כמוהו" (יש לו דומה מול אין לו דומה) — החפיפה של 100% מקרית לגמרי.		5	דומה לו	אולי	100	מאין כמוהו
גֶזֶם	שווה	פסולת גיזום ענפים, שונה לגמרי מ"בדיעבד" (לאחר מעשה); לא מכוסה.		5	הענפים שנגזמו, הפסולת שנשארה לאחר הגיזום	אולי	17	בדיעבד
גֶּפֶת	שווה	פסולת זיתים לאחר סחיטה, שונה לגמרי מ"בדיעבד"; מונח חקלאי לא שכיח מדי.		5	פסולת הזיתים לאחר הסחיטה	שווה	25	בדיעבד
דִּנְדֵּן	שווה	צלצול בפעמון — מילה קולית/אונומטופאית ייחודית, לא מכוסה.		5	צלצל בפעמון	שווה	0	
הֶאֱבִיס	שווה	האכלה מרובה/כפויה, שונה לגמרי מ"חלב" (שומן בעלי חיים); "אבוס" (משפחה) הוא שם עצם, לא נגזרת שקופה של הפועל.		5	נתן אוכל רב מדי; האכיל בעלי חיים	אולי	29	חלב
הֶאֱנִישׁ	שווה	ייחוס תכונות אנושיות — מושג ספציפי, לא מכוסה ע"י "זקף" (הרים/ייחס); הקשר ל"אנוש" אינו נותן את המובן הספציפי.		5	ייחס תכונות אנושיות למי שאינו אנושי	אולי	17	זקף
הֲלָנַת שָׂכָר	שווה	מונח ספציפי (איחור תשלום שכר), המילה עצמה לא שכיחה גם אם הנושא מוכר; שונה לגמרי מ"מעצור".		5	עיכוב תשלום השכר לעובד	שווה	25	מעצור
