k	v	why
78017aec200e	כ	תחילית ב על יראת כבוד
114c8e4efa14	כ	תחילית ל על עול
a5d7e5ee4dc6	כ	יידוע ונקבה של משותף
841f04edc748	כ	ריבוי נסמך של בר-השוואה
415355db5a93	כ	נקבה של רגוע
192b867bce71	כ	יידוע של התכתבות
bf5990d6ac88	כ	עבר של לייעץ
0e3974dc61c6	כ	יידוע בתוך הצירוף בעל תפקיד מקביל
855fd2494653	כ	עתיד רבים של לעכב
d224aa089a8e	כ	הווה נקבה של לשאוב
2fe090695ce4	כ	יידוע בתוך הצירוף חילוקי דעות
7c44e509f3fd	כ	עתיד של לשגר
4f02436de16c	כ	תחילית ל על עקירה
0a51a3f417eb	כ	תחילית ב על תיקו
87074b3f2a10	כ	הווה רבים של להתגורר
3d5c5585150a	כ	נקבה של מהיר
636d862e0157	ל	פעיל גזרו מול סביל נגזר · בניין שונה
709bc7f26704	ל	להכניס מול לבלוע/לצרוך · מילים שונות
b351dc97a7f5	כ	עבר של לרסן
b419a08b1dd1	כ	יידוע ונקבה של ידוע
e2b127a60606	ל	צירוף אחר ולא נטייה של שעבר זמנו
8c04fffcbea8	כ	עתיד של לרשום
bab571b96194	כ	כינוי שייכות על שלטון
ed87f55821dc	כ	יידוע של חידה
3ca8402efe3b	כ	יידוע של מקדש
b2ed5bed6b51	כ	תחילית ב על מסור
561ec0ca1e08	כ	עבר רבים של חיפש
617eb7beb305	כ	עתיד של לתקנן
549efca3a0d1	כ	יידוע וריבוי של עוקב
f1c4c10fbd92	כ	תחילית ל ונקבה של יורש
f6db64da26ba	כ	יידוע ונקבה של אוהד
43cef1dcdb77	כ	יידוע של ביישן
752e31c778e2	ל	נחשף מול נפרש/נפתח/התגלה · מילים שונות
69a331930d8a	כ	יידוע בתוך הצירוף כלי שיט
ecd0c0273efe	כ	תחילית ל על מעלה
f175aea26b9f	כ	תחילית ב על סיטונאות
99c094e80cf6	כ	הווה נקבה של למתוח
7c98c1d9f13e	כ	עבר רבים של לשבח
99e7bcb20688	כ	תחילית ב על שפע
a25e4b341f80	כ	עתיד רבים של לתמוך
709f88244b5f	כ	עתיד רבים של לסקור
f7892d84e937	כ	הווה רבים של לנצל
534fb74e80fa	כ	הווה נקבה של לציין לשבח
20535ead24cd	כ	הווה נקבה של לכלול
7c7256166021	כ	עתיד של לכנס
3d20809d5947	כ	יידוע של גנדרן
cb0f91bf66ca	כ	עבר נקבה של לשלוף
840786cf8c15	כ	עבר של גורם עם שם הפעולה התמרמרות כפועל
ff6e3e02a3b3	כ	יידוע ונקבה של בולט
a38665ca4537	כ	הווה נקבה של לסגור
15e5ffaf1bb6	כ	יידוע בתוך הצירוף שטח מגודר
09fc96233301	כ	עבר של להוציא
da7c77aa5076	כ	עבר של לבדות
5673a217ec11	כ	יידוע בתוך הצירוף חוסר יציבות
a9482949e467	כ	עבר נקבה של לסכל
2d8db7309e6e	כ	עבר נקבה של לרהט
9b1a76c71617	כ	הווה נקבה רבים של לסבך
4d5900ba0356	ל	תדירות מול שכיחות/היארעות · מילים שונות
2c02f33ccb6c	כ	תחילית ב וכינוי שייכות על ינקות
101548c7f09a	כ	יידוע של הערה
1af68b1a463d	כ	יידוע של נצחי
dbc3e9e46f6b	כ	תחילית ב על מצוקה
c02499a1dcfa	כ	נקבה של מאוכלס בצפיפות
42e622407217	כ	עתיד של לנהל
be56b2cddcf1	כ	הווה רבים של התפשט במהירות
8957dd2af5fe	כ	עבר נקבה של הביא לידי
972d2a428a98	כ	יידוע של וכחני
248fa2141e88	כ	נקבה של כל אחד בתוך של כל אחד
14fdd7dd7dca	כ	יידוע ונקבה של סיבובי
76be7743dba6	כ	יידוע בתוך הצירוף קשקשים של דג
29042a946780	כ	תחילית ל על חדשות מרעישות
0f220fb46a79	כ	ריבוי נסמך של רעף
a54785d6a2fd	כ	נסמך של עטיפה
0784d17ee527	ל	סביל נקבעה מול פעיל לקבוע מועד · בניין שונה
1204f229af5b	כ	עבר של לדאות
fa6142674080	כ	עתיד של לבקש
fd2296288f42	כ	תחילית ב על בדידות
2e2a514d96b5	כ	הווה רבים של להתעלות
b8a9a352c7a3	כ	עבר של לתמוך
d82877a0575d	כ	יידוע של מקצוע
