מילה	מקור ההוכחה הרשום	הרפרנס הרשום	פסק דין	מה נמצא בפועל
חַמְשִׁיר	ויקינתונים (CC0)	L211019	אומת	L211019 ⟵ «חמשיר»
יֵשׁ בְּלִבּוֹ עָלָיו	נחלת הכלל / CC0 (לפי ספריא)	Biur Halacha 433:8:1 (Biur Halacha [he])	חלקי	נמצא «יש» בלבד ב-Biur Halacha, לא הערך המלא
מִרְקָם	ויקינתונים (CC0)	L66553	אומת	L66553 ⟵ «מרקם»
נֵתַח	ויקינתונים (CC0)	L66906	אומת	L66906 ⟵ «נתח»
סָכַר אֶת פִּיו	נחלת הכלל / CC0 (לפי ספריא)	Midrash Tehillim 7:17 (OYW [he])	חלקי	נמצא «סכר» בלבד ב-OYW, לא הערך המלא
עָסִיסִי	ויקינתונים (CC0)	L216218	אומת	L216218 ⟵ «עסיסי»
פָּדָה	ויקינתונים (CC0)	L216409	אומת	L216409 ⟵ «פדה»
פּוּמִית	ויקינתונים (CC0)	L216506	אומת	L216506 ⟵ «פומית»
קוּבְלָנָה	ויקינתונים (CC0)	L217824	אומת	L217824 ⟵ «קובלנה»
שִׁיסּוּי	ויקינתונים (CC0)	L219568	אומת	L219568 ⟵ «שיסוי»
תְּלוּלִית	ויקינתונים (CC0)	L220245	אומת	L220245 ⟵ «תלולית»
אוּמְדָן	ויקינתונים (CC0)	L204491	אומת	L204491 ⟵ «אומדן»
אָחוּז אֵימָה	ויקיטקסט · נחלת הכלל (טקסט מקורי)	יוליוס קיסר (ביאליק)/מערכה ראשונה/מחזה שני	אומת	יוליוס קיסר (ביאליק)/מערכה ראשונה/מחזה שני · 8928 תווים · «אחוז אימה»
אָפַס	ויקינתונים (CC0)	L491559	אומת	L491559 ⟵ «אפס»
בֵּית מֶרְחָץ	ויקינתונים (CC0)	L76313	אומת	L76313 ⟵ «בית מרחץ»
בְּרִיּוֹת	נחלת הכלל / CC0 (לפי ספריא)	Rif Nedarim 26a:1	אומת	Vilna Edition · Public Domain
הִלְאִים	ויקינתונים (CC0)	L491613	אומת	L491613 ⟵ «הלאים»
הֵפֵר	ויקינתונים (CC0)	L208567	אומת	L208567 ⟵ «הפר»
הִשִּׂיא עֵצָה	נחלת הכלל / CC0 (לפי ספריא)	Matnot Kehunah on Bamidbar Rabbah 13:15:5	אומת	Midrash Rabbah, Vilna, 1878 · Public Domain
הִשְׁתַּעְבֵּד	ויקינתונים (CC0)	L209160	אומת	L209160 ⟵ «השתעבד»
הִתְאַבֵּק בַּעֲפַר רַגְלָיו	ספריא · נחלת הכלל	Rashi on Bereshit Rabbah 93:1:4 (Midrash Rabbah, Vilna, 1878 [he])	חלקי	נמצא «התאבק» בלבד ב-Midrash Rabbah, Vilna, 1878, לא הערך המלא
הִתְלַקֵּחַ	ויקינתונים (CC0)	L209707	אומת	L209707 ⟵ «התלקח»
הִתְרַבְרֵב	ויקינתונים (CC0)	L210172	אומת	L210172 ⟵ «התרברב»
זִכּוּך	ויקינתונים (CC0)	L210423	אומת	L210423 ⟵ «זכוך»
חֲפִיר	ויקינתונים (CC0)	L65337	אומת	L65337 ⟵ «חפיר»
טֶרָסָה	ויקינתונים (CC0)	L78201	אומת	L78201 ⟵ «טרסה»
יְלוּדָה	ויקיטקסט · נחלת הכלל (טקסט מקורי)	אין פשרות רק תורה/דברים	אומת	אין פשרות רק תורה/דברים · 22025 תווים · «ילודה»
כָּלִיל	ויקינתונים (CC0)	L212129	אומת	L212129 ⟵ «כליל»
מַגְבִּית	ויקינתונים (CC0)	L212600	אומת	L212600 ⟵ «מגבית»
מֵחוּשִׁים	נחלת הכלל / CC0 (לפי ספריא)	Tov haLevanon, First Treatise on Unity 10:100	אומת	Chovat Halevavot, Warsaw 1875 · Public Domain
עַל רֶגֶל אַחַת	נחלת הכלל / CC0 (לפי ספריא)	Sermons Unto My People, Chanuka, Purim, and Special Shabbatot 18:74	חשוד	Derashot El Ami, Jerusalem 1936 · רישיון «Public Domain» · מהדורה 1936
פּוֹרֶה	ויקינתונים (CC0)	L216560	אומת	L216560 ⟵ «פורה»
פְּתַלְתְּל	ויקינתונים (CC0)	L217410	אומת	L217410 ⟵ «פתלתל»
קִידָּה	ויקינתונים (CC0)	L218119	אומת	L218119 ⟵ «קידה»
קְלִישָאַה / קְלִישָה	ויקינתונים (CC0)	L218280	אומת	L218280 ⟵ «קלישאה»
קָמִין	ויקינתונים (CC0)	L218324	אומת	L218324 ⟵ «קמין»
קְשֵׁה לֵב	נחלת הכלל / CC0 (לפי ספריא)	Nimukei Yosef on Bava Metzia 35a:15	אומת	Vilna Edition · Public Domain
שַׁבְרִיר	ויקינתונים (CC0)	L219218	אומת	L219218 ⟵ «שבריר»
שִׁכְתּוּב	ויקינתונים (CC0)	L219659	אומת	L219659 ⟵ «שכתוב»
שָׁלַח יָד בְּנַפְשׁוֹ	נחלת הכלל / CC0 (לפי ספריא)	The War of the Jews 1:24:8 (The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923 [he])	חלקי	נמצא «שלח» בלבד ב-The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923, לא הערך המלא
שָׁפָל	כתב־יד לנינגרד — נחלת הכלל	Psalms 138:6	אומת	Tanach with Ta'amei Hamikra · Public Domain
תַּסְמִין	ויקינתונים (CC0)	L220313	אומת	L220313 ⟵ «תסמין»
אִיכּוּל	ויקינתונים (CC0)	L204750	אומת	L204750 ⟵ «איכול»
אֵימְתָנִי	ויקינתונים (CC0)	L491812	אומת	L491812 ⟵ «אימתני»
גֵּאוּת	ויקינתונים (CC0)	L76533	אומת	L76533 ⟵ «גאות»
הוּעַם	ויקינתונים (CC0)	L207310	אומת	L207310 ⟵ «הועם»
הֲלָצָה	ויקינתונים (CC0)	L208191	אומת	L208191 ⟵ «הלצה»
הִתְוַדֵּעַ	ויקינתונים (CC0)	L209457	אומת	L209457 ⟵ «התודע»
זָעוּם	ויקינתונים (CC0)	L210494	אומת	L210494 ⟵ «זעום»
חַלּוּק נַחַל	לפי מילה · CC0 / נחלת הכלל	חלוק=L210933 · נחל=L214380	אומת	L210933 ⟵ «חלוק» · L214380 ⟵ «נחל»
חֲתִימַת שָׂפָם	ויקיטקסט · נחלת הכלל (טקסט מקורי)	פרוזה (ביאליק)/ספיח	אומת	פרוזה (ביאליק)/ספיח · 98065 תווים · «חתימת שפם»
כִּחְכּוּחַ	ויקינתונים (CC0)	L212032	אומת	L212032 ⟵ «כחכוח»
כִּיסוּפִים	ויקינתונים (CC0)	L65754	אומת	L65754 ⟵ «כיסופים»
מְאוּבָּן	נחלת הכלל / CC0 (לפי ספריא)	Responsa Chatam Sofer, Even HaEzer 2:118:19 (Pressburg, 1855-1864 [he])	אומת	Pressburg, 1855-1864 · Public Domain
מַחְצָב	ויקינתונים (CC0)	L78985	אומת	L78985 ⟵ «מחצב»
מַחְצָבָה	ויקינתונים (CC0)	L213057	אומת	L213057 ⟵ «מחצבה»
מְטִיל	ויקינתונים (CC0)	L79022	אומת	L79022 ⟵ «מטיל»
מַטָף	נחלת הכלל / CC0 (לפי ספריא)	Korban Netanel on Taanit 26:7 (Vilna Edition [he])	אומת	Vilna Edition · Public Domain
מִיכֵּן	ויקינתונים (CC0)	L213158	אומת	L213158 ⟵ «מיכן»
מְכוּנָף	ויקינתונים (CC0)	L213300	אומת	L213300 ⟵ «מכונף»
מַכּוֹת נֶאֱמָנוֹת / נִמְרָצוֹת	ויקינתונים (CC0)	L214722	חלקי	L214722 מכסה את «נמרצות» בלבד, לא את הערך המלא
מָשַׁח	ויקינתונים (CC0)	L213915	אומת	L213915 ⟵ «משח»
נִיחוֹח	ויקינתונים (CC0)	L79815	אומת	L79815 ⟵ «ניחוח»
נִשְׂגָב מִבִּינָתוֹ	לפי מילה · CC0 / נחלת הכלל	נשגב=L215043 · מבינתו=Pat Lechem, Tenth Treatise on Devotion to God, Introduction 16 (Chovat Halevavot, Warsaw 1875 [he])	אומת	L215043 ⟵ «נשגב» · Chovat Halevavot, Warsaw 1875 · Public Domain
סָבַב אוֹתוֹ בְּכַחַשׁ	נחלת הכלל / CC0 (לפי ספריא)	The War of the Jews 1:26:2 (The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923 [he])	חלקי	נמצא «אותו» בלבד ב-The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923, לא הערך המלא
סִיכָה	ויקינתונים (CC0)	L67007	אומת	L67007 ⟵ «סיכה»
עִמְעוּם	ויקינתונים (CC0)	L216191	אומת	L216191 ⟵ «עמעום»
פִּדְיוֹן	ויקינתונים (CC0)	L67360	אומת	L67360 ⟵ «פדיון»
פִּכְפּוּך	ויקינתונים (CC0)	L216863	אומת	L216863 ⟵ «פכפוך»
פְּתִית	ויקינתונים (CC0)	L217408	אומת	L217408 ⟵ «פתית»
צִיטָטָה	ויקינתונים (CC0)	L217557	אומת	L217557 ⟵ «ציטטה»
קְלִיָּה	ויקינתונים (CC0)	L81653	אומת	L81653 ⟵ «קליה»
שְׂדֵרָה	ויקינתונים (CC0)	L68238	אומת	L68238 ⟵ «שדרה»
שָׁפַךְ לִבּוֹ	נחלת הכלל / CC0 (לפי ספריא)	Chayei Moharan 239:1 (OYW [he])	חלקי	נמצא «שפך» בלבד ב-OYW, לא הערך המלא
תֵּל	ויקינתונים (CC0)	L68653	אומת	L68653 ⟵ «תל»
תַּסְכִּית	ויקינתונים (CC0)	L68690	אומת	L68690 ⟵ «תסכית»
תְּשׁוּקָה	ויקינתונים (CC0)	L68764	אומת	L68764 ⟵ «תשוקה»
אוּרְבָּנִי	ויקינתונים (CC0)	L204572	אומת	L204572 ⟵ «אורבני»
אַיֵּה?	נחלת הכלל / CC0 (לפי ספריא)	Sermons Unto My People, The Three Festivals 18:41 (Derashot El Ami, Jerusalem 1936 [he])	חשוד	Derashot El Ami, Jerusalem 1936 · רישיון «Public Domain» · מהדורה 1936
אֲלוּנְטִית	ויקינתונים (CC0)	L75448	אומת	L75448 ⟵ «אלונטית»
אִלְפָּס	ויקינתונים (CC0)	L75483	אומת	L75483 ⟵ «אלפס»
בֶּדֶק בַּיִת	נחלת הכלל (מקרא עתיק) — תרגום האנגלית שלנו, לא ממקור מוגן	מלכים ב יב, ו · «בֶּדֶק הַבַּיִת» (גם פס' ח, יג; מלכים ב כב, ה; דברי הימים ב לד, י)	לא ניתן	רפרנס ספריא שנכתב כציטוט עברי חופשי ואינו כתובת שאפשר למשוך · «מלכים ב יב, ו · «בֶּדֶק הַבַּיִת» (גם פס»
בָּזִיךְ	ויקינתונים (CC0)	L76210	אומת	L76210 ⟵ «בזיך»
בִּזֵּר	ויקינתונים (CC0)	L205738	אומת	L205738 ⟵ «בזר»
בָּחַשׁ בַּקַּלַּחַת	לפי מילה · CC0 / נחלת הכלל	בחש=L205680 · בקלחת=Machberet Menachem, Letter Kof 22:2 (Mahberet Menahem, London, 1854. [he])	אומת	L205680 ⟵ «בחש» · Mahberet Menahem, London, 1854. · Public Domain
בֵּית גְּנָזִים	נחלת הכלל / CC0 (לפי ספריא)	A Dictionary of the Talmud, אַרְכִיוֹן	אומת	A dictionary of the Talmud, London, 1927 · Public Domain
בֵּית עֲבוֹט	ויקינתונים (CC0)	L64275	אומת	L64275 ⟵ «בית עבוט»
בֶּן-דְּמוּתוֹ	ויקיטקסט · נחלת הכלל (טקסט מקורי)	האינקוויזיטור הגדול	אומת	האינקוויזיטור הגדול · 22501 תווים · «בן דמותו»
גֶזֶם	ויקינתונים (CC0)	L206157	אומת	L206157 ⟵ «גזם»
גֶּפֶת	ויקינתונים (CC0)	L76745	אומת	L76745 ⟵ «גפת»
דִּנְדֵּן	נחלת הכלל / CC0 (לפי ספריא)	Machatzit HaShekel on Orach Chayim 301:17:2 (Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893, Vol 1 [he])	אומת	Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893, Vol 1 · Public Domain
הֶאֱבִיס	ויקינתונים (CC0)	L206796	אומת	L206796 ⟵ «האביס»
הֶאֱנִישׁ	ויקינתונים (CC0)	L206822	אומת	L206822 ⟵ «האניש»
הֲלָנַת שָׂכָר	ויקינתונים (CC0)	L77351	אומת	L77351 ⟵ «הלנת שכר»
הִפְרִיט	ויקינתונים (CC0)	L208575	אומת	L208575 ⟵ «הפריט»
הַרְרֵי זָהָב	ויקיטקסט · נחלת הכלל (טקסט מקורי)	תולדות ההתישבות בעולם/ההתישבות בראשית ימי הרכושנות/ח	אומת	תולדות ההתישבות בעולם/ההתישבות בראשית ימי הרכושנות/ח · 3701 תווים · «הררי זהב»
הִתַּמֵּם	ויקינתונים (CC0)	L208086	אומת	L208086 ⟵ «התמם»
חָלַט	ויקינתונים (CC0)	L210940	אומת	L210940 ⟵ «חלט»
חֲלִיפַת מִכְתָּבִים	ויקיטקסט · נחלת הכלל (טקסט מקורי)	יומן ירושלים (ארלוזורוב)/על ה"אוטומנציפציה" לפינסקר	אומת	יומן ירושלים (ארלוזורוב)/על ה"אוטומנציפציה" לפינסקר · 7349 תווים · «חליפת מכתבים»
חֲנִיטָה	ויקינתונים (CC0)	L211033	אומת	L211033 ⟵ «חניטה»
חֻרְשָף	ויקינתונים (CC0)	L65380	אומת	L65380 ⟵ «חרשף»
טְפָחוֹת	נחלת הכלל / CC0 (לפי ספריא)	Metzudat David on Psalms 39:6:1	אומת	On Your Way · Public Domain
טְרוּט עֵינַיִם	לפי מילה · CC0 / נחלת הכלל	טרוט=L211526 · עינים=L67224	אומת	L211526 ⟵ «טרוט» · L67224 ⟵ «עינים»
כּוֹתֶרֶת	ויקינתונים (CC0)	L212025	אומת	L212025 ⟵ «כותרת»
לְעֵילָא וּלְעֵילָא	נחלת הכלל / CC0 (לפי ספריא)	Yahel Ohr on Zohar 3:118b:4	אומת	Vilna 1882 · PD
מוֹנוֹגַמְיָה	ויקינתונים (CC0)	L212844	אומת	L212844 ⟵ «מונוגמיה»
מוֹנוֹתֵאִיזְם	ויקינתונים (CC0)	L66106	אומת	L66106 ⟵ «מונותאיזם»
מַזְלֵף	ויקינתונים (CC0)	L212989	אומת	L212989 ⟵ «מזלף»
מְסוּפָּק	נחלת הכלל / CC0 (לפי ספריא)	Ba'er Hetev on Shulchan Arukh, Orach Chayim 618:5	אומת	Torat Emet 357 · Public Domain
מַקְצוּעָה	ויקינתונים (CC0)	L66512	אומת	L66512 ⟵ «מקצועה»
מַרְחֶשֶׁת	ויקינתונים (CC0)	L79538	אומת	L79538 ⟵ «מרחשת»
צִיקְלוֹן	ויקינתונים (CC0)	L67670	אומת	L67670 ⟵ «ציקלון»
קֻבַּעַת	ויקינתונים (CC0)	L81426	אומת	L81426 ⟵ «קבעת»
קוֹקֵטִי	ויקינתונים (CC0)	L218026	אומת	L218026 ⟵ «קוקטי»
קוֹרֶקְטִי	ויקינתונים (CC0)	L218050	אומת	L218050 ⟵ «קורקטי»
קִלְטֵר	ויקינתונים (CC0)	L218254	אומת	L218254 ⟵ «קלטר»
קֶרֶת	ויקינתונים (CC0)	L67995	אומת	L67995 ⟵ «קרת»
רוֹדֵף שְׂרָרָה	נחלת הכלל / CC0 (לפי ספריא)	Teshuvot Maharik 117:2	אומת	Responsa Maharik, Warsaw 1884 · Public Domain
שָׁקַט עַל שְׁמָרָיו	נחלת הכלל / CC0 (לפי ספריא)	Shadal on Isaiah 25:6:5	אומת	Padova, 1867 · Public Domain
אוֹפּוֹרְטוּנִיזְם	ויקינתונים (CC0)	L75167	אומת	L75167 ⟵ «אופורטוניזם»
אֵימָתַי	ספריא · Torat Emet 357 (Public Domain)	Mishnah Berakhot 1:1	אומת	Torat Emet 357 · Public Domain
אִלְחוּשׁ	ויקינתונים (CC0)	L75451	אומת	L75451 ⟵ «אלחוש»
בַּחֲרוּת	ויקינתונים (CC0)	L205677	אומת	L205677 ⟵ «בחרות»
בֵּית מִטְבָּחַיִם	ויקינתונים (CC0)	L76309	אומת	L76309 ⟵ «בית מטבחים»
בֵּית נְתִיבוֹת	נחלת הכלל / CC0 (לפי ספריא)	Malbim Beur Hamilot on Ezekiel 41:9:1 (On Your Way [he])	אומת	On Your Way · Public Domain
בֶּן-לְוָיָה	נחלת הכלל / CC0 (לפי ספריא)	Tosafot on Bekhorot 47a:15:1	אומת	Vilna Edition · Public Domain
בַּעֲלֵי שְׂרָרָה	נחלת הכלל / CC0 (לפי ספריא)	Rashi on Yevamot 24b:3:2	אומת	Vilna Edition · Public Domain
הֶחְפִּיץ	ויקיטקסט · נחלת הכלל (טקסט מקורי)	חפץ חיים	שגוי	חפץ חיים · 9147 תווים, אפס מופעים
הִתְפַּקֵּר	ויקינתונים (CC0)	L210058	אומת	L210058 ⟵ «התפקר»
זְחִיחוּת דַּעַת	ויקיטקסט · נחלת הכלל (טקסט מקורי)	על גבול הדממה/על הקבוצה	אומת	על גבול הדממה/על הקבוצה · 15643 תווים · «זחיחות דעת»
חִילָּה	ויקינתונים (CC0)	L210832	אומת	L210832 ⟵ «חילה»
מָאוֹר	ויקינתונים (CC0)	L65992	אומת	L65992 ⟵ «מאור»
מַכְלֵב	ויקינתונים (CC0)	L66276	אומת	L66276 ⟵ «מכלב»
מִלְּגוֹ / מִלְגַו	נחלת הכלל / CC0 (לפי ספריא)	Siftei Kohen on Torah, Leviticus 5:21:23 (Warsaw, 1883 [he])	אומת	Warsaw, 1883 · Public Domain
מִלְּגוֹ וּמִלְבַּר	ספריא · נחלת הכלל	Pele Yoetz 149:3 (Torat Emet [he])	אומת	Torat Emet · Public Domain
מְסוּקָס	ויקינתונים (CC0)	L213518	אומת	L213518 ⟵ «מסוקס»
מִסְרוֹן	ויקינתונים (CC0)	L66396	אומת	L66396 ⟵ «מסרון»
נִמְלַךְ בּוֹ	נחלת הכלל / CC0 (לפי ספריא)	Shulchan Arukh, Choshen Mishpat 10:2 (Torat Emet 363 [he])	אומת	Shulhan Arukh, Hoshen ha-Mishpat, Lemberg, 1898 · Public Domain
עוּר!	ויקיטקסט · נחלת הכלל (טקסט מקורי)	כסף משנה/הלכות כלים	אומת	כסף משנה/הלכות כלים · 72298 תווים · «עור»
עִזָבוֹן	לפי מילה · CC0 / נחלת הכלל	עזבון=Teshuvot HaRosh 55:7:3 (She'elot u'Teshuvot haRosh, Vilna, 1881 [he])	אומת	She'elot u'Teshuvot haRosh, Vilna, 1881 · Public Domain
צִינָּה	ויקינתונים (CC0)	L217583	אומת	L217583 ⟵ «צינה»
צִלְצָל	ויקינתונים (CC0)	L217634	אומת	L217634 ⟵ «צלצל»
תּוּפִין	ויקינתונים (CC0)	L82439	אומת	L82439 ⟵ «תופין»
אִילוּחַ	ויקיטקסט · נחלת הכלל (טקסט מקורי)	תקנות מחלות בעלי חיים (בתי שחיטה לעופות)	אומת	תקנות מחלות בעלי חיים (בתי שחיטה לעופות) · 15562 תווים · «אילוח»
אֶתְנָן	ויקינתונים (CC0)	L205465	אומת	L205465 ⟵ «אתנן»
דְּבוּקָּה	ויקינתונים (CC0)	L206420	אומת	L206420 ⟵ «דבוקה»
הָגִיג	ויקינתונים (CC0)	L206922	אומת	L206922 ⟵ «הגיג»
הַזָחָה	ויקינתונים (CC0)	L77237	אומת	L77237 ⟵ «הזחה»
הֵזִיחַ	ויקינתונים (CC0)	L207566	אומת	L207566 ⟵ «הזיח»
הֶרֶף	ויקינתונים (CC0)	L208932	אומת	L208932 ⟵ «הרף»
זוֹט	ויקינתונים (CC0)	L77617	אומת	L77617 ⟵ «זוט»
חֵבֶל	ויקינתונים (CC0)	L1551213	אומת	L1551213 ⟵ «חבל»
חֲטָף	ויקינתונים (CC0)	L210757	אומת	L210757 ⟵ «חטף»
חָרָבָה	ויקינתונים (CC0)	L77930	אומת	L77930 ⟵ «חרבה»
טַבּוּלָה רָאסָה	ויקיטקסט הלטיני · נחלת הכלל	Summa Theologiae, Prima pars, Quaestio CI · תומאס אקווינס	לא ניתן	הדף «Summa Theologiae, Prima pars, Quaestio CI» לא נמשך
מְבוּזָּר	נחלת הכלל / CC0 (לפי ספריא)	Jastrow, בָּזַר	אומת	בָּזַר @ BDB Augmented Strong
מִזְקָקָה	ויקינתונים (CC0)	L212995	אומת	L212995 ⟵ «מזקקה»
מַחְבּוֹש	ויקינתונים (CC0)	L78946	אומת	L78946 ⟵ «מחבוש»
מְחֻטָּט	ויקינתונים (CC0)	L213010	אומת	L213010 ⟵ «מחטט»
מַעֲרֶה הַיַּעַר	ויקיטקסט · נחלת הכלל (טקסט מקורי)	רוסלאן ולודמילה	אומת	רוסלאן ולודמילה · 79729 תווים · «מערה היער»
מַק	נחלת הכלל / CC0 (לפי ספריא)	BDB, מַק	אומת	מַק @ BDB Augmented Strong
מַרְנִין	נחלת הכלל / CC0 (לפי ספריא)	Ohev Ger, Additions, On Syriac Grammar, Letter Resh 8 (Ohev Ger, Philoxenus sive de Onkelosi, Vienna, 1830 [he])	אומת	Ohev Ger, Philoxenus sive de Onkelosi, Vienna, 1830 · Public Domain
נָאוֹר	ויקינתונים (CC0)	L214041	אומת	L214041 ⟵ «נאור»
נוֹאָל	ויקינתונים (CC0)	L214216	אומת	L214216 ⟵ «נואל»
נְחִירָה	ויקינתונים (CC0)	L79783	אומת	L79783 ⟵ «נחירה»
נִשְפֶּה	נחלת הכלל / CC0 (לפי ספריא)	Matnot Kehunah on Bereshit Rabbah 92:9:4 (Midrash Rabbah, Vilna, 1878 [he])	אומת	Midrash Rabbah, Vilna, 1878 · Public Domain
סֵיפָא	ויקינתונים (CC0)	L80179	אומת	L80179 ⟵ «סיפא»
פִּיל לָבָן	לפי מילה · CC0 / נחלת הכלל	פיל=L67417 · לבן=L212278	אומת	L67417 ⟵ «פיל» · L212278 ⟵ «לבן»
צְבִיר	ויקינתונים (CC0)	L217458	אומת	L217458 ⟵ «צביר»
צַדְקָנוּת	ויקינתונים (CC0)	L81238	אומת	L81238 ⟵ «צדקנות»
צָמִיג	ויקינתונים (CC0)	L217644	אומת	L217644 ⟵ «צמיג»
צִקְצוּק	ויקינתונים (CC0)	L217719	אומת	L217719 ⟵ «צקצוק»
קַפֶּנְדַרְיָא / קַפַּנְדְּרִיָּה	ויקינתונים (CC0)	L81715	אומת	L81715 ⟵ «קפנדריה»
קַרְפִּיף	ויקינתונים (CC0)	L81805	אומת	L81805 ⟵ «קרפיף»
רֵישָא	לפי מילה · CC0 / נחלת הכלל	רישא=Mikdash Melekh on Zohar 3:154b:6 (Zholkva, 1864 [he])	אומת	Zholkva, 1864 · Public Domain
רִנֵּן	ויקינתונים (CC0)	L218992	אומת	L218992 ⟵ «רנן»
שִׁיפּוּי	ויקינתונים (CC0)	L219581	אומת	L219581 ⟵ «שיפוי»
שָׁנָה	ויקינתונים (CC0)	L219751	אומת	L219751 ⟵ «שנה»
שַׁעַל	ויקינתונים (CC0)	L82297	אומת	L82297 ⟵ «שעל»
תּוֹעַמְלָן	ויקינתונים (CC0)	L220053	אומת	L220053 ⟵ «תועמלן»
תִּחוּחַ	ויקינתונים (CC0)	L220115	אומת	L220115 ⟵ «תחוח»
תְּנוּבָה	ויקינתונים (CC0)	L82518	אומת	L82518 ⟵ «תנובה»
