מילה	יחידה	מקור ההוכחה	מזהה/רפרנס	הערה
הִכְחִישׁ	1	ויקינתונים (CC0)	L208110	הכחיש
הַס	1	ויקינתונים (CC0)	L208304	הס
הִסְכִּית	1	ויקינתונים (CC0)	L208326	הסכית
הִסְלִים	1	ויקינתונים (CC0)	L208329	הסלים
הִסְמִיךְ	1	ויקינתונים (CC0)	L208333	הסמיך
הִצְפִּין	1	ויקינתונים (CC0)	L208691	הצפין
הֵקִיץ	1	ויקינתונים (CC0)	L208804	הקיץ
הִשְׁחִיז	1	ויקינתונים (CC0)	L208984	השחיז
הִשְׁתָּאוּת	1	ויקינתונים (CC0)	L209060	השתאות
הִתְבַּשֵּׂר	1	ויקינתונים (CC0)	L209368	התבשר
הִתְגּוֹדֵד	1	ויקינתונים (CC0)	L209380	התגודד
הִתְחַלָּה	1	ויקינתונים (CC0)	L209498	התחלה
הִתְחַסֵּד	1	ויקינתונים (CC0)	L209525	התחסד
הִתִּיר	1	ויקינתונים (CC0)	L209627	התיר
הִתְכַּתֵּשׁ	1	ויקינתונים (CC0)	L209671	התכתש
הִתְמוֹגֵג	1	ויקינתונים (CC0)	L209719	התמוגג
הִתְנַבֵּא	1	ויקינתונים (CC0)	L209795	התנבא
הִתְנַכֵּר	1	ויקינתונים (CC0)	L209844	התנכר
הִתְנַצֵּחַ	1	ויקינתונים (CC0)	L209865	התנצח
הִתְעַמֵּר	1	ויקינתונים (CC0)	L209936	התעמר
הִתְעַרְטֵל	1	ויקינתונים (CC0)	L209976	התערטל
הִתְרָה	1	ויקינתונים (CC0)	L210182	התרה
הִתְרַצָּה	1	ויקינתונים (CC0)	L210241	התרצה
זַבָּן	1	ויקינתונים (CC0)	L77592	זבן
זֶרֶד	1	ויקינתונים (CC0)	L77666	זרד
חַס	1	ויקינתונים (CC0)	L211046	חס
חָרִישׁ	1	ויקינתונים (CC0)	L211163	חריש
חֲרִישִׁי	1	ויקינתונים (CC0)	L211165	חרישי
חָרָךְ	1	ויקינתונים (CC0)	L211167	חרך
טְלַאי	1	ויקינתונים (CC0)	L65465	טלאי
יָגֵעַ	1	ויקינתונים (CC0)	L211626	יגע
יְקִיצָה	1	ויקינתונים (CC0)	L78311	יקיצה
כִּיחֵד	1	ויקינתונים (CC0)	L212052	כיחד
כִּילָּה	1	ויקינתונים (CC0)	L212065	כילה
כְּסָיָה	1	ויקינתונים (CC0)	L212161	כסיה
כְּרַךְ	1	ויקינתונים (CC0)	L212222	כרך
לֵאוּת	1	ויקינתונים (CC0)	L212261	לאות
לַהַג	1	ויקינתונים (CC0)	L78578	להג
לוּלֵא	1	ויקינתונים (CC0)	L492153	לולא
לִיבָּה	1	ויקינתונים (CC0)	L212399	ליבה
לִיטֵּשׁ	1	ויקינתונים (CC0)	L212431	ליטש
מַאֲכֶלֶת	1	ויקינתונים (CC0)	L65997	מאכלת
מַגָּל	1	ויקינתונים (CC0)	L66029	מגל
מָהוּהַּ	1	ויקינתונים (CC0)	L212700	מהוה
מַזְמֵרָה	1	ויקינתונים (CC0)	L78935	מזמרה
מִכְמוֹרֶת	1	ויקינתונים (CC0)	L79157	מכמורת
מָסִיק	1	ויקינתונים (CC0)	L213538	מסיק
מִסְעָד	1	ויקינתונים (CC0)	L213555	מסעד
מִצְנֶפֶת	1	ויקינתונים (CC0)	L213717	מצנפת
מִרְבָּץ	1	ויקינתונים (CC0)	L213795	מרבץ
מְתַאֲבֵן	1	ויקינתונים (CC0)	L79654	מתאבן
נִגַף	1	ויקינתונים (CC0)	L214150	נגף
נָדָן	1	ויקינתונים (CC0)	L66700	נדן
נָהִיר	1	ויקינתונים (CC0)	L214201	נהיר
נֶהֶנְתָן	1	ויקינתונים (CC0)	L214207	נהנתן
נוֹטֵר	1	ויקינתונים (CC0)	L214250	נוטר
נוּל	1	ויקינתונים (CC0)	L79753	נול
נְחִיל	1	ויקינתונים (CC0)	L79782	נחיל
נַחְשׁוֹל	1	ויקינתונים (CC0)	L79794	נחשול
נִטְמַע	1	ויקינתונים (CC0)	L214446	נטמע
נִיחָא	1	ויקינתונים (CC0)	L492187	ניחא
נִיפָּה	1	ויקינתונים (CC0)	L214565	ניפה
נִכְלָם	1	ויקינתונים (CC0)	L214645	נכלם
נֶעֱתַר	1	ויקינתונים (CC0)	L214836	נעתר
נִפְעָם	1	ויקינתונים (CC0)	L214871	נפעם
נִקְוָוה	1	ויקינתונים (CC0)	L214948	נקווה
נִרְגָּן	1	ויקינתונים (CC0)	L214993	נרגן
נִרְפֶּה	1	ויקינתונים (CC0)	L215014	נרפה
סַוָּר	1	ויקינתונים (CC0)	L80048	סור
סוֹרֵר	1	ויקינתונים (CC0)	L215321	סורר
סַיָּס	1	ויקינתונים (CC0)	L67018	סיס
סִיקֵּל	1	ויקינתונים (CC0)	L215571	סיקל
סָנֵגוֹר	1	ויקינתונים (CC0)	L80288	סנגור
סִתֵּת	1	ויקינתונים (CC0)	L80453	סתת
עִילֵג	1	ויקינתונים (CC0)	L216080	עילג
עַלְוָוה	1	ויקינתונים (CC0)	L80528	עלווה
עָרֵב	1	ויקינתונים (CC0)	L216297	ערב
פִּיר	1	ויקינתונים (CC0)	L216829	פיר
פָּלָה	1	ויקינתונים (CC0)	L216876	פלה
פָּמַלְיָה	1	ויקינתונים (CC0)	L80945	פמליה
פֶּרֶא	1	ויקינתונים (CC0)	L81055	פרא
קוּשִיָה	1	ויקינתונים (CC0)	L81827	קושיה
קוֹשֵׁשׁ	1	ויקינתונים (CC0)	L218060	קושש
קִיטוֹן	1	ויקינתונים (CC0)	L81615	קיטון
קָמַל	1	ויקינתונים (CC0)	L218328	קמל
קְרִיסָה	1	ויקינתונים (CC0)	L218509	קריסה
קְרִישָׁה	1	ויקינתונים (CC0)	L218522	קרישה
קַת	1	ויקינתונים (CC0)	L81862	קת
רָדָה	1	ויקינתונים (CC0)	L218672	רדה
רָוָוה	1	ויקינתונים (CC0)	L218725	רווה
רָקִיק	1	ויקינתונים (CC0)	L219135	רקיק
רֶשֶׁף	1	ויקינתונים (CC0)	L219155	רשף
שָׁאוֹן	1	ויקינתונים (CC0)	L82084	שאון
שִׁיסָה	1	ויקינתונים (CC0)	L219567	שיסה
שָׁכִיחַ	1	ויקינתונים (CC0)	L219630	שכיח
שָׁכַך	1	ויקינתונים (CC0)	L219637	שכך
שָׁלָה	1	ויקינתונים (CC0)	L219664	שלה
שַׁמַּאי	1	ויקינתונים (CC0)	L82252	שמאי
תֶּלֶם	1	ויקינתונים (CC0)	L68657	תלם
אָרַג	1	ויקינתונים (CC0)	L205353	ארג
עִרְטֵל	1	ויקינתונים (CC0)	L216317	ערטל
מְעִילָה	1	ויקינתונים (CC0)	L66417	מעילה
מִקְטוֹרֶן	1	ויקינתונים (CC0)	L213751	מקטורן
אֲדָנִית	2	ויקינתונים (CC0)	L75037	אדנית
אִסְפְּלָנִית	2	ויקינתונים (CC0)	L75826	אספלנית
אֵפוֹא	2	ויקינתונים (CC0)	L492148	אפוא
אֶצְעָדָה	2	ויקינתונים (CC0)	L75930	אצעדה
אֲרוּכָה	2	ויקינתונים (CC0)	L76005	ארוכה
אַשְׁפָּה	2	ויקינתונים (CC0)	L64140	אשפה
בְּדִימוֹס	2	ויקינתונים (CC0)	L491977	בדימוס
בּוֹסֶר	2	ויקינתונים (CC0)	L76379	בוסר
בּוֹצֵר	2	ויקינתונים (CC0)	L205612	בוצר
בִּיוֹגְרַפְיָה	2	ויקינתונים (CC0)	L76247	ביוגרפיה
בָּרַר	2	ויקינתונים (CC0)	L491567	ברר
גָּדַשׁ	2	ויקינתונים (CC0)	L206060	גדש
גֵּז	2	ויקינתונים (CC0)	L206137	גז
גְּזֵרָה	2	ויקינתונים (CC0)	L64485	גזרה
גַּיְא	2	ויקינתונים (CC0)	L64490	גיא
גַּלְעִין	2	ויקינתונים (CC0)	L206279	גלעין
גְּמִילָה	2	ויקינתונים (CC0)	L76706	גמילה
גַּנְזַך	2	ויקינתונים (CC0)	L76727	גנזך
גָּרַע	2	ויקינתונים (CC0)	L206387	גרע
דָּלָה	2	ויקינתונים (CC0)	L491574	דלה
דָלַק	2	ויקינתונים (CC0)	L206682	דלק
דָּרוּך	2	ויקינתונים (CC0)	L206762	דרוך
הֶאֱמִיר	2	ויקינתונים (CC0)	L206820	האמיר
הִבְלִיח	2	ויקינתונים (CC0)	L206872	הבליח
הֵגִיף	2	ויקינתונים (CC0)	L206928	הגיף
הִדְבִּיר	2	ויקינתונים (CC0)	L206954	הדביר
הֵהִין	2	ויקינתונים (CC0)	L206994	ההין
הוֹכִיחַ	2	ויקינתונים (CC0)	L207161	הוכיח
הִזְדַּכְּכוּת	2	ויקינתונים (CC0)	L207534	הזדככות
הִטְלִיא	2	ויקינתונים (CC0)	L207692	הטליא
הִכְמִין	2	ויקינתונים (CC0)	L208123	הכמין
הָלַם	2	ויקינתונים (CC0)	L208182	הלם
הִשְׁכִּין	2	ויקינתונים (CC0)	L209009	השכין
הִשְׁתּוֹקֵק	2	ויקינתונים (CC0)	L209094	השתוקק
הִתְחַבֵּט	2	ויקינתונים (CC0)	L209471	התחבט
הִתְמַקֵּחַ	2	ויקינתונים (CC0)	L209773	התמקח
הִתְפַּעֵם	2	ויקינתונים (CC0)	L210048	התפעם
הִתְקַהֵל	2	ויקינתונים (CC0)	L210103	התקהל
זְמוֹרָה	2	ויקינתונים (CC0)	L77653	זמורה
זָמַר	2	ויקינתונים (CC0)	L210477	זמר
חַבּוּט	2	ויקינתונים (CC0)	L210555	חבוט
חִלְחוּל	2	ויקינתונים (CC0)	L210938	חלחול
חַמְשִׁיר	2	ויקינתונים (CC0)	L211019	חמשיר
חָרִיט	2	ויקינתונים (CC0)	L77944	חריט
טָבַע	2	ויקינתונים (CC0)	L211263	טבע
כַּבִּיר	2	ויקינתונים (CC0)	L211941	כביר
כֶּבֶשׁ	2	ויקינתונים (CC0)	L211945	כבש
כִּבְשָׁן	2	ויקינתונים (CC0)	L78344	כבשן
כַּחַש	2	ויקינתונים (CC0)	L78397	כחש
כִּיבֵּד	2	ויקינתונים (CC0)	L212036	כיבד
כֵּרָה	2	ויקינתונים (CC0)	L212200	כרה
לִבֵּן	2	ויקינתונים (CC0)	L212278	לבן
לַהַק	2	ויקינתונים (CC0)	L65900	להק
לָקוֹנִי	2	ויקינתונים (CC0)	L212506	לקוני
מִאוּס	2	ויקינתונים (CC0)	L212538	מאוס
מוּמָר	2	ויקינתונים (CC0)	L212836	מומר
מָחָה	2	ויקינתונים (CC0)	L213005	מחה
מִכְמוֹנֶת	2	ויקינתונים (CC0)	L213306	מכמונת
מִכְמַנִּים	2	ויקינתונים (CC0)	L213308	מכמנים
מְצוּעֲצָע	2	ויקינתונים (CC0)	L213693	מצועצע
מֵצֵר	2	ויקינתונים (CC0)	L79493	מצר
מִרְקָם	2	ויקינתונים (CC0)	L66553	מרקם
מָשָׁה	2	ויקינתונים (CC0)	L213889	משה
מְשׂוּרָה	2	ויקינתונים (CC0)	L79604	משורה
נִישָׂא	2	ויקינתונים (CC0)	L214604	נישא
נָמוֹג	2	ויקינתונים (CC0)	L214686	נמוג
נַקִיק	2	ויקינתונים (CC0)	L214961	נקיק
נֵתַח	2	ויקינתונים (CC0)	L66906	נתח
סָבָא	2	ויקינתונים (CC0)	L215132	סבא
סַגְפָן	2	ויקינתונים (CC0)	L215170	סגפן
סוּגַר	2	ויקינתונים (CC0)	L215211	סוגר
סֶכֶר	2	ויקינתונים (CC0)	L215605	סכר
סָרִיג	2	ויקינתונים (CC0)	L215849	סריג
סָתוּם	2	ויקינתונים (CC0)	L215867	סתום
עֲדִי	2	ויקינתונים (CC0)	L67166	עדי
עָלוּם	2	ויקינתונים (CC0)	L216158	עלום
עֱלִי	2	ויקינתונים (CC0)	L216085	עלי
עִנְבָּל	2	ויקינתונים (CC0)	L67271	ענבל
עָנֵף	2	ויקינתונים (CC0)	L216211	ענף
עָסִיסִי	2	ויקינתונים (CC0)	L216218	עסיסי
עֲשָׁשִׁית	2	ויקינתונים (CC0)	L216365	עששית
פָּדָה	2	ויקינתונים (CC0)	L216409	פדה
פּוּזְמָק	2	ויקינתונים (CC0)	L216442	פוזמק
פּוּמִית	2	ויקינתונים (CC0)	L216506	פומית
פִּיטּוּם	2	ויקינתונים (CC0)	L80785	פיטום
פִּיֵּס	2	ויקינתונים (CC0)	L80846	פיס
פֶּלֶג	2	ויקינתונים (CC0)	L67448	פלג
פָּרַע	2	ויקינתונים (CC0)	L217341	פרע
פָשָׂה	2	ויקינתונים (CC0)	L217371	פשה
פִּשְפָּש	2	ויקינתונים (CC0)	L217384	פשפש
פֶּתִי	2	ויקינתונים (CC0)	L217401	פתי
צְדוּדִית	2	ויקינתונים (CC0)	L217474	צדודית
צוֹהַר	2	ויקינתונים (CC0)	L67620	צוהר
קוּבְלָנָה	2	ויקינתונים (CC0)	L217824	קובלנה
קוּלְמוּס	2	ויקינתונים (CC0)	L67796	קולמוס
קֶסֶת	2	ויקינתונים (CC0)	L67925	קסת
קָפַץ	2	ויקינתונים (CC0)	L218410	קפץ
קָרוּא	2	ויקינתונים (CC0)	L218466	קרוא
רַאַוְותָן	2	ויקינתונים (CC0)	L218588	ראוותן
רֶגֶב	2	ויקינתונים (CC0)	L81899	רגב
רְדִיד	2	ויקינתונים (CC0)	L218682	רדיד
רוֹבֶד	2	ויקינתונים (CC0)	L218706	רובד
רָווּי	2	ויקינתונים (CC0)	L218732	רווי
רֶכֶס	2	ויקינתונים (CC0)	L218961	רכס
רָפֶה	2	ויקינתונים (CC0)	L219046	רפה
רִתְמָה	2	ויקינתונים (CC0)	L219173	רתמה
שְׁבָב	2	ויקינתונים (CC0)	L68202	שבב
שַׁבְשֶׁבֶת	2	ויקינתונים (CC0)	L82107	שבשבת
שְׁדֵמָה	2	ויקינתונים (CC0)	L82122	שדמה
שׁוֹקֶת	2	ויקינתונים (CC0)	L82342	שוקת
שִׁיסּוּי	2	ויקינתונים (CC0)	L219568	שיסוי
שִׁעֲרוּך	2	ויקינתונים (CC0)	L219781	שערוך
שִׁרְבּוּט	2	ויקינתונים (CC0)	L82347	שרבוט
תָּאֵב	2	ויקינתונים (CC0)	L219924	תאב
תַּגְּרָן	2	ויקינתונים (CC0)	L82422	תגרן
תְּלוּלִית	2	ויקינתונים (CC0)	L220245	תלולית
אֲבוּקָה	3	ויקינתונים (CC0)	L63618	אבוקה
אֶבֶן מַשְׁחֶזֶת	3	ויקינתונים (CC0)	L63639	אבן משחזת
אֶגֶד	3	ויקינתונים (CC0)	L204348	אגד
אֵגֶל	3	ויקינתונים (CC0)	L74993	אגל
אָהִיל	3	ויקינתונים (CC0)	L75047	אהיל
אוּמְדָן	3	ויקינתונים (CC0)	L204491	אומדן
אוֹרְחָה	3	ויקינתונים (CC0)	L75221	אורחה
אוֹרְלוֹגִין	3	ויקינתונים (CC0)	L204591	אורלוגין
אָכַף	3	ויקינתונים (CC0)	L204914	אכף
אָנִין	3	ויקינתונים (CC0)	L205099	אנין
אָפִיק	3	ויקינתונים (CC0)	L64060	אפיק
אָפַס	3	ויקינתונים (CC0)	L491559	אפס
בּוֹסֵס	3	ויקינתונים (CC0)	L205602	בוסס
בָּזַק	3	ויקינתונים (CC0)	L205669	בזק
בִּיעוּת	3	ויקינתונים (CC0)	L205781	ביעות
בִּיעָף	3	ויקינתונים (CC0)	L492000	ביעף
בֵּית מֶרְחָץ	3	ויקינתונים (CC0)	L76313	בית מרחץ
בַּר	3	ויקינתונים (CC0)	L64357	בר
בְּרִיחַ	3	ויקינתונים (CC0)	L64379	בריח
גֹּורֶן	3	ויקינתונים (CC0)	L491162	גורן
גָחַן	3	ויקינתונים (CC0)	L206167	גחן
גַּלָב	3	ויקינתונים (CC0)	L76634	גלב
גַּמְלוֹנִי	3	ויקינתונים (CC0)	L206298	גמלוני
גָּנַז	3	ויקינתונים (CC0)	L206314	גנז
גֵּץ	3	ויקינתונים (CC0)	L206340	גץ
דּוּמָם	3	ויקינתונים (CC0)	L206514	דומם
דִידָה	3	ויקינתונים (CC0)	L206580	דידה
דָּלִיל	3	ויקינתונים (CC0)	L206677	דליל
דֶּשֶׁן	3	ויקינתונים (CC0)	L206792	דשן
הִדִּיחַ	3	ויקינתונים (CC0)	L206976	הדיח
הַדְרָן	3	ויקינתונים (CC0)	L77190	הדרן
הוֹגִיעַ	3	ויקינתונים (CC0)	L207049	הוגיע
הִזְלִיף	3	ויקינתונים (CC0)	L207576	הזליף
הִלְאִים	3	ויקינתונים (CC0)	L491613	הלאים
הִלְעִיט	3	ויקינתונים (CC0)	L208190	הלעיט
הֵמִיר	3	ויקינתונים (CC0)	L208219	המיר
הֵמֵס	3	ויקינתונים (CC0)	L208229	המס
הֵסֵב	3	ויקינתונים (CC0)	L208305	הסב
הֶעְפִּיל	3	ויקינתונים (CC0)	L208487	העפיל
הִפְצִיר	3	ויקינתונים (CC0)	L208559	הפציר
הִפְקִיעַ	3	ויקינתונים (CC0)	L208564	הפקיע
הֵפֵר	3	ויקינתונים (CC0)	L208567	הפר
הִצְטַנֵּף	3	ויקינתונים (CC0)	L208646	הצטנף
הִקְנִיט	3	ויקינתונים (CC0)	L208818	הקניט
הִרְעִיף	3	ויקינתונים (CC0)	L208926	הרעיף
הִרְפָּה	3	ויקינתונים (CC0)	L208933	הרפה
הִשְׁרָה	3	ויקינתונים (CC0)	L209052	השרה
הִשְׁתַּעְבֵּד	3	ויקינתונים (CC0)	L209160	השתעבד
הִתִּיךְ	3	ויקינתונים (CC0)	L209626	התיך
הִתְלַקֵּחַ	3	ויקינתונים (CC0)	L209707	התלקח
הִתְעַשֵּׁת	3	ויקינתונים (CC0)	L209986	התעשת
הִתְפִּיל	3	ויקינתונים (CC0)	L210021	התפיל
הִתְקַנֵּא	3	ויקינתונים (CC0)	L210131	התקנא
הִתְרַבְרֵב	3	ויקינתונים (CC0)	L210172	התרברב
הִתְרַעֵם	3	ויקינתונים (CC0)	L210227	התרעם
זַאֲטוּט	3	ויקינתונים (CC0)	L77584	זאטוט
זְחוּחַ	3	ויקינתונים (CC0)	L210395	זחוח
זִיקּוּק	3	ויקינתונים (CC0)	L65061	זיקוק
זַך	3	ויקינתונים (CC0)	L210446	זך
זָרָה	3	ויקינתונים (CC0)	L210526	זרה
חַיִּץ	3	ויקינתונים (CC0)	L65259	חיץ
חִישֵּׁל	3	ויקינתונים (CC0)	L210899	חישל
חֲפִיר	3	ויקינתונים (CC0)	L65337	חפיר
חֶרְפָּה	3	ויקינתונים (CC0)	L77950	חרפה
חֶשְׁבּוֹנִיָּה	3	ויקינתונים (CC0)	L77959	חשבוניה
חַתְרָנוּת	3	ויקינתונים (CC0)	L211237	חתרנות
טָחוּב	3	ויקינתונים (CC0)	L211352	טחוב
טֶרָסָה	3	ויקינתונים (CC0)	L78201	טרסה
יָהִיר	3	ויקינתונים (CC0)	L211641	יהיר
יֶקֶב	3	ויקינתונים (CC0)	L78308	יקב
יְשִׁימוֹן	3	ויקינתונים (CC0)	L211908	ישימון
יָשִׁישׁ	3	ויקינתונים (CC0)	L78325	ישיש
כִּיכָּר	3	ויקינתונים (CC0)	L65740	כיכר
כָּלִיל	3	ויקינתונים (CC0)	L212129	כליל
כְּלִימָה	3	ויקינתונים (CC0)	L212132	כלימה
כָּמוּש	3	ויקינתונים (CC0)	L212144	כמוש
לְבָנָה	3	ויקינתונים (CC0)	L65892	לבנה
מַגְבִּית	3	ויקינתונים (CC0)	L212600	מגבית
מַהְבִּיל	3	ויקינתונים (CC0)	L212696	מהביל
מָהַל	3	ויקינתונים (CC0)	L212712	מהל
מֵזַח	3	ויקינתונים (CC0)	L66142	מזח
מַחֲלוֹקֶת	3	ויקינתונים (CC0)	L66170	מחלוקת
מַחְלָצוֹת	3	ויקינתונים (CC0)	L213043	מחלצות
מַטְפֶּה	3	ויקינתונים (CC0)	L213093	מטפה
מַכּוֹשׁ	3	ויקינתונים (CC0)	L213305	מכוש
מַעֲגָן	3	ויקינתונים (CC0)	L79355	מעגן
מָעַל	3	ויקינתונים (CC0)	L213599	מעל
מִפְתָּן	3	ויקינתונים (CC0)	L66467	מפתן
מַרְבָד	3	ויקינתונים (CC0)	L66520	מרבד
מַתְבֵּן	3	ויקינתונים (CC0)	L79657	מתבן
נָא	3	ויקינתונים (CC0)	L492185	נא
נְהִירָה	3	ויקינתונים (CC0)	L214202	נהירה
נוּגֶה	3	ויקינתונים (CC0)	L214223	נוגה
נֵכַר	3	ויקינתונים (CC0)	L79847	נכר
נִלְאֶה	3	ויקינתונים (CC0)	L214663	נלאה
נִקְבָּה	3	ויקינתונים (CC0)	L66880	נקבה
נַקְבּוּבִית	3	ויקינתונים (CC0)	L214938	נקבובית
סָבוּךְ	3	ויקינתונים (CC0)	L215135	סבוך
סוֹכֵךְ	3	ויקינתונים (CC0)	L215232	סוכך
סִיכֵּל	3	ויקינתונים (CC0)	L215485	סיכל
סָתוּר	3	ויקינתונים (CC0)	L215868	סתור
עָבִיט	3	ויקינתונים (CC0)	L80460	עביט
עֶגְלוֹן	3	ויקינתונים (CC0)	L80467	עגלון
עֹול	3	ויקינתונים (CC0)	L215963	עול
עִישֵּׂב	3	ויקינתונים (CC0)	L216134	עישב
עָלַב	3	ויקינתונים (CC0)	L216151	עלב
עֲקַלְקָל	3	ויקינתונים (CC0)	L216280	עקלקל
עֲרוּגָה	3	ויקינתונים (CC0)	L80599	ערוגה
פּוֹרֶה	3	ויקינתונים (CC0)	L216560	פורה
פְּלָצוּר	3	ויקינתונים (CC0)	L80937	פלצור
פְּתַלְתְּל	3	ויקינתונים (CC0)	L217410	פתלתל
צִי	3	ויקינתונים (CC0)	L67643	צי
צִיר	3	ויקינתונים (CC0)	L1320633	ציר
צְנִים	3	ויקינתונים (CC0)	L81358	צנים
קִידָּה	3	ויקינתונים (CC0)	L218119	קידה
קֶלַח	3	ויקינתונים (CC0)	L218248	קלח
קָמִין	3	ויקינתונים (CC0)	L218324	קמין
קִנְטֵר	3	ויקינתונים (CC0)	L218358	קנטר
שְׂבָכָה	3	ויקינתונים (CC0)	L82102	שבכה
שַׁבְרִיר	3	ויקינתונים (CC0)	L219218	שבריר
שׁוֹבָךְ	3	ויקינתונים (CC0)	L82134	שובך
שָׁחוּק	3	ויקינתונים (CC0)	L219407	שחוק
שַׁחַת	3	ויקינתונים (CC0)	L219432	שחת
שִׁיכּוּך	3	ויקינתונים (CC0)	L219525	שיכוך
שִׁכְתּוּב	3	ויקינתונים (CC0)	L219659	שכתוב
שִׁלְהֵי	3	ויקינתונים (CC0)	L491487	שלהי
שָׁפָל	3	כתב־יד לנינגרד — נחלת הכלל	Psalms 138:6	הצורה בטקסט: «כִּי־רָם יְהוָה וְשָׁפָל יִרְאֶה וְגָבֹהַּ מִ» · הוחלף שם הנוסח: מהדורת ספריא הדיגיטלית שצוטטה קודם נמצאה CC-BY-SA בבדיקת מקבילות (משלי ח,ב · משלי יג,יב · מלכים ב יב,יג) · ⚠ הוחלפה הפניה שגויה L219805 · ההתאמה נוצרה מנרמול והלמה שם היא מילה אחרת
שַׁרְלְטָן	3	ויקינתונים (CC0)	L219885	שרלטן
תֶּבֶן	3	ויקינתונים (CC0)	L219965	תבן
תָּדִיר	3	ויקינתונים (CC0)	L219987	תדיר
תִּיעוּב	3	ויקינתונים (CC0)	L220195	תיעוב
תַּסְמִין	3	ויקינתונים (CC0)	L220313	תסמין
תִּפְרַחַת	3	ויקינתונים (CC0)	L68720	תפרחת
תַּתְרָן	3	ויקינתונים (CC0)	L220468	תתרן
אֶבְרָה	4	ויקינתונים (CC0)	L63651	אברה
אַדְוָה	4	ויקינתונים (CC0)	L489740	אדוה
אִוְושָׁה	4	ויקינתונים (CC0)	L63747	אוושה
אָזְלַת יָד	4	ויקינתונים (CC0)	L63834	אזלת יד
אִיכּוּל	4	ויקינתונים (CC0)	L204750	איכול
אֵימְתָנִי	4	ויקינתונים (CC0)	L491812	אימתני
אֵיתָן	4	ויקינתונים (CC0)	L204897	איתן
אָמַד	4	ויקינתונים (CC0)	L204998	אמד
אַמַּת מַיִם	4	ויקינתונים (CC0)	L75579	אמת מים
אֲנָקָה	4	ויקינתונים (CC0)	L75756	אנקה
אֲפַרְכֶּסֶת	4	ויקינתונים (CC0)	L75914	אפרכסת
אִצְטַבָּה	4	ויקינתונים (CC0)	L75920	אצטבה
אַרְכָּה	4	ויקינתונים (CC0)	L76043	ארכה
בְּדִיעֲבַד	4	ויקינתונים (CC0)	L491991	בדיעבד
בּוּר	4	ויקינתונים (CC0)	L205622	בור
בֵּיבָר	4	ויקינתונים (CC0)	L76238	ביבר
בְּכִי תַּמְרוּרִים	4	ויקינתונים (CC0)	L76332	בכי תמרורים
בֶּכֶר	4	ויקינתונים (CC0)	L64287	בכר
גֵּאוּת	4	ויקינתונים (CC0)	L76533	גאות
