מילה	יחידה בישן	מקור ההוכחה	רפרנס	הערה
חֲלִיפַת מִכְתָּבִים	5	ויקיטקסט · נחלת הכלל (טקסט מקורי)	יומן ירושלים (ארלוזורוב)/על ה"אוטומנציפציה" לפינסקר	שאילתה: חליפת מכתבים
חֲנִיטָה	5	ויקינתונים (CC0)	L211033	חניטה
חֻרְשָף	5	ויקינתונים (CC0)	L65380	חרשף
טְפָחוֹת	5	נחלת הכלל / CC0 (לפי ספריא)	Metzudat David on Psalms 39:6:1	
טְרוּט עֵינַיִם	5	לפי מילה · CC0 / נחלת הכלל	טרוט=L211526 · עינים=L67224	טרוט: ויקינתונים · למה (CC0) · עינים: ויקינתונים · צורה (CC0)
כּוֹתֶרֶת	5	ויקינתונים (CC0)	L212025	כותרת
לְעֵילָא וּלְעֵילָא	5	נחלת הכלל / CC0 (לפי ספריא)	Yahel Ohr on Zohar 3:118b:4	
מוֹנוֹגַמְיָה	5	ויקינתונים (CC0)	L212844	מונוגמיה
מוֹנוֹתֵאִיזְם	5	ויקינתונים (CC0)	L66106	מונותאיזם
מַזְלֵף	5	ויקינתונים (CC0)	L212989	מזלף
מְסוּפָּק	5	נחלת הכלל / CC0 (לפי ספריא)	Ba'er Hetev on Shulchan Arukh, Orach Chayim 618:5	
מַקְצוּעָה	5	ויקינתונים (CC0)	L66512	מקצועה
מַרְחֶשֶׁת	5	ויקינתונים (CC0)	L79538	מרחשת
צִיקְלוֹן	5	ויקינתונים (CC0)	L67670	ציקלון
קֻבַּעַת	5	ויקינתונים (CC0)	L81426	קבעת
קוֹקֵטִי	5	ויקינתונים (CC0)	L218026	קוקטי
קוֹרֶקְטִי	5	ויקינתונים (CC0)	L218050	קורקטי
קִלְטֵר	5	ויקינתונים (CC0)	L218254	קלטר
קֶרֶת	5	ויקינתונים (CC0)	L67995	קרת
רוֹדֵף שְׂרָרָה	5	נחלת הכלל / CC0 (לפי ספריא)	Teshuvot Maharik 117:2	
שָׁקַט עַל שְׁמָרָיו	5	נחלת הכלל / CC0 (לפי ספריא)	Shadal on Isaiah 25:6:5	
אוֹפּוֹרְטוּנִיזְם	6	ויקינתונים (CC0)	L75167	אופורטוניזם
אֵימָתַי	6	ספריא · Torat Emet 357 (Public Domain)	Mishnah Berakhot 1:1	הצורה בטקסט: «מֵאֵימָתַי קוֹרִין אֶת שְׁמַע בְּעַרְבִית. מִ» · ⚠ הוחלפה הפניה שגויה L204788
אִלְחוּשׁ	6	ויקינתונים (CC0)	L75451	אלחוש
בַּחֲרוּת	6	ויקינתונים (CC0)	L205677	בחרות
בֵּית מִטְבָּחַיִם	6	ויקינתונים (CC0)	L76309	בית מטבחיים
בֵּית נְתִיבוֹת	6	נחלת הכלל / CC0 (לפי ספריא)	Malbim Beur Hamilot on Ezekiel 41:9:1 (On Your Way [he])	
בֶּן-לְוָיָה	6	נחלת הכלל / CC0 (לפי ספריא)	Tosafot on Bekhorot 47a:15:1	
בַּעֲלֵי שְׂרָרָה	6	נחלת הכלל / CC0 (לפי ספריא)	Rashi on Yevamot 24b:3:2	
הֶחְפִּיץ	6	ויקיטקסט · נחלת הכלל (טקסט מקורי)	חפץ חיים	שאילתה: החפיץ
הִתְפַּקֵּר	6	ויקינתונים (CC0)	L210058	התפקר
זְחִיחוּת דַּעַת	6	ויקיטקסט · נחלת הכלל (טקסט מקורי)	על גבול הדממה/על הקבוצה	שאילתה: זחיחות דעת
חִילָּה	6	ויקינתונים (CC0)	L210832	חילה
מָאוֹר	6	ויקינתונים (CC0)	L65992	מאור
מַכְלֵב	6	ויקינתונים (CC0)	L66276	מכלב
מִלְּגוֹ / מִלְגַו	6	נחלת הכלל / CC0 (לפי ספריא)	Siftei Kohen on Torah, Leviticus 5:21:23 (Warsaw, 1883 [he])	
מִלְּגוֹ וּמִלְבַּר	6	ספריא · נחלת הכלל	Pele Yoetz 149:3 (Torat Emet [he])	הצירוף במלואו · Torat Emet
מְסוּקָס	6	ויקינתונים (CC0)	L213518	מסוקס
מִסְרוֹן	6	ויקינתונים (CC0)	L66396	מסרון
נִמְלַךְ בּוֹ	6	נחלת הכלל / CC0 (לפי ספריא)	Shulchan Arukh, Choshen Mishpat 10:2 (Torat Emet 363 [he])	
עוּר!	6	ויקיטקסט · נחלת הכלל (טקסט מקורי)	כסף משנה/הלכות כלים	שאילתה: עור!
עִזָבוֹן	6	לפי מילה · CC0 / נחלת הכלל	עזבון=Teshuvot HaRosh 55:7:3 (She'elot u'Teshuvot haRosh, Vilna, 1881 [he])	עזבון: ספריא · נחלת הכלל
צִינָּה	6	ויקינתונים (CC0)	L217583	צינה
צִלְצָל	6	ויקינתונים (CC0)	L217634	צלצל
תּוּפִין	6	ויקינתונים (CC0)	L82439	תופין
אִילוּחַ	7	ויקיטקסט · נחלת הכלל (טקסט מקורי)	תקנות מחלות בעלי חיים (בתי שחיטה לעופות)	שאילתה: אילוח
אֶתְנָן	7	ויקינתונים (CC0)	L205465	אתנן
דְּבוּקָּה	7	ויקינתונים (CC0)	L206420	דבוקה
הָגִיג	7	ויקינתונים (CC0)	L206922	הגיג
הַזָחָה	7	ויקינתונים (CC0)	L77237	הזחה
הֵזִיחַ	7	ויקינתונים (CC0)	L207566	הזיח
הֶרֶף	7	ויקינתונים (CC0)	L208932	הרף
זוֹט	7	ויקינתונים (CC0)	L77617	זוט
חֵבֶל	7	ויקינתונים (CC0)	L1551213	חָבַל
חֲטָף	7	ויקינתונים (CC0)	L210757	חטף
חָרָבָה	7	ויקינתונים (CC0)	L77930	חרבה
טַבּוּלָה רָאסָה	7	ויקיטקסט הלטיני · נחלת הכלל	Summa Theologiae, Prima pars, Quaestio CI · תומאס אקווינס	⚠ תעתיק של מונח לטיני עתיק: «sicut tabula rasa in qua nihil est scriptum». לא נמצאה הוכחה עברית — `ראסה` מופיע רק בטקסט יהודי-ערבי, ו-`טבולה` שם הוא הומוגרף (טְבוּלָה למעשרות)
מְבוּזָּר	7	נחלת הכלל / CC0 (לפי ספריא)	Jastrow, בָּזַר	
מִזְקָקָה	7	ויקינתונים (CC0)	L212995	מזקקה
מַחְבּוֹש	7	ויקינתונים (CC0)	L78946	מחבוש
מְחֻטָּט	7	ויקינתונים (CC0)	L213010	מחוטט
מַעֲרֶה הַיַּעַר	7	ויקיטקסט · נחלת הכלל (טקסט מקורי)	רוסלאן ולודמילה	שאילתה: מערה היער
מַק	7	נחלת הכלל / CC0 (לפי ספריא)	BDB, מַק	
מַרְנִין	7	נחלת הכלל / CC0 (לפי ספריא)	Ohev Ger, Additions, On Syriac Grammar, Letter Resh 8 (Ohev Ger, Philoxenus sive de Onkelosi, Vienna, 1830 [he])	
נָאוֹר	7	ויקינתונים (CC0)	L214041	נאור
נוֹאָל	7	ויקינתונים (CC0)	L214216	נואל
נְחִירָה	7	ויקינתונים (CC0)	L79783	נחירה
נִשְפֶּה	7	נחלת הכלל / CC0 (לפי ספריא)	Matnot Kehunah on Bereshit Rabbah 92:9:4 (Midrash Rabbah, Vilna, 1878 [he])	
סֵיפָא	7	ויקינתונים (CC0)	L80179	סיפא
פִּיל לָבָן	7	לפי מילה · CC0 / נחלת הכלל	פיל=L67417 · לבן=L212278	פיל: ויקינתונים · למה (CC0) · לבן: ויקינתונים · למה (CC0)
צְבִיר	7	ויקינתונים (CC0)	L217458	צביר
צַדְקָנוּת	7	ויקינתונים (CC0)	L81238	צדקנות
צָמִיג	7	ויקינתונים (CC0)	L217644	צמיג
צִקְצוּק	7	ויקינתונים (CC0)	L217719	צקצוק
קַפֶּנְדַרְיָא / קַפַּנְדְּרִיָּה	7	ויקינתונים (CC0)	L81715	קפנדריה
קַרְפִּיף	7	ויקינתונים (CC0)	L81805	קרפיף
רֵישָא	7	לפי מילה · CC0 / נחלת הכלל	רישא=Mikdash Melekh on Zohar 3:154b:6 (Zholkva, 1864 [he])	רישא: ספריא · נחלת הכלל
רִנֵּן	7	ויקינתונים (CC0)	L218992	רנן
שִׁיפּוּי	7	ויקינתונים (CC0)	L219581	שיפוי
שָׁנָה	7	ויקינתונים (CC0)	L219751	שנה
שַׁעַל	7	ויקינתונים (CC0)	L82297	שעל
תּוֹעַמְלָן	7	ויקינתונים (CC0)	L220053	תועמלן
תִּחוּחַ	7	ויקינתונים (CC0)	L220115	תחוח
תְּנוּבָה	7	ויקינתונים (CC0)	L82518	תנובה
תַּשְׁלִיל	7	ויקינתונים (CC0)	L220463	תשליל
בְּעוֹד מוֹעֵד	8	נחלת הכלל / CC0 (לפי ספריא)	Book of Judith 8:31 (Ketuvim Achronim, Seckel Isaac Frankel. Warsaw, 1885 [he])	
דוֹמֶן	8	נחלת הכלל / CC0 (לפי ספריא)	Metzudat Zion on Psalms 113:7:1 (On Your Way [he])	
הִבְכִּיר	8	ויקינתונים (CC0)	L206865	הבכיר
הֲוָיָה	8	נחלת הכלל / CC0 (לפי ספריא)	Aderet Eliyahu, Leviticus 13:45:1 (Aderet Eliyahu, Halberstadt, 1860 [he])	
זֵד	8	ויקינתונים (CC0)	L65026	זד
חִדָלוֹן	8	ויקינתונים (CC0)	L210774	חידלון
כְּפִיפוּת	8	ויקינתונים (CC0)	L212188	כפיפות
לָא מִנֵּיהּ וְלָא מִקְּצָתֵיהּ	8	⚠ דרוש מקור	Sermons Unto My People, The Three Festivals 1:28 (Derashot El Ami, Jerusalem 1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Derashot El Ami, Jerusalem 1936 · הטענה הקודמת: נחלת הכלל / CC0 (לפי ספריא) / Sermons Unto My People, The Three Festivals 1:28 (Derashot El Ami, Jerusalem 1936 [he])
לְמַכְבִּיר	8	נחלת הכלל / CC0 (לפי ספריא)	Ralbag on Job 36:31:1 (On Your Way [he])	
מֻבְלַעַת	8	ויקינתונים (CC0)	L78748	מבלעת
מְדוּכָה	8	ויקינתונים (CC0)	L212662	מדוכה
מְהַדְּרִין	8	נחלת הכלל / CC0 (לפי ספריא)	Beur HaGra on Shulchan Arukh, Orach Chayim 677:3:2 (Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893 [he])	
מְסוֹבָב	8	נחלת הכלל / CC0 (לפי ספריא)	Talmud Eser HaSefirot, Section VII, List of Answers on Topics 154:90	
נְסִיקָה	8	ויקינתונים (CC0)	L214768	נסיקה
פָּכַר	8	ויקינתונים (CC0)	L216865	פכר
פְּלוּגְתָּא	8	ויקינתונים (CC0)	L491543	פלוגתא
צַרְכָנִיָּה	8	ויקינתונים (CC0)	L81406	צרכניה
שִׁוָּוה	8	ויקינתונים (CC0)	L1368445	שווה
שַׁוֵּוה בְּנַפְשֵׁך	8	לפי מילה · CC0 / נחלת הכלל	שווה=L1368445 · בנפשך=Malbim on Esther 4:13:1 (On Your Way [he])	שווה: ויקינתונים · למה (CC0) · בנפשך: ספריא · נחלת הכלל
שַׁחֲרִית	8	ויקינתונים (CC0)	L68306	שחרית
תַּבְלִיט	8	ויקינתונים (CC0)	L82412	תבליט
תִּינָּה	8	ויקינתונים (CC0)	L220189	תינה
תַּמְלוּגִים	8	ויקינתונים (CC0)	L220279	תמלוגים
אִיֵּשׁ	9	ויקינתונים (CC0)	L63920	איש
הִכְתִּיר	9	ויקינתונים (CC0)	L208154	הכתיר
הִמְרָה אֶת פִּיו	9	נחלת הכלל / CC0 (לפי ספריא)	Rabbeinu Bahya, Vayikra 1:9:1	
הִסְתּוֹפֵף	9	ויקינתונים (CC0)	L208379	הסתופף
הִקְצָה	9	ויקינתונים (CC0)	L208829	הקצה
הִרְעִים	9	ויקינתונים (CC0)	L208925	הרעים
הִתְגַּפֵּף	9	ויקינתונים (CC0)	L209417	התגפף
וַרְיַאצְיָה	9	ויקינתונים (CC0)	L65014	וריאציה
זִכָּיוֹן	9	ויקינתונים (CC0)	L210424	זיכיון
טְפִיפָה	9	ויקינתונים (CC0)	L211493	טפיפה
לָאַט	9	ויקינתונים (CC0)	L212262	לאט
מְלוּבָּן	9	נחלת הכלל / CC0 (לפי ספריא)	Hon Ashir on Mishnah Bekhorot 4:7:1	
מִשְׁנֶה	9	ויקינתונים (CC0)	L66593	משנה
סְבָרָה	9	ויקינתונים (CC0)	L79975	סברה
סוֹלְלָה	9	ויקינתונים (CC0)	L66957	סוללה
סָלַד	9	ויקינתונים (CC0)	L215613	סלד
צָנוּף	9	ויקינתונים (CC0)	L217661	צנוף
קְדֵרָה	9	ויקינתונים (CC0)	L81443	קדרה
