w0845|KK|שתי מילים נפוצות לבחירה
w0848|KLK|מעיל ושכבה מרכזיים; לצפות צר
w0849|KK|שם עצם ופועל נפוצים
w0852|KLLLK|להילחם וקרב מרכזיים; שאר נטיות/כפולים
w0854|LKLK|לצוות ופקודה מרכזיים; לפקוד כפול
w0859|KKLL|מתחם ומורכב מרכזיים; קומפלקס מסובך כפולים
w0863|KKL|עימות וסכסוך מרכזיים; להתנגש צר
w0864|LKK|תוכן ומרוצה מרכזיים; שביעות רצון כפול
w0865|KK|שתי מילים נפוצות לליבה
w0867|KKL|עלות ולעלות מרכזיים; מחיר קרוב שונה
w0869|KKLLL|בית משפט ומגרש מרכזיים
w0870|LLKLLK|לכסות ומכסה מרכזיים; שאר צרים
w0873|KK|סקרן וגם מוזר נפוצים
w0874|KLK|כרגע וכעת נפוצים; נכון לעכשיו מסורבל
w0876|KKL|מדי יום ויומי מרכזיים; יומיומי שגרתי
w0878|KLLK|עיכוב ולעכב מרכזיים; לדחות לאחר קרובים
w0879|LKK|משלוח ולידה מרכזיים; מסירה כפול
w0880|KK|שתי מילים נפוצות למחלקה
w0882|KL|מתואר אותה מילה בבינוני
w0884|KLK|מגיע(לו) כפול; ראוי ניסוח נפרד
w0886|KL|ייעוד=תכלית שונה מגורל
w0889|KLK|מכשיר ואמצעי מרכזיים; תחבולה נדיר
w0891|KL|להעלם כתיב חלופי אותה מילה
w0895|KK|פועל ושם עצם נפוצים
w0898|LKK|מזבלה ולזרוק מרכזיים; לשפוך שונה
w0899|KLK|במשך ובמהלך נפוצים; תוך כדי מבנה שונה
w0901|KK|כלכלה וחסכנות שני מובנים נפוצים
w0903|KK|שתי מילים נפוצות לחינוך
w0916|KLKL|חוץ מ ומלבד נפוצים; פרט ל שלישי, כפול
w0917|LKK|למעט וחוץ מ נפוצים; פרט ל שלישי
w0918|KLLK|חילופין ולהחליף מרכזיים; שאר צרים
w0920|KLLKL|פעילות גופנית ולהתאמן מרכזיים
w0921|KL|להתקיים אותה מילה בשם פועל
w0924|KK|שני ניסוחים נפוצים לחריג
w0925|KKL|כישלון ותקלה מרכזיים; כשלון כתיב כפול
w0927|KLK|חוואי וחקלאי נפוצים; איכר ארכאי
w0929|KKL|קדחת וחום מרכזיים; חום(של מחלה) כפול
w0931|KK|שתי מילים נפוצות עברית ולועזית
w0933|KLK|להתאים ובכושר מרכזיים; מתאים אותה מילה
w0935|KLK|עף מרכזי לעוף אותה מילה; לטוס שונה נפוץ
w0936|KLLLK|סלטה ולהפוך מרכזיים; שאר צרים/כפולים
w0937|KKL|לרמות וטיפש מרכזיים; לשטות כפול
w0938|KK|שני ניסוחים נפוצים
w0941|LLKK|צורה וטופס מרכזיים; להקים/ליצור צרים
w0942|KKL|מסגרת ולהפליל מרכזיים; למסגר כפול
w0944|KLKL|תפקיד ולתפקד מרכזיים; תפקוד כפול פונקציה טכני
w0950|LKLLLK|כיתה וציון מרכזיים; שאר משמעויות אחרות
w0952|KK|פועל ושם עצם נפוצים
w0954|KLK|מסדרון ואולם מרכזיים; היכל נשגב יותר
w0955|KKL|להזיק ונזק מרכזיים; לפגוע כפול
w0958|KK|שני ניסוחים נפוצים לכביש ראשי
w0960|LKK|כן וישר מרכזיים; הגון ניואנס שונה
w0962|KK|שם עצם ופועל נפוצים
w0963|KLLKL|עם זאת ואבל מרכזיים; שאר כפולים/שונה
w0970|LKK|דימוי ותמונה מרכזיים; דמות שונה
w0973|KKL|השפעה ולהשפיע מרכזיים; התנגשות פיזי צר
w0975|KK|שני ניסוחים נפוצים
w0977|KK|שני תרגומים נפוצים
w0979|KKL|יחיד ואישי מרכזיים; אינדיבידואל לועזי
w0983|LKK|רגע ומיידי מרכזיים; בהרף עין ניב ציורי
w0987|KKL|חזק ועז מרכזיים; אינטנסיבי כפול
w0988|KKL|להציג ולהכניס מרכזיים; לעשות היכרות כפול
w0990|KK|שני תרגומים נפוצים לבלתי נראה
w0994|KL|ברך יחיד של אותה מילה
w0998|KL|עורך-דין כפול עם/בלי מקף
w0999|KK|פועל ושם עצם נפוצים
w1000|KKL|להוביל ולגרום מרכזיים; הוביל ל- אותה מילה
w1002|LKLK|גבול ולהגביל מרכזיים; שאר כפולים/נטיות
w1004|LKK|נמוך ולהוריד מרכזיים; להנמיך כפול
w1006|KK|ניהול כפעולה והנהלה כגוף
w1007|KLK|ציון ולסמן מרכזיים; כתם משמעות שלישית
w1008|KL|נישואין כתיב חלופי אותה מילה
w1009|LLKK|חומר ובד מרכזיים; מהותי/חומרני שונים
w1011|LKK|להזכיר ואזכור מרכזיים; לאזכר כפול
w1012|KK|שתי מילים נפוצות לשיטה
w1014|KK|שם עצם ופועל נפוצים
w1015|LKKL|מסך ולנטר מרכזיים; מוניטור כפול, להשגיח קרוב
w1016|KK|שני תרגומים נפוצים
w1018|KK|תעלומה כחידה ומסתורין כתכונה
w1019|KK|שתי מילים נפוצות לאומה
w1020|KKLL|סמוך וקרוב מרכזיים; שאר ניסוחים ארוכים
w1021|KK|שני תרגומים נפוצים להכרחי
w1024|KK|שני ניסוחים נפוצים
w1027|LKK|לשים לב והודעה מרכזיים; התראה צר
w1029|KK|שני תרגומים נפוצים
w1031|LKKL|ממול והפוך מרכזיים; נגדי/מנוגד כפולים
w1033|KK|שם עצם ופועל נפוצים
w1034|KK|שתי מילים נפוצות לתשוקה
w1036|KLK|סבלני וחולה מרכזיים; מטופל כפול עם חולה
w1037|KKL|מטופל וחולה מרכזיים; מטופלים אותה מילה במספר
w1038|KLK|שליו כפול עם/בלי ניקוד; שקט קרוב נפוץ
w1039|KK|שני מובנים נפוצים: לפי ולכל אחד
w1043|KKL|רשות ואישור מרכזיים; היתר רשמי יותר
w1046|KK|צינור ומקטרת שני מובנים נפוצים
w1049|KLLK|הנאה ועונג מרכזיים; לענג/תענוג כפולים
w1051|KKLLLL|מיקום ומשרה מרכזיים; שאר משמעויות נוספות
w1052|KLLK|עציץ וסיר מרכזיים; גראס סלנג קדרה כפול
w1053|KKL|תרגול ולתרגל מרכזיים; נוהג מובן נוסף
w1054|KK|שתי מילים נפוצות ליקר
w1055|KLK|הרה כפול עם/בלי הבהרה; בהריון שגור
w1058|LK|להקה מובן נדיר של להקת אריות
w1060|KK|שני תרגומים נפוצים לבית כלא
w1061|KL|להעריך פועל נדיר של פרס
w1063|KK|תוצר ומוצר שני מובנים נפוצים
