src	סוג הממצא	המודגשת	g[a]	המשפט (60 תווים)
aca6#27	e חסר			A small dose will ___ sleep within minutes, whereas a large 
aca7#1	e חסר			If the garrison in the citadel joins the crowd rather than f
aca7#2	e חסר			The judge described the theft as calculated and mean; even s
aca7#3	e חסר			The share held its value all through the spring, and then th
aca7#4	e חסר			A crop that yields little food, for instance the lupin, can 
aca7#5	אי-התאמת מובן · חשד נטייה בלבד	מקל	facilitate = להקל	Although the scanner does not replace the clerks, who go on 
aca7#5	e חסר			Although the scanner does not replace the clerks, who go on 
aca7#6	e חסר			The panel accepted the builder's records without question, a
aca7#7	e חסר			Because the correspondent never left the capital and the vil
aca7#8	e חסר			The river had been feared for a century, yet a single low we
aca7#9	e חסר			Unless the committee can point to one ___ result by spring, 
aca7#10	e חסר			Since the chicks had never seen a hawk and no adult bird was
aca7#11	e חסר			Once a step has been explained twice in plain words, a third
aca7#12	e חסר			Although the editor kept every step of the argument, she cho
aca7#13	e חסר			The bird is no larger than a thumb and its song is faint, ye
aca7#14	e חסר			No document from the period survives, and so the date printe
aca7#15	e חסר			The harvest failed for the third year running; in addition, 
aca7#16	e חסר			A well known ___, such as the oak, holds dozens of separate 
aca7#17	e חסר			Every pump in the town was working, yet the water rose faste
aca7#18	e חסר			A strong climber would find the wall itself merely hard, whe
aca7#19	e חסר			The clerk had no reason to hide the file; furthermore, he di
aca7#20	e חסר			Two members voted for the motion and one against it; since t
aca7#21	e חסר			Camera traps in the same clearing caught the animal eleven t
aca7#22	e חסר			Although the composer burned most of his scores and cared no
aca7#23	e חסר			Cost matters to the company and speed matters to the drivers
aca7#24	e חסר			In the northern half of the valley every field is irrigated 
aca7#25	e חסר			The language had fewer than two hundred speakers in 1950, ye
aca7#26	e חסר			The statute fixes the order plainly: the trustees must first
aca7#27	e חסר			The first review was written by his old teacher and set out 
aca8#1	e חסר			Once a smooth curve has been drawn through the four measured
aca8#2	e חסר			A neutral party such as a Genoese banker acted as ___ betwee
aca8#3	e חסר			The committee published its findings in the spring, and then
aca8#4	e חסר			The findings were read aloud at the spring meeting and print
aca8#5	e חסר			A small ___ such as the field mouse can empty a sack of grai
aca8#6	e חסר			Because the grain ships were turned back at the port for a s
aca8#7	e חסר			Bromide calms a restless patient but leaves him awake, where
aca8#8	e חסר			Unless a witness saw the fire with his own eyes, what he tel
aca8#9	e חסר			The first volume covers only the reign of the founder; every
aca8#10	e חסר			Because the outer wall gave way twice in one winter, the tow
aca8#11	e חסר			The dust settles on the shelves within an hour of sweeping; 
aca8#12	e חסר			The clerk's note sat in the same file for eleven years and w
aca8#13	e חסר			Once the harbour chain is raised at dusk, a single guard can
aca8#14	e חסר			A ___ such as sulphur dioxide leaves the chimney as a gas, a
aca8#15	e חסר			The plasterers finish the upper floor in June; only after th
aca8#16	e חסר			If the cargo carries no stamp from the customs house, the of
aca8#17	e חסר			Since the same short thumb appears in four generations of th
aca8#18	e חסר			The harbour works swallowed twice the sum the council had se
aca8#19	e חסר			The talks broke off in the autumn and the border stayed clos
aca8#20	e חסר			The bird's song carries half a mile through the wood; even s
aca8#21	e חסר			Because the lake now receives the runoff from every field on
aca8#22	e חסר			A ___ such as chess or bird watching costs the town nothing:
aca8#23	e חסר			If the guard wants a reason to search the cart, the missing 
aca8#24	אי-התאמת מובן · חריץ 1 · חשד נטייה בלבד	יהגו	conceive = להגות	If the two engineers ___ a simpler joint this month, the yar
aca8#24	e חסר			If the two engineers ___ a simpler joint this month, the yar
aca8#25	e חסר			Some plants in the garden are ___ , for instance the wild pe
aca8#26	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	עובר	undergo = לעבור	A young man must first ___, and only then does he ___ the si
aca8#26	e חסר			A young man must first ___, and only then does he ___ the si
aca8#27	e חסר			The witness gave his account twice without changing a word; 
adv#8	אי-התאמת מובן · חשד נטייה בלבד	לשלוף מזיכרונם	recall = להיזכר	The tribe kept no written history; however, its elders could
adv#10	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	נבדלים	differ = להיבדל	Because the two maps came from one survey, their coastlines 
adv2#13	אי-התאמת מובן · חשד נטייה בלבד	אישר	acknowledge = לאשר קבלה	The office never answered the letter itself; however, a cler
adv3#10	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	עולים	rise = לעלות	Because the ice on the high ridge begins to ___ each spring,
adv4#6	אי-התאמת מובן · חשד נטייה בלבד	אורגים	weave = לארוג, לשזור	The dyes are still mixed by hand; moreover, the older worker
adv4#12	אי-התאמת מובן · חריץ 1 · חשד נטייה בלבד	עוטפים	wrap = לעטוף	Because one crate carries the whole order, the packers ___ e
adv6#1	e חסר			Nothing he had claimed in the report was untrue, yet the ton
adv6#2	e חסר			The whole staff meets only once a year; therefore, a small _
adv6#3	e חסר			Although the count had been checked twice by hand, the losin
adv6#4	e חסר			Since the two villages had shared one school for a century b
adv6#5	e חסר			Until the laboratory can ___ which of the two metals carries
adv6#6	e חסר			Because each side had already given up its first demand, the
adv6#7	e חסר			The new pump was built to a different standard, so the old p
adv6#8	e חסר			While the frame and the varnish are both modern copies, the 
adv6#9	e חסר			Because the minutes of every sitting are published in full w
adv6#10	e חסר			Twelve of the twenty members voted against the plan; thus, t
adv6#11	e חסר			The family owned a house and a small field, but the debts sw
adv6#12	e חסר			The tenant had paid every month on time; even so, the owner 
adv6#13	e חסר			The archive holds the only copy of the map; hence, the first
adv6#14	e חסר			A review must ___ what the writer did well and ___ what he d
adv6#15	e חסר			The library lends its ordinary books to anyone; however, the
adv6#16	e חסר			The recipe names every herb by weight; moreover, it fixes th
adv6#17	e חסר			The bank already keeps a guard at each door; in addition, th
adv6#18	e חסר			The new film records a face by candlelight; furthermore, its
adv6#19	e חסר			The new law names every existing trade one by one; what is m
adv6#20	e חסר			Once the instruments stopped giving any reading at all, the 
adv6#21	e חסר			Unless the tenant has lived in the flat for a full year, the
adv6#22	e חסר			If the last two members send their notes today, the clerk ca
adv6#23	e חסר			The customs list names every controlled ___, such as the pop
adv6#24	e חסר			Every clinic follows one written ___ for a new patient, for 
adv6#25	e חסר			The tax falls on every ___ animal, including the goat that t
adv6#26	e חסר			The nurse first cleans the skin above the vein; then she can
adv6#27	e חסר			Since the ink had faded to nothing, the clerk could not ___ 
adv6#28	e חסר			The blade still cuts paper cleanly, though after two winters
adv7#1	e חסר			Although the study had already run for two years and cost fa
adv7#2	e חסר			The engine passed every road test and burned very little fue
adv7#3	e חסר			Since nobody had checked how the two drains met, the flooded
adv7#4	e חסר			Provided nobody washes with it, forty litres in the tank are
adv7#5	e חסר			The dye does not take hold at once: the wool darkens ___ ove
adv7#6	e חסר			Both samples came back clean, yet neither result settles the
adv7#7	e חסר			Because the herd had already lived through the same fever on
adv7#8	e חסר			The station already loses power twice a month; moreover, one
adv7#9	e חסר			The recipe calls for fresh cream, yet in the field the cooks
adv7#10	e חסר			The winner crossed the line four hundredths of a second ahea
adv7#11	e חסר			The airline has already leased two extra aircraft for the su
adv7#12	אי-התאמת מובן · חשד נטייה בלבד	נעלמות	vanish = להיעלם	Once the ink meets the warm plate, the letters ___ within se
adv7#12	e חסר			Once the ink meets the warm plate, the letters ___ within se
adv7#13	e חסר			The team dug for three seasons and found nothing; then a sin
adv7#14	e חסר			Because that first flight proved a heavy machine could leave
adv7#15	e חסר			The report was ready in March, yet the director waited until
adv7#16	e חסר			Because the survey counted only households with a telephone,
adv7#17	אי-התאמת מובן · חשד נטייה בלבד	עזה	fierce = עז	Although the two shops sell almost the same goods at the sam
adv7#17	e חסר			Although the two shops sell almost the same goods at the sam
adv7#18	e חסר			Once every crate is aboard and the tanks are full, the capta
adv7#19	e חסר			The department has already added two modern novels to the sy
adv7#20	e חסר			Two witnesses placed him at the gate and his own diary names
adv7#21	e חסר			The workshop owns no manuals from the period and no photogra
adv7#22	e חסר			The lower layer held only bone and ash; the upper one held e
adv7#23	e חסר			The route crosses difficult ___, such as loose gravel and fr
adv7#24	e חסר			The foreman already signs every delivery note and keeps the 
adv7#25	e חסר			The road along the cliff is narrow and badly lit; moreover, 
adv7#26	e חסר			Because an army can ___ a province in a single season and th
adv7#27	e חסר			Because a model can ___ the flood a week ahead and only a re
adv8#1	e חסר			He repeated the request three times and even raised his voic
adv8#2	e חסר			Wood from the valley costs little and its quality is high, y
adv8#3	אי-התאמת מובן · חשד נטייה בלבד	רומזת	imply = לרמוז	The report names no official and makes no accusation; howeve
adv8#3	e חסר			The report names no official and makes no accusation; howeve
adv8#4	e חסר			Although the wreck had lain under salt water for two centuri
adv8#5	e חסר			Extra lighting in the hall is pleasant and does no harm; the
adv8#6	e חסר			The columnist did not challenge a single figure in the study
adv8#7	e חסר			The museum has shown the mask in its main room for forty yea
adv8#8	e חסר			The calculation itself contains no error; nevertheless it re
adv8#9	e חסר			The two churches were built three centuries apart, and neith
adv8#10	e חסר			The workshop owns two buildings and a large store of copper,
adv8#11	e חסר			Since the glacier loses more ice each summer than it gains e
adv8#12	e חסר			Because the witness said the room had been locked all evenin
adv8#13	e חסר			The two blocks have the same size and the same shape, but on
adv8#14	e חסר			Her two papers settled a question that had stood open for a 
adv8#15	e חסר			Since neither army could hold the pass through another winte
adv8#16	e חסר			His eyes were tested twice and found perfect; the doctors th
adv8#17	e חסר			The valley is closed to visitors from March to June; moreove
adv8#18	e חסר			The station notes the exact hour of every tremor; in additio
adv8#19	e חסר			The library already owns the poet's letters and his three no
adv8#20	e חסר			Draining the marsh lowered the water in every well in the vi
adv8#21	e חסר			The editor now checks every figure against the original tabl
adv8#22	e חסר			The clerk copies each entry by hand, and he must ___ the for
adv8#23	e חסר			Once the judge had set the ___, the accused was free to go h
adv8#24	e חסר			Unless a second patrol car is already close behind them, the
adv8#25	e חסר			If a form is long, it need not be hard: every question on th
adv8#26	e חסר			A painted board in the hall names every ___ of the family, s
adv8#27	e חסר			She turned the letter over, and then a single ___ at the top
base4#1	e חסר			Because every member of the club asked for a different day, 
base4#2	e חסר			Her ticket was ___, but the place it gave her was as good as
base4#3	e חסר			Although the metal box is smaller than the stone next to it,
base4#4	e חסר			The ___ drew the plans for the new hospital, and he also dec
base4#5	e חסר			After the doctor left the room at midnight, a ___ stayed wit
base4#6	e חסר			Because the farm sells nothing but milk, the only animal on 
base4#7	e חסר			The water in front of the village looks as wide as the sea, 
base4#8	e חסר			Because she hoped for a place on the team without doing the 
base4#9	e חסר			The letter left our office on Monday, and until the family i
base4#10	e חסר			Although the letter was ___ in a locked box under the bed, h
base4#11	e חסר			As long as nobody has seen it happen, the idea stays a ___, 
base4#12	e חסר			Because the room has no window, the flowers on the table get
base4#13	e חסר			If the ocean rises only a little in the night, one high ___ 
base4#14	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	קנתה	bought = קנה	The family ___ the old car for very little money, and then t
base4#14	e חסר			The family ___ the old car for very little money, and then t
base4#15	e חסר			None of the lines in the report are wrong and no part of it 
base4#16	e חסר			Because each singer in the group listened to the other three
base4#17	e חסר			Both plans are ready and neither of them is bad, but the tow
base4#18	e חסר			The fire was still far from the building, but when the light
base4#19	e חסר			The soldier carried a sword in his right hand, and he also h
base4#20	e חסר			The two brothers have the same face, and their ___ are also 
base4#21	e חסר			They asked her about the work she had done, and they also as
base4#22	e חסר			The men pulled the boat out of the ocean with their hands, a
base4#23	e חסר			If the water from the river still has sand in it, the villag
base4#24	e חסר			Nothing on the boat is loose: everything, including fruit, g
base4#25	e חסר			Acts such as stealing a car or breaking into a house are a _
base4#26	e חסר			Before the first guests come in, someone must ___ the glasse
base4#27	e חסר			The soup tasted of nothing at all, so the cook put in more _
base4#28	e חסר			The rain came into the bedroom all night, so in the morning 
mid3#6	אי-התאמת מובן · חשד נטייה בלבד	שקעה	sink = לשקוע	Although the small boat was already full of water, it did no
mid5#1	e חסר			Although three families live around the yard, no ___ came fo
mid5#2	e חסר			The coach cannot force any player to change his diet, so the
mid5#3	e חסר			The rangers tracked the wolf for three days, but the plan wa
mid5#4	e חסר			The wet towel brings the fever down within an hour, yet the 
mid5#5	e חסר			A second lamp is ___ in this dark stairway, and the inspecto
mid5#6	e חסר			The lake looks still from the road, yet only its ___ is quie
mid5#7	e חסר			Although the doctor can ___ the illness in a single morning,
mid5#8	e חסר			Because a quiet talk with the same boy had already failed th
mid5#9	e חסר			The workshop cannot silence its presses, so it has done all 
mid5#10	e חסר			The little hall is full every Friday evening; moreover, the 
mid5#11	e חסר			The bridge carries two lanes on the map, yet it is so ___ in
mid5#12	e חסר			The book has sold well in Hebrew for thirty years, yet the p
mid5#13	e חסר			The farm now grows twice as much fruit, so the old shed is u
mid5#14	e חסר			The dam holds the water of the whole valley, so a single ___
mid5#15	e חסר			The first line of the diary is dated 1774 and the last 1889,
mid5#16	e חסר			Because the fish spoils within a few hours, the boats ___ it
mid5#17	e חסר			Unless the buyer brings written ___ that he paid in cash, th
mid5#18	e חסר			Unless the council fences the wall behind the market, the on
mid5#19	e חסר			If the driver lets the ___ run out for even one week, the co
mid5#20	e חסר			Unless the farmer can ___ the seeds before the first rain, h
mid5#21	e חסר			The flat has no lift and the stairs are steep; moreover, a t
mid5#22	e חסר			The wind on the ridge already turns nine mills; moreover, th
mid5#23	e חסר			Everyone in the street calls him by his father's name; in ad
mid5#24	e חסר			The valley is shaken from below several times a year, for in
mid5#25	e חסר			Each of the four players travels with one heavy ___, such as
mid5#26	e חסר			Every village on this coast keeps one old ___, for instance 
mid5#27	e חסר			The two men were followed for a month, and their ___ came on
mid5#28	e חסר			First the old man sold the goat, then the cart, and only in 
mid6#1	e חסר			The frame is bolted to the wall and looks solid, yet the who
mid6#2	e חסר			The clinic answers every letter it receives within a week, y
mid6#3	e חסר			Because the old van failed twice on the mountain road last w
mid6#4	e חסר			Unless the board receives a written report first, the manage
mid6#5	e חסר			Because a single cigarette had started the first fire, the w
mid6#6	e חסר			The clerk copies every number from the passport by hand; in 
mid6#7	e חסר			Because the rain stopped the digging for a whole week, the c
mid6#8	e חסר			If the shop keeps a copy of the receipt on file, it can ___ 
mid6#9	e חסר			Although the tenants asked politely for eight months, only a
mid6#10	e חסר			The old mule is gentle with the children and never kicks, ye
mid6#11	e חסר			The same car passed the gate four times after midnight; more
mid6#12	e חסר			He meant the remark about the soup as a joke, yet his host h
mid6#13	e חסר			The club lost at home in October and again in November; more
mid6#14	e חסר			First the climbers fixed ropes along the lower wall and left
mid6#15	e חסר			Salt is not the only thing that keeps the meat from spoiling
mid6#16	e חסר			Several plants in this valley are ___, for instance the smal
mid6#17	e חסר			Because the machine sends ___ through the whole room while i
mid6#18	e חסר			The town covers the same few streets it covered a century ag
mid6#19	e חסר			Because two customers were served spoiled fish in July, the 
mid6#20	e חסר			The teacher marked her last set of papers in June, and her _
mid6#21	e חסר			The drawings are copied line by line from photographs, so th
mid6#22	e חסר			The new oven is half the size of the old one, yet it is so _
mid6#23	e חסר			Unless a person has lived in the country for five years, he 
mid6#24	e חסר			The bank could not pay its clerks in March; furthermore, two
mid6#25	e חסר			One clerk lets students in free and another charges them, th
mid6#26	e חסר			Because the small lecture hall can ___ no more than ninety p
mid6#27	e חסר			Because rain and salt slowly ___ the iron of the old bridge,
