k	unit	term	gloss	bold	en	he
5f975dfec06a	1	fix	לתקן	יתקן	The mechanic will <b>fix</b> the broken car engine.	המכונאי <b>יתקן</b> את מנוע המכונית השבור.
548a7807c1e1	1	follow	לעקוב, לציית	עקבו	Please <b>follow</b> me to the conference room on the third floor.	בבקשה <b>עקבו</b> אחריי לחדר הישיבות בקומה השלישית.
e5a6c2fc7736	1	friend	חבר	והחבר	My best <b>friend</b> and I have known each other since childhood.	אני <b>והחבר</b> הכי טוב שלי מכירים זה את זה מהילדות.
8d74309e5e95	1	future	עתיד	בעתיד	In the <b>future</b>, cars will probably drive themselves.	<b>בעתיד</b>, מכוניות כנראה יסעו לבד.
25d15bb1fd10	1	General	גנרל (דרגה צבאית); כללי	הגנרל	The <b>general</b> met with his officers to plan the training exercise.	<b>הגנרל</b> נפגש עם הקצינים שלו כדי לתכנן את תרגיל האימונים.
18b4ec4c6d0e	1	glass	כוס; זכוכית	לכוס	He poured juice into a clean <b>glass</b> for breakfast.	הוא מזג מיץ <b>לכוס</b> נקייה לארוחת הבוקר.
e81215853608	1	government	ממשל	הממשל	The <b>government</b> passes laws that citizens must follow.	<b>הממשל</b> מעביר חוקים שהאזרחים חייבים לציית להם.
72e7c597ac4e	1	ground	בסיס, אדמה	האדמה	The children played games on the <b>ground</b> in the park.	הילדים שיחקו משחקים על <b>האדמה</b> בפארק.
a40cc32d5674	1	grow up	להתבגר, לגדול	יגדל	When he <b>grows up</b>, he wants to become a teacher.	כשהוא <b>יגדל</b>, הוא רוצה להיות מורה.
815f2d422f44	1	hand	יד; למסור	היד	He held her <b>hand</b> as they walked down the street.	הוא החזיק את <b>היד</b> שלה בזמן שהם הלכו ברחוב.
6cda7603993c	1	health	בריאות	לבריאות	Eating well and exercising are important for good <b>health</b>.	אכילה נכונה ופעילות גופנית חשובות <b>לבריאות</b> טובה.
2c6a3ec194fb	1	heart	לב	מהלב	Love comes from the <b>heart</b> and cannot be forced.	אהבה באה <b>מהלב</b> ואי אפשר לכפות אותה.
40882f91d8c2	1	heavy	כבד	כבדה	The suitcase was so <b>heavy</b> that I needed help moving it.	המזוודה הייתה <b>כבדה</b> כל כך שנזקקתי לעזרה כדי להזיז אותה.
04b95bc95caf	1	here	כאן	לכאן	Please come <b>here</b> and sit next to me for a moment.	בבקשה בוא <b>לכאן</b> ותשב לידי לרגע.
1f540c85cbd8	1	hope	תקווה, לקוות	מקווה	I <b>hope</b> that we win the championship this year.	אני <b>מקווה</b> שננצח באליפות השנה.
00b3e7a3cb01	1	horse	סוס	הסוס	She rode her <b>horse</b> across the wide meadow toward the distant forest.	היא רכבה על <b>הסוס</b> שלה על פני האחו הרחב לכיוון היער המרוחק.
b3b7622058a1	1	hospital	בית חולים	בבית החולים	She spent three days at the <b>hospital</b> after the accident.	היא בילתה שלושה ימים <b>בבית החולים</b> אחרי התאונה.
a5ebdbe50aa4	1	hot	חם; חריף	חמים	Be careful because the water is very <b>hot</b> right now.	תיזהר כי המים <b>חמים</b> מאוד עכשיו.
a329d1411d80	1	human	אנושי	אנושיים	<b>Human</b> emotions are complex and often difficult to understand.	רגשות <b>אנושיים</b> הם מורכבים ולעיתים קרובות קשה להבין אותם.
2fd3f616de65	1	human being	בן-אדם, אנוש	בן אדם	Every <b>human being</b> deserves respect and kindness from others.	כל <b>בן אדם</b> ראוי לכבוד ולטוב לב מאחרים.
eda9da331a4a	1	husband	בעל	הבעל	Her <b>husband</b> surprised her with flowers on their anniversary.	<b>הבעל</b> שלה הפתיע אותה בפרחים ביום השנה שלהם.
f620fa59c914	1	important	חשוב	חשובה	Sleep is <b>important</b> because it helps your body recover.	שינה <b>חשובה</b> כי היא עוזרת לגוף שלך להתאושש.
769fb4fd0e35	1	inside	בתוך, פנים	לתוך	We walked <b>inside</b> the museum and saw ancient sculptures.	הלכנו <b>לתוך</b> המוזיאון וראינו פסלים עתיקים.
0f1a284e9844	1	into	אל תוך	לתוך	He poured water <b>into</b> the glass until it was full.	הוא שפך מים <b>לתוך</b> הכוס עד שהיא התמלאה.
51c9db1551d5	1	island	אי	באי	We spent vacation on a small <b>island</b> in the Mediterranean.	בילינו את החופשה <b>באי</b> קטן בים התיכון.
1a3a4a7ec684	1	joke	בדיחה	הבדיחה	His funny <b>joke</b> made everyone at the party laugh.	<b>הבדיחה</b> המצחיקה שלו גרמה לכולם במסיבה לצחוק.
6e6271ddc14e	1	jump	לקפוץ	קפץ	The dog <b>jumped</b> over the fence toward the park.	הכלב <b>קפץ</b> מעל הגדר לכיוון הפארק.
3dc33d2dc5db	1	king	מלך	המלך	The <b>king</b> ruled the country for fifty years.	<b>המלך</b> שלט במדינה במשך חמישים שנה.
83bd272937d1	1	know, knew	לדעת, להכיר; ידע	הכרתי	I <b>knew</b> her from college but we lost touch years ago.	<b>הכרתי</b> אותה מהקולג' אבל איבדנו קשר לפני שנים.
e8eb01d0bc02	1	large	גדול	גדולה	This apartment is <b>large</b> enough for our growing family.	הדירה הזאת <b>גדולה</b> מספיק למשפחה הגדלה שלנו.
d92ee78639f7	1	laugh	לצחוק	צחק	The comedy show was so funny the audience <b>laughed</b> loudly.	מופע הקומדיה היה כל כך מצחיק שהקהל <b>צחק</b> בקול רם.
fa967b2c9641	1	law	חוק	החוק	The new <b>law</b> requires people to recycle plastic bottles.	<b>החוק</b> החדש מחייב אנשים למחזר בקבוקי פלסטיק.
c563e5a829bb	1	light	אור; קל	האור	She turned on the <b>light</b> so she could read her book.	היא הדליקה את <b>האור</b> כדי שתוכל לקרוא את הספר שלה.
719143676b5a	1	link	קישור, לקשר, חוליה	הקישור	Click the <b>link</b> to visit the website about living healthy.	לחץ על <b>הקישור</b> כדי לבקר באתר על חיים בריאים.
e4e95dbc0baa	1	list	רשימה, להכין רשימה	רשימת	I made a <b>list</b> of groceries before going to the store.	הכנתי <b>רשימת</b> קניות לפני שהלכתי לחנות.
ebebf1bf7769	1	listen	להקשיב	הקשיבו	Please <b>listen</b> carefully to the instructions before the game begins.	אנא <b>הקשיבו</b> היטב להוראות לפני שהמשחק מתחיל.
8d6d437bc961	1	machine	מכונה	מכונת	This washing <b>machine</b> cleans clothes better than my old one.	<b>מכונת</b> הכביסה הזאת מנקה בגדים טוב יותר מהישנה שלי.
7c532fedf7e5	1	made	עשה, הכין	הכינה	She <b>made</b> a cake from scratch using butter and eggs.	היא <b>הכינה</b> עוגה מאפס באמצעות חמאה וביצים.
00471dc34ef2	1	make sure	להבטיח, לוודא	תוודא	<b>Make sure</b> you lock the door before you leave tonight.	<b>תוודא</b> שאתה נועל את הדלת לפני שאתה יוצא הערב.
83cfec6b496e	1	media	מדיה, תקשורת	התקשורת	The <b>media</b> reported the earthquake story on the evening news.	<b>התקשורת</b> דיווחה על סיפור רעידת האדמה בחדשות הערב.
de789a8af615	1	meeting	פגישה	הפגישה	The <b>meeting</b> lasted two hours and was very productive.	<b>הפגישה</b> נמשכה שעתיים והייתה מאוד פרודוקטיבית.
7cf23e1a1f57	1	memory	זיכרון, לזכר	זיכרונות	That song brings back happy <b>memories</b> of my childhood years.	השיר הזה מחזיר <b>זיכרונות</b> שמחים משנות הילדות שלי.
cfcde8a02611	1	middle	אמצע	באמצע	She sat in the <b>middle</b> of the room where everyone could see her.	היא ישבה <b>באמצע</b> החדר, כך שכולם יכלו לראות אותה.
262cd95a31e9	1	mix	לערבב, ערבוב	ערבב	<b>Mix</b> the eggs and sugar together until they become pale.	<b>ערבב</b> את הביצים והסוכר יחד עד שהם יהפכו לבהירים.
277a33be054c	1	monster	מפלצת	המפלצת	The <b>monster</b> in the movie scared the children in the theater.	<b>המפלצת</b> בסרט הפחידה את הילדים בקולנוע.
fda0f0b138a2	1	mountain	הר	ההר	The <b>mountain</b> peak was covered in snow during winter.	פסגת <b>ההר</b> הייתה מכוסה בשלג בחורף.
5e52540c6ac3	1	mouth	פה	הפה	She opened her <b>mouth</b> to speak but then stayed quiet.	היא פתחה את <b>הפה</b> כדי לדבר אבל אז נשארה בשקט.
9c88297ae85e	1	move	לזוז, לעבור	זז	The cat <b>moved</b> quietly across the room without making a sound.	החתול <b>זז</b> בשקט לרוחב החדר בלי להשמיע קול.
ad6f1c315807	1	North	צפון	צפונה	The train headed <b>north</b> toward the mountains in the early morning.	הרכבת נסעה <b>צפונה</b> לכיוון ההרים בשעות הבוקר המוקדמות.
f6387a4324dc	1	nose	אף, חרטום	האף	He broke his <b>nose</b> playing basketball last week.	הוא שבר את <b>האף</b> שלו כשהוא שיחק כדורסל בשבוע שעבר.
e9d5a1862578	1	ocean	אוקיינוס	האוקיינוס	The <b>ocean</b> waves were beautiful when we visited the beach.	גלי <b>האוקיינוס</b> היו יפים כשביקרנו בחוף.
5bd4a16f4b0e	1	offer	הצעה, להציע	הציעה	The company <b>offered</b> him a job but he declined politely.	החברה <b>הציעה</b> לו עבודה אבל הוא סירב בנימוס.
23f663d01f0b	1	open	לפתוח, פתוח	פתחה	She <b>opened</b> the door and welcomed us inside warmly.	היא <b>פתחה</b> את הדלת וקיבלה אותנו בברכה חמה פנימה.
446a5572737d	1	organic	אורגני	אורגניים	<b>Organic</b> vegetables are grown without pesticides or chemicals.	ירקות <b>אורגניים</b> גדלים בלי חומרי הדברה או כימיקלים.
dfe6e215d0bc	1	part	חלק	בחלק	This <b>part</b> of the city has many restaurants and shops.	<b>בחלק</b> הזה של העיר יש הרבה מסעדות וחנויות.
850ab81f15cd	1	past	עבר, שעבר	עברה	She walked <b>past</b> my house on her way to school.	היא <b>עברה</b> על פני הבית שלי בדרכה לבית הספר.
7709d2fe351c	1	pay	לשלם	משלם	I always <b>pay</b> my bills on time before the deadline.	אני תמיד <b>משלם</b> את החשבונות שלי בזמן לפני המועד האחרון.
b3f14e060ba0	1	peace	שלום	השלום	The <b>peace</b> treaty ended the war between the two nations.	הסכם <b>השלום</b> סיים את המלחמה בין שתי המדינות.
2d1151cc21c1	1	person	אדם	האדם	The tall <b>person</b> wearing a red jacket helped me find the subway station.	<b>האדם</b> הגבוה שלבש ז'קט אדום עזר לי למצוא את תחנת הרכבת התחתית.
eb51200db3d2	1	personal	אישי	האישיות	She spoke about her <b>personal</b> experiences during her first year of college.	היא דיברה על החוויות <b>האישיות</b> שלה בשנה הראשונה בקולג'.
db1601af5ebd	1	place	מקום, למקם	המקום	The quiet corner near the window is my favorite <b>place</b> to read and think.	הפינה השקטה ליד החלון היא <b>המקום</b> האהוב עליי לקרוא ולחשוב.
b78543ffbf09	1	plan	תכנית; לתכנן	מתכננים	We <b>plan</b> to drive across the country and camp at national parks for six weeks.	אנחנו <b>מתכננים</b> לנסוע ברחבי הארץ ולהקים מחנה בפארקים לאומיים במשך שישה שבועות.
d7453a44a9f4	1	plane	מטוס; מישור	המטוס	The <b>plane</b> flew across the ocean to reach London safely.	<b>המטוס</b> טס מעל האוקיינוס כדי להגיע ללונדון בשלום.
af6cc3660d27	1	play	משחק, לשחק; מחזה	משחקים	Children <b>play</b> games in the park every afternoon after school.	ילדים <b>משחקים</b> בפארק כל אחר צהריים אחרי בית הספר.
5f62d2701373	1	pool	בריכה	בבריכה	We swam in the <b>pool</b> on this hot summer day.	שחינו <b>בבריכה</b> ביום הקיץ החם הזה.
475c832b8c30	1	poor	עני, מסכן	העניה	The <b>poor</b> family could not afford food, rent, or medical care.	המשפחה <b>העניה</b> לא יכלה להרשות לעצמה אוכל, שכר דירה או טיפול רפואי.
8713df65c353	1	possible	אפשרי	אפשר	It is <b>possible</b> to learn a language if you study consistently for several months.	<b>אפשר</b> ללמוד שפה אם לומדים באופן עקבי במשך כמה חודשים.
0e677bb79f42	1	potato	תפוח אדמה	תפוח האדמה	She peeled the <b>potato</b> and boiled it until soft for mashing.	היא קילפה את <b>תפוח האדמה</b> ובישלה אותו עד שהתרכך למחית.
43cf7856c231	1	president	נשיא	הנשיא	The <b>president</b> gave a speech on national television tonight.	<b>הנשיא</b> נשא נאום בטלוויזיה הארצית הערב.
1e8ebdb1b8c4	1	printer	מדפסת, דפס	המדפסת	The <b>printer</b> ran out of ink and needs a replacement.	<b>המדפסת</b> נגמר לה הדיו והיא זקוקה להחלפה.
ef25246cd82c	1	private	פרטי	הפרטיות	She kept her <b>private</b> thoughts in a locked diary that nobody else could read.	היא שמרה את המחשבות <b>הפרטיות</b> שלה ביומן נעול שאף אחד אחר לא יכול היה לקרוא.
4ef37df5d79a	1	problem	בעיה	הבעיה	The main <b>problem</b> is that we don't have enough time.	<b>הבעיה</b> העיקרית היא שאין לנו מספיק זמן.
dba3a096fc06	1	protect	להגן	מגנים	Parents <b>protect</b> their children by teaching them to look both ways before crossing streets.	הורים <b>מגנים</b> על הילדים שלהם על ידי כך שהם מלמדים אותם להסתכל לשני הצדדים לפני חציית כבישים.
05e076d9ce82	1	queen	מלכה	המלכה	The <b>queen</b> wore a crown and beautiful jewels at the ceremony.	<b>המלכה</b> ענדה כתר ותכשיטים יפים בטקס.
76ef147cbc97	1	quick	זריז	זריזה	He gave a <b>quick</b> reply to each question, answering in just one or two words.	הוא נתן תשובה <b>זריזה</b> לכל שאלה, וענה במילה או שתיים בלבד.
1828320a1ef0	1	quiet	שקט	השקטה	The <b>quiet</b> classroom allowed students to concentrate without any distraction whatsoever.	הכיתה <b>השקטה</b> אפשרה לתלמידים להתרכז בלי שום הסחת דעת.
9dd9588ae325	1	rain	גשם	הגשם	The <b>rain</b> fell all morning and stopped in the afternoon.	<b>הגשם</b> ירד כל הבוקר ופסק אחר הצהריים.
ac17200f8575	1	reason	סיבה; הגיון	הסיבה	The main <b>reason</b> she quit her job was that her boss never respected her ideas.	<b>הסיבה</b> העיקרית שהיא עזבה את העבודה הייתה שהבוס שלה מעולם לא כיבד את הרעיונות שלה.
569fd777f32c	1	relationship	קשר, מערכת יחסים	מערכת היחסים	Their <b>relationship</b> grew stronger after they spent more time talking and listening to each other.	<b>מערכת היחסים</b> שלהם התחזקה אחרי שהם בילו יותר זמן בשיחה והקשבה זה לזה.
547b19e8a276	1	relax	להירגע	נרגע	I <b>relax</b> by turning off my phone and lying in the garden with a book.	אני <b>נרגע</b> על ידי כיבוי הטלפון שלי ושכיבה בגינה עם ספר.
19d4f2c49c9e	1	respect	כבוד, לכבד	מכבדת	The team <b>respects</b> their coach because he admits his mistakes and learns from them.	הקבוצה <b>מכבדת</b> את המאמן שלה כי הוא מודה בטעויות שלו ולומד מהן.
b88ce0d98eea	1	restaurant	מסעדה	המסעדה	That <b>restaurant</b> serves the best Italian food in our town.	<b>המסעדה</b> הזאת מגישה את האוכל האיטלקי הכי טוב בעיר שלנו.
d94fc8c6dd63	1	rice	אורז	האורז	She rinsed the <b>rice</b> in cold water before cooking it in the pot.	היא שטפה את <b>האורז</b> במים קרים לפני שבישלה אותו בסיר.
25b079a9c8bd	1	rich	עשיר	העשיר	The <b>rich</b> businessman donated half his fortune to build schools for poor children.	איש העסקים <b>העשיר</b> תרם חצי מהונו לבניית בתי ספר לילדים עניים.
dde7c0e800fb	1	ride	רכיבה, לרכוב; נסיעה	רוכב	I <b>ride</b> my bicycle to work every day during summer.	אני <b>רוכב</b> על האופניים שלי לעבודה כל יום בקיץ.
31bf8b0350b7	1	ring	טבעת; זירה; לצלצל	הטבעת	She twisted the silver <b>ring</b> around her finger while she waited nervously.	היא סובבה את <b>הטבעת</b> הכסופה סביב האצבע שלה בזמן שחיכתה בעצבנות.
616a984105b5	1	road	דרך	הדרך	The mountain <b>road</b> curved so sharply that driving it made my hands shake.	<b>הדרך</b> ההררית התפתלה בחדות כזאת שהנהיגה בה גרמה לידיים שלי לרעוד.
41abdffa907d	1	run, ran	לרוץ, רץ; לנהל	רצתי	Yesterday I <b>ran</b> five miles in the park near home.	אתמול <b>רצתי</b> חמישה מיילים בפארק ליד הבית.
cb0a44c8057c	1	safe	בטוח; כספת	הבטוח	The <b>safe</b> harbor protected ships from dangerous storms and strong waves.	הנמל <b>הבטוח</b> הגן על הספינות מפני סערות מסוכנות וגלים חזקים.
233aaddc1944	1	save	להציל; לחסוך, לחסוך מ-; לשמור	הציל	The lifeguard <b>saved</b> the swimmer who had been pulled under by the current.	המציל <b>הציל</b> את השחיין שנסחף מתחת למים על ידי הזרם.
43dadd75d345	1	saw, see	ראה, לראות	ראיתי	I <b>saw</b> a beautiful rainbow after the storm ended yesterday afternoon.	<b>ראיתי</b> קשת יפה אחרי שהסערה הסתיימה אתמול אחר הצהריים.
299bbe1d7102	1	scene	סצנה; זירה	הסצנה	The final <b>scene</b> of the movie showed the two friends saying goodbye at the airport.	<b>הסצנה</b> האחרונה בסרט הראתה את שני החברים נפרדים בשדה התעופה.
a052bec75756	1	school	בית-ספר	לבית הספר	My daughter goes to <b>school</b> at eight o'clock every morning.	הבת שלי הולכת <b>לבית הספר</b> בשעה שמונה כל בוקר.
48c7fe5be9ce	1	search	חיפוש, לחפש	יחפש	The team will <b>search</b> the building for the missing keys before the meeting starts.	הצוות <b>יחפש</b> בבניין את המפתחות החסרים לפני שהפגישה מתחילה.
068bab4f2bd8	1	sell	למכור	מוכרים	They <b>sell</b> their handmade goods only at the local market on weekends.	הם <b>מוכרים</b> את המוצרים בעבודת יד שלהם רק בשוק המקומי בסופי שבוע.
beba428d48df	1	send	לשלוח	שלח	<b>Send</b> the package using express mail so it arrives within two days.	<b>שלח</b> את החבילה בדואר מהיר כדי שהיא תגיע תוך יומיים.
ef1085f3a7e3	1	shop	חנות; לקנות	בחנות	I bought groceries at the crowded <b>shop</b>, which closed at nine in the evening.	קניתי מצרכים <b>בחנות</b> ההומה, שנסגרה בתשע בערב.
0be25d560868	1	short	קצר; נמוך	הקצר	The <b>short</b> film told a complete story in just five minutes.	הסרט <b>הקצר</b> סיפר סיפור שלם בתוך חמש דקות בלבד.
94c9b2fabdd5	1	show	הופעה; להראות	מופע	The magic <b>show</b> amazed children by making objects disappear right before their eyes.	<b>מופע</b> הקסמים הדהים את הילדים כשגרם לחפצים להיעלם ממש לנגד עיניהם.
020949c5f184	1	side	צד, לצודד, לתמוך	הצד	The sunny <b>side</b> of the street is much warmer than the shaded side.	<b>הצד</b> השמשי של הרחוב הרבה יותר חם מהצד המוצל.
