# spring_2025 · fmt=A · analogy=107 · completion=167
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
נהג	נהג	analogy	2	2	מסיח 3	miss	
נוסע	נוסע	analogy	2	2	מסיח 3	miss	
מחזאי	מחזאי	analogy	2	2	מסיח 4	miss	
צופה	צופה	analogy	2	2	מסיח 4	miss	
הסכמה	הסכמה	analogy	2	3	רגל	close	סכמ
חלוקים	חלוקים	analogy	2	3	רגל	close	חלק
שוני	שוני	analogy	2	3	מסיח 1	miss	
זהים	זהים	analogy	2	3	מסיח 1	miss	
אחריות	אחריות	analogy	2	3	מסיח 2	close	אחר
ערבים	ערבים	analogy	2	3	מסיח 2	full	ערב
מפגש	מפגש	analogy	2	3	מסיח 3	miss	
מצטלבים	מצטלבים	analogy	2	3	מסיח 3	miss	
חפות	חפות	analogy	2	3	מסיח 4	full	חפות
מורשעים	מורשעים	analogy	2	3	מסיח 4	close	רשע
חימם	חימם	analogy	2	4	רגל	full	חמום
לוהט	לוהט	analogy	2	4	רגל	full	להוט
הפחיד	הפחיד	analogy	2	4	מסיח 1	close	הפח
מפחיד	מפחיד	analogy	2	4	מסיח 1	close	מפח
אכל	אכל	analogy	2	4	מסיח 2	close	אכל
עייף	עייף	analogy	2	4	מסיח 3	miss	
מותש	מותש	analogy	2	4	מסיח 3	miss	
ניפץ	ניפץ	analogy	2	4	מסיח 4	full	ניפץ
מנופץ	מנופץ	analogy	2	4	מסיח 4	close	נפצ
להלשין	להלשין	analogy	2	5	רגל	miss	
להתוודות	להתוודות	analogy	2	5	רגל	miss	
לבייש	לבייש	analogy	2	5	מסיח 1	full	בוש
להתבייש	להתבייש	analogy	2	5	מסיח 1	miss	
לשבח	לשבח	analogy	2	5	מסיח 2	miss	
להתפאר	להתפאר	analogy	2	5	מסיח 2	close	פאר
לסכסך	לסכסך	analogy	2	5	מסיח 3	miss	
להתווכח	להתווכח	analogy	2	5	מסיח 3	miss	
להעניק	להעניק	analogy	2	5	מסיח 4	close	ענק
קת	קת	analogy	2	6	רגל	full	קת
לחטוב	לחטוב	analogy	2	6	רגל	full	חוטב
תנוך	תנוך	analogy	2	6	מסיח 1	full	תנוך
לשמוע	לשמוע	analogy	2	6	מסיח 1	miss	
גת	גת	analogy	2	6	מסיח 2	miss	
לדרוך	לדרוך	analogy	2	6	מסיח 2	full	דרוך
מיתר	מיתר	analogy	2	6	מסיח 3	miss	
לפרוט	לפרוט	analogy	2	6	מסיח 3	miss	
לחפור	לחפור	analogy	2	6	מסיח 4	close	חפר
קוראים	קוראים	completion	1	10	אפשרות 1	close	ראמ
לציבור	לציבור	completion	1	10	אפשרות 1	miss	
לשתות	לשתות	completion	1	10	אפשרות 1	full	שותת
מיץ	מיץ	completion	1	10	אפשרות 1	full	מוץ
לבונה"	לבונה"	completion	1	10	אפשרות 1	close	לבנ
ברקת"	ברקת"	completion	1	10	אפשרות 1	miss	
הודגשה	הודגשה	completion	1	10	אפשרות 1	miss	
הוויטמינים	הוויטמינים	completion	1	10	אפשרות 1	close	טמנ
עדיף	עדיף	completion	1	10	אפשרות 1	miss	
מתחרהו	מתחרהו	completion	1	10	אפשרות 1	close	חרה
משנית	משנית	completion	1	10	אפשרות 1	close	שנת
בחשיבותה	בחשיבותה	completion	1	10	אפשרות 1	close	בחש
ממליצים	ממליצים	completion	1	10	אפשרות 2	close	מלצ
משני	משני	completion	1	10	אפשרות 2	miss	
המשקאות	המשקאות	completion	1	10	אפשרות 2	miss	
הודגש	הודגש	completion	1	10	אפשרות 2	miss	
הריכוז	הריכוז	completion	1	10	אפשרות 2	miss	
רכיבי	רכיבי	completion	1	10	אפשרות 2	close	רכב
הפרי	הפרי	completion	1	10	אפשרות 2	close	פרי
המיצים	המיצים	completion	1	10	אפשרות 2	full	מוץ
תורם	תורם	completion	1	10	אפשרות 2	miss	
לבריאות	לבריאות	completion	1	10	אפשרות 2	miss	
חשובה	חשובה	completion	1	10	אפשרות 2	close	שבה
מגלים	מגלים	completion	1	10	אפשרות 4	full	מגל
העדפה	העדפה	completion	1	10	אפשרות 4	miss	
ברורה	ברורה	completion	1	10	אפשרות 4	miss	
לאף	לאף	completion	1	10	אפשרות 4	miss	
מבשנה	מבשנה	completion	1	10	אפשרות 4	close	בשנ
שקדמה	שקדמה	completion	1	10	אפשרות 4	close	שקד
והעלות	והעלות	completion	1	10	אפשרות 4	full	עול
לצמצם	לצמצם	completion	1	11	אפשרות 1	miss	
הוצאותיהם	הוצאותיהם	completion	1	11	אפשרות 1	miss	
נמנעו	נמנעו	completion	1	11	אפשרות 1	miss	
האפשר	האפשר	completion	1	11	אפשרות 1	close	פשר
מלהגיע	מלהגיע	completion	1	11	אפשרות 1	close	להג
נדרשו	נדרשו	completion	1	11	אפשרות 1	miss	
ליותר	ליותר	completion	1	11	אפשרות 1	close	יתר
טיפולים	טיפולים	completion	1	11	אפשרות 1	full	טפל
יקרים	יקרים	completion	1	11	אפשרות 1	close	יקר
סובלים	סובלים	completion	1	11	אפשרות 1	full	סביל
להימנע	להימנע	completion	1	11	אפשרות 2	miss	
מהוצאות	מהוצאות	completion	1	11	אפשרות 2	miss	
שאינן	שאינן	completion	1	11	אפשרות 2	full	שאנן
הכרחיות	הכרחיות	completion	1	11	אפשרות 2	close	כרח
טיפלו	טיפלו	completion	1	11	אפשרות 2	close	טפל
במה	במה	completion	1	11	אפשרות 2	miss	
שסבל	שסבל	completion	1	11	אפשרות 2	close	סבל
לתקן	לתקן	completion	1	11	אפשרות 3	miss	
מכוניותיהם	מכוניותיהם	completion	1	11	אפשרות 3	miss	
הישנות	הישנות	completion	1	11	אפשרות 3	close	שנת
לקנות	לקנות	completion	1	11	אפשרות 3	miss	
חדשות	חדשות	completion	1	11	אפשרות 3	miss	
פנו	פנו	completion	1	11	אפשרות 3	miss	
פעמים	פעמים	completion	1	11	אפשרות 3	close	עממ
ורק	ורק	completion	1	11	אפשרות 3	miss	
סובל	סובל	completion	1	11	אפשרות 3	full	סביל
ביקרו	ביקרו	completion	1	11	אפשרות 4	miss	
קרובות	קרובות	completion	1	11	אפשרות 4	miss	
ביקשו	ביקשו	completion	1	11	אפשרות 4	close	בקש
לחסוך	לחסוך	completion	1	11	אפשרות 4	miss	
בהוצאות	בהוצאות	completion	1	11	אפשרות 4	miss	
ולטפל	ולטפל	completion	1	11	אפשרות 4	full	טפל
בשום	בשום	completion	1	12	אפשרות 1	close	בשמ
עונש	עונש	completion	1	12	אפשרות 1	miss	
חמור	חמור	completion	1	12	אפשרות 1	miss	
שיהיה	שיהיה	completion	1	12	אפשרות 1	full	שהה
להרתיע	להרתיע	completion	1	12	אפשרות 1	full	הרתיע
פושעים	פושעים	completion	1	12	אפשרות 1	miss	
פוטנציאליים	פוטנציאליים	completion	1	12	אפשרות 1	close	אלמ
ניתן	ניתן	completion	1	12	אפשרות 1	close	נתנ
פומבי	פומבי	completion	1	12	אפשרות 1	miss	
מתבקש	מתבקש	completion	1	12	אפשרות 2	close	בקש
לחשוב	לחשוב	completion	1	12	אפשרות 2	miss	
שככל	שככל	completion	1	12	אפשרות 2	close	שככ
שהעונש	שהעונש	completion	1	12	אפשרות 2	miss	
ואנשים	ואנשים	completion	1	12	אפשרות 2	full	אנוש
נחשפים	נחשפים	completion	1	12	אפשרות 2	miss	
אליו	אליו	completion	1	12	אפשרות 2	miss	
הסיכוי	הסיכוי	completion	1	12	אפשרות 2	miss	
שישיג	שישיג	completion	1	12	אפשרות 2	miss	
מטרה	מטרה	completion	1	12	אפשרות 2	miss	
גדל	גדל	completion	1	12	אפשרות 2	full	גדיל
היגיון	היגיון	completion	1	12	אפשרות 2	full	יגון
תמיד	תמיד	completion	1	12	אפשרות 2	miss	
עומד	עומד	completion	1	12	אפשרות 2	close	עמד
במבחן	במבחן	completion	1	12	אפשרות 2	miss	
המעשה	המעשה	completion	1	12	אפשרות 2	full	מעושה
בעבר	בעבר	completion	1	12	אפשרות 3	close	עבר
נחשב	נחשב	completion	1	12	אפשרות 3	miss	
העונש	העונש	completion	1	12	אפשרות 3	miss	
לנקמה	לנקמה	completion	1	12	אפשרות 3	miss	
הכרחית	הכרחית	completion	1	12	אפשרות 3	close	כרח
באדם	באדם	completion	1	12	אפשרות 3	close	אדמ
שפשע	שפשע	completion	1	12	אפשרות 3	miss	
וההרתעה	וההרתעה	completion	1	12	אפשרות 3	close	רתע
תוצר	תוצר	completion	1	12	אפשרות 3	miss	
לוואי	לוואי	completion	1	12	אפשרות 3	miss	
הנו	הנו	completion	1	12	אפשרות 3	miss	
הג	הג	completion	1	12	אפשרות 3	miss	
להעניש	להעניש	completion	1	12	אפשרות 3	miss	
בפומבי	בפומבי	completion	1	12	אפשרות 3	full	בפומבי
מתברר	מתברר	completion	1	12	אפשרות 4	miss	
שדווקא	שדווקא	completion	1	12	אפשרות 4	miss	
כשהעונש	כשהעונש	completion	1	12	אפשרות 4	miss	
מדי	מדי	completion	1	12	אפשרות 4	miss	
לעורר	לעורר	completion	1	12	אפשרות 4	close	ערר
אהדה	אהדה	completion	1	12	אפשרות 4	full	אהדה
הפושע	הפושע	completion	1	12	אפשרות 4	miss	
שותפה	שותפה	completion	2	14	אפשרות 1	miss	
המסוכן	המסוכן	completion	2	14	אפשרות 1	close	מסכ
סבורה	סבורה	completion	2	14	אפשרות 1	close	סבר
שחשובה	שחשובה	completion	2	14	אפשרות 1	close	שבה
מסוכן	מסוכן	completion	2	14	אפשרות 2	close	מסכ
מתנגדת	מתנגדת	completion	2	14	אפשרות 3	close	מתנ
לולא	לולא	completion	2	15	אפשרות 1	full	לולא
משקרת	משקרת	completion	2	15	אפשרות 1	close	קרת
מחפש	מחפש	completion	2	15	אפשרות 1	miss	
שוב	שוב	completion	2	15	אפשרות 1	miss	
בארון	בארון	completion	2	15	אפשרות 1	close	באר
הסוכריות	הסוכריות	completion	2	15	אפשרות 1	close	סכר
שאחותו	שאחותו	completion	2	15	אפשרות 1	close	אחת
אכלה	אכלה	completion	2	15	אפשרות 1	close	אכל
דוברת	דוברת	completion	2	15	אפשרות 2	close	דבר
אמת	אמת	completion	2	15	אפשרות 2	close	אמת
טורח	טורח	completion	2	15	אפשרות 2	full	טרח
לחפש	לחפש	completion	2	15	אפשרות 2	miss	
שנית	שנית	completion	2	15	אפשרות 2	close	שנת
והיה	והיה	completion	2	15	אפשרות 2	miss	
מבין	מבין	completion	2	15	אפשרות 2	miss	
שעליו	שעליו	completion	2	15	אפשרות 2	close	שעל
סוכריות	סוכריות	completion	2	15	אפשרות 2	close	סכר
ובודק	ובודק	completion	2	15	אפשרות 3	close	בדק
שמא	שמא	completion	2	15	אפשרות 3	miss	
עדיין	עדיין	completion	2	15	אפשרות 3	close	עדנ
המחצית	המחצית	completion	2	15	אפשרות 4	close	מחצ
שנותרה	שנותרה	completion	2	15	אפשרות 4	close	נתר
תרופות	תרופות	completion	2	16	אפשרות 1	close	תרפ
למחלת	למחלת	completion	2	16	אפשרות 1	close	מחל
הפרקינסון	הפרקינסון	completion	2	16	אפשרות 1	close	פרק
מבוססות	מבוססות	completion	2	16	אפשרות 1	close	בסס
הפחתת	הפחתת	completion	2	16	אפשרות 1	close	חתת
ייצור	ייצור	completion	2	16	אפשרות 1	miss	
האצטילכולין	האצטילכולין	completion	2	16	אפשרות 1	close	לכל
לפרקינסון	לפרקינסון	completion	2	16	אפשרות 2	close	פרק
לרוב	לרוב	completion	2	16	אפשרות 2	miss	
מרפאות	מרפאות	completion	2	16	אפשרות 2	close	רפא
המחלה	המחלה	completion	2	16	אפשרות 2	close	מחל
ממש	ממש	completion	2	16	אפשרות 2	miss	
מאיטות	מאיטות	completion	2	16	אפשרות 2	miss	
קצב	קצב	completion	2	16	אפשרות 2	miss	
התקדמותה	התקדמותה	completion	2	16	אפשרות 2	miss	
מנסים	מנסים	completion	2	16	אפשרות 3	miss	
לייצר	לייצר	completion	2	16	אפשרות 3	miss	
חלופה	חלופה	completion	2	16	אפשרות 3	close	חלפ
מלאכותית	מלאכותית	completion	2	16	אפשרות 3	close	מלא
לדופמין	לדופמין	completion	2	16	אפשרות 3	miss	
שתוכל	שתוכל	completion	2	16	אפשרות 3	miss	
לעבור	לעבור	completion	2	16	אפשרות 3	close	עבר
למוח	למוח	completion	2	16	אפשרות 3	miss	
ולחדש	ולחדש	completion	2	16	אפשרות 3	miss	
האיזון	האיזון	completion	2	16	אפשרות 3	miss	
בינו	בינו	completion	2	16	אפשרות 3	miss	
ובין	ובין	completion	2	16	אפשרות 3	miss	
עמלים	עמלים	completion	2	16	אפשרות 4	full	עמל
שתמריץ	שתמריץ	completion	2	16	אפשרות 4	close	תמר
הדופמין	הדופמין	completion	2	16	אפשרות 4	close	הדפ
במוח	במוח	completion	2	16	אפשרות 4	miss	
