# summer_2021 · fmt=A · analogy=115 · completion=124
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
וזאת	וזאת	completion	1	10	אפשרות 4	close	זאת
שיתוף	שיתוף	completion	1	11	אפשרות 1	miss	
פעולה	פעולה	completion	1	11	אפשרות 1	close	עלה
ברית	ברית	completion	1	11	אפשרות 1	miss	
בעמדה	בעמדה	completion	1	11	אפשרות 1	close	עמד
המולגית	המולגית	completion	1	11	אפשרות 1	miss	
למעורבות	למעורבות	completion	1	11	אפשרות 1	close	ערב
סיומו	סיומו	completion	1	11	אפשרות 2	miss	
הפעולה	הפעולה	completion	1	11	אפשרות 2	close	עלה
הצדדים	הצדדים	completion	1	11	אפשרות 2	full	צידד
בזה	בזה	completion	1	11	אפשרות 2	close	בזה
סביב	סביב	completion	1	11	אפשרות 2	close	סבב
מחלוקת	מחלוקת	completion	1	11	אפשרות 2	close	מחל
שביניהם	שביניהם	completion	1	11	אפשרות 2	miss	
צמצום	צמצום	completion	1	11	אפשרות 3	miss	
חילוקי	חילוקי	completion	1	11	אפשרות 3	close	חלק
הדעות	הדעות	completion	1	11	אפשרות 3	close	דעת
יריבים	יריבים	completion	1	11	אפשרות 3	miss	
כמולגים	כמולגים	completion	1	11	אפשרות 3	close	לגמ
המאמצים	המאמצים	completion	1	11	אפשרות 3	close	אמצ
נדיר	נדיר	completion	1	11	אפשרות 4	miss	
כוחם	כוחם	completion	1	11	אפשרות 4	miss	
במעורבות	במעורבות	completion	1	11	אפשרות 4	close	ערב
האלינדית	האלינדית	completion	1	11	אפשרות 4	miss	
שימוש	שימוש	completion	1	11	אפשרות 4	miss	
במבנים	במבנים	completion	1	11	אפשרות 4	miss	
חוויה	חוויה	completion	1	11	אפשרות 4	miss	
שתחום	שתחום	completion	1	11	אפשרות 4	miss	
החוויה	החוויה	completion	1	11	אפשרות 4	full	החוה
המיסטית	המיסטית	completion	1	11	אפשרות 4	miss	
מתאפיין	מתאפיין	completion	1	11	אפשרות 4	miss	
בהיעדר	בהיעדר	completion	1	11	אפשרות 4	miss	
מבנים	מבנים	completion	1	11	אפשרות 4	miss	
רציונליים	רציונליים	completion	1	11	אפשרות 4	miss	
תיאורה	תיאורה	completion	1	12	אפשרות 1	close	ארה
עושה	עושה	completion	1	12	אפשרות 1	close	עשה
מחייבת	מחייבת	completion	1	12	אפשרות 2	miss	
עשיית	עשיית	completion	1	12	אפשרות 2	close	עשת
מסתמכת	מסתמכת	completion	1	12	אפשרות 3	close	סתמ
בעוד	בעוד	completion	1	12	אפשרות 4	miss	
הדיווח	הדיווח	completion	1	12	אפשרות 4	full	הדיח
דורש	דורש	completion	1	12	אפשרות 4	miss	
זהירות	זהירות	completion	2	10	אפשרות 1	close	זהר
מוקשים	מוקשים	completion	2	10	אפשרות 1	miss	
כוחה	כוחה	completion	2	10	אפשרות 1	miss	
האהבה	האהבה	completion	2	10	אפשרות 1	miss	
נלהבת	נלהבת	completion	2	10	אפשרות 1	miss	
יודע	יודע	completion	2	10	אפשרות 1	close	ידע
לקרוא	לקרוא	completion	2	10	אפשרות 1	miss	
לדרוך	לדרוך	completion	2	10	אפשרות 2	full	דרוך
הדשא	הדשא	completion	2	10	אפשרות 2	miss	
זלזול	זלזול	completion	2	10	אפשרות 2	full	זלזל
בסדר	בסדר	completion	2	10	אפשרות 2	miss	
הציבורי	הציבורי	completion	2	10	אפשרות 2	miss	
נזעמת	נזעמת	completion	2	10	אפשרות 2	miss	
כלב	כלב	completion	2	10	אפשרות 3	full	כליב
נושך	נושך	completion	2	10	אפשרות 3	full	נשך
אומץ	אומץ	completion	2	10	אפשרות 3	close	אמצ
עילאי	עילאי	completion	2	10	אפשרות 3	miss	
התפרנס	התפרנס	completion	2	10	אפשרות 3	miss	
בנעוריו	בנעוריו	completion	2	10	אפשרות 3	close	נער
מאילוף	מאילוף	completion	2	10	אפשרות 3	full	מאלף
כלבים	כלבים	completion	2	10	אפשרות 3	full	כליב
מסיגי	מסיגי	completion	2	10	אפשרות 4	miss	
גבול	גבול	completion	2	10	אפשרות 4	miss	
ייענשו	ייענשו	completion	2	10	אפשרות 4	miss	
ברכוש	ברכוש	completion	2	10	אפשרות 4	close	ברכ
הזולת	הזולת	completion	2	10	אפשרות 4	full	זילות
לולא	לולא	completion	2	10	אפשרות 4	full	לולא
בעליו	בעליו	completion	2	10	אפשרות 4	close	בעל
החוקיים	החוקיים	completion	2	10	אפשרות 4	full	חווק
השטח	השטח	completion	2	10	אפשרות 4	miss	
מנהלת	מנהלת	completion	2	10	אפשרות 4	miss	
המחלקה	המחלקה	completion	2	10	אפשרות 4	close	מחל
הופתעתי	הופתעתי	completion	2	10	אפשרות 4	miss	
מכך	מכך	completion	2	10	אפשרות 4	close	מככ
שאופיר	שאופיר	completion	2	10	אפשרות 4	miss	
שעון	שעון	completion	2	10	אפשרות 4	miss	
הרנדומיזציה	הרנדומיזציה	completion	2	10	אפשרות 4	miss	
נעשתה	נעשתה	completion	2	10	אפשרות 4	close	עשת
השבתתו	השבתתו	completion	2	11	אפשרות 1	miss	
חרף	חרף	completion	2	11	אפשרות 1	full	חרף
התנגדותה	התנגדותה	completion	2	11	אפשרות 1	close	נגד
הנמרצת	הנמרצת	completion	2	11	אפשרות 1	close	נמר
התומכים	התומכים	completion	2	11	אפשרות 1	close	תמכ
בשימוש	בשימוש	completion	2	11	אפשרות 1	close	בשמ
בשעון	בשעון	completion	2	11	אפשרות 1	miss	
לחידוש	לחידוש	completion	2	11	אפשרות 1	miss	
קנייתו	קנייתו	completion	2	11	אפשרות 2	miss	
הוראתה	הוראתה	completion	2	11	אפשרות 2	miss	
המתנגדים	המתנגדים	completion	2	11	אפשרות 2	close	מתנ
למציאת	למציאת	completion	2	11	אפשרות 2	close	מצא
חלופה	חלופה	completion	2	11	אפשרות 2	close	חלפ
לשעון	לשעון	completion	2	11	אפשרות 2	miss	
ייפסק	ייפסק	completion	2	11	אפשרות 2	miss	
התקנתו	התקנתו	completion	2	11	אפשרות 3	miss	
רצונה	רצונה	completion	2	11	אפשרות 3	miss	
למען	למען	completion	2	11	אפשרות 3	miss	
הרחבת	הרחבת	completion	2	11	אפשרות 3	close	רחב
עקב	עקב	completion	2	11	אפשרות 4	close	עקב
דרישתה	דרישתה	completion	2	11	אפשרות 4	miss	
להשבתתו	להשבתתו	completion	2	11	אפשרות 4	miss	
המחלישים	המחלישים	completion	2	12	אפשרות 1	close	מחל
הטענה	הטענה	completion	2	12	אפשרות 1	miss	
בדבר	בדבר	completion	2	12	אפשרות 1	close	דבר
להסתייג	להסתייג	completion	2	12	אפשרות 1	full	הסתייג
הדוחים	הדוחים	completion	2	12	אפשרות 1	full	הדיח
המצביעים	המצביעים	completion	2	12	אפשרות 2	close	צבע
היעדר	היעדר	completion	2	12	אפשרות 2	miss	
לתמוך	לתמוך	completion	2	12	אפשרות 2	close	תמכ
מקבלים	מקבלים	completion	2	12	אפשרות 2	close	בלמ
המוכיחים	המוכיחים	completion	2	12	אפשרות 3	miss	
לאמץ	לאמץ	completion	2	12	אפשרות 3	close	אמצ
המצדדים	המצדדים	completion	2	12	אפשרות 3	full	מצודד
המפריכים	המפריכים	completion	2	12	אפשרות 4	close	פרכ
המסכימים	המסכימים	completion	2	12	אפשרות 4	close	מסכ
