# 2020_winter · fmt=B · analogy=117 · completion=121
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
שולחן	שולחן	analogy	2	2	מסיח 2	close	שלח
ריהוט	ריהוט	analogy	2	2	מסיח 2	full	רהוט
קטר	קטר	analogy	2	2	מסיח 3	miss	
רכבת	רכבת	analogy	2	2	מסיח 3	close	רכב
נגן	נגן	analogy	2	2	מסיח 4	miss	
תזמורת	תזמורת	analogy	2	2	מסיח 4	close	זמר
להלשין	להלשין	analogy	2	3	רגל	miss	
לדווח	לדווח	analogy	2	3	רגל	miss	
להקשיב	להקשיב	analogy	2	3	מסיח 1	close	להק
לשמוע	לשמוע	analogy	2	3	מסיח 1	miss	
לקחת	לקחת	analogy	2	3	מסיח 2	close	לקח
להשמיץ	להשמיץ	analogy	2	3	מסיח 3	close	שמצ
להחמיא	להחמיא	analogy	2	3	מסיח 3	miss	
להפקיר	להפקיר	analogy	2	3	מסיח 4	full	הפקיר
להשאיר	להשאיר	analogy	2	3	מסיח 4	close	שאר
לקלף	לקלף	analogy	2	4	רגל	miss	
קליפה	קליפה	analogy	2	4	רגל	miss	
לאבק	לאבק	analogy	2	4	מסיח 1	close	אבק
אבק	אבק	analogy	2	4	מסיח 1	close	אבק
להשריש	להשריש	analogy	2	4	מסיח 2	miss	
שורש	שורש	analogy	2	4	מסיח 2	miss	
לסייד	לסייד	analogy	2	4	מסיח 3	full	סד
סיד	סיד	analogy	2	4	מסיח 3	full	סד
למחוק	למחוק	analogy	2	4	מסיח 4	miss	
מחק	מחק	analogy	2	4	מסיח 4	miss	
חטוטרת	חטוטרת	analogy	2	5	רגל	full	חטוטרת
גיבן	גיבן	analogy	2	5	רגל	full	גיבן
קול	קול	analogy	2	5	מסיח 1	miss	
זמר	זמר	analogy	2	5	מסיח 1	close	זמר
מחלה	מחלה	analogy	2	5	מסיח 2	close	מחל
חולני	חולני	analogy	2	5	מסיח 2	miss	
פשע	פשע	analogy	2	5	מסיח 3	miss	
עבריין	עבריין	analogy	2	5	מסיח 3	close	עבר
אמונה	אמונה	analogy	2	5	מסיח 4	close	אמנ
מאמין	מאמין	analogy	2	5	מסיח 4	close	אמנ
קצרה ידו מהושיע	קצרה ידו מהושיע	analogy	2	6	רגל	close	קצר
עזר	עזר	analogy	2	6	רגל	miss	
ידו לא הייתה משגת	ידו לא הייתה משגת	analogy	2	6	מסיח 1	close	ידו
רכש	רכש	analogy	2	6	מסיח 1	miss	
לא הייתה לו יד בדבר	לא הייתה לו יד בדבר	analogy	2	6	מסיח 2	close	דבר
השתתף	השתתף	analogy	2	6	מסיח 2	close	שתת
לא טמן ידו בצלחת	לא טמן ידו בצלחת	analogy	2	6	מסיח 3	full	לא טמן ידו בצלחת
פעל	פעל	analogy	2	6	מסיח 3	miss	
העלה חרס בידו	העלה חרס בידו	analogy	2	6	מסיח 4	full	העלה חרס בידו
ניסה	ניסה	analogy	2	6	מסיח 4	miss	
מנה	מנה	completion	1	7	אפשרות 1	miss	
התעלם	התעלם	completion	1	7	אפשרות 1	close	עלמ
ממגמתית	ממגמתית	completion	1	7	אפשרות 1	close	מתת
והמעיט	והמעיט	completion	1	7	אפשרות 2	full	המעיט
בהצגת	בהצגת	completion	1	7	אפשרות 2	miss	
התמקד	התמקד	completion	1	7	אפשרות 2	miss	
באוהדת	באוהדת	completion	1	7	אפשרות 2	close	אהד
מדי	מדי	completion	1	7	אפשרות 2	miss	
מביקורתית	מביקורתית	completion	1	7	אפשרות 3	close	קרת
וכמעט	וכמעט	completion	1	7	אפשרות 4	close	מעט
התייחס	התייחס	completion	1	7	אפשרות 4	miss	
ייחד	ייחד	completion	1	7	אפשרות 4	miss	
מקום	מקום	completion	1	7	אפשרות 4	miss	
לבלתי	לבלתי	completion	1	7	אפשרות 4	close	בלתי
אוהדת	אוהדת	completion	1	7	אפשרות 4	close	אהד
בהרבה	בהרבה	completion	1	8	אפשרות 1	miss	
לעומת	לעומת	completion	1	8	אפשרות 1	miss	
שמעמיד	שמעמיד	completion	1	8	אפשרות 1	close	עמד
בספק	בספק	completion	1	8	אפשרות 1	close	ספק
הבטחתה	הבטחתה	completion	1	8	אפשרות 1	close	בטח
שהמרצים	שהמרצים	completion	1	8	אפשרות 1	close	המר
יעניקו	יעניקו	completion	1	8	אפשרות 1	close	ענק
מסרבת	מסרבת	completion	1	8	אפשרות 1	miss	
להתחייב	להתחייב	completion	1	8	אפשרות 1	miss	
גרוע	גרוע	completion	1	8	אפשרות ?	full	גרע
מזאת	מזאת	completion	1	8	אפשרות ?	close	זאת
המכללה	המכללה	completion	1	8	אפשרות ?	close	כלל
מוכיחה	מוכיחה	completion	1	8	אפשרות ?	miss	
יחס	יחס	completion	1	8	אפשרות ?	close	יחס
אישי	אישי	completion	1	8	אפשרות ?	miss	
שיקל	שיקל	completion	1	8	אפשרות 2	miss	
מורי	מורי	completion	1	8	אפשרות 2	miss	
להעניק	להעניק	completion	1	8	אפשרות 2	close	ענק
המקובל	המקובל	completion	1	8	אפשרות 2	close	קבל
נמנעת	נמנעת	completion	1	8	אפשרות 2	miss	
מלהבטיח	מלהבטיח	completion	1	8	אפשרות 2	close	בטח
שיאפשר	שיאפשר	completion	1	8	אפשרות 3	close	פשר
להצמיד	להצמיד	completion	1	8	אפשרות 3	miss	
מלווה	מלווה	completion	1	8	אפשרות 3	miss	
מקרב	מקרב	completion	1	8	אפשרות 3	miss	
מרצי	מרצי	completion	1	8	אפשרות 3	miss	
מבטיחה	מבטיחה	completion	1	8	אפשרות 3	close	בטח
המרצים	המרצים	completion	1	8	אפשרות 4	close	המר
במכללה	במכללה	completion	1	8	אפשרות 4	close	כלל
להרחיב	להרחיב	completion	1	8	אפשרות 4	close	רחב
מעתה	מעתה	completion	1	8	אפשרות 4	miss	
בהשוואה	בהשוואה	completion	1	8	אפשרות 4	close	שאה
מתחייבת	מתחייבת	completion	1	8	אפשרות 4	miss	
במכתב	במכתב	completion	1	8	אפשרות 4	miss	
שנשלח	שנשלח	completion	1	8	אפשרות 4	close	נשל
אופקיו	אופקיו	completion	1	8	אפשרות ?	close	אפק
בהתאם	בהתאם	completion	1	8	אפשרות ?	miss	
מכחישה	מכחישה	completion	1	8	אפשרות ?	close	חשה
חיובית	חיובית	completion	1	9	אפשרות 1	miss	
חלק	חלק	completion	1	9	אפשרות 1	close	חלק
ניכר	ניכר	completion	1	9	אפשרות 1	full	ניכר
בלתי	בלתי	completion	1	9	אפשרות 1	close	בלתי
הפיך	הפיך	completion	1	9	אפשרות 1	close	הפכ
מושפע	מושפע	completion	1	9	אפשרות 1	miss	
מנכונה	מנכונה	completion	1	9	אפשרות 1	miss	
מעטים	מעטים	completion	1	9	אפשרות 2	close	מעט
מאינה	מאינה	completion	1	9	אפשרות 2	close	אנה
זניח	זניח	completion	1	9	אפשרות 3	full	זנח
שאפשר	שאפשר	completion	1	9	אפשרות 3	close	פשר
לשנותו	לשנותו	completion	1	9	אפשרות 3	close	שנת
שלילית	שלילית	completion	1	9	אפשרות 3	close	שלל
שגויה	שגויה	completion	1	9	אפשרות 3	close	שגה
היסוד	היסוד	completion	1	9	אפשרות 3	miss	
מרבית	מרבית	completion	1	9	אפשרות 4	miss	
מופרכת	מופרכת	completion	1	9	אפשרות 4	close	פרכ
להעיד	להעיד	completion	2	9	אפשרות 1	miss	
הירידה	הירידה	completion	2	9	אפשרות 1	close	רדה
משקף	משקף	completion	2	9	אפשרות 3	full	משקוף
מאז	מאז	completion	2	9	אפשרות 3	miss	
העלייה	העלייה	completion	2	9	אפשרות 3	close	עלה
נאמנה	נאמנה	completion	2	9	אפשרות 4	close	אמנ
עדיין	עדיין	completion	2	9	אפשרות 4	close	עדנ
חרף	חרף	completion	2	9	אפשרות 4	full	חרף
המסוגלים	המסוגלים	completion	2	10	אפשרות 1	close	סגל
לקרוא	לקרוא	completion	2	10	אפשרות 1	miss	
נבדק	נבדק	completion	2	10	אפשרות 1	close	בדק
קרא	קרא	completion	2	10	אפשרות 1	miss	
בשפה	בשפה	completion	2	10	אפשרות 1	close	בשפה
זרה	זרה	completion	2	10	אפשרות 1	full	זרה
והם	והם	completion	2	10	אפשרות 1	miss	
אישש	אישש	completion	2	10	אפשרות 1	full	אישש
הקוראים	הקוראים	completion	2	10	אפשרות 2	close	ראמ
כולן	כולן	completion	2	10	אפשרות 2	miss	
בשפת	בשפת	completion	2	10	אפשרות 2	close	שפת
אימם	אימם	completion	2	10	אפשרות 2	full	אימום
הנבדקים	הנבדקים	completion	2	10	אפשרות 2	close	בדק
הפריך	הפריך	completion	2	10	אפשרות 2	full	הפריך
מסוגלים	מסוגלים	completion	2	10	אפשרות 3	close	סגל
שקראו	שקראו	completion	2	10	אפשרות 3	miss	
הכתוביות	הכתוביות	completion	2	10	אפשרות 3	miss	
חיזק	חיזק	completion	2	10	אפשרות 3	miss	
קוראים	קוראים	completion	2	10	אפשרות 4	close	ראמ
כולם	כולם	completion	2	10	אפשרות 4	close	כלמ
החליש	החליש	completion	2	10	אפשרות 4	miss	
עומד	עומד	completion	2	11	אפשרות 1	close	עמד
למעשה	למעשה	completion	2	11	אפשרות 1	full	מעושה
מפריך	מפריך	completion	2	11	אפשרות 1	close	פרכ
האין	האין	completion	2	11	אפשרות 1	miss	
נרחב	נרחב	completion	2	11	אפשרות 2	close	רחב
ממחקרים	ממחקרים	completion	2	11	אפשרות 2	close	קרמ
שנעשו	שנעשו	completion	2	11	אפשרות 2	miss	
כה	כה	completion	2	11	אפשרות 2	miss	
ועומד	ועומד	completion	2	11	אפשרות 2	close	עמד
מחזק	מחזק	completion	2	11	אפשרות 2	miss	
המה	המה	completion	2	11	אפשרות 2	full	הומה
מצליחה	מצליחה	completion	2	11	אפשרות 2	close	צלח
במידת	במידת	completion	2	11	אפשרות 2	miss	
המוניטין	המוניטין	completion	2	11	אפשרות 3	full	מוניטין
המפוקפקים	המפוקפקים	completion	2	11	אפשרות 3	close	פקפק
שיטת	שיטת	completion	2	11	אפשרות 3	miss	
ניצן"	ניצן"	completion	2	11	אפשרות 3	miss	
לראות	לראות	completion	2	11	אפשרות 3	miss	
מיטיבה	מיטיבה	completion	2	11	אפשרות 3	miss	
לחזק	לחזק	completion	2	11	אפשרות 4	miss	
בדוחק	בדוחק	completion	2	11	אפשרות 4	close	בדח
מסוגלת	מסוגלת	completion	2	11	אפשרות 4	close	סגל
