בחר	קטגוריה	מילה	הסיבה שלא נכנסה	מה מכסה אותה	יחידה בישן	פירוש בישן	רישיון	מקור ההוכחה
	נפסלה בשיבוץ	פְּתִית	"פת" היא חתיכת לחם קטנה, ו"פתית" היא בדיוק צורת ההקטנה שלה — רסיס זעיר. מי שיודע פת מנחש פתית בלי מאמץ.		4	פרור	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	צִיטָטָה	לעז שקוף		4	משפט או פסקה שנלקחו מדברי אחר ומשולבים כלשונם בטקסט	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	שָׁפַךְ לִבּוֹ	ניב שגור לחלוטין		4	השתפך, חשף את כל צרותיו בפני מישהו	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	תֵּל	"תלולית" היא ערימת עפר קטנה, ו"תל" הוא אותה ערמה בגדול — הפירוש עצמו מסתיים ב"ערמה". זוג של מילה וצורת ההקטנה שלה.		4	גבעה מלאכותית, ערמה, גל	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	תְּשׁוּקָה	שקופה לכל תיכוניסט		4	רצון עז, תאווה עזה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	אוּרְבָּנִי	לעז שקוף		5	עירוני (עירוני - urban)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	בֶּן-דְּמוּתוֹ	כפילות ממש של הערך הקיים "בן דמותו" — אותה מילה, מקף במקום רווח.		5	דומה לו	🟢 נקי	ויקיטקסט · נחלת הכלל (טקסט מקורי)
	נפסלה בשיבוץ	הֶאֱבִיס	אותו שדה סמנטי של "אבוס" — האכלת בהמות		5	נתן אוכל רב מדי; האכיל בעלי חיים	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִפְרִיט	נלמדת באזרחות, ושקופה מ"פרטי"		5	העביר בעלות מהמדינה לידיים פרטיות (להיפך: הלאים)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	חֲלִיפַת מִכְתָּבִים	צירוף מצטבר ושקוף		5	התכתבות בין שני אנשים או גופים	🟢 נקי	ויקיטקסט · נחלת הכלל (טקסט מקורי)
	נפסלה בשיבוץ	חֲנִיטָה	שקופה מול "חנט" הקיים		5	עיבוד גוף המת בתכשירים משמרים שעוצרים תהליכי ריקבון	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	כּוֹתֶרֶת	שקופה לכל תיכוניסט		5	השורה שבראש טקסט או ידיעה; מקבץ עלי הפרח הצבעוניים; החלק העליון המעוטר של עמוד בבניין	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מוֹנוֹגַמְיָה	לעז בינלאומי שקוף		5	נשיאת אשה אחת בלבד (להיפך: ביגמיה, פוליגמיה)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מוֹנוֹתֵאִיזְם	לעז בינלאומי שקוף		5	אמונה באל אחד	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מַזְלֵף	שקופה מול "זילף" הקיים		5	כלי השקיה בעל זרבובית להזלפת נוזלים, מזלפה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	צִיקְלוֹן	לעז בינלאומי שקוף		5	סופה; תרמיל	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קוֹרֶקְטִי	לעז בינלאומי שקוף		5	נאות, ענייני	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	בַּחֲרוּת	שקופה מ"בחור"		6	תחילת תקופת הבגרות (מהמילה בחור)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	בֶּן-לְוָיָה	⛔ כפילות ממש של "בן לויה" שכבר בי6 — מקף במקום רווח		6	מי שמתלווה לאדם אחר, שהולך איתו	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	בַּעֲלֵי שְׂרָרָה	שתי תוספות באותו שורש — "רודף שררה" נשארה		6	מי שבידיהם כוח שלטוני וסמכות לכפות את רצונם על אחרים	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	זְחִיחוּת דַּעַת	שקופה מול "זחוח" הקיים		6	שביעות רצון עצמית הגובלת ביהירות	🟢 נקי	ויקיטקסט · נחלת הכלל (טקסט מקורי)
	נפסלה בשיבוץ	חִילָּה	⚠ ספק במשמעות: הפירוש הישן "המתיק" אינו מתיישב עם "חילה פניו" (פייס). ספק ⇒ לא מנחשים		6	המתיק	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מָאוֹר	שקופה לכל תיכוניסט		6	גוף מפיץ אור, זוהר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מִלְּגוֹ וּמִלְבַּר	שתי תוספות באותו שורש — "מלגו" נשארה		6	מבפנים ומבחוץ	🟢 נקי	ספריא · נחלת הכלל
	נפסלה בשיבוץ	מִסְרוֹן	שקופה מ"מסר", וגם מילה שכל תיכוניסט יודע		6	אס-אם-אס, הודעת טקסט	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	צִלְצָל	⚠ המובן הנדיר (כלי ציד דגים) מתנגש לחלוטין עם "צלצול" השגור		6	כידון המחובר לחבל ומשמש לציד ימי	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הָגִיג	שם הפעולה של "הגה" — מי שיודע "הגה רעיון" מנחש מיד שהָגִיג הוא המחשבה עצמה		7	מחשבה, הרהור, שרעפים, חקרי לב	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הֵזִיחַ	שתי תוספות באותו שורש — "הזחה" נשארה, כי מובן הדפוס אינו נגזר מהפועל		7	הזיז משהו ממקום למקום, הסיט	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	זוֹט	⚠ מילה עמומה, נטייה ארמית — ספק במשמעות		7	קרקעית, תחתית של כלי	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	חֲטָף	נגזרת שקופה מול "בחטף" הקיים		7	מהירות גבוהה (מבט חטוף - מבט מהיר)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	חָרָבָה	הערך הקיים "חרב" כבר כולל "יבש"		7	אדמה שאינה מכוסה מים, יבשה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מְבוּזָּר	צורת הבינוני הסבילה של "בזר" באותה יחידה ובאותו מובן בדיוק — מי שיודע "העביר סמכויות לגורמים רבים" יודע מהי מערכת מבוזרת. בזר נשאר, מְבוּזָּר יוצא		7	מפוזר	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	מִזְקָקָה	נגזרת שקופה מול "זיקק" הקיים		7	מקום לזיקוק ולהכנת משקאות חריפים	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מַק	"נמק" הוא הפועל, מַק הוא שם העצם של אותו תהליך ריקבון עצמו — אותה משמעות בשתי צורות		7	ריקבון	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	מַרְנִין	צורת הווה של "הרנין" הקיים		7	משמח, משיב את הלב	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	נוֹאָל	מקבילה כמעט זהה ל"אויל" — טיפש/חסר דעת מול טיפשי/חסר שכל. אותה משמעות, אותו שורש, אין מה ללמוד מחדש		7	טיפשי, אווילי	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	צִקְצוּק	אונומטופיאה מזוהה, אפשר לנחש בלי לימוד		7	הפקת רעש חד בלשון להבעת מורת רוח, גינוי או צער	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	תְּנוּבָה	שם העצם הישיר של "הניב" — מי שיודע "הניב פירות" מנחש שתְּנוּבָה היא היבול		7	יבול, תוצרת חקלאית	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	זֵד	שם הפועל של "זדון" — מי שיודע "בזדון" מזהה מיד שזֵד הוא מי שפועל כך		8	רשע, זדון	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	חִדָלוֹן	שם פעולה צפוי של "חדל" (י1)		8	אפסות, אי-קיום, כלייה, אבדון; חוסר מעש	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	כְּפִיפוּת	שם הפעולה המופשט של "כפף": ההרכנה הפיזית עוברת למרות ותלות דרך מטפורה שקופה ומקובלת ("כפוף לו"), ולא דורשת לימוד נפרד		8	מצבו של מי שנמצא תחת סמכותו ופיקודו של אחר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	לָא מִנֵּיהּ וְלָא מִקְּצָתֵיהּ	⛔ ארמית טהורה — נשללה במפורש בהגדרת יחידה 10		8	שגוי לחלוטין (לא ממנו ולא קצת ממנו)	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	צַרְכָנִיָּה	שקופה — צרכן + סיומת מקום		8	מכולת שכונתית; בעבר חנות של אגודה שיתופית שספקה מצרכים לחבריה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִכְתִּיר	שקופה — "כתר" היא מילת בסיס		9	הסמיך מלך חדש	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	וַרְיַאצְיָה	לעז בינלאומי שקוף		9	נוסח, גירסה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מְלוּבָּן	נגזרת שקופה של "ליבן" (י5)		9	מובהר, מוסבר, מפורש	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	מִשְׁנֶה	"שנה" במובן חזרה על מעשה מוביל ישירות ל"כפול/מוגבר" (משנה זהירות) — הגשר מ"פעם נוספת" ל"רב במיוחד" שקוף, ושתיהן תוספות חדשות. שנה נשאר, מִשְׁנֶה יוצא		9	כפול ומכופל, רב מאוד (___ תוקף, ___ חשיבות)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	סְבָרָה	נגזרת שקופה של "סבר" (י2)		9	היסק הנשען על היגיון בלבד ולא על מקור מוסמך; ניחוש מנומק	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	סָלַד	נגזרת שקופה של "סלידה" (י2)		9	הרגיש דחייה כלפי משהו, נגעל	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	צָנוּף	נגזרת שקופה של "הצטנף" (י4)		9	מגולגל, מכורבל, מכווץ; כרוך סביב הראש	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	אָזַר עֹז / כֹּחַ / אֹמֶץ	הערך הקיים "אזר" (י5) מוגדר כבר "אסף כוח (אזר עוז)" — אותה מילה		10	הֵעֵז (אזר - התמלא)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	אֲסוּפָה	שתי המילים הן שם פעולה של "אסף" ונבדלות רק במה שנאסף — יבול מול כתבים. מי שיודע "אסיף" יגזור בקלות שאֲסוּפָה היא מקבץ		10	מקבץ מאמרים בנושא מסוים	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	בְּחִישָׁה	שם הפעולה של "בחש" באותו מובן בדיוק — ערבוב בכלי. זהות מלאה בין הפירושים		10	ערבוב	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִכְפִּיף	הפעיל שקוף של "כפף" (י2)		10	שם מישהו תחת מרותו של מישהו אחר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִתְנוֹפֵף	צירוף בסיסי שכל תיכוניסט מכיר		10	התנועע ברוח מצד לצד	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	כִּמֵּת	נגזרת שקופה מ"כמות"		10	מלשון כמות - ביצע מדידת כמות, מדד	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	לְמֵישָׁרִין	כמעט אותה מילה כמו "במישרין", בשינוי אות יחס בלבד. נבחן שיודע את הקיימת יראה בה אותה מילה ולא יבחין בהבדל הדק במשמעות		10	כמו שצריך, ללא כל בעיה	🟢 נקי	ויקיטקסט · נחלת הכלל (טקסט מקורי)
	נפסלה בשיבוץ	נִפְרַע	נפעל שקוף של "פרע" (י4)		10	שולם; נקם (במישהו)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	רִפְרֵף	שימוש דיבורי נפוץ, לא דורש לימוד		10	עבר על נושא בחטף ובלי לעיין; נע או עף בתנועות קלות וחוזרות	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	שִׁפּוּל	יחיד של "שיפולים" הקיים במאגר — אותה מילה בדיוק בצורת יחיד, בלי שום פער משמעות		10	תחתית, החלק הנמוך (שיפולי ההרים - המדרונות התחתיים)	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	שָׁת	אותו פועל ב"השית" בבניין אחר, בדיוק כמו ערטל/התערטל: מהנחה וקביעה להטלה. מי שיודע "השית קנס" מזהה את שָׁת מיד		10	שם, הניח	🟢 נקי	ויקינתונים (CC0)
	הוצאה לפני השיבוץ	הִסְתּוֹפֵף	המילה כבר בצובר כחסימה מכוונת; הצירוף "הסתופף בצילו" ביחידה 9		9	שהה באופן ממושך במקום מסוים או בחברת אנשים מסוימים	🟢 נקי	ויקינתונים (CC0)
	הוצאה לפני השיבוץ	טַבּוּלָה רָאסָה	אין הוכחה עברית — ההוכחה היא למונח הלטיני. דורשת הכרעת עו"ד		7	אינו יודע דבר בתחום מסוים, חסר דעה בנושא מסוים	🟢 נקי	ויקיטקסט הלטיני · נחלת הכלל
	אולי · לא נבדקה	פוֹרְס מָז'וֹר	מונח משפטי-חוזי (כוח עליון), אך הפך נפוץ יחסית בשיח הציבורי (חוזים, ביטוח, תקופת מלחמה/קורונה) — ספק אם צר מדי מקצועית או מוכר מספיק לציבור.		5	נסיבות בלתי צפויות שאין שליטה עליהן ועשויות לפטור מקיום התחייבות (כוח עליון)	🟡 נחלת הכלל בשפת המקור	ויקיטקסט הצרפתי · נחלת הכלל · L’Encyclopédie, 1re édition, VIMAIRE (דידרו ודאלמבר, 1765)
	אולי · לא נבדקה	בְּחוּבּוֹ	משמעות בסיסית ("בתוכו") מוכרת, אך צורת המילה הארכאית (חוב=חיק) עצמה עשויה להיות בעלת ערך; ספק אם שווה כפריט נפרד		9	בו, בתוכו	🟢 נקי	ויקינתונים (CC0) · חוב=L65149
	אולי · לא נבדקה	זָב חֹטֶם	קרוב מאוד ל"טירון" (חסר ניסיון), אך זב חוטם הוא כינוי גנאי מזלזל בעוד טירון ניטרלי		7	כינוי גנאי לצעיר חסר ניסיון; אדם פחות ערך	🟢 נקי	ויקינתונים (CC0) · זב=L210335 · חוטם=L65164
	אולי · לא נבדקה	יוֹשֵׁב עַל הַגָּדֵר	"קפץ ידו" עוסק בקמצנות ולא בהססנות/ניטרליות; אך הביטוי (קלאק מאנגלית) נפוץ מאוד בתקשורת		6	נמנע מלנקוט עמדה, נמנע מלצדד	🟢 נקי	ויקינתונים (CC0) · יושב=L220480 · גדר=L76568
	אולי · לא נבדקה	אֶשְׁכּוֹל	הפירוש הקונקרטי (אשכול ענבים) שכיח מדי, אך הפירוש המופשט (קבוצת פריטים או יישובים קשורים) עשוי להיות מונח שימושי שאינו מכוסה.		1	צבר פירות או ניצנים היוצאים מעוקץ אחד; קבוצת פריטים קשורים זה לזה	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	הִגֵּר	מילה נפוצה למדי בחדשות (הגירה), ספק אם שכיחה מדי לרמת פסיכומטרי; "זה מכבר" הקרוב אינו קשור כלל.		1	עבר מארץ אחת לאחרת והשתקע בה לפרק זמן ממושך	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	הַס	מילת קריאה ספרותית לשקט; ספק אם שכיחה מדי (הביטוי "הס מלהזכיר") או ראויה כפריט מבחן נפרד.		1	מילת ציווי הדורשת שקט	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	הִצְפִּין	לפועל שני פירושים שונים (נע צפונה / הסתיר); ספק אם שני החושים דורשים כיסוי נפרד או שאחד מהם כבר מכוסה במילים אחרות.		1	נע צפונה; העלים, החביא	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	הִתְחַלָּה	קרוב מאוד ל"התחסד" (העמיד פני צדיק) במבנה אך שונה בתוכן (העמדת פני חולה); ספק אם ההבחנה חדה מספיק לפריט נפרד.		1	העמיד פני חולה, התחזה לחולה	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	חֲרִי (אַף)	ניב לכעס עז קרוב מאוד ל"בערה חמתו" הקיים; כמו חמה/עברה בתדריך, נרדפות לכעס אינן בהכרח כפילות, אך יש ספק אמיתי אם כבר מכוסה.		1	כעס, חֵמה, זעם	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	אולי · לא נבדקה	מְבוּסָם	"שיכור קלות" הוא רישום מדובר-יומיומי; ספק אם שכיח מדי, ולא קשור כלל ל"זע" הקרוב.		1	שיכור קלות, שתוי; מעט שיכור	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	אולי · לא נבדקה	מְשׁוּנָּן	תואר טכני-פיזי (בעל שיניים או צורת שיניים); ספק אם מונח צר מדי או פריט מבחן תקין.		1	בעל שיניים או בעל צורה של שיניים	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	אולי · לא נבדקה	עַלְוָוה	שם עצם ספרותי (עלווה); ספק אם שכיח מספיק אצל תלמידי תיכון או קשה מדי; "אושה" הקרוב אינו קשור באמת.		1	כלל העלים המכסים את העץ	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	פֶּרֶא	"חמור פרא / חסר תרבות" נפוצה יחסית, ספק אם שכיחה מדי לרמת פסיכומטרי.		1	חמור הבר; חסר תרבות	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	מְגֻבָּב	תואר נדיר; ספק אם קרוב מדי ל"שחוח" במובן הכפיפה הפיזית או שונה מספיק (ערימת חפצים מול כפיפת גוף).		1	ערוך בערימה, מועמס זה על גב זה	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	אולי · לא נבדקה	מְעִילָה	קרובה מאוד ל"מעל" (בגד באמון) שכבר בחדש; ספק אם שם העצם מוסיף די על הפועל הקיים כדי להיחשב פריט נפרד.		1	שימוש לרעה בכסף או ברכוש שהופקד בידיו; ניצול תפקיד לטובת עצמו	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	אֲדָנִית	נגזרת אפשרית מ"אדן" שכבר בחדש, אך המשמעות הספציפית (עציץ על אדן החלון) אינה בהכרח שקופה ממנו.		2	עציץ מוארך המונח בדרך-כלל על אדן החלון	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	בִּיוֹגְרַפְיָה	מילה לועזית נפוצה יחסית; ספק אם שכיחה מדי לרמת המבחן.		2	תאור תולדותיו של אדם מסוים	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	גִּיל/גִּילָה	נרדף קרוב ל"חדוה" (שמחה); כמו חמה/עברה בתדריך נרדפות אינן כפילות אוטומטית, אך יש ספק אמיתי בגלל הקרבה הרבה במשמעות.		2	שמחה, ששון, אושר	🟢 נקי	ויקינתונים (CC0)
	אולי · לא נבדקה	גְּמִילָה	שם עצם דו-משמעי (גמילה מהרגל מזיק / הבשלת פרי); ספק אם שני החושים דורשים כיסוי נפרד או ש"גלעין" הקרוב שונה מספיק.		2	השתחררות מהרגל מזיק; הבשלת הפרי	🟢 נקי	ויקינתונים (CC0)
